open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,name
1611619200000,0.006088,0.0082,0.00555,0.005781,2152338304.0,1611705599999,15021651.376882,39973,1163208835.0,8191663.836212,0,CKBUSDT
1611705600000,0.005788,0.005929,0.00485,0.00511,862154539.0,1611791999999,4667481.133055001,17624,374712206.0,2028326.952637,0,CKBUSDT
1611792000000,0.005088,0.0059619999999999,0.005012,0.0052619999999999,890851622.0,1611878399999,4890434.1729,21980,443956336.0,2452498.373011,0,CKBUSDT
1611878400000,0.005264,0.00547,0.0050009999999999,0.0052369999999999,735080864.0,1611964799999,3848442.095576,38630,353720432.0,1854466.710467,0,CKBUSDT
1611964800000,0.0052369999999999,0.005695,0.0051049999999999,0.005472,418294313.0,1612051199999,2234866.505129,32864,216773227.0,1161485.579624,0,CKBUSDT
1612051200000,0.005473,0.005684,0.005192,0.005313,411478216.0,1612137599999,2241277.072437,31790,204629251.0,1115400.906425,0,CKBUSDT
1612137600000,0.005314,0.005705,0.005203,0.005675,389496623.0,1612223999999,2104490.923721,34101,219300689.0,1187110.361617,0,CKBUSDT
1612224000000,0.005676,0.006168,0.005554,0.006045,590002400.0,1612310399999,3479622.697743,47983,313776247.0,1850595.035736,0,CKBUSDT
1612310400000,0.006044,0.0069489999999999,0.005825,0.0063799999999999,744930596.0,1612396799999,4730399.755891,68274,362944939.0,2305128.538866,0,CKBUSDT
1612396800000,0.006397,0.006447,0.005947,0.006202,379540371.0,1612483199999,2337521.480644,30057,177320346.0,1092717.3944209998,0,CKBUSDT
1612483200000,0.006202,0.0068,0.006151,0.00659,382949151.0,1612569599999,2481896.559526,11937,180673796.0,1170648.673993,0,CKBUSDT
1612569600000,0.006589,0.006683,0.0062299999999999,0.006305,224404230.0,1612655999999,1443709.788332,6162,99107835.0,638676.121059,0,CKBUSDT
1612656000000,0.006309,0.007998,0.00619,0.007779,1136211578.0,1612742399999,8201274.976619001,30484,609248753.0,4404796.732639,0,CKBUSDT
1612742400000,0.0078269999999999,0.0085799999999999,0.0072109999999999,0.0077209999999999,798361516.0,1612828799999,6167676.464399,27033,391075017.0,3030810.472024,0,CKBUSDT
1612828800000,0.0077209999999999,0.008799,0.0073319999999999,0.0081549999999999,739729858.0,1612915199999,5808242.859297,26364,348048936.0,2735046.050479,0,CKBUSDT
1612915200000,0.008145,0.008398,0.007451,0.007972,483075168.0,1613001599999,3814184.148184,17871,205512777.0,1623888.348513,0,CKBUSDT
1613001600000,0.007972,0.010653,0.007619,0.009464,686258278.0,1613087999999,6009011.417157,25483,347681152.0,3070490.542059,0,CKBUSDT
1613088000000,0.009464,0.010889,0.008766,0.0099049999999999,887327009.0,1613174399999,8623520.021757001,31836,453039236.0,4406159.101406,0,CKBUSDT
1613174400000,0.009898,0.010968,0.009396,0.010276,644044527.0,1613260799999,6662866.171961,24686,319947415.0,3318344.296423,0,CKBUSDT
1613260800000,0.010295,0.0115,0.009182,0.011267,578256605.0,1613347199999,5966648.119731,27691,290821520.0,3000166.355112,0,CKBUSDT
1613347200000,0.011268,0.0117,0.009522,0.0104319999999999,562686608.0,1613433599999,5999143.400168,25080,260688788.0,2786313.776206,0,CKBUSDT
1613433600000,0.0104319999999999,0.0113,0.0098,0.010115,393370932.0,1613519999999,4137456.754929,15159,186559685.0,1974527.139698,0,CKBUSDT
1613520000000,0.01011,0.01039,0.009399,0.009986,307346513.0,1613606399999,3027776.570807,12979,146368153.0,1441508.056746,0,CKBUSDT
