open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,name
1609459200000,6.456,6.731,5.992999999999999,6.127999999999999,52408.921,1609545599999,333058.959484,3222,25526.587000000003,162230.599691,0,SUNUSDT
1609545600000,6.102,6.5,5.975,6.268,57713.209,1609631999999,358447.522882,3230,28637.014,178684.40406099998,0,SUNUSDT
1609632000000,6.29,6.8870000000000005,6.122000000000001,6.763,75230.01299999999,1609718399999,483318.88743100007,4123,40544.034,260985.876233,0,SUNUSDT
1609718400000,6.799,7.25,5.9,6.666,82532.297,1609804799999,556713.970497,4852,43696.359,295547.871183,0,SUNUSDT
1609804800000,6.664,6.867000000000001,6.0,6.234,102022.296,1609891199999,641573.69225,5525,50095.349,314639.303149,0,SUNUSDT
1609891200000,6.265,7.0,6.06,6.546,98887.993,1609977599999,626087.238622,4574,55147.957,350757.370197,0,SUNUSDT
1609977600000,6.566,7.671,6.466,6.876,171673.134,1610063999999,1218893.020323,8349,78924.9,561196.723296,0,SUNUSDT
1610064000000,6.92,7.298999999999999,6.37,7.13,69069.97099999999,1610150399999,478555.915132,3557,32046.405,222252.265371,0,SUNUSDT
1610150400000,7.105,7.7,7.011,7.576,106259.253,1610236799999,782510.928218,5699,50942.33,374330.759847,0,SUNUSDT
1610236800000,7.596,8.189,7.25,7.725,93381.254,1610323199999,724494.490718,5540,49338.143,382678.674185,0,SUNUSDT
1610323200000,7.657,7.689,5.627000000000001,6.435,100652.855,1610409599999,647256.554736,4320,53362.551,341237.303562,0,SUNUSDT
1610409600000,6.41,6.813,6.233,6.42,53538.359,1610495999999,346791.965529,2471,30884.014,200384.613287,0,SUNUSDT
1610496000000,6.42,7.182,6.223,6.857,104313.312,1610582399999,699418.686948,4255,44970.365,299839.772834,0,SUNUSDT
1610582400000,6.892,7.75,6.501,6.672999999999999,65747.856,1610668799999,446404.830512,3048,32965.089,224112.547711,0,SUNUSDT
1610668800000,6.671,7.5,6.401,7.13,109723.109,1610755199999,763479.873504,4942,57932.871,403922.330684,0,SUNUSDT
1610755200000,7.174,8.229,7.0,7.879,92122.505,1610841599999,692316.935553,5447,48869.551,368231.90114,0,SUNUSDT
1610841600000,7.866,8.5,7.331,8.212,155735.917,1610927999999,1243584.236035,7326,60648.721,482255.952488,0,SUNUSDT
1610928000000,8.212,9.484,7.809,8.857999999999999,202003.463,1611014399999,1760660.336596,10867,104397.372,906293.676274,0,SUNUSDT
1611014400000,8.889,8.894,8.061,8.141,87687.049,1611100799999,753641.714663,4980,43287.386,373154.366289,0,SUNUSDT
1611100800000,8.13,8.214,7.399,8.117,69288.753,1611187199999,540134.528967,4061,36523.813,283974.328952,0,SUNUSDT
1611187200000,8.15,8.243,7.335,7.622999999999999,51500.788,1611273599999,402668.455341,2775,22960.604,180507.094826,0,SUNUSDT
