open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609459200000,0.0616,0.0698,0.0613,0.0685,7270632.04,1609545599999,481464.548652,5756,3784775.51,251700.076883,0
1609545600000,0.0687,0.0698,0.0612,0.0641,9807947.94,1609631999999,630435.850941,7601,4199532.65,271725.190834,0
1609632000000,0.0641,0.069,0.0633,0.0668,8555303.11,1609718399999,563988.1998930001,6788,4200866.51,277333.349536,0
1609718400000,0.0669,0.0761,0.0633,0.0731,16964320.22,1609804799999,1209858.508615,13318,7980031.47,572096.277029,0
1609804800000,0.0732,0.0745,0.0671,0.0712,7467010.33,1609891199999,522916.92028599995,8617,3008415.46,211345.769424,0
1609891200000,0.0712,0.0797,0.0692,0.0765,11623188.08,1609977599999,864580.693201,10463,5637862.96,421475.508968,0
1609977600000,0.0765,0.0963,0.0756,0.0847,27022456.45,1610063999999,2312101.47595,16864,13028904.88,1119726.129785,0
1610064000000,0.0848,0.085,0.073,0.0808,10397272.84,1610150399999,818201.531843,8266,4307259.97,340083.716233,0
1610150400000,0.081,0.0903,0.0798,0.0891,9587155.02,1610236799999,820142.175288,8053,4509061.87,386045.795217,0
1610236800000,0.0886,0.0954,0.076,0.0855,14950802.57,1610323199999,1279989.728543,11811,7194870.89,617982.854554,0
1610323200000,0.0855,0.0855,0.0645,0.0742,11193245.56,1610409599999,807115.186454,8454,4471761.1,322227.061882,0
1610409600000,0.0738,0.077,0.0684,0.0714,5111023.37,1610495999999,371610.671026,4367,2294802.7,167607.215278,0
1610496000000,0.071,0.0821,0.0697,0.0769,10355343.16,1610582399999,793765.460155,6936,4751376.32,365227.340163,0
1610582400000,0.0769,0.0804,0.0735,0.0766,7764894.85,1610668799999,594520.112706,5709,3145283.31,241840.886504,0
1610668800000,0.077,0.08199999999999999,0.0706,0.0775,11140074.81,1610755199999,861991.213069,9085,5330858.0,413028.17417199997,0
1610755200000,0.0779,0.086,0.0765,0.0806,11431652.07,1610841599999,939664.363316,9270,4794594.64,394906.6453,0
1610841600000,0.0806,0.0942,0.0794,0.0864,17955418.34,1610927999999,1562797.1235709998,12573,9845933.09,862061.279949,0
1610928000000,0.0864,0.0932,0.0837,0.0911,11232685.88,1611014399999,1006516.343366,8601,4428871.38,397534.686979,0
1611014400000,0.0911,0.0969,0.0872,0.0872,10048628.67,1611100799999,933006.195233,10027,5374070.42,499678.283021,0
1611100800000,0.0875,0.0999,0.0823,0.0969,20491586.48,1611187199999,1890399.775214,17032,10372487.31,956164.762231,0
1611187200000,0.0972,0.1024,0.0835,0.0882,28157350.98,1611273599999,2556416.128616,18302,12306637.99,1121779.541217,0
1611273600000,0.0882,0.1045,0.0779,0.0872,28268384.65,1611359999999,2587700.927737,20727,13520560.57,1243388.458791,0
1611360000000,0.0867,0.0881,0.08,0.0812,30529563.39,1611446399999,2571757.479037,20627,12013012.25,1014243.018502,0
1611446400000,0.0811,0.0832,0.0749,0.0791,33960684.95,1611532799999,2724537.220911,22956,14106970.43,1134085.2104200001,0
1611532800000,0.0792,0.0822,0.0758,0.0761,22619833.19,1611619199999,1802876.3634169998,15646,9558640.35,764826.847729,0
1611619200000,0.0759,0.0776,0.0711,0.0754,13652095.37,1611705599999,1018395.7730379999,9965,5659071.74,422551.602225,0
1611705600000,0.0755,0.0755,0.0643,0.0663,26121588.28,1611791999999,1785563.8010810001,14126,9357974.08,638130.4537279999,0
1611792000000,0.0664,0.075,0.0655,0.0706,21443241.9,1611878399999,1517475.653054,13098,10866374.26,770103.974239,0
1611878400000,0.0705,0.0738,0.0655,0.0716,30902392.56,1611964799999,2157683.991991,19338,13462559.3,943386.0219350001,0
1611964800000,0.0717,0.0755,0.0699,0.0747,22011704.91,1612051199999,1597634.9901,15119,10465147.17,760923.245166,0
1612051200000,0.0747,0.0755,0.0709,0.0723,17155514.23,1612137599999,1251506.606283,12603,7533111.09,550973.692025,0
1612137600000,0.0721,0.0727,0.0702,0.0724,17618610.43,1612223999999,1260255.337977,11155,7950953.73,569901.813253,0
1612224000000,0.0723,0.0755,0.0706,0.0737,17577727.25,1612310399999,1285031.187842,12204,8277521.36,606474.345525,0
1612310400000,0.0739,0.0812,0.0735,0.0807,31735526.7,1612396799999,2471154.607979,19790,16104147.05,1258959.9314299999,0
1612396800000,0.0807,0.086,0.0762,0.0858,32851902.57,1612483199999,2657840.1949830004,22953,15476846.03,1256222.83516,0
1612483200000,0.0858,0.09,0.0836,0.0889,30875568.55,1612569599999,2695521.670871,24946,15554075.35,1359976.777153,0
1612569600000,0.0891,0.0899,0.0801,0.0808,23088623.33,1612655999999,1925488.5469520001,16892,9581836.67,798775.800026,0
1612656000000,0.0808,0.0853,0.0776,0.0813,20830808.45,1612742399999,1696000.3839709999,16716,9361945.28,766265.198519,0
1612742400000,0.0816,0.08800000000000001,0.0801,0.0859,26478856.84,1612828799999,2230886.417391,18808,12615594.9,1063779.103005,0
1612828800000,0.0861,0.096,0.0855,0.0956,44956937.42,1612915199999,4075840.7613489996,27225,22864267.11,2075129.2840689998,0
1612915200000,0.0956,0.1151,0.0905,0.1106,79303045.44,1613001599999,8115738.067238,51788,38721760.52,3978587.009332,0
1613001600000,0.1106,0.1298,0.1057,0.1209,54112931.33,1613087999999,6443808.884514,42022,25823185.16,3086070.0639150003,0
1613088000000,0.1212,0.1384,0.1086,0.134,45536403.43,1613174399999,5617109.49852,40648,22198903.92,2749104.9436080004,0
1613174400000,0.1341,0.1494,0.1251,0.145,55887457.9,1613260799999,7764140.341623,51584,27698433.63,3860382.99356,0
