open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609459200000,0.8482,0.9099,0.8368,0.8697,1304225.6,1609545599999,1136094.1442190001,14831,672496.87,586175.8817949999,0
1609545600000,0.8697,0.9278,0.8457,0.8754,1397798.8,1609631999999,1238742.950282,15684,805708.79,715695.1516529999,0
1609632000000,0.8757,0.93,0.8632,0.9254,1930917.67,1609718399999,1728362.860898,15432,684572.54,613700.068479,0
1609718400000,0.9257,1.0789,0.8706,0.9786,5840350.69,1609804799999,5737668.222605,31591,2989190.17,2952998.6393069997,0
1609804800000,0.9786,1.3012,0.8792,0.9178,16460070.89,1609891199999,17406358.46792,91849,10015061.42,10587191.94475,0
1609891200000,0.9179999999999999,0.9997,0.9024,0.9446,12613469.18,1609977599999,11932017.181957,53839,7556419.96,7129886.524496,0
1609977600000,0.9446,0.9725,0.8323,0.9006,11607424.45,1610063999999,10805019.589219,41601,7816534.83,7319218.711166,0
1610064000000,0.9006,0.9199,0.848,0.9026,5273795.77,1610150399999,4672058.394669,31308,1402353.67,1240914.982641,0
1610150400000,0.9025,0.9571,0.8755,0.9208,4652917.32,1610236799999,4263693.162949,25894,1288034.1,1181711.584791,0
1610236800000,0.9209,0.985,0.87,0.9133,5922695.02,1610323199999,5513647.849088,32622,1791875.75,1673259.072305,0
1610323200000,0.914,0.9164,0.7929999999999999,0.8690000000000001,5756708.09,1610409599999,4920644.297234,34867,1826825.33,1558639.133353,0
1610409600000,0.8686,0.9069,0.8349,0.8894,4052494.92,1610495999999,3536982.1982160006,31055,903411.36,789234.450005,0
1610496000000,0.8893,0.96,0.8652,0.9473,2409112.42,1610582399999,2202502.881609,29920,1048247.04,962929.442062,0
1610582400000,0.9470000000000001,1.01,0.9261,0.9990000000000001,1835305.64,1610668799999,1781609.0809900002,30847,963007.04,937018.956067,0
1610668800000,0.9990000000000001,1.0225,0.934,1.008,2531534.98,1610755199999,2484348.8507209998,38821,1261877.9,1238095.005848,0
1610755200000,1.0082,1.1052,0.9864,1.0437,2554005.98,1610841599999,2700169.534334,38016,1314478.38,1389454.459193,0
1610841600000,1.0436,1.143,0.987,1.11,2090720.66,1610927999999,2205339.830848,40714,983972.44,1036309.5128540001,0
1610928000000,1.1105,1.1815,1.0218,1.1809,3562447.12,1611014399999,3967613.349861,37956,1732328.62,1932164.0051799999,0
1611014400000,1.1799,1.182,1.09,1.0933,1875495.26,1611100799999,2157490.961721,35727,805945.49,928850.521144,0
1611100800000,1.0936,1.29,1.0094,1.236,2804138.38,1611187199999,3144473.803981,54099,1389155.15,1571975.945428,0
1611187200000,1.2363,1.575,0.91,0.9264,26884472.98,1611273599999,31793429.324242998,300622,13512790.89,16084041.545357,0
1611273600000,0.9325,1.05,0.86,0.9901,29666908.43,1611359999999,29027337.575739,269786,7814152.75,7656568.129853,0
1611360000000,0.9903,1.0478,0.96,1.0039,8441723.35,1611446399999,8432501.138939,50725,3343524.47,3332543.30567,0
1611446400000,1.0039,1.0718,0.9765,1.0198,8108500.08,1611532799999,8284216.966202,75029,2325883.57,2383220.911936,0
1611532800000,1.0196,1.0343,0.9092,0.9324,8043217.45,1611619199999,7949575.167833,79429,2544075.93,2502047.8007150004,0
1611619200000,0.9334,0.97,0.9049,0.9442,3981911.8,1611705599999,3733350.365531,40270,1549579.06,1453443.014664,0
1611705600000,0.9442,0.9445,0.81,0.8828,14312377.27,1611791999999,12564106.701227,60226,9646131.61,8468756.380255,0
1611792000000,0.8829,0.9576,0.8588,0.9395,5438841.59,1611878399999,4978457.082499,38520,2140966.97,1964489.386057,0
1611878400000,0.9394,0.9490000000000001,0.8578,0.9011,6447611.69,1611964799999,5769736.355054,49265,2493007.14,2232577.221194,0
1611964800000,0.9007,0.9354,0.8787,0.9188,4658412.54,1612051199999,4232517.836367,31976,1737099.82,1580319.391178,0
1612051200000,0.919,0.9647,0.8901,0.9186,4612526.02,1612137599999,4259976.830116,34363,1716537.01,1589004.3935729999,0
1612137600000,0.9186,0.9989,0.8953,0.9784,5410214.61,1612223999999,5176119.544602999,48691,2334234.47,2238504.955069,0
1612224000000,0.9783,1.0329,0.9570000000000001,0.9818,4902904.43,1612310399999,4842890.432135,33267,1849269.99,1830437.176009,0
1612310400000,0.9815,1.0431,0.9772,1.0196,5404286.28,1612396799999,5493132.878723,35127,2180661.3,2219490.297974,0
1612396800000,1.0196,1.0391,0.9214,1.0,6505124.36,1612483199999,6463073.518999,51459,2495738.93,2481407.673704,0
1612483200000,0.9999,1.25,0.9999,1.1998,8636241.79,1612569599999,9737236.394725999,82084,4098950.53,4642188.834207,0
1612569600000,1.1998,1.22,1.05,1.166,5411700.77,1612655999999,6256132.47997,74698,2643050.32,3061368.629712,0
1612656000000,1.1664,1.32,1.1202,1.2601,7243280.98,1612742399999,8933459.85374,111303,3492752.93,4317240.09635,0
1612742400000,1.2594,1.84,1.2457,1.7246,13009997.17,1612828799999,19914984.632457998,150636,6822258.39,10472790.428012,0
1612828800000,1.7257,1.9512,1.6358,1.7919999999999998,11310136.23,1612915199999,19979242.79329,157244,5773262.94,10205880.709519,0
1612915200000,1.7908,2.4,1.7,2.2151,18178781.65,1613001599999,37007879.580644,252351,10000089.42,20405940.504913002,0
1613001600000,2.2121,2.45,1.98,2.1098,7529478.43,1613087999999,16668716.187466001,110696,3753462.85,8310863.170272999,0
1613088000000,2.1131,2.5668,2.055,2.3092,7462597.48,1613174399999,17419641.005729,109289,3934627.92,9217387.549539,0
1613174400000,2.3125,2.5660000000000003,2.1,2.3708,7898413.96,1613260799999,18722263.477185998,81848,4081187.48,9703249.405407,0
1613260800000,2.3746,2.5,2.0046,2.0834,5468540.56,1613347199999,12339474.496477,55921,2632661.98,5957966.507747,0
1613347200000,2.0822,2.1487,1.4602,1.8867,9505463.43,1613433599999,18360529.812411,99622,4805328.52,9364904.829148,0
1613433600000,1.8867,2.0,1.7467,1.8647,3264106.12,1613519999999,6173085.408086,39641,1597972.62,3021478.344405,0
1613520000000,1.8664,2.33,1.6584,2.1934,6238250.89,1613606399999,12452809.453899,76014,3153630.35,6345641.701932,0
1613606400000,2.1967,2.3333,2.0180000000000002,2.2387,5196749.28,1613692799999,11377296.227855,75711,2751017.13,6042803.316965,0
1613692800000,2.2407,2.7,2.1109,2.6942,6834306.4,1613779199999,16476478.599829998,125740,3795035.67,9167456.572024,0
1613779200000,2.6948,2.73,1.8649,2.1102,6167758.85,1613865599999,14461958.48086,98722,3068698.31,7218085.31256,0
1613865600000,2.1102,2.2891,2.0,2.1177,5056013.84,1613951999999,10979124.498985,62386,2543717.39,5524510.25916,0
1613952000000,2.1192,2.1263,1.5,1.9219,6524223.5,1614038399999,12107104.199845,72901,2948449.49,5523677.728693,0
1614038400000,1.9218,1.9367,1.28,1.6036,7989433.26,1614124799999,12418952.368849,100105,3706386.16,5807654.542934,0
1614124800000,1.6021,1.8301,1.4837,1.7382,4474470.46,1614211199999,7551133.472561,46190,2189706.92,3698331.340297,0
1614211200000,1.7382,1.9415,1.6599,1.6818,4603191.8,1614297599999,8188091.317794,43546,2315180.96,4116309.178928,0
1614297600000,1.6811,1.78,1.4736,1.6444,4816101.58,1614383999999,7764827.970505,46903,2504740.76,4031202.9189790003,0
1614384000000,1.6424,1.8,1.6309,1.6734,2085496.0,1614470399999,3591161.632818,24960,1102977.92,1901110.171789,0
1614470400000,1.6748,1.6932,1.4378,1.5623,2489771.44,1614556799999,3853048.5698760003,42796,1291952.64,1997424.8052849998,0
1614556800000,1.5613,1.734,1.5574,1.7126,1829160.3,1614643199999,3047461.339107,22498,939413.78,1567487.650222,0
1614643200000,1.7134,1.808,1.6219999999999999,1.7774,3236164.47,1614729599999,5575693.85023,34349,1764501.05,3043026.771943,0
1614729600000,1.7771,1.8699,1.7153,1.7658,1996593.16,1614815999999,3594837.728476,26833,1011999.13,1823279.119838,0
1614816000000,1.7655,1.9501,1.7333,1.8676,4390500.14,1614902399999,8048020.901287,45496,2405815.2,4415036.643421,0
1614902400000,1.8673,1.9195,1.6591,1.7145,2848005.28,1614988799999,4921279.882681,30371,1415830.16,2448496.8997049998,0
1614988800000,1.7156,1.8653,1.6993,1.8309,2563638.67,1615075199999,4569766.920624,28211,1276601.0,2279220.2463849997,0
1615075200000,1.8332,2.1748,1.8301,2.1544,5273491.72,1615161599999,10740382.073578998,82869,2769402.55,5633193.604579,0
1615161600000,2.1565,2.199,1.9487,2.0932,2986828.58,1615247999999,6114093.752149,58080,1454046.91,2983307.9448700002,0
1615248000000,2.0942,2.3,2.0561,2.2344,3605461.85,1615334399999,7899812.047679,74872,1939008.18,4257809.229707,0
1615334400000,2.2356,2.38,2.0222,2.1232,3893393.03,1615420799999,8663850.262869,75371,2087800.03,4649240.384516001,0
1615420800000,2.1232,2.35,2.021,2.1843,4039254.62,1615507199999,8815688.673585001,69796,2076096.02,4541587.058123,0
1615507200000,2.1872,2.54,2.1481,2.2423,5846015.14,1615593599999,13617992.8344,86488,3100004.71,7241200.875514999,0
1615593600000,2.2423,2.81,2.1172,2.5926,8175365.8,1615679999999,20978785.133081,129177,4462207.66,11467168.539754,0
1615680000000,2.5926,2.6962,2.3695,2.39,3801178.68,1615766399999,9444054.761164999,57957,1870718.29,4648629.502964,0
1615766400000,2.39,2.9455,2.2,2.5653,12059728.36,1615852799999,32586715.806483,151221,6339952.17,17168119.427396,0
1615852800000,2.5626,2.5852,2.3098,2.491,4636627.96,1615939199999,11341256.009628,62266,2379043.44,5818385.580196,0
1615939200000,2.4913,2.642,2.31,2.5096,3984574.03,1616025599999,9825529.701079,57188,2092341.29,5163441.029382,0
1616025600000,2.5112,2.7,2.4689,2.5842,3819165.46,1616111999999,9942539.290286,58881,2063662.58,5382098.871040001,0
1616112000000,2.5842,2.7846,2.4573,2.7309,2846598.51,1616198399999,7608300.139882001,44484,1511705.08,4046400.879854,0
1616198400000,2.7309,2.8501,2.5097,2.52,2506653.09,1616284799999,6771443.760687999,36353,1224061.21,3304694.494412,0
1616284800000,2.52,2.5797,2.3759,2.4546,2245181.09,1616371199999,5574427.679472,35638,1119057.51,2780196.755873,0
1616371200000,2.4547,2.86,2.3625,2.6043,4717570.26,1616457599999,12670615.695231,66285,2373564.23,6383934.764981,0
1616457600000,2.6068,2.7073,2.3067,2.3752,3514751.08,1616543999999,8643623.168223,44018,1765634.35,4343909.994507,0
1616544000000,2.3752,2.56,2.0348,2.1048,3514123.77,1616630399999,8293090.027992999,38814,1767382.53,4176406.302432,0
1616630400000,2.1031,2.1637,1.94,1.9859,4140227.53,1616716799999,8417742.988164,39118,2154480.17,4374625.749074,0
1616716800000,1.9854,2.395,1.9854,2.3044,4039806.93,1616803199999,9142472.012474,47489,2063480.94,4665432.521885,0
1616803200000,2.3052,2.4,2.187,2.369,2887662.0,1616889599999,6633957.311422,39426,1508202.24,3467026.711064,0
1616889600000,2.3688,2.8908,2.3302,2.6747,6441151.83,1616975999999,17003799.358835,84867,3427862.9,9059648.113222,0
1616976000000,2.6744,2.99,2.6,2.77,4406898.88,1617062399999,12131075.843756,61288,2214783.26,6112985.977387,0
1617062400000,2.7684,2.9747,2.6554,2.8474,4613238.34,1617148799999,12975673.621373,81581,2445662.07,6885821.266906,0
1617148800000,2.8481,2.9747,2.5484,2.7382,3855806.91,1617235199999,10830048.400066,70332,1890427.18,5322029.7321339995,0
1617235200000,2.739,3.2517,2.61,3.1447,5917919.62,1617321599999,17816351.245729,102819,3307899.97,9976793.806423,0
1617321600000,3.1447,3.2119,2.9137,3.0114,3647858.15,1617407999999,11044302.814310001,73613,1834331.49,5559361.731457,0
1617408000000,3.0122,3.835,2.9854,3.383,12782921.64,1617494399999,45619275.98622,203493,7072839.13,25241329.887049,0
1617494400000,3.3816,3.6,3.285,3.555,4232089.15,1617580799999,14635156.618239999,100219,2188191.16,7568752.960785001,0
