open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609459200000,0.0787,0.085,0.0779,0.0823,2214068.37,1609545599999,180073.61425,2524,1057738.25,85988.377954,0
1609545600000,0.0829,0.0922,0.0796,0.0861,5234908.85,1609631999999,443106.08246999996,5550,2371582.82,200792.206899,0
1609632000000,0.0863,0.0922,0.0784,0.0786,6351932.11,1609718399999,523965.32678100007,5075,3181335.61,262579.415841,0
1609718400000,0.0784,0.085,0.0712,0.0757,3693747.2,1609804799999,288536.335272,5023,1505665.37,118422.65753800001,0
1609804800000,0.0756,0.0785,0.0723,0.077,2313346.58,1609891199999,176072.475782,3098,1077084.55,81959.37841,0
1609891200000,0.0767,0.0874,0.0753,0.0824,4232387.04,1609977599999,343982.700257,4385,2202014.27,179313.305051,0
1609977600000,0.0826,0.17,0.0808,0.094,30767714.61,1610063999999,3075326.605852,24618,13517400.64,1381402.039922,0
1610064000000,0.0936,0.188,0.0926,0.1689,112647127.74,1610150399999,16653685.977529999,84701,59706903.82,8867988.690534,0
1610150400000,0.1689,0.2386,0.14,0.1826,100880363.86,1610236799999,19637779.766654998,108181,52701763.2,10190515.04373,0
1610236800000,0.1837,0.3,0.1559,0.1665,84793850.9,1610323199999,18420710.824284,99149,41326697.45,9077275.248785,0
1610323200000,0.1665,0.1673,0.0975,0.1154,58630115.65,1610409599999,7316444.712859,48053,24575183.25,3105400.848812,0
1610409600000,0.1155,0.132,0.10800000000000001,0.1135,34548629.76,1610495999999,4158944.245411,24075,18037253.87,2173883.770094,0
1610496000000,0.1135,0.1229,0.1039,0.1201,14994186.71,1610582399999,1711084.318822,13060,7744938.3,885446.8125379999,0
1610582400000,0.1202,0.1387,0.1115,0.13,19749352.26,1610668799999,2464140.1036650003,16408,9862477.7,1236004.6340659999,0
1610668800000,0.1304,0.133,0.1055,0.1137,14067450.11,1610755199999,1682126.16065,13397,6379969.0,767089.514144,0
1610755200000,0.1137,0.1231,0.1115,0.1146,11144165.68,1610841599999,1300258.353466,10378,4933144.44,576518.7240619999,0
1610841600000,0.1145,0.1221,0.1077,0.1163,6805089.44,1610927999999,777610.1282609999,7441,3161758.78,362505.899833,0
1610928000000,0.1164,0.12,0.1125,0.1162,4103039.57,1611014399999,477378.84625500004,4886,1767241.45,206115.940179,0
1611014400000,0.1166,0.11800000000000001,0.1129,0.114,4359925.44,1611100799999,505033.074005,4448,1940915.94,225203.61697399998,0
1611100800000,0.114,0.1155,0.1056,0.1118,3210033.08,1611187199999,354405.595879,3612,1142492.5,126123.81884100001,0
1611187200000,0.1119,0.1125,0.0951,0.0981,2580734.78,1611273599999,269290.81384200003,3402,1007492.99,105167.951088,0
1611273600000,0.0981,0.1111,0.08900000000000001,0.1064,5508188.47,1611359999999,551706.119391,5978,2524279.94,253628.24361,0
1611360000000,0.1064,0.1128,0.1028,0.10400000000000001,4614813.87,1611446399999,493698.45159899996,5468,2083171.22,222696.313078,0
1611446400000,0.1037,0.1119,0.1031,0.106,3121404.35,1611532799999,337014.379013,4138,1535863.24,165940.39041400002,0
1611532800000,0.1064,0.1079,0.10099999999999999,0.10099999999999999,5859163.61,1611619199999,610598.209976,5006,2651687.85,277099.69697600004,0
1611619200000,0.10099999999999999,0.1036,0.0973,0.1017,1991074.95,1611705599999,199324.433364,3018,942745.69,94440.495062,0
1611705600000,0.1015,0.1042,0.0947,0.1014,2712363.46,1611791999999,273185.129833,4025,1428280.05,144099.325801,0
1611792000000,0.1014,0.1153,0.1014,0.107,7457357.9,1611878399999,818081.748183,8465,3925108.44,430797.245595,0
1611878400000,0.107,0.1155,0.1048,0.113,9756157.0,1611964799999,1075901.216491,8466,4657421.45,514599.054675,0
1611964800000,0.113,0.1472,0.10800000000000001,0.1233,16806761.04,1612051199999,2118046.729115,16759,8087380.31,1029382.9505309999,0
1612051200000,0.1232,0.1643,0.1194,0.1284,42841889.33,1612137599999,6045698.113797,39214,21511259.03,3040951.148016,0
1612137600000,0.129,0.1375,0.1184,0.1267,11462671.53,1612223999999,1461501.424754,11018,5313050.87,681461.8416800001,0
1612224000000,0.1262,0.1303,0.11699999999999999,0.1236,7709703.3,1612310399999,957271.229414,7848,3455229.92,430920.523337,0
1612310400000,0.1239,0.152,0.1229,0.1306,15252052.9,1612396799999,2049396.063809,15689,7638204.82,1027302.8990950001,0
1612396800000,0.1312,0.1426,0.125,0.1336,11538283.05,1612483199999,1543076.2138200002,13134,5161355.19,691689.68554,0
1612483200000,0.1335,0.1425,0.1317,0.141,9687922.28,1612569599999,1333332.016772,11552,4606479.19,634624.792439,0
1612569600000,0.1416,0.1514,0.138,0.1419,10306826.56,1612655999999,1474341.15688,12887,4796692.95,688409.071957,0
1612656000000,0.1413,0.1432,0.1315,0.1346,7606406.75,1612742399999,1041624.315248,9126,3552281.96,485649.775349,0
1612742400000,0.1346,0.1444,0.132,0.1412,8198402.04,1612828799999,1138926.25379,9534,4027651.47,559467.617403,0
1612828800000,0.141,0.1621,0.14,0.1565,14142710.53,1612915199999,2158633.62415,15552,6480423.84,991723.838094,0
