open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609459200000,99.48,102.83,85.9,87.97,354824.35988,1609545599999,32948564.564079802,80555,167621.22452000002,15548952.440883499,0
1609545600000,87.97,94.0,84.63,87.02,334096.22397,1609631999999,29533243.0344875,79884,154890.11728,13688757.5548051,0
1609632000000,86.98,92.11,85.19,89.65,225874.8082,1609718399999,20021612.6767279,55723,110279.66278,9778167.834505301,0
1609718400000,89.68,96.89,85.11,89.01,259987.88896999997,1609804799999,23475566.569031697,71070,132359.67992,11959448.924460901,0
1609804800000,88.97,90.2,85.6,89.11,150375.66563,1609891199999,13313228.4146848,41131,74211.47333,6569910.260893799,0
1609891200000,89.18,94.95,87.93,94.22,254301.58553,1609977599999,23412561.3126606,65957,125618.98015999999,11563505.579834599,0
1609977600000,94.3,108.37,92.17,98.96,385590.06063,1610063999999,38856513.637905106,100540,194786.09900999998,19635087.601250898,0
1610064000000,98.88,100.88,92.0,96.2,235786.66695,1610150399999,22797020.2170031,61584,120136.42027,11617256.0221526,0
1610150400000,96.2,111.19,94.13,109.94,263992.12984,1610236799999,27567778.8669693,66407,131080.76426,13702307.4320741,0
1610236800000,110.0,158.5,109.9,146.54,1374934.1012,1610323199999,193804375.0181744,331071,711924.39226,100318324.6279892,0
1610323200000,146.5,148.52,106.02,125.01,1153291.93778,1610409599999,145032479.44986618,269693,577200.4701,72682819.4928585,0
1610409600000,125.19,135.81,116.22,128.53,513919.37335,1610495999999,64790712.1122462,121619,262485.46212,33124345.488524202,0
1610496000000,128.46,137.6,120.02,133.1,359632.76828,1610582399999,46577341.09455661,90183,175121.65651,22676530.120970603,0
1610582400000,133.13,138.0,129.1,132.99,259568.13890999998,1610668799999,34532682.5135329,71441,135532.60585999998,18027836.6159981,0
1610668800000,133.0,136.63,116.4,124.3,243942.43173,1610755199999,31047420.825457696,70027,128543.71812,16387952.8512829,0
1610755200000,124.38,132.34,121.35,124.85,197587.25613,1610841599999,25030359.6568063,56632,99336.10539,12579114.234101899,0
1610841600000,124.8,126.99,120.09,124.26,145919.12230999998,1610927999999,18044193.486992,43300,71880.97013999999,8888682.287163699,0
1610928000000,124.33,132.5,121.0,129.3,184899.95992999998,1611014399999,23441630.9189766,59143,87599.35235,11099691.995080302,0
1611014400000,129.34,134.45,123.0,124.46,233952.73508,1611100799999,30335738.964257002,71605,114807.39520999999,14900102.022614002,0
1611100800000,124.51,127.1,111.55,121.13,435595.51246999996,1611187199999,51627206.16956571,110761,229942.29531,27258771.6710159,0
1611187200000,121.21,121.99,99.53,99.77,480967.49253999995,1611273599999,52494883.211262204,116917,239508.81883000003,26183242.260298397,0
1611273600000,99.7,108.29,93.85,104.72,495027.58963,1611359999999,49682285.7290409,109777,272835.34304,27397440.041892104,0
1611360000000,104.72,109.92,102.09,105.29,197211.64112000001,1611446399999,20819842.7296572,56240,102732.38919,10843187.116294,0
