open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609459200000,0.1255,0.1307,0.1227,0.1295,11669504.67,1609545599999,1485080.125024,12167,6244847.08,794354.749189,0
1609545600000,0.1295,0.1328,0.1184,0.1235,13964037.74,1609631999999,1758714.093143,13205,7362980.46,926335.5417149999,0
1609632000000,0.1237,0.1339,0.1217,0.132,12741665.74,1609718399999,1619034.301502,13958,6436770.34,819038.008362,0
1609718400000,0.1323,0.1539,0.1245,0.1425,28197772.74,1609804799999,3951448.2567849997,25331,14718045.53,2063794.9460880002,0
1609804800000,0.1426,0.1509,0.1299,0.1422,19244817.07,1609891199999,2710524.10208,16846,9814561.53,1383297.117493,0
1609891200000,0.1424,0.158,0.1401,0.1494,23245009.75,1609977599999,3483309.173054,28485,12380037.28,1857070.4806060002,0
1609977600000,0.1494,0.1625,0.1355,0.1426,22618621.37,1610063999999,3412220.724533,20564,11439066.35,1726348.1437849998,0
1610064000000,0.1428,0.1499,0.1264,0.1466,25817019.76,1610150399999,3612021.6941529997,19938,13026005.8,1824356.464705,0
1610150400000,0.1465,0.1629,0.1402,0.1548,18985887.57,1610236799999,2899126.103177,14547,9810419.08,1501281.952233,0
1610236800000,0.1551,0.1756,0.149,0.1713,36579578.61,1610323199999,5952583.170255001,28864,19871558.69,3239983.539916,0
1610323200000,0.1715,0.1782,0.1351,0.1481,37217062.03,1610409599999,5675568.057294999,25573,19575250.34,2990171.069159,0
1610409600000,0.1482,0.1619,0.1412,0.1469,14838594.64,1610495999999,2232939.46257,11092,7257624.67,1092909.902252,0
1610496000000,0.1465,0.1548,0.1392,0.1519,14006618.38,1610582399999,2048703.457404,12904,6666419.22,975396.4668780001,0
1610582400000,0.1519,0.158,0.1449,0.1547,18326792.92,1610668799999,2792064.369975,12892,8957171.78,1366035.3528129999,0
1610668800000,0.1545,0.1676,0.1405,0.1531,22505577.11,1610755199999,3487939.2851480003,16051,11420918.68,1770344.2212259998,0
1610755200000,0.153,0.1756,0.1511,0.1704,31376330.52,1610841599999,5160593.365061,24454,16496939.09,2721096.714448,0
1610841600000,0.1705,0.1997,0.1627,0.1903,44961600.17,1610927999999,8236643.469933,37300,22982811.74,4208689.63992,0
1610928000000,0.1906,0.2081,0.1797,0.2008,32170765.11,1611014399999,6289359.343517,31826,15807028.64,3098639.330204,0
1611014400000,0.2009,0.2018,0.17800000000000002,0.1784,17710291.59,1611100799999,3385662.767781,18888,8869470.59,1697348.795228,0
1611100800000,0.1782,0.184,0.1628,0.18,23888902.51,1611187199999,4138431.436985,22047,12113167.04,2096687.5609650002,0
1611187200000,0.1799,0.1812,0.1562,0.1582,31973256.13,1611273599999,5392589.952275,23443,15776168.85,2664645.621145,0
1611273600000,0.1582,0.1848,0.1473,0.1716,26368020.42,1611359999999,4446008.575568,22096,13717946.28,2318236.141816,0
1611360000000,0.1715,0.1985,0.1696,0.1955,27364815.0,1611446399999,5108488.390447,25964,14569890.35,2723027.4190990003,0
1611446400000,0.1957,0.2051,0.179,0.18899999999999997,25308528.29,1611532799999,4838624.936555,24143,13070728.15,2501292.979143,0
1611532800000,0.1891,0.2287,0.1886,0.2207,43037560.51,1611619199999,9225394.993664999,42329,22462991.78,4823037.082112,0
1611619200000,0.2205,0.25,0.1903,0.2104,44859237.19,1611705599999,9702762.776488,42941,22966822.71,4968772.883643,0
1611705600000,0.2104,0.2108,0.1705,0.18899999999999997,42686473.74,1611791999999,8095456.962971001,36000,21599330.95,4095542.875432,0
1611792000000,0.1888,0.2249,0.1851,0.2069,39828597.98,1611878399999,8355610.384556,38402,20596166.72,4332063.059904,0
1611878400000,0.207,0.22699999999999998,0.1824,0.2006,30065233.49,1611964799999,6226048.687826999,28533,14274915.59,2953624.790892,0
1611964800000,0.2005,0.2292,0.1949,0.2243,29579117.69,1612051199999,6290979.937104,29488,14191106.03,3016679.132158,0
1612051200000,0.2245,0.2437,0.2126,0.2417,31843648.19,1612137599999,7217549.891491001,39258,16030609.99,3637611.2696849997,0
1612137600000,0.242,0.3392,0.24100000000000002,0.2993,128614336.34,1612223999999,37419077.208817,141178,69612941.3,20266452.440079,0
1612224000000,0.2994,0.3153,0.2753,0.3035,39817225.39,1612310399999,11665375.566437,49375,20206207.16,5922923.351222,0
1612310400000,0.3033,0.361,0.2908,0.3408,36494007.83,1612396799999,11664405.273127,52477,18966303.07,6065749.882278,0
1612396800000,0.341,0.358,0.2938,0.3428,44984572.95,1612483199999,14791723.259089999,72633,21487289.49,7064819.36077,0
1612483200000,0.3434,0.4338,0.3325,0.3766,53228423.34,1612569599999,21025319.324958,82574,26670654.2,10537478.205225999,0
1612569600000,0.3767,0.3875,0.2907,0.3452,41215379.04,1612655999999,14240614.801748002,65345,19568768.13,6776917.695206,0
1612656000000,0.3453,0.3878,0.3055,0.361,39543540.14,1612742399999,13728760.314483,57706,20070177.75,6982561.660223,0
1612742400000,0.361,0.43,0.3346,0.41600000000000004,47205631.8,1612828799999,17825889.286652,71711,24411072.47,9239262.455814999,0
1612828800000,0.4158,0.4499,0.3904,0.4323,37386313.9,1612915199999,15577217.289184,55982,18300814.38,7641354.847824001,0
1612915200000,0.4323,0.4804,0.3724,0.4278,43031462.61,1613001599999,18567994.602783,56098,21296730.38,9197728.955035001,0
1613001600000,0.4277,0.5495,0.4076,0.5086,38556526.28,1613087999999,18890805.254892003,58277,20308907.19,9974374.304001,0
1613088000000,0.5096,0.6116,0.5033,0.5586,40191927.66,1613174399999,22624984.822782997,83813,20803762.8,11714890.673288,0
1613174400000,0.5584,0.6524,0.5215,0.627,36403578.64,1613260799999,21425724.656682,78401,17893840.06,10548151.677945,0
1613260800000,0.627,0.66,0.5432,0.5434,26142112.37,1613347199999,15554713.981242001,60772,11695611.69,6990428.413186,0
1613347200000,0.5441,0.5918,0.401,0.5118,40366827.28,1613433599999,20879950.958817,76210,20051318.55,10439987.321513,0
1613433600000,0.5133,0.5544,0.4586,0.4855,25544327.57,1613519999999,12821643.858496001,46759,12098644.76,6070801.887955001,0
1613520000000,0.4856,0.5434,0.43,0.512,40073712.92,1613606399999,19785244.717308998,59267,21840138.91,10879967.903274,0
1613606400000,0.5122,0.57,0.5015,0.5278,34128284.13,1613692799999,18241738.226435002,59041,17458794.87,9336778.876474,0
1613692800000,0.5283,0.5745,0.4942,0.5641,27894257.55,1613779199999,15051334.450572,54218,14393164.78,7796503.57395,0
1613779200000,0.5659,0.5853,0.45,0.5019,27802844.06,1613865599999,14892495.673563,58900,13327428.69,7153392.015722999,0
1613865600000,0.5009,0.5551,0.4864,0.5111,20504059.7,1613951999999,10710085.028111,41748,10544806.18,5513156.759528,0
1613952000000,0.5114,0.519,0.3546,0.4522,44395430.78,1614038399999,19778602.940563,65613,21771130.96,9731290.094691,0
1614038400000,0.4522,0.4594,0.27899999999999997,0.34,57563835.28,1614124799999,19837296.453692,70315,27836289.83,9614726.202066,0
1614124800000,0.3399,0.39399999999999996,0.3187,0.3405,40258833.74,1614211199999,14380547.112720001,49280,20247839.02,7224575.813364999,0
1614211200000,0.3402,0.38,0.316,0.3245,29339613.32,1614297599999,10431330.579943,35695,14537714.47,5172696.800228,0
1614297600000,0.3244,0.3472,0.2884,0.3215,27525688.91,1614383999999,8747558.309455,29650,14360831.84,4570308.762468,0
1614384000000,0.3209,0.3533,0.32,0.3311,19285388.51,1614470399999,6500237.668958999,22704,10229773.07,3449078.2471370003,0
1614470400000,0.3315,0.3335,0.2728,0.3188,26106580.4,1614556799999,7812339.461066,26351,13322343.48,3992654.650103,0
1614556800000,0.32,0.3727,0.317,0.3689,25385013.08,1614643199999,8903315.151431,30857,13522321.01,4746107.786857,0
1614643200000,0.3689,0.3814,0.331,0.3473,22379281.22,1614729599999,7963474.3946,27570,11370600.45,4046370.583047,0
1614729600000,0.3465,0.408,0.3426,0.3842,29595964.92,1614815999999,11409887.767363,37901,15210292.37,5868285.384479,0
1614816000000,0.3841,0.3992,0.3434,0.3581,22534007.01,1614902399999,8386146.985414,27330,10530009.92,3920840.2022839994,0
1614902400000,0.3584,0.381,0.3315,0.3634,21237716.06,1614988799999,7664024.929464,24407,10581301.23,3820251.868379,0
1614988800000,0.3636,0.3751,0.3473,0.3674,10324655.28,1615075199999,3749253.461017,13848,4922983.22,1788071.411708,0
1615075200000,0.3673,0.3889,0.3648,0.3828,20422660.93,1615161599999,7670271.640711,24257,10209963.25,3839253.6790879997,0
1615161600000,0.3827,0.4285,0.3666,0.428,28397378.78,1615247999999,11277916.093748,35837,14510190.87,5768238.459434,0
1615248000000,0.4283,0.4553,0.4085,0.4466,24073272.66,1615334399999,10440760.907162,39581,12716752.71,5523081.959356,0
1615334400000,0.4466,0.483,0.405,0.4306,27369961.01,1615420799999,12030244.633781,42011,14336956.07,6307022.173544,0
1615420800000,0.431,0.4995,0.4064,0.4969,36215629.73,1615507199999,16468107.338032002,49927,18266450.27,8319269.112381,0
1615507200000,0.4973,0.4992,0.4223,0.4722,39033197.94,1615593599999,18103838.27876,55546,21410529.42,9949134.92152,0
1615593600000,0.4721,0.524,0.4428,0.4967,30178366.93,1615679999999,14888147.537591001,52120,16513539.33,8149599.893048,0
1615680000000,0.4967,0.5066,0.4673,0.4674,17469341.05,1615766399999,8491694.122159,28985,8456461.7,4110283.8041120004,0
1615766400000,0.4679,0.545,0.4501,0.462,38566863.01,1615852799999,18627847.52459,59448,18274738.64,8835595.005659,0
1615852800000,0.4617,0.4761,0.435,0.4714,28837961.1,1615939199999,13260265.191997001,40417,14484516.51,6659097.061571,0
1615939200000,0.4722,0.5429999999999999,0.4637,0.5363,33519046.41,1616025599999,17070200.043169,57181,17281595.49,8805882.75695,0
1616025600000,0.5367,0.5636,0.5213,0.532,25965488.48,1616111999999,14122694.026489,42907,13672576.92,7438123.121953,0
1616112000000,0.5331,0.5820000000000001,0.5133,0.5525,19939519.39,1616198399999,11122711.416,32771,10365625.09,5788016.250491001,0
1616198400000,0.5518,0.5749,0.5122,0.514,12058914.04,1616284799999,6611570.578803,23388,6289909.67,3450151.4639169998,0
1616284800000,0.514,0.5622,0.4867,0.5326,17006645.45,1616371199999,8938235.608241001,33380,8525318.44,4476579.536865001,0
1616371200000,0.5333,0.57,0.4823,0.4915,18171419.36,1616457599999,9581882.380273,31667,9009733.96,4760085.820812999,0
1616457600000,0.4915,0.5123,0.4658,0.478,16753243.69,1616543999999,8235311.411156,27556,8218950.85,4038794.495258,0
1616544000000,0.4782,0.54,0.4212,0.442,20661059.74,1616630399999,10039873.991415,34595,10364146.65,5051678.969299,0
1616630400000,0.4404,0.47,0.402,0.4181,21789043.07,1616716799999,9219290.954694001,30154,10430352.0,4417451.56385,0
1616716800000,0.418,0.4793,0.4174,0.4597,18469552.17,1616803199999,8416367.519476,27513,9496147.22,4327773.764219999,0
1616803200000,0.4592,0.4966,0.4533,0.4742,14016811.19,1616889599999,6693631.100643,21413,7027711.89,3358642.5069830003,0
1616889600000,0.4745,0.6282,0.4708,0.6264,49149018.46,1616975999999,27485340.221348003,81887,25236543.38,14121946.0108,0
1616976000000,0.6263,0.7290000000000001,0.5963,0.6464,80753666.91,1617062399999,53940978.637701,153641,40900969.1,27313208.850385997,0
1617062400000,0.6459999999999999,0.6848,0.63,0.6631,27132164.35,1617148799999,17822432.970739998,58520,14170192.08,9305967.798982,0
1617148800000,0.6638,0.8898,0.6,0.8654,73131592.59,1617235199999,55848903.094766006,162975,39040906.44,29883586.716163002,0
1617235200000,0.8633,0.9,0.7339,0.7748,33225325.41,1617321599999,26658605.878739003,75152,16763928.55,13445703.829724,0
1617321600000,0.7759999999999999,0.9453,0.7408,0.8437,56049234.49,1617407999999,48117028.70803,132829,28771281.58,24711247.728739,0
1617408000000,0.8439,0.8815,0.768,0.774,28183647.88,1617494399999,23301837.440951,73860,14020545.77,11606621.606214,0
1617494400000,0.7729,0.8728,0.7612,0.8343,22541633.1,1617580799999,18696517.861022,57313,11801841.6,9797216.217792,0
1617580800000,0.8342,0.97,0.7932,0.97,32182599.45,1617667199999,28733309.51207,79872,17126715.96,15312772.112013001,0
1617667200000,0.9696,1.14,0.9284,1.1015,55016155.06,1617753599999,56647726.570007,152056,28600946.96,29452468.684674,0
1617753600000,1.101,1.25,0.8713,0.9155,59461187.75,1617839999999,61584747.445265,165337,31277273.58,32628900.868116,0
1617840000000,0.9177,0.9999,0.9075,0.9323,23575046.89,1617926399999,22344876.09307,65266,11735680.79,11138953.843353,0
1617926400000,0.9321,1.09,0.88,1.0237,50662360.59,1618012799999,50134466.907298,170183,25004127.23,24819610.131444,0
1618012800000,1.0232,1.0889,0.9285,0.9661,27585059.94,1618099199999,28118744.464983,85884,14187754.84,14473080.388841,0
1618099200000,0.9661,0.9773,0.9134,0.9289,15891575.36,1618185599999,15004840.178317001,46985,8156469.51,7707408.524598,0
1618185600000,0.9304,0.9351,0.8418,0.8909,22732325.32,1618271999999,20167472.475461,70929,11066630.38,9817167.172342999,0
1618272000000,0.8889,0.98,0.8399,0.9540000000000001,26782321.56,1618358399999,24542122.343787,81451,13020614.72,11927303.923563,0
1618358400000,0.9544,1.0222,0.8865,0.9455,26227095.24,1618444799999,24995968.533997,81257,13285018.64,12665807.767297,0
