open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609459200000,0.2965,0.3033,0.2885,0.2912,9697249.89,1609545599999,2880711.138336,14391,4951293.01,1472614.512751,0
1609545600000,0.2914,0.2967,0.27699999999999997,0.2863,18030850.27,1609631999999,5189552.83394,21202,9130172.57,2631142.953248,0
1609632000000,0.2865,0.3142,0.27699999999999997,0.3098,27441532.31,1609718399999,8147449.958983,35085,13712814.0,4074090.748012,0
1609718400000,0.3099,0.354,0.278,0.3433,46677356.54,1609804799999,14673090.349126998,68171,24214120.19,7637571.278938,0
1609804800000,0.3433,0.3879,0.3155,0.35200000000000004,62486392.32,1609891199999,22183410.767483,86967,33372544.78,11863085.472407,0
1609891200000,0.35200000000000004,0.39899999999999997,0.3405,0.3819,45169878.17,1609977599999,17052692.29662,72140,22345564.28,8449667.306315,0
1609977600000,0.3819,0.4091,0.3501,0.3831,42015143.55,1610063999999,16222933.445813,66026,21023706.71,8126286.972983,0
1610064000000,0.384,0.3867,0.345,0.3693,29063062.72,1610150399999,10584391.594472999,46580,13949690.13,5083460.377766999,0
1610150400000,0.3693,0.4796,0.3693,0.43200000000000005,89846240.41,1610236799999,39312607.323823,123116,46461871.68,20338424.876251,0
1610236800000,0.4322,0.4741,0.38,0.42700000000000005,48497144.74,1610323199999,20720503.969678,76952,24518739.86,10501294.949312,0
1610323200000,0.42700000000000005,0.4285,0.327,0.368,50629374.07,1610409599999,18512972.363835998,73606,24020483.04,8801565.916702,0
1610409600000,0.3676,0.3844,0.3469,0.3592,27481415.86,1610495999999,10115228.133236,38899,14455962.43,5329859.202648001,0
1610496000000,0.3595,0.4176,0.34700000000000003,0.4151,32642676.27,1610582399999,12791178.213581,50541,16505778.69,6475249.765796,0
1610582400000,0.4154,0.4514,0.4011,0.4251,30445372.53,1610668799999,12901137.811032,45459,15505640.53,6579692.1766220005,0
1610668800000,0.4251,0.456,0.3838,0.4324,39969339.21,1610755199999,16868041.498221,60398,20223989.03,8552904.732082,0
1610755200000,0.4324,0.4557,0.4118,0.425,30796020.65,1610841599999,13466461.519917,52094,15312971.61,6710782.256662,0
1610841600000,0.425,0.449,0.3978,0.4357,25204399.19,1610927999999,10627600.455203999,42821,12528336.27,5291368.926348001,0
1610928000000,0.4359,0.4875,0.4168,0.4774,40403294.85,1611014399999,18668382.860223003,67365,20995687.68,9707730.605083,0
