open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609459200000,0.40700000000000003,0.4085,0.3795,0.4004,716969.96,1609545599999,280230.71713299997,3237,380098.74,149120.311989,0
1609545600000,0.3998,0.4023,0.3738,0.3898,484764.91,1609631999999,185895.29825599998,2186,244129.41,93691.581223,0
1609632000000,0.3889,0.4048,0.3649,0.3907,984388.79,1609718399999,375666.02400900004,4077,413200.87,158508.126916,0
1609718400000,0.3907,0.41600000000000004,0.3426,0.3667,2308857.87,1609804799999,868188.3870950001,7983,1136851.43,426474.180873,0
1609804800000,0.3667,0.3793,0.349,0.3784,1733226.11,1609891199999,631303.59728,5072,1068921.91,389921.61019000004,0
1609891200000,0.3784,0.4027,0.3693,0.3989,1551018.23,1609977599999,597854.804732,6391,765331.83,296359.575829,0
1609977600000,0.3995,0.44,0.3911,0.4156,2699005.82,1610063999999,1131260.701776,10645,1487403.9,624332.1822319999,0
1610064000000,0.41700000000000004,0.48,0.384,0.4323,3351133.59,1610150399999,1459754.997553,12209,1756895.11,767240.2330840001,0
1610150400000,0.4327,0.4665,0.4103,0.4446,2250451.4,1610236799999,984521.580106,8017,1190162.36,520942.499433,0
1610236800000,0.4446,0.4768,0.3802,0.4167,3122389.01,1610323199999,1353786.275632,11270,1514310.22,657107.143883,0
1610323200000,0.4164,0.4167,0.3313,0.3708,2890186.86,1610409599999,1051111.322094,7544,1344973.24,488877.270651,0
1610409600000,0.3709,0.3817,0.3524,0.3716,1056722.48,1610495999999,390938.598323,4080,543727.86,201211.646351,0
1610496000000,0.3715,0.3982,0.35600000000000004,0.3918,1358417.5,1610582399999,512324.56633199996,4621,661644.68,250038.66901599997,0
1610582400000,0.3928,0.4401,0.3857,0.4201,2872636.46,1610668799999,1187993.051788,8037,1434181.98,593537.533987,0
1610668800000,0.4204,0.4322,0.374,0.4187,3107346.54,1610755199999,1254037.121618,8279,1715828.32,695002.7744850001,0
1610755200000,0.4194,0.474,0.418,0.456,5445174.29,1610841599999,2442376.2885459997,16129,3025794.34,1360014.785078,0
1610841600000,0.4551,0.474,0.4035,0.4469,5957315.19,1610927999999,2665034.992707,18566,3051924.73,1364584.6229,0
1610928000000,0.4481,0.466,0.419,0.4475,2955766.41,1611014399999,1305015.028741,9433,1560144.18,690314.974412,0
1611014400000,0.4462,0.4873,0.4254,0.4375,3965807.93,1611100799999,1773619.2093919998,7638,2159367.53,963386.3047950001,0
1611100800000,0.4351,0.4462,0.4061,0.4374,1550636.34,1611187199999,662227.92727,4318,929122.59,395962.71574699995,0
1611187200000,0.43700000000000006,0.4386,0.3738,0.3796,1147657.56,1611273599999,461317.98267600004,4003,509060.39,205774.622124,0
1611273600000,0.3796,0.4052,0.3581,0.3989,915516.72,1611359999999,351160.270591,3572,428254.47,165096.878286,0
1611360000000,0.3962,0.4096,0.3801,0.3953,898720.04,1611446399999,355353.29065100005,3145,380846.25,150510.169598,0
1611446400000,0.39399999999999996,0.4118,0.39299999999999996,0.4105,1077449.55,1611532799999,434623.15527,3792,520593.18,210074.224745,0
1611532800000,0.4105,0.4159,0.3922,0.3949,707542.0,1611619199999,288634.175415,3003,297360.16,121699.46853399999,0
1611619200000,0.3933,0.4496,0.391,0.4298,16869105.82,1611705599999,7141995.3831050005,23318,9690235.88,4105972.7981559997,0
1611705600000,0.4303,0.4599,0.3756,0.3867,2417200.55,1611791999999,992766.6277030001,7918,1078316.69,445497.96277,0
1611792000000,0.3877,0.4528,0.3784,0.4148,4703795.76,1611878399999,1956685.8490799998,9599,2535375.64,1061680.449643,0
1611878400000,0.4146,0.4274,0.3951,0.4164,1657443.7,1611964799999,687076.652431,5537,736525.95,305979.21544400003,0
1611964800000,0.4165,0.4297,0.4,0.424,1012955.64,1612051199999,417815.049613,4132,464505.28,192660.204291,0
1612051200000,0.424,0.4245,0.4019,0.4189,721645.51,1612137599999,299231.60801100003,3364,370905.77,153928.092739,0
