open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609459200000,0.017230000000000002,0.01877,0.017,0.01828,4081877.5,1609545599999,73867.308593,1400,2074648.0,37368.369333999995,0
1609545600000,0.01828,0.01931,0.01757,0.0189,14434006.7,1609631999999,267889.510769,2521,9150807.5,170543.50589600002,0
1609632000000,0.01889,0.019,0.01759,0.01798,4005300.7,1609718399999,72588.780786,1278,1581324.1,28764.248933,0
1609718400000,0.01799,0.0194,0.01641,0.01828,11872591.9,1609804799999,220147.974969,2447,5901641.7,109528.691393,0
1609804800000,0.01828,0.02022,0.016919999999999998,0.018580000000000003,21004372.9,1609891199999,398620.30155900004,3699,9884168.9,187153.086207,0
1609891200000,0.01865,0.021,0.01805,0.01996,37263574.1,1609977599999,717466.047425,5159,19069690.1,366270.68796999997,0
1609977600000,0.020030000000000003,0.02207,0.01989,0.021159999999999998,13233359.1,1610063999999,282482.1915,3994,6222236.8,133038.67453800002,0
1610064000000,0.021159999999999998,0.026430000000000002,0.01901,0.021240000000000002,36848945.6,1610150399999,839775.35326,6982,18938293.8,433145.428971,0
1610150400000,0.02136,0.02547,0.02075,0.02337,26167741.4,1610236799999,602297.072867,5237,11728910.9,271979.82379299996,0
1610236800000,0.02337,0.02481,0.02016,0.02283,12408251.6,1610323199999,287957.241119,3834,5397246.9,125222.33658900001,0
1610323200000,0.022680000000000002,0.02289,0.01818,0.02023,12357224.3,1610409599999,242972.246432,3500,4940009.2,97826.377139,0
1610409600000,0.02015,0.02089,0.01852,0.0197,6250526.4,1610495999999,125727.988295,1913,3442047.2,69230.49920800001,0
1610496000000,0.0196,0.021,0.019,0.020309999999999998,5093528.1,1610582399999,102116.714777,1402,2874423.6,57629.863044000005,0
1610582400000,0.02054,0.02084,0.01969,0.02028,8693531.2,1610668799999,176314.641979,2176,3568448.0,72720.68907000001,0
1610668800000,0.0203,0.02132,0.01911,0.02068,18640811.0,1610755199999,381128.71092399996,3069,8419096.4,172011.286708,0
1610755200000,0.02068,0.02285,0.019969999999999998,0.021240000000000002,21020223.2,1610841599999,445445.46427399997,4510,11067944.0,233959.969685,0
1610841600000,0.02126,0.022680000000000002,0.01989,0.02139,19135368.3,1610927999999,407188.941569,3382,10345470.0,220433.25332699998,0
1610928000000,0.02139,0.0245,0.0212,0.02337,19157827.4,1611014399999,430977.400159,5040,10891347.4,246127.405529,0
1611014400000,0.02356,0.026000000000000002,0.0234,0.02512,30902412.9,1611100799999,759883.271055,8599,14682116.0,362604.812069,0
1611100800000,0.0251,0.026410000000000003,0.02178,0.02475,185577535.0,1611187199999,4570733.068008999,21843,111406796.3,2747326.0632060003,0
1611187200000,0.02477,0.0275,0.02286,0.02408,150323080.3,1611273599999,3828498.313907,20792,88446354.4,2260727.3910169997,0
1611273600000,0.02389,0.027000000000000003,0.02215,0.0254,31038724.3,1611359999999,781591.2073270001,7798,14507705.0,366887.37237,0
1611360000000,0.025269999999999997,0.02748,0.02365,0.02508,65393271.2,1611446399999,1682902.220074,10316,32189737.6,828777.626332,0
1611446400000,0.02493,0.02951,0.02493,0.02815,192760539.0,1611532799999,5358579.148075,24020,98104736.4,2718675.315868,0
1611532800000,0.02806,0.02913,0.026369999999999998,0.027219999999999998,59795078.7,1611619199999,1669768.659324,9689,32458800.4,907384.1753540001,0
1611619200000,0.027219999999999998,0.02762,0.02477,0.02603,7554134.0,1611705599999,198914.151489,2639,3745645.9,98752.984828,0
1611705600000,0.02603,0.035,0.02205,0.03098,86545913.4,1611791999999,2545584.28575,16368,44897488.5,1322449.710886,0
