open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609459200000,0.4416,0.466,0.4345,0.4491,12838377.23,1609545599999,5793190.4119959995,19807,6282029.12,2835462.196904,0
1609545600000,0.4494,0.4912,0.4421,0.4653,33894608.49,1609631999999,16039669.554142002,49370,17193830.12,8137074.245254,0
1609632000000,0.4654,0.5083,0.4576,0.503,25545069.63,1609718399999,12335673.85269,42255,12775731.14,6170932.450268,0
1609718400000,0.5028,0.544,0.42,0.4945,37985959.16,1609804799999,18708247.908565,62213,19514355.46,9619535.136321,0
1609804800000,0.4947,0.5141,0.4644,0.509,29415616.0,1609891199999,14447771.428609,48737,14828619.39,7280637.416875,0
1609891200000,0.509,0.6,0.4982,0.5808,43013040.61,1609977599999,23461921.167910997,74123,21493194.63,11741115.513652999,0
1609977600000,0.581,0.6107,0.532,0.5591,51018738.13,1610063999999,29269315.681599,82723,25883869.68,14861241.027203,0
1610064000000,0.5587,0.5813,0.5107,0.5563,39892586.29,1610150399999,21819574.368642002,62807,19716094.74,10781689.517826,0
1610150400000,0.5558,0.6464,0.5388,0.634,53503243.88,1610236799999,32557374.430841,83217,27359428.8,16656242.277971,0
1610236800000,0.6346,0.685,0.5485,0.6536,77793485.77,1610323199999,48590084.033803,113340,38906225.22,24308471.557234,0
1610323200000,0.6536,0.6585,0.4735,0.5487,87010968.39,1610409599999,48589874.365306,122098,43516996.99,24319648.533361,0
1610409600000,0.5486,0.5739,0.5209,0.5345,29065334.2,1610495999999,15852916.314348001,44340,14708696.62,8021485.719575999,0
1610496000000,0.5344,0.5822,0.5209,0.5758,19727235.77,1610582399999,10832202.217601,30176,9717188.39,5344435.255423,0
1610582400000,0.5760000000000001,0.5943,0.5482,0.5816,21723315.04,1610668799999,12511448.987236,35046,10365397.19,5969742.464687999,0
1610668800000,0.5821,0.6579999999999999,0.57,0.6355,51244020.19,1610755199999,31647964.998829998,79908,25294372.72,15629198.388188,0
1610755200000,0.6359,0.6947,0.6269,0.6541,43064133.72,1610841599999,28552382.2167,70405,21521483.93,14269023.198404001,0
1610841600000,0.6539,0.6846,0.6101,0.6727,30176809.92,1610927999999,19469559.922817003,49305,14803063.81,9557775.896954,0
1610928000000,0.6719,0.7294,0.6334,0.7120000000000001,39091772.08,1611014399999,27187150.640504003,64489,19511659.82,13580848.722632,0
1611014400000,0.7120000000000001,0.7135,0.655,0.6608,29392311.71,1611100799999,20163349.320937,47623,13462591.09,9232148.966816,0
1611100800000,0.6601,0.6693,0.5909,0.6368,35781531.3,1611187199999,22506478.543682,57036,17671303.02,11109153.487022,0
1611187200000,0.6368,0.6394,0.5406,0.5466,28717492.77,1611273599999,16781639.722828,51474,14426273.9,8434038.197642999,0
1611273600000,0.5473,0.5938,0.51,0.57,34676733.58,1611359999999,19299860.59299,54671,17552887.37,9775226.702933,0
1611360000000,0.5701,0.626,0.5631,0.602,34103199.9,1611446399999,20316211.073836,50257,16876224.21,10055641.678799,0
1611446400000,0.6018,0.6365,0.5873,0.6109,34769427.35,1611532799999,21285160.020383,52948,17624311.51,10791744.358119,0
1611532800000,0.6111,0.6265,0.5903,0.5908,29757412.38,1611619199999,18184608.643222,50179,14307666.24,8748011.412286,0
1611619200000,0.5908,0.6078,0.5633,0.5811,21700962.25,1611705599999,12662048.794976,33708,10818770.87,6312722.170148,0
1611705600000,0.581,0.5818,0.5219,0.5367,22922776.31,1611791999999,12582619.576149,35191,11053422.45,6070851.426143,0
1611792000000,0.5364,0.5747,0.5298,0.5608,19189208.66,1611878399999,10715920.550083,30544,9892687.58,5525051.525851,0
1611878400000,0.5605,0.6422,0.5514,0.5778,52276757.97,1611964799999,31185374.773419,96775,25096714.27,14987646.161415,0
1611964800000,0.5777,0.6041,0.5651,0.5887,24254024.44,1612051199999,14084167.903304001,45771,11904006.79,6918871.8176460005,0
1612051200000,0.5888,0.6066,0.5595,0.5792,30498208.34,1612137599999,17728169.385998998,60693,14379913.24,8359780.7567529995,0
1612137600000,0.5791,0.5992,0.5617,0.5896,28717005.16,1612223999999,16746837.654076999,50837,13805392.28,8052565.797236,0
1612224000000,0.5899,0.629,0.5803,0.621,40674887.58,1612310399999,24573431.258525,69338,19384694.48,11724112.164328,0
1612310400000,0.6208,0.64,0.6017,0.631,30073746.75,1612396799999,18751879.20126,54066,14362706.06,8954346.159051,0
1612396800000,0.6307,0.6354,0.5831,0.6059,36804223.66,1612483199999,22396097.200544,67959,17342680.31,10554382.547484,0
1612483200000,0.6061,0.6818,0.6014,0.6741,55862840.37,1612569599999,36347162.360351,107123,27871119.56,18145635.417898998,0
1612569600000,0.6738,0.6872,0.6336,0.6608,46347950.41,1612655999999,30550138.539952002,87398,22097905.49,14574675.069953,0
1612656000000,0.6608,0.6965,0.6201,0.6935,54024234.9,1612742399999,35485040.06589,100389,26525457.2,17446206.512563,0
1612742400000,0.6934,0.797,0.662,0.77,95322056.07,1612828799999,70618483.9025,179713,47543753.62,35224876.399734005,0
1612828800000,0.77,0.85,0.7532,0.8415,78197228.96,1612915199999,62773141.79151999,138928,38555384.26,30988142.478788,0
1612915200000,0.8419,0.975,0.7615,0.9076,144501515.32,1613001599999,126198934.44831,261969,71441880.07,62449848.92598,0
1613001600000,0.9079,1.1,0.8792,1.037,116077562.2,1613087999999,118356084.59743601,205797,58157211.63,59311717.580925,0
1613088000000,1.0364,1.165,1.01,1.0895,89813873.77,1613174399999,98096460.980928,174350,43503383.34,47527635.106034994,0
1613174400000,1.0895,1.3568,1.0893,1.2932,124185563.57,1613260799999,151801766.348368,275996,62502980.89,76490691.397294,0
1613260800000,1.2931,1.3667,1.1268,1.1637,92069401.04,1613347199999,115086937.31761101,201239,44540099.02,55727668.83288299,0
1613347200000,1.1635,1.28,0.8851,1.1555,131922337.6,1613433599999,148575622.225664,280389,64683750.78,72935041.06413001,0
1613433600000,1.1556,1.255,1.0705,1.1238,89237201.17,1613519999999,103226924.407451,164753,43727235.25,50603756.148424,0
1613520000000,1.1239,1.199,1.0399,1.1547,68743581.96,1613606399999,77453478.396703,136170,34113030.38,38482148.964912,0
1613606400000,1.1562,1.285,1.1305,1.2285,63937607.14,1613692799999,76676049.004237,137292,31893794.49,38243656.270628996,0
1613692800000,1.2295,1.304,1.1611,1.2632,75883006.9,1613779199999,94293729.694849,168446,37547996.88,46686007.873483,0
1613779200000,1.2633,1.432,1.12,1.2309999999999999,110985217.09,1613865599999,145059850.68093798,280263,55102572.74,72137600.007891,0
1613865600000,1.2309999999999999,1.5939,1.1906,1.4137,165984137.27,1613951999999,237601411.643992,386669,83635025.71,119709192.011031,0
1613952000000,1.4148,1.426,0.98,1.1928,137027442.29,1614038399999,168040128.699828,302915,66357226.02,81443066.04298499,0
1614038400000,1.193,1.2028,0.8079999999999999,0.9819,158630651.02,1614124799999,157074672.659721,281229,76445161.96,75721780.095964,0
1614124800000,0.9822,1.092,0.9228,1.0038,95943693.55,1614211199999,97446639.296259,163356,47529327.77,48302458.425817996,0
1614211200000,1.004,1.0607,0.9322,0.9389,70758756.71,1614297599999,70763231.437024,112966,36090240.56,36109220.791578,0
1614297600000,0.9385,0.9539,0.8362,0.8969,75048508.82,1614383999999,67812064.548015,112519,37391826.07,33794492.470278,0
