open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609459200000,12.41,13.905999999999999,11.761,12.479000000000001,100247.502,1609545599999,1276904.634325,7671,47814.467000000004,612745.692077,0
1609545600000,12.401,13.499,11.547,11.902000000000001,53325.864,1609631999999,674940.730904,4983,24623.486,313807.659936,0
1609632000000,11.907,12.3,11.264000000000001,11.413,39472.452000000005,1609718399999,460574.364166,3771,17033.953999999998,199285.960772,0
1609718400000,11.482999999999999,11.577,9.7,10.37,56125.46,1609804799999,607838.995028,4294,24485.607000000004,265331.267713,0
1609804800000,10.45,11.0,9.6,10.231,41682.329,1609891199999,431158.05345600005,3497,19478.342,202052.617137,0
1609891200000,10.238999999999999,10.85,9.522,9.933,40072.937999999995,1609977599999,409351.519296,3164,17058.955,174326.285291,0
1609977600000,9.933,10.620999999999999,8.635,9.799,76916.75200000001,1610063999999,745840.47445,6246,32814.279,320613.541701,0
1610064000000,9.697000000000001,12.797,8.79,10.36,117441.099,1610150399999,1297103.182074,8764,52323.97,578871.690309,0
1610150400000,10.36,10.98,9.7,10.505,33337.027,1610236799999,344824.189921,2771,13218.71,137513.174981,0
1610236800000,10.508,10.888,9.56,9.85,25789.595,1610323199999,266240.99324,2352,9536.343,98986.863679,0
1610323200000,9.85,10.1,8.1,9.429,43398.665,1610409599999,400056.40191799996,3349,20217.113999999998,187855.95273299998,0
1610409600000,9.437999999999999,10.068999999999999,8.83,9.15,30918.755,1610495999999,287444.785544,2754,13310.617,123544.91108199999,0
1610496000000,9.21,12.0,9.085,10.512,176947.272,1610582399999,1882527.8818150002,12196,89130.82,957659.1764100001,0
1610582400000,10.492,10.999,9.8,10.166,92677.228,1610668799999,960152.34574,6941,43155.562000000005,448945.75389799994,0
1610668800000,10.158999999999999,10.284,9.465,9.972999999999999,169141.822,1610755199999,1691725.948869,18703,86733.601,868746.359733,0
1610755200000,9.99,10.5,9.628,10.088,161456.424,1610841599999,1629480.91836,15187,84454.00300000001,851940.0645069999,0
1610841600000,10.094,10.32,9.62,9.812999999999999,106529.37400000001,1610927999999,1062849.907149,10408,50684.519,506111.870643,0
