open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609977600000,0.1936,0.5,0.1429,0.2005,43546164.28,1610063999999,10720827.139219001,36910,20067997.45,5067652.109093,0
1610064000000,0.2031,0.239,0.14400000000000002,0.1844,34163946.86,1610150399999,6153228.998485,24892,16590093.4,3046944.555541,0
1610150400000,0.1825,0.2142,0.1677,0.1891,13372480.02,1610236799999,2566251.498444,10909,6877732.0,1329172.219756,0
1610236800000,0.1894,0.1994,0.162,0.1894,12453590.77,1610323199999,2279189.947129,8461,6129316.22,1128132.429824,0
1610323200000,0.1856,0.1857,0.1323,0.1551,7150911.31,1610409599999,1096301.6060809998,5243,3162302.49,486310.08748100005,0
1610409600000,0.155,0.1779,0.1475,0.1648,5393541.15,1610495999999,890565.2938280001,4782,2944466.78,488685.96147,0
1610496000000,0.1649,0.19,0.156,0.1772,7622950.18,1610582399999,1282254.2521,5781,3912587.51,668146.698606,0
1610582400000,0.1771,0.2454,0.1726,0.2333,21778405.79,1610668799999,4702629.42769,16714,11235216.32,2423870.89855,0
1610668800000,0.23399999999999999,0.26,0.1819,0.2012,20145216.42,1610755199999,4448821.4854540005,15923,8004176.86,1778133.1445669997,0
1610755200000,0.2012,0.2195,0.1867,0.1955,7801789.79,1610841599999,1586899.583917,6891,3519792.06,720837.972474,0
1610841600000,0.1956,0.1985,0.1691,0.1841,8867777.19,1610927999999,1663419.015379,6818,3876790.87,727415.5820899999,0
1610928000000,0.1843,0.2075,0.1785,0.1966,7803965.28,1611014399999,1500060.170844,5193,4065670.02,784059.180099,0
1611014400000,0.1965,0.2095,0.1761,0.182,6323423.89,1611100799999,1220675.495454,5479,2651744.92,514118.312763,0
1611100800000,0.182,0.1876,0.1741,0.18100000000000002,2804863.64,1611187199999,510260.22981000005,2262,1248427.99,228192.77188699998,0
1611187200000,0.1819,0.1831,0.1582,0.1594,3575366.37,1611273599999,610328.051601,2901,1666710.83,284437.184587,0
1611273600000,0.1586,0.174,0.1458,0.1658,3634634.28,1611359999999,578512.702019,3301,1812949.89,288636.486594,0
1611360000000,0.1657,0.1745,0.163,0.1675,2589940.67,1611446399999,435422.17571000004,2685,1298223.59,218679.22414299997,0
1611446400000,0.16699999999999998,0.1716,0.1269,0.1636,3093122.76,1611532799999,504649.93578500004,2856,1312520.17,214080.84336099998,0
1611532800000,0.1624,0.1808,0.1624,0.16399999999999998,3207242.61,1611619199999,551407.936794,3055,1611095.14,277076.051556,0
1611619200000,0.16399999999999998,0.1664,0.1516,0.1601,3402645.93,1611705599999,540689.2595779999,3121,1983339.64,315734.101898,0
1611705600000,0.1603,0.1633,0.1465,0.1508,1694197.85,1611791999999,262438.364177,1643,796234.22,123874.65851,0
1611792000000,0.1509,0.1786,0.1481,0.1717,4492025.44,1611878399999,741996.886419,3967,2466940.67,407264.775586,0
1611878400000,0.1718,0.1815,0.1563,0.1636,4919277.98,1611964799999,838945.948982,5282,2403185.9,411493.17078600003,0
1611964800000,0.1635,0.1693,0.1603,0.1667,1856659.26,1612051199999,308397.85838499997,2009,886697.93,147628.872425,0
1612051200000,0.1666,0.1673,0.1597,0.1611,1744893.54,1612137599999,283131.03134,1581,748815.57,121956.41538499999,0
1612137600000,0.161,0.1696,0.1555,0.1635,2961256.34,1612223999999,483138.96872299997,2787,1187940.78,194859.333808,0
1612224000000,0.1637,0.1768,0.1629,0.1701,3217004.66,1612310399999,548296.7978609999,3293,1371476.72,234280.45199699997,0
1612310400000,0.1701,0.191,0.1692,0.184,8582167.38,1612396799999,1553571.100384,8061,3600068.63,651774.96783,0
1612396800000,0.1851,0.1946,0.1729,0.1836,6767618.5,1612483199999,1241441.113948,6172,3500256.82,645209.5573979999,0
1612483200000,0.1839,0.1989,0.182,0.1921,8864639.46,1612569599999,1680958.425291,7891,3893442.98,740631.351538,0
1612569600000,0.1922,0.2664,0.1886,0.2371,39923318.72,1612655999999,9319654.936329,36831,19380766.39,4533728.871625,0
1612656000000,0.2371,0.285,0.2068,0.215,53100507.05,1612742399999,12895763.346169,51448,24598881.69,5993577.822373,0
1612742400000,0.2166,0.2652,0.2086,0.251,21713768.03,1612828799999,5121808.81854,28556,10904570.05,2587162.179543,0
