open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609459200000,0.7315,0.7974,0.7219,0.7482,1169271.31,1609545599999,892225.8933379999,8179,610655.62,465719.069409,0
1609545600000,0.748,0.7531,0.7031,0.713,1586327.43,1609631999999,1154931.236832,10238,678372.1,494427.33074899996,0
1609632000000,0.7141,0.8053,0.7121,0.794,2126753.21,1609718399999,1604140.766794,14086,1125289.91,848505.122617,0
1609718400000,0.7923,0.88,0.715,0.8232,2674309.76,1609804799999,2131452.234378,19088,1337985.08,1069753.0056379999,0
1609804800000,0.8235,0.8941,0.7638,0.8518,2829695.16,1609891199999,2391970.581826,18637,1402657.36,1183843.2032120002,0
1609891200000,0.8537,1.0599,0.8228,1.0319,3985848.01,1609977599999,3829595.531119,27686,2081826.27,1999020.9737810001,0
1609977600000,1.0328,1.3668,1.0227,1.0929,6236202.24,1610063999999,7532835.98058,52108,3334088.49,4024428.7881480004,0
1610064000000,1.0929,1.32,0.9636,1.159,6308468.89,1610150399999,7228630.222664,44633,3290530.3,3778942.5764160003,0
1610150400000,1.1591,1.4521,1.1268,1.3357,4590211.35,1610236799999,6070313.830683,39825,2392840.41,3164467.476129,0
1610236800000,1.3356,1.3994,1.0523,1.1664,5300327.2,1610323199999,6541529.984751,38979,2527866.94,3128483.58557,0
1610323200000,1.1672,1.1712,0.8263,0.9554,7137670.65,1610409599999,6861908.124423,39019,3665679.55,3518800.5031379997,0
1610409600000,0.9568,1.0498,0.9,0.9391,2703333.09,1610495999999,2618197.453709,17510,1319667.62,1277318.953698,0
1610496000000,0.9354,1.0596,0.8834,1.0201,3099458.34,1610582399999,3005411.76659,19513,1603175.39,1553074.0566399998,0
1610582400000,1.0223,1.0853,0.9676,1.0393,2601217.12,1610668799999,2682972.354893,17800,1275294.99,1319357.310295,0
1610668800000,1.0403,1.149,0.97,1.0818,2950496.38,1610755199999,3157747.4680310003,22708,1481831.01,1585993.290002,0
1610755200000,1.0841,1.239,1.0564,1.1348,2611335.68,1610841599999,2998275.781207,20453,1348091.68,1550566.247407,0
1610841600000,1.1344,1.2423,1.0431,1.208,2442388.39,1610927999999,2788465.433838,21091,1173311.96,1342922.92035,0
1610928000000,1.2047,1.3,1.1205,1.2718,2861724.76,1611014399999,3519491.5723769995,24059,1554108.56,1918850.9835529998,0
1611014400000,1.2721,1.298,1.1246,1.128,2206218.65,1611100799999,2663421.4877049997,20424,1090790.13,1316206.6068540001,0
1611100800000,1.1309,1.3719999999999999,1.0852,1.3530000000000002,6767569.05,1611187199999,8241328.517911,45760,3452188.45,4217266.512963,0
1611187200000,1.3532,1.4122,1.1033,1.1194,5600369.25,1611273599999,7196780.500495,42375,2746375.09,3543428.987793,0
1611273600000,1.1231,1.2377,1.0396,1.1846,2594700.27,1611359999999,3014468.846926,24284,1404603.97,1635445.847492,0
