open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609459200000,0.020040000000000002,0.026000000000000002,0.01976,0.02519,891015666.2,1609545599999,20741439.719210997,109004,452536637.3,10524115.966841001,0
1609545600000,0.025169999999999998,0.03248,0.02423,0.02903,1330055301.4,1609631999999,37361848.577563,173134,674869951.0,18982312.449244,0
1609632000000,0.02905,0.037689999999999994,0.02735,0.03234,1451378995.7,1609718399999,48804750.045668,186409,735077044.3,24729837.728732,0
1609718400000,0.03241,0.0369,0.02531,0.030780000000000002,1131481728.7,1609804799999,34956107.251237,143767,563540488.9,17526813.293585002,0
1609804800000,0.0308,0.043,0.028999999999999998,0.040999999999999995,1112712459.1,1609891199999,39990473.128073,159755,592002151.7,21355123.045538,0
1609891200000,0.04113,0.045989999999999996,0.037000000000000005,0.03977,922190712.1,1609977599999,38054960.534409,133247,446869493.4,18465598.095038,0
1609977600000,0.03971,0.04258,0.03567,0.03999,563022934.1,1610063999999,22438241.262422,88239,278146312.9,11107703.509413,0
1610064000000,0.03999,0.04589,0.03311,0.04255,695846182.2,1610150399999,27957280.167131,130929,345551883.0,13930214.757372,0
1610150400000,0.04255,0.04977,0.03847,0.04651,659193231.2,1610236799999,29482918.680795003,122940,344932730.1,15415889.077738,0
1610236800000,0.04652,0.0493,0.039,0.04281,586530621.5,1610323199999,26328868.664117,118040,285495774.9,12838644.497448,0
1610323200000,0.04281,0.043289999999999995,0.030910000000000003,0.03913,952780770.5,1610409599999,34978398.157078005,132770,473432520.9,17387639.72969,0
1610409600000,0.03913,0.0445,0.035519999999999996,0.03663,692957796.5,1610495999999,27276331.472364,99009,338390506.5,13354936.213175,0
1610496000000,0.03667,0.040999999999999995,0.03354,0.040369999999999996,595358857.1,1610582399999,22558983.297641,84227,300137030.5,11419520.450225,0
1610582400000,0.04038,0.043089999999999996,0.0379,0.040139999999999995,511589590.1,1610668799999,20578034.761601,74134,255847893.8,10310801.210679,0
1610668800000,0.040139999999999995,0.043,0.03518,0.03864,643000744.3,1610755199999,25219233.239789,87276,316829857.5,12448190.649366,0
1610755200000,0.03865,0.04564,0.03858,0.04022,726885882.1,1610841599999,30491402.857389003,110232,383543821.9,16121338.754581,0
1610841600000,0.040260000000000004,0.04247,0.03645,0.04013,579163337.7,1610927999999,23153966.683977,87777,287673338.9,11523884.069569001,0
1610928000000,0.040139999999999995,0.04941,0.039,0.04713,866484980.3,1611014399999,38673701.359087,130667,448916675.9,20035574.081873998,0
1611014400000,0.04716,0.04835,0.04071,0.04162,729643490.5,1611100799999,32784313.775451,107606,353190198.5,15874305.491576001,0
1611100800000,0.041710000000000004,0.04396,0.03857,0.04224,596997824.7,1611187199999,24643117.870576,85872,279085570.5,11520944.854348,0
