open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609459200000,0.07879,0.084,0.07427,0.07997,34381732.8,1609545599999,2753704.053471,11236,17234358.2,1379606.263424,0
1609545600000,0.08006,0.08039,0.0747,0.07658999999999999,34859290.5,1609631999999,2698182.515509,11068,18067172.3,1400248.1788909999,0
1609632000000,0.07671,0.09062,0.07652,0.08656,43222259.3,1609718399999,3623348.944789,14803,23111696.5,1943539.823923,0
1609718400000,0.08656,0.09497,0.0805,0.09401,54088783.1,1609804799999,4760447.152515,22867,28296974.4,2491196.51464,0
1609804800000,0.09404,0.11320999999999999,0.08569,0.11089,86306686.7,1609891199999,8728615.714702,27287,44700482.0,4517697.960016,0
1609891200000,0.1112,0.11612,0.10344,0.11199,47367497.1,1609977599999,5172151.363791,22644,25004753.2,2730838.524834,0
1609977600000,0.11199999999999999,0.12203,0.1045,0.11235,39266166.0,1610063999999,4534463.720472001,22840,20116793.7,2317103.959034,0
1610064000000,0.1127,0.11884000000000002,0.09702000000000001,0.10935999999999998,46214206.2,1610150399999,5073731.357891001,24551,23636940.3,2599071.393523,0
1610150400000,0.10945,0.11385,0.10597999999999999,0.11008,29586257.8,1610236799999,3232528.729457,16061,16435478.5,1795717.234548,0
1610236800000,0.10997,0.125,0.09496,0.10221000000000001,91228164.0,1610323199999,10010981.302424,68984,48165111.0,5298541.030815,0
1610323200000,0.10224,0.10332999999999999,0.0868,0.09774,128020310.3,1610409599999,12083473.019281,53895,66641059.7,6297810.864665,0
1610409600000,0.09748,0.1067,0.09343,0.10107000000000001,38088781.6,1610495999999,3834498.014842,21754,19083464.2,1920241.466503,0
1610496000000,0.10064,0.11862,0.09966,0.11184000000000001,37971165.7,1610582399999,4214107.561877999,22117,18807608.1,2082774.697159,0
1610582400000,0.11195999999999999,0.129,0.10687999999999999,0.12825,48406505.8,1610668799999,5719950.242522,24560,23864473.4,2814847.494257,0
1610668800000,0.12825,0.14669000000000001,0.11965,0.13304000000000002,53297550.9,1610755199999,7042610.132941,21311,26258396.6,3474816.8179980004,0
1610755200000,0.13346,0.155,0.12566,0.13413,34451017.6,1610841599999,4775298.740597,15137,18344006.9,2544834.7050759997,0
1610841600000,0.13410999999999998,0.1433,0.12517,0.13990999999999998,26277086.4,1610927999999,3525155.923721,12517,13239826.3,1779077.170798,0
1610928000000,0.14014000000000001,0.14995,0.13232,0.14570999999999998,24538878.2,1611014399999,3465716.0098300003,14829,12398648.6,1747880.1127290002,0
1611014400000,0.14573,0.16280999999999998,0.1417,0.14246,41174584.9,1611100799999,6249921.51905,25620,21410351.5,3252281.40393,0
1611100800000,0.14244,0.14493,0.12759,0.1362,47252567.1,1611187199999,6452525.014848,27725,23559435.8,3218278.898645,0
1611187200000,0.13627,0.1409,0.1156,0.11622,49694269.2,1611273599999,6292593.381182,25667,23016400.0,2916662.483536,0
1611273600000,0.11624000000000001,0.12300000000000001,0.0909,0.11391,90739624.9,1611359999999,9807552.329235,35116,45809930.0,4954123.668842,0
1611360000000,0.11372,0.125,0.11123,0.11825999999999999,43210074.6,1611446399999,5125169.589101,16879,22684290.8,2692887.189014,0
1611446400000,0.11797,0.13962,0.11704,0.13397,44309891.5,1611532799999,5805726.8835080005,21683,22879108.7,2999350.512614,0
1611532800000,0.13412000000000002,0.13707,0.1251,0.12941,40973243.6,1611619199999,5355462.182794999,18345,22562790.9,2953193.366901,0
1611619200000,0.12904000000000002,0.1699,0.1251,0.1596,118602533.3,1611705599999,17419318.173299,55140,64916563.6,9546501.000038,0
1611705600000,0.15959,0.1637,0.12628,0.13062,85244875.6,1611791999999,12277761.953399,110203,42090126.4,6066177.335564,0
1611792000000,0.13071,0.1478,0.12783,0.13608,52754240.0,1611878399999,7383812.352438,79378,27250559.0,3814506.982754,0
1611878400000,0.13602,0.13976,0.12908,0.13785,49024830.5,1611964799999,6568083.893019,77441,24803878.8,3324983.543696,0
1611964800000,0.13781,0.14465,0.126,0.13833,44428626.5,1612051199999,5952017.515453,63437,21859655.3,2929108.100962,0
1612051200000,0.13834000000000002,0.14398,0.1303,0.13373,31650332.0,1612137599999,4340751.931148999,48115,14644361.6,2009969.68755,0
1612137600000,0.13374,0.14374,0.12927,0.13767000000000001,37319480.0,1612223999999,5057301.68562,56863,17250652.9,2340332.008509,0
1612224000000,0.1377,0.15413,0.132,0.14927,46659312.2,1612310399999,6703564.637331,49526,26172139.3,3767205.648,0
1612310400000,0.14924,0.15999000000000002,0.14457,0.1583,28895556.9,1612396799999,4397885.692381,18356,14599692.6,2225148.702947,0
1612396800000,0.1585,0.18191,0.1546,0.1623,59093865.7,1612483199999,9926326.5024,40543,30004478.3,5045022.168466001,0
