open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609459200000,0.9986,0.9986,0.997,0.9974,9851425.4,1609545599999,9830679.817533,13599,3626829.32,3619447.0466190004,0
1609545600000,0.9974,1.0005,0.997,0.9989,20151032.0,1609631999999,20115665.746918,27761,9885562.33,9869116.805936,0
1609632000000,0.9989,1.0006,0.997,0.9986,15841823.95,1609718399999,15826465.146645999,31661,8423914.98,8416189.900008,0
1609718400000,0.9986,1.0011,0.9902,0.9994,20088104.08,1609804799999,20065702.09488,21713,10388427.21,10376963.585282002,0
1609804800000,0.9994,1.001,0.996,0.997,19151675.22,1609891199999,19126404.781964,30461,8340908.11,8331778.364989,0
1609891200000,0.997,0.9995,0.996,0.9976,19520922.16,1609977599999,19470461.222107,22586,9954682.57,9929577.752042,0
1609977600000,0.9975,1.0014,0.996,0.9988,21377927.09,1610063999999,21343712.601402,25294,12477869.86,12458770.567021001,0
1610064000000,0.9988,1.0004,0.9969,0.9992,20084020.48,1610150399999,20067903.042747,24469,9487358.18,9479981.027053,0
1610150400000,0.9991,1.001,0.996,0.9962,10168043.3,1610236799999,10152061.756391,14347,4821099.9,4814806.281437,0
1610236800000,0.9962,1.0067,0.996,0.9997,20104322.84,1610323199999,20078351.230821,22714,8341100.49,8334206.220147,0
1610323200000,0.9998,1.0089,0.9962,0.9993,28814247.14,1610409599999,28851222.432024,35911,14381164.53,14400882.510698998,0
1610409600000,0.9993,1.0024,0.9981,1.0005,14348648.24,1610495999999,14350830.123422,20400,7716174.41,7717719.376285001,0
1610496000000,1.0005,1.0032,0.9985,0.9998,12980123.71,1610582399999,12987495.75781,16499,7338146.09,7342221.204316,0
1610582400000,0.9997,1.0035,0.9985,1.001,12515126.79,1610668799999,12517183.316681,15690,7311404.91,7313155.085996001,0
1610668800000,1.0009,1.0048,0.9990000000000001,0.9999,12980118.46,1610755199999,12992468.86744,16032,7716389.62,7723664.869133,0
1610755200000,0.9999,1.0018,0.9978,1.0005,9589709.96,1610841599999,9587008.138458,13844,5552520.9,5551364.039973,0
1610841600000,1.0005,1.0033,0.9993,1.0001,8267589.33,1610927999999,8269361.968956,10554,4072236.29,4073529.847058,0
1610928000000,1.0001,1.001,0.9984,0.9996,6852809.62,1611014399999,6852499.529273001,9601,3566205.82,3566097.449025,0
1611014400000,0.9997,1.0041,0.9981,0.9996,12742129.4,1611100799999,12735004.984966999,12284,7702719.12,7699183.4663350005,0
1611100800000,0.9995,1.005,0.9985,0.9994,14780741.94,1611187199999,14778452.058585998,22365,9696380.49,9694709.454456,0
1611187200000,0.9994,1.004,0.9992,1.0006,16277102.13,1611273599999,16287500.780461999,19062,8833049.91,8838595.107576,0
1611273600000,1.0006,1.0019,0.9982,0.9991,15453878.11,1611359999999,15450110.058626002,19932,9261524.55,9258677.828025999,0
1611360000000,0.9991,1.0001,0.9983,0.9993,7333304.35,1611446399999,7326715.283307001,9874,4632697.63,4628848.001158999,0
1611446400000,0.9993,1.0,0.9986,0.9990000000000001,6646018.75,1611532799999,6640699.3265,10116,4150984.75,4147691.401732,0
1611532800000,0.9990000000000001,1.0008,0.9962,0.9998,12462246.19,1611619199999,12457864.369936999,11459,7618545.23,7616200.770256,0
1611619200000,0.9999,1.0009,0.9987,0.9989,7711730.24,1611705599999,7707410.15585,11988,5174183.12,5171532.076748,0
1611705600000,0.9989,1.0005,0.9971,0.9981,11046011.12,1611791999999,11032385.115058,13135,6931612.7,6922873.001084,0
1611792000000,0.9981,1.0003,0.9972,0.9975,6049658.84,1611878399999,6040376.548394,8718,3630354.01,3624982.893303,0
1611878400000,0.9975,1.0001,0.4654,0.9996,16964589.19,1611964799999,16862113.261442002,18156,8724493.93,8707071.250277,0
1611964800000,0.9996,1.0004,0.9983,0.9988,9070774.48,1612051199999,9065067.328057,16561,5178237.41,5175222.365937,0
1612051200000,0.9988,1.0009,0.9985,0.9992,8338240.51,1612137599999,8333125.661692,11191,5132550.84,5129647.000654,0
1612137600000,0.9992,1.001,0.9984,0.9997,11218229.2,1612223999999,11214422.188392,18515,6385640.81,6383896.424759,0
1612224000000,0.9997,1.002,0.9987,0.9992,12265107.13,1612310399999,12257567.40985,13050,7656936.17,7652673.988615,0
1612310400000,0.9991,1.0012,0.9933,0.9987,12209815.6,1612396799999,12194535.618598,15166,5698689.6,5691928.363476,0
1612396800000,0.9987,0.9997,0.9546,0.9989,12546559.32,1612483199999,12529945.104378,17108,5093227.85,5086936.443257,0
1612483200000,0.9989,1.0008,0.9940000000000001,0.9990000000000001,11552381.39,1612569599999,11539690.144153,19252,5084113.05,5079295.451301999,0
1612569600000,0.9990000000000001,1.0005,0.998,0.9982,10888738.86,1612655999999,10876638.535742,17012,4930136.23,4924914.397578,0
1612656000000,0.9983,1.0003,0.9923,0.9983,9478244.01,1612742399999,9466593.681491999,15716,5927321.6,5920279.973319001,0
1612742400000,0.9982,1.0038,0.9940000000000001,0.9989,15950904.49,1612828799999,15929508.313031,22130,8956351.52,8945856.774942,0
1612828800000,0.9989,1.0005,0.9965,0.9989,22009451.15,1612915199999,21986063.673311,27834,14427584.29,14413724.585282998,0
1612915200000,0.9989,1.0005,0.9973,0.9994,22494789.93,1613001599999,22470838.284544,28951,13152899.38,13139881.056853,0
1613001600000,0.9992,1.0003,0.9984,0.9992,14502112.87,1613087999999,14490983.078532001,21135,9079606.23,9072901.71666,0
1613088000000,0.9992,1.0,0.9678,0.9979,23027065.12,1613174399999,22994315.144433,32532,12836777.93,12820876.217108,0
1613174400000,0.9977,1.0001,0.9678,0.9987,21901547.35,1613260799999,21870286.683081,27698,12077442.61,12062256.557884,0
1613260800000,0.9987,1.0005,0.9901,0.9989,15827487.32,1613347199999,15812839.736842,23761,9770899.72,9762284.450261,0
1613347200000,0.9989,1.0018,0.991,0.9998,17047222.28,1613433599999,17034493.025146,22441,10647209.55,10639966.305816,0
1613433600000,0.9996,1.0038,0.9990000000000001,0.9999,17500873.44,1613519999999,17500813.360856,18627,11420740.19,11420753.36853,0
1613520000000,0.9999,1.002,0.9983,0.9994,14073247.68,1613606399999,14071527.964563001,13950,6890053.11,6890226.234333999,0
1613606400000,0.9996,1.002,0.9940000000000001,0.9999,19617366.37,1613692799999,19619302.214888,27364,13325470.24,13326775.396494001,0
1613692800000,0.9999,1.002,0.9991,0.9997,20164907.26,1613779199999,20170267.612734,28977,12331029.14,12334899.404403,0
1613779200000,0.9997,1.0206,0.97,0.9991,22535374.04,1613865599999,22523859.061116,33726,15379377.41,15374238.756207,0
1613865600000,0.9991,1.0,0.9988,0.9990000000000001,15429336.23,1613951999999,15421450.232081,23774,10874060.68,10868593.713937,0
1613952000000,0.9991,1.015,0.9983,0.9996,31843794.08,1614038399999,31851353.656409003,29222,15259411.46,15263644.408428,0
1614038400000,0.9997,1.01,0.9993,1.0,23762214.84,1614124799999,23776629.171168,27335,10847798.66,10855098.216814,0
1614124800000,1.0,1.0043,0.9851,0.9994,19123430.17,1614211199999,19115590.910877,18863,12680420.48,12676483.97307,0
1614211200000,0.9994,1.0006,0.9989,1.0,12929651.93,1614297599999,12923634.899778,12777,7711749.47,7708347.5282850005,0
1614297600000,1.0002,1.002,0.9989,0.9997,10322950.74,1614383999999,10322175.206828,11836,5076984.31,5076807.348656,0
1614384000000,0.9999,1.0199,0.9903,0.9991,11255349.62,1614470399999,11253027.186255999,11120,6022088.47,6021517.854542,0
1614470400000,0.9990000000000001,1.0,0.98,0.9983,10635002.4,1614556799999,10621407.778988,13942,6147515.15,6140535.759602,0
