open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609459200000,5.884e-05,6.203e-05,5.852e-05,5.919e-05,10450241409.0,1609545599999,629143.82836552,12515,5256694534.0,316656.05395901,0
1609545600000,5.920000000000001e-05,6.136e-05,5.7999999999999994e-05,6.041e-05,10876228060.0,1609631999999,648694.61990915,13527,5504035802.0,328382.60863293,0
1609632000000,6.041e-05,6.757e-05,5.9499999999999996e-05,6.646e-05,15332360611.0,1609718399999,970287.42777451,17998,8222517394.0,521090.14646516,0
1609718400000,6.674e-05,7.156e-05,6.003e-05,7.071e-05,13568992969.0,1609804799999,904598.84070499,20022,7229499554.0,483742.55554787,0
1609804800000,7.071e-05,7.099999999999999e-05,6.349e-05,6.715e-05,7992762390.0,1609891199999,533153.54857678,15110,4010719580.0,267114.07839181,0
1609891200000,6.715e-05,7.292e-05,6.541e-05,7.287e-05,12095800215.0,1609977599999,840092.30195822,16411,6268055296.0,435768.98252173,0
1609977600000,7.291e-05,8.05e-05,7.162e-05,7.509999999999998e-05,13826134520.0,1610063999999,1050451.92260946,18591,6916568413.0,525533.07006195,0
1610064000000,7.509999999999998e-05,7.775e-05,7.070000000000001e-05,7.521e-05,9445495844.0,1610150399999,703283.62051479,13858,4609330709.0,343489.44880607,0
1610150400000,7.532e-05,9.511e-05,7.5e-05,8.657e-05,21592406264.0,1610236799999,1852052.45827303,26926,10862485317.0,934188.16017262,0
1610236800000,8.655e-05,9.079e-05,7.689e-05,8.068e-05,10642491900.0,1610323199999,902511.85678858,16839,5275513048.0,448570.59278552,0
1610323200000,8.088e-05,8.109e-05,6.500000000000001e-05,7.219999999999999e-05,10495400696.0,1610409599999,748160.3653658001,13790,4809461522.0,343005.92287843,0
1610409600000,7.221e-05,7.900000000000001e-05,7e-05,7.303e-05,16806949206.0,1610495999999,1238747.56899893,17485,8206952769.0,605105.95155473,0
1610496000000,7.288e-05,8.4e-05,7.184e-05,8.335e-05,40392541316.0,1610582399999,3172880.35275052,17780,20240791444.0,1591694.36121353,0
1610582400000,8.362e-05,8.923e-05,8e-05,8.7e-05,30410568394.0,1610668799999,2573234.27459412,16250,15122848624.0,1279845.4142397,0
1610668800000,8.693e-05,8.85e-05,8.1e-05,8.822e-05,30684042288.0,1610755199999,2617048.39359682,16711,15057811782.0,1284922.75240879,0
1610755200000,8.825e-05,9.266e-05,8.6e-05,9.213e-05,27269985311.0,1610841599999,2473483.8870544997,17700,13809969324.0,1252816.94670772,0
1610841600000,9.2e-05,9.226e-05,8.7e-05,8.861e-05,25793157772.0,1610927999999,2319799.52537728,15550,12693065513.0,1141618.76281143,0
1610928000000,8.876e-05,9.25e-05,8.79e-05,9.163e-05,23766522393.0,1611014399999,2145060.07938147,14169,11918620535.0,1075960.31004444,0
1611014400000,9.17e-05,9.499999999999999e-05,8.7e-05,8.946e-05,27650645793.0,1611100799999,2519928.46445012,17087,13637142392.0,1243201.79228272,0
1611100800000,8.946e-05,9.15e-05,8.211e-05,8.757e-05,25825543747.0,1611187199999,2276266.36734837,16363,12833791403.0,1131367.75707056,0
1611187200000,8.756e-05,8.781e-05,7.8e-05,7.963e-05,24394874548.0,1611273599999,2009752.30356647,13647,11953880723.0,984934.58981882,0
1611273600000,7.958e-05,8.590000000000001e-05,7.5e-05,8.439e-05,42853021865.0,1611359999999,3462789.513458,15938,21588812498.0,1745866.85112612,0
1611360000000,8.449e-05,9.379999999999999e-05,8.343e-05,9.188e-05,39002690433.0,1611446399999,3402023.13032044,20041,19528919917.0,1702180.75523806,0
1611446400000,9.178e-05,0.0001078,9.055e-05,9.679e-05,33764302645.0,1611532799999,3297366.19424454,27765,16331726954.0,1594648.52536251,0
1611532800000,9.663e-05,0.0001,9.31e-05,9.345e-05,28340481965.0,1611619199999,2725757.43692099,17814,13684068707.0,1316805.23212537,0
1611619200000,9.372e-05,9.564e-05,8.996e-05,9.454e-05,24934982589.0,1611705599999,2306702.44832613,15882,12394228169.0,1147078.90630495,0
1611705600000,9.455e-05,9.635e-05,8.833e-05,8.852e-05,25732788548.0,1611791999999,2381508.745967,17454,13131660593.0,1213938.88702877,0
1611792000000,8.852e-05,0.00010070000000000001,8.689e-05,9.815e-05,33732224372.0,1611878399999,3133024.65127279,21043,17000148427.0,1578567.28840091,0
1611878400000,9.813e-05,0.000145,9.708e-05,0.00010279,56443249524.0,1611964799999,6229149.56231275,48627,27915311356.0,3089361.36249063,0
1611964800000,0.00010281,0.00011746,9.8e-05,0.00011221,32969543473.0,1612051199999,3553549.58783923,31754,16624495791.0,1791902.09125392,0
1612051200000,0.00011232,0.00012335,0.000103,0.00010564,40371090208.0,1612137599999,4492650.88115043,33931,19380949581.0,2165004.25289137,0
1612137600000,0.00010564,0.000117,0.00010393,0.00010941,18827908878.0,1612223999999,2032460.99540868,24829,9425796119.0,1020165.96913019,0
1612224000000,0.00010949999999999999,0.00011499,0.00010573,0.00011232,21109501249.0,1612310399999,2328088.48250764,25065,10380090315.0,1145666.82487419,0
1612310400000,0.00011248,0.00014,0.00011225,0.00013804,55064544158.0,1612396799999,6659365.93471727,59052,27002174309.0,3282532.44875923,0
1612396800000,0.00013839,0.0001402,0.00012136,0.00012725,35114971244.0,1612483199999,4530282.79039128,36570,17589767107.0,2279403.30283907,0
1612483200000,0.00012725,0.00013969999999999998,0.00012660000000000001,0.0001317,22959633129.0,1612569599999,3030759.55959737,25243,11780125119.0,1562260.17774678,0
1612569600000,0.0001317,0.00013229,0.000123,0.00012463,15353593807.0,1612655999999,1938040.09711774,23436,7689695670.0,972513.99082986,0
1612656000000,0.00012482,0.00013158,0.00012150000000000001,0.00012825,20591540281.0,1612742399999,2598020.7393989,29348,10275509473.0,1299094.29931609,0
1612742400000,0.00012847,0.00015800000000000002,0.00012593,0.00014001,46390067828.0,1612828799999,6387235.47903556,50873,22693407966.0,3119695.70681893,0
1612828800000,0.00014044,0.0003258,0.0001375,0.00018848,292922112659.0,1612915199999,60785874.63663156,248218,142183432388.0,29850282.91241597,0
1612915200000,0.00018869,0.00023700000000000001,0.000175,0.00019326,99611417904.0,1613001599999,20511653.71070439,115712,49662381247.0,10265190.63348422,0
1613001600000,0.00019398,0.00024300000000000002,0.00018609,0.00023622,59850680645.0,1613087999999,12608002.05937587,77963,31021999287.0,6551219.80145168,0
1613088000000,0.00023599,0.0002577,0.00021521,0.00024138,63101604098.0,1613174399999,14803410.97508724,88967,32490189939.0,7630257.48829871,0
1613174400000,0.00024138,0.0003,0.00024137,0.0002838,90338564709.0,1613260799999,24713559.21059899,129897,46904216520.0,12852027.24739803,0
1613260800000,0.00028399999999999996,0.00028414,0.00023643,0.00024811,36084373328.0,1613347199999,9560206.60776174,65760,17300890098.0,4584720.53820488,0
1613347200000,0.00024813,0.00025297,0.00018999999999999998,0.00022368,42771134235.0,1613433599999,9670597.64065884,66809,21217543538.0,4801619.99650177,0
1613433600000,0.00022375,0.00023999999999999998,0.00021,0.0002197,23297866966.0,1613519999999,5227033.84364593,40859,11538344419.0,2589187.16435854,0
1613520000000,0.0002194,0.00023799999999999998,0.00021,0.00023425,23531028439.0,1613606399999,5314171.52509706,43147,11783590622.0,2666753.5200246004,0
1613606400000,0.00023523,0.00024338,0.00022769999999999998,0.00023841,19940872935.0,1613692799999,4721839.25180131,39260,10438588259.0,2474049.30172308,0
1613692800000,0.00023847,0.00026276,0.00023105,0.00025485,28747949684.0,1613779199999,7146506.46889601,58814,15078516034.0,3747933.20027923,0
1613779200000,0.00025578,0.00028199999999999997,0.0002275,0.00024324,40077829022.0,1613865599999,10346416.49539427,74822,19604422357.0,5063656.46040412,0
1613865600000,0.00024317,0.000265,0.00023635,0.00025727,32314904265.0,1613951999999,8199248.40576584,62466,15652307302.0,3973493.69758162,0
1613952000000,0.00025814,0.00026349999999999995,0.00019586,0.00023332,37203297293.0,1614038399999,8813395.59919486,62146,17888166876.0,4232256.74880691,0
1614038400000,0.0002339,0.00023499,0.00016072,0.00019805,33676295704.0,1614124799999,6577946.42479127,45349,16194820065.0,3160346.25674907,0
1614124800000,0.00019797,0.00021899999999999998,0.00018636,0.00020841,28630585634.0,1614211199999,5914267.01698719,41926,14475937086.0,2992735.73628699,0
1614211200000,0.00020934,0.00021852,0.00019701,0.00019783,17129402193.0,1614297599999,3610923.34530395,30614,8413584378.0,1775206.47530976,0
1614297600000,0.00019728,0.00020691,0.00018548,0.00019785,17626363538.0,1614383999999,3485549.06810519,26279,8368046901.0,1656535.70669319,0
1614384000000,0.00019739,0.0002133,0.00019735,0.00020568,15076159473.0,1614470399999,3120597.19477655,27007,7652200875.0,1583403.66034827,0
1614470400000,0.00020573,0.00020678,0.00018705,0.00019915,14187973159.0,1614556799999,2767031.09130098,23970,7585580705.0,1478450.73099834,0
1614556800000,0.00019991,0.0002109,0.0001945,0.00020848,14678248171.0,1614643199999,2975532.01506057,27203,7540978014.0,1528193.55124859,0
1614643200000,0.00020856,0.00021142,0.00019518,0.00020227,12138548238.0,1614729599999,2469891.93609062,23549,6157544168.0,1253806.80179786,0
1614729600000,0.00020221,0.00021698,0.00019944,0.00020616,13373881195.0,1614815999999,2796948.90368068,26635,6605977805.0,1382414.02791053,0
