open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609459200000,0.2056,0.2461,0.2054,0.2217,61958039.3,1609545599999,13978057.479295999,54490,29521094.53,6653882.300259,0
1609545600000,0.222,0.2225,0.19899999999999998,0.2031,31598903.12,1609631999999,6582780.835534,24441,14396670.84,3003151.604525,0
1609632000000,0.2031,0.2198,0.1875,0.21100000000000002,57749019.12,1609718399999,11564093.969903,45949,30362107.29,6084081.596305001,0
1609718400000,0.21100000000000002,0.223,0.18,0.2045,60160618.29,1609804799999,12162977.859482002,46784,29907964.62,6066924.288996,0
1609804800000,0.2046,0.2154,0.1927,0.2048,35599786.43,1609891199999,7236090.871110001,33026,17889782.15,3639324.446876,0
1609891200000,0.2048,0.294,0.198,0.2559,190437366.01,1609977599999,47179794.411437,113135,101042781.17,25020633.127112,0
1609977600000,0.2558,0.28,0.2358,0.2449,83147158.17,1610063999999,21388240.680515,62307,43237853.24,11149451.349148,0
1610064000000,0.2449,0.26899999999999996,0.21600000000000003,0.231,76707924.75,1610150399999,18258294.744976997,61073,38545470.17,9188284.925203,0
1610150400000,0.231,0.2479,0.2216,0.2389,41841046.84,1610236799999,9762359.473344,35017,21362651.27,4991646.216313,0
1610236800000,0.2389,0.2555,0.21100000000000002,0.2333,52288383.99,1610323199999,12414731.937232,41944,26915745.59,6389957.022986,0
1610323200000,0.2332,0.2333,0.1881,0.2123,56478830.89,1610409599999,11739237.833225999,42369,26924368.75,5601935.721125,0
1610409600000,0.212,0.2289,0.2022,0.2131,41015566.45,1610495999999,8827316.475863,36450,20926466.8,4511318.499283999,0
1610496000000,0.2132,0.2314,0.2032,0.22899999999999998,99767861.38,1610582399999,21630975.537251,121939,51622580.23,11192150.436529,0
1610582400000,0.2291,0.2333,0.2191,0.2275,85248615.49,1610668799999,19273986.740355,144890,44374308.51,10035052.299286999,0
1610668800000,0.2275,0.2301,0.2042,0.2136,80272367.01,1610755199999,17400884.744716,108818,40052908.26,8688137.050848,0
1610755200000,0.2136,0.23,0.2098,0.2171,72612628.0,1610841599999,15964567.373314999,70465,38218638.04,8406799.113611,0
1610841600000,0.2171,0.2339,0.2125,0.2233,68094431.85,1610927999999,15079080.267760001,72750,35182295.16,7797125.257682,0
1610928000000,0.2232,0.242,0.2181,0.2359,69841121.68,1611014399999,15883834.600213,75080,35694890.07,8123920.488883999,0
1611014400000,0.2359,0.259,0.2344,0.2471,109367500.23,1611100799999,26825466.288174,154367,55207647.48,13536015.310575,0
1611100800000,0.2468,0.2493,0.2181,0.2391,80123847.63,1611187199999,18593968.025766,50131,43619215.17,10119185.957558999,0
1611187200000,0.239,0.2394,0.2075,0.2113,36244107.98,1611273599999,8001022.778178,30815,15818313.7,3496073.687829,0
1611273600000,0.2118,0.2247,0.1944,0.2162,35542859.69,1611359999999,7482410.105130999,28803,17626605.14,3715621.366122,0
1611360000000,0.21600000000000003,0.23,0.2082,0.2155,25650646.4,1611446399999,5544874.587168,21103,12515632.83,2711631.542029,0
1611446400000,0.2155,0.2237,0.2099,0.2134,29359124.97,1611532799999,6362412.540141,20784,16040686.39,3478769.569972,0
1611532800000,0.2135,0.2287,0.2131,0.2212,34938060.1,1611619199999,7728500.495483,27122,18170930.19,4016304.7160279998,0
1611619200000,0.2212,0.2463,0.2193,0.24600000000000002,85195387.65,1611705599999,19845223.324276,56699,42521725.84,9926501.517517,0
1611705600000,0.2461,0.2577,0.2207,0.2322,82814162.62,1611791999999,19707267.317444,56439,39234227.66,9360619.999541,0
1611792000000,0.2322,0.2403,0.226,0.2334,46523457.9,1611878399999,10783681.499000002,31987,23180933.61,5379878.355563,0
1611878400000,0.2335,0.2498,0.2275,0.235,84220190.58,1611964799999,19979438.398314998,53764,41199464.44,9776312.339642,0
1611964800000,0.235,0.2379,0.2205,0.23199999999999998,49106684.03,1612051199999,11316528.85482,31765,25764951.21,5944147.921098,0
1612051200000,0.2322,0.2416,0.2263,0.2358,45345949.59,1612137599999,10531929.713049,28824,22567992.79,5246348.565451,0
1612137600000,0.2361,0.2788,0.2302,0.267,128768167.58,1612223999999,32707109.877675,82676,61755328.59,15683079.861369,0
1612224000000,0.267,0.2939,0.2544,0.2773,110971297.07,1612310399999,30492804.360208,64956,53425385.77,14697814.210206,0
1612310400000,0.2777,0.2886,0.27,0.2868,52846282.26,1612396799999,14753453.074223999,32094,27285075.68,7617814.720256,0
1612396800000,0.2868,0.2899,0.2599,0.2657,62495180.09,1612483199999,17082149.28174,37450,31316172.47,8557705.496989,0
1612483200000,0.2657,0.289,0.2647,0.2889,47999645.17,1612569599999,13311985.339525,31238,25130016.47,6975060.0394669995,0
1612569600000,0.2888,0.2938,0.2688,0.2755,50038649.01,1612655999999,13928180.04723,33580,25452252.98,7089628.5552199995,0
1612656000000,0.2755,0.3217,0.271,0.3105,89560254.6,1612742399999,25897372.212278,55135,47947155.25,13885743.406032998,0
1612742400000,0.3103,0.361,0.3069,0.3283,151702498.21,1612828799999,50078219.911368,100564,80472389.72,26589232.706113,0
1612828800000,0.3286,0.3424,0.3201,0.3368,64906833.19,1612915199999,21462546.266974,50146,32039374.17,10597311.21197,0
1612915200000,0.3367,0.3821,0.32,0.3714,105202424.82,1613001599999,36949314.471964,88288,52419897.66,18428594.732646,0
1613001600000,0.3713,0.41200000000000003,0.3637,0.4006,80070580.72,1613087999999,31368668.482495002,67581,42506191.79,16648651.509220999,0
1613088000000,0.4005,0.4195,0.3756,0.401,82882109.54,1613174399999,33131829.632102,63908,44722968.44,17857857.708591,0
1613174400000,0.4015,0.43,0.37,0.4028,95162605.03,1613260799999,37643814.825509004,70473,49899228.79,19742287.310135,0
1613260800000,0.4029,0.4057,0.35700000000000004,0.3691,68010963.79,1613347199999,25990953.382188,54795,34645741.44,13246652.486972,0
1613347200000,0.3689,0.41,0.32,0.3826,76072129.12,1613433599999,27982652.354384996,72407,37218751.94,13674778.824172,0
1613433600000,0.38299999999999995,0.39799999999999996,0.365,0.3801,42669726.97,1613519999999,16285044.807498,40959,21120274.87,8063360.156538,0
1613520000000,0.3802,0.4049,0.364,0.3964,47491415.85,1613606399999,18368882.998310998,39254,23801601.23,9191558.219650999,0
1613606400000,0.3967,0.4384,0.3945,0.4351,67144097.89,1613692799999,28111066.801464003,64496,35376763.03,14823672.364585001,0
1613692800000,0.4345,0.528,0.4104,0.5256,95283161.33,1613779199999,44522870.821644,95399,50828860.7,23784332.859812,0
1613779200000,0.526,0.5641,0.4602,0.5061,90504147.52,1613865599999,47547563.902328,98557,45903652.97,24116375.864591,0
1613865600000,0.5062,0.5787,0.4964,0.563,61031444.29,1613951999999,32806680.344533,72184,32665158.34,17559674.97602,0
1613952000000,0.5629,0.768,0.43,0.7006,269187929.34,1614038399999,164777870.466136,257599,136658750.26,84137308.66605799,0
1614038400000,0.7005,0.7409,0.4363,0.5339,554870337.87,1614124799999,321323188.959178,457320,272320423.44,157593284.51683,0
1614124800000,0.5339,0.5592,0.4899,0.5283,150159290.49,1614211199999,79477226.32316701,128020,78711083.41,41662097.522221,0
1614211200000,0.5289,0.5462,0.4883,0.4927,64044837.22,1614297599999,33146728.542137,64471,30814065.42,15958698.063844,0
