open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609459200000,63.96,67.24,54.38,56.6,823695.5767600001,1609545599999,49010999.4522324,137484,420609.21547,25033389.6922618,0
1609545600000,56.6,59.9,55.2,57.46,468375.73952,1609631999999,27027183.4682906,84889,230431.98866,13299134.5501904,0
1609632000000,57.48,61.88,56.22,59.35,358158.13483,1609718399999,20989871.358567998,62463,181747.40243,10653966.114610199,0
1609718400000,59.35,65.0,56.62,60.34,497967.97236,1609804799999,30049048.130579,93062,251151.4746,15158411.7043042,0
1609804800000,60.34,61.17,57.91,59.64,231711.56414,1609891199999,13749124.881801099,60499,117210.9339,6951682.776477499,0
1609891200000,59.63,65.35,58.95,63.92,402336.26763,1609977599999,24994734.4659882,94187,200099.07508,12435525.7829704,0
1609977600000,63.92,74.32,62.93,67.75,824291.97475,1610063999999,56779148.861015104,174670,418348.1526,28814933.086269896,0
1610064000000,67.77,70.08,61.14,68.59,536970.7375,1610150399999,35746279.4740584,113960,264038.25445999997,17586373.0963974,0
1610150400000,68.62,80.0,65.77,78.44,524335.05886,1610236799999,38014139.0776062,115249,261985.85619000002,19030733.2175927,0
1610236800000,78.44,98.67,75.7,96.37,2044328.41849,1610323199999,181695140.53977048,339795,1050927.92929,93459636.8025922,0
1610323200000,96.45,108.97,77.59,88.24,2757618.58073,1610409599999,251972281.44361982,454667,1381855.1194,126513895.250826,0
1610409600000,88.13,105.51,84.28,99.72,1481569.6383,1610495999999,142971262.6643123,240829,737663.51515,71177918.073816,0
1610496000000,99.73,120.69,92.47,117.35,1133276.73798,1610582399999,121309827.6367158,199898,583404.3867800001,62490303.4943727,0
1610582400000,117.33,118.89,105.9,111.71,609032.21864,1610668799999,68878766.3568836,123786,300315.10644,33974522.1391221,0
1610668800000,111.72,114.95,94.43,103.25,655505.87085,1610755199999,69650636.17794721,137373,312802.67078000004,33310392.0224918,0
1610755200000,103.25,113.88,101.67,108.08,517457.16198999994,1610841599999,55572190.704695605,117445,251423.19899,27011871.6898285,0
1610841600000,108.11,108.95,98.14,102.25,435650.58822,1610927999999,44856573.998959005,93774,212268.34602,21855799.0870403,0
1610928000000,102.15,106.44,100.1,103.98,348740.89628000004,1611014399999,36055897.3499468,70594,176341.55387,18225627.9182228,0
