open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609459200000,0.355,0.3749,0.3509,0.3744,7268120.79,1609545599999,2638455.941512,12221,4071847.75,1477884.355691,0
1609545600000,0.3744,0.397,0.3574,0.3604,11500485.3,1609631999999,4313780.338113,21918,5794584.89,2175206.121428,0
1609632000000,0.3603,0.3955,0.3573,0.3923,16373071.15,1609718399999,6171571.621857,27668,8575415.19,3231743.542304,0
1609718400000,0.3923,0.419,0.3638,0.3948,18480258.05,1609804799999,7168207.207456,35247,8984144.4,3493385.429836,0
1609804800000,0.3952,0.4544,0.3821,0.4447,24145023.3,1609891199999,10203595.12297,41711,13021540.63,5496884.432552,0
1609891200000,0.4451,0.4961,0.4302,0.4618,29970909.37,1609977599999,13981452.840407,57000,15293654.16,7142070.223874001,0
1609977600000,0.4618,0.49,0.4268,0.4386,19206626.36,1610063999999,8951962.054002,41757,9711290.07,4535679.558001,0
1610064000000,0.439,0.4602,0.4,0.44,15676597.15,1610150399999,6847268.959741,34231,8133992.84,3557633.726979,0
1610150400000,0.44,0.62,0.4255,0.5405,59508132.51,1610236799999,32339208.972136,112354,31297838.33,17006512.560211,0
1610236800000,0.5405,0.585,0.4585,0.5276,37124787.78,1610323199999,19506728.713742003,81012,18935350.81,9956759.412751,0
1610323200000,0.5281,0.529,0.3814,0.4365,23864269.78,1610409599999,10517365.349733999,55288,11767747.05,5185930.203318,0
1610409600000,0.4362,0.4607,0.41,0.4272,13274036.65,1610495999999,5768534.147631,26975,6781301.6,2946926.283524,0
1610496000000,0.4281,0.541,0.4281,0.506,36645498.67,1610582399999,18137432.405415,71447,18786628.43,9297930.244661,0
1610582400000,0.5053,0.5229,0.4804,0.504,14054084.47,1610668799999,7022418.533242,32167,7187606.32,3590779.352228,0
1610668800000,0.5044,0.5588,0.4601,0.5154,26194999.6,1610755199999,13420930.957128,52599,12960845.18,6637038.714385,0
1610755200000,0.5158,0.5657,0.5013,0.5272,20341060.61,1610841599999,10935340.980263,42416,10459537.21,5621396.832838,0
1610841600000,0.5272,0.631,0.5106,0.5942,30790585.88,1610927999999,17440411.23719,61751,16192115.74,9181671.651568,0
1610928000000,0.5942,0.629,0.565,0.5847,15531292.64,1611014399999,9255616.435068,37902,7978758.03,4761721.766889,0
1611014400000,0.5847,0.5999,0.5385,0.5422,13356235.89,1611100799999,7602252.7043860005,29640,6462716.11,3681679.557524,0
1611100800000,0.5413,0.5608,0.4979,0.5582,13527724.84,1611187199999,7192294.662769999,31376,6844014.96,3646048.30598,0
1611187200000,0.5583,0.5619,0.4579,0.465,12710695.42,1611273599999,6415309.483705,32163,6202376.79,3135042.24783,0
1611273600000,0.4651,0.5353,0.4337,0.5106,12125769.93,1611359999999,5931962.438988,34143,6170107.36,3014119.158975,0
1611360000000,0.51,0.5799,0.4973,0.562,12379528.58,1611446399999,6599017.169929001,29659,6766990.83,3611192.4144160002,0
1611446400000,0.562,0.5757,0.5226,0.5483,13347148.14,1611532799999,7371200.469569,30919,6509064.2,3598161.968161,0
1611532800000,0.5482,0.5643,0.5134,0.5207,10213453.71,1611619199999,5585844.407973001,23709,5158051.88,2820458.064422,0
1611619200000,0.5208,0.5524,0.4957,0.5435,11360815.46,1611705599999,5973317.316766,24309,5966347.04,3137936.92753,0
1611705600000,0.5433,0.6022,0.5098,0.5832,31509314.03,1611791999999,17699072.612751998,68674,16428258.51,9237404.015507001,0
1611792000000,0.583,0.6778,0.5773,0.6086,37949997.5,1611878399999,23608983.247907,80398,19442003.87,12101462.771175,0
1611878400000,0.6082,0.6222,0.5735,0.6009,23332853.37,1611964799999,13891425.808649,53548,11145283.03,6644857.841430999,0
1611964800000,0.6009,0.659,0.5763,0.6542,15405779.37,1612051199999,9468167.409788001,32306,7470634.01,4605473.533729,0
1612051200000,0.654,0.8,0.6276,0.7064,73429315.74,1612137599999,51984473.137069,141113,36979595.16,26258839.343132,0
