open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609459200000,1.3623,1.3974,1.0863,1.155,20279992.26,1609545599999,24465518.026843,91068,9096169.67,10983604.249296,0
1609545600000,1.1521,1.1607,1.0,1.025,11922746.16,1609631999999,12861436.62075,54928,5114974.76,5532459.586454,0
1609632000000,1.0259,1.1568,0.9456,1.1079999999999999,20147704.01,1609718399999,21379421.776639003,70324,10264272.78,10882839.975117,0
1609718400000,1.1079999999999999,1.24,0.9666,1.0317,18714450.36,1609804799999,20652733.11878,69045,9426073.01,10425694.581387,0
1609804800000,1.0317,1.38,0.98,1.2501,21614286.19,1609891199999,24772365.762339998,87149,11324499.88,13047793.620305,0
1609891200000,1.2502,1.5269,1.1885,1.51,26125892.04,1609977599999,35471398.630165,119636,14090167.57,19112678.452995002,0
1609977600000,1.5109,1.615,1.244,1.2925,25553868.02,1610063999999,37327120.55827,126000,12775272.11,18687367.102122,0
1610064000000,1.294,1.3485,1.0111,1.1867,22858507.73,1610150399999,28305260.777243,108585,10732615.04,13326857.822982,0
1610150400000,1.1864,1.2999,1.112,1.2431,17542226.69,1610236799999,21282757.752106,76495,8826412.28,10738599.027683001,0
1610236800000,1.2441,1.3871,1.11,1.2058,21496873.07,1610323199999,27376198.030270997,91381,10236899.12,13089608.325835,0
1610323200000,1.2032,1.2126,0.9623,1.1243,18251793.0,1610409599999,19767672.641642,67931,8107262.82,8804522.441582,0
1610409600000,1.1262,1.214,1.055,1.1275,12397670.65,1610495999999,14122650.797779001,47935,6224203.68,7101058.6448800005,0
1610496000000,1.1272,1.3345,1.06,1.2770000000000001,16398822.19,1610582399999,20123388.883208,68051,8506579.67,10462449.880889999,0
1610582400000,1.275,1.4026,1.2637,1.3395,13593431.03,1610668799999,18063982.2852,47235,6818891.54,9073766.499624,0
1610668800000,1.3379,1.51,1.1716,1.3516,24679310.93,1610755199999,33544488.378938,85824,12665017.02,17241486.352148,0
1610755200000,1.3488,1.8416,1.3313,1.6319,30763976.8,1610841599999,48763780.743055,129709,16211047.34,25746841.944032002,0
