open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609459200000,3.0563,3.2503,3.0468,3.2205,343879.24,1609545599999,1092973.3988690001,11055,172544.08,547646.703835,0
1609545600000,3.2199,3.2253,3.0003,3.1085,194395.43,1609631999999,607870.8853859999,7614,113048.09,353446.811468,0
1609632000000,3.1085,3.2103,2.96,3.0597,356059.18,1609718399999,1104047.244348,9408,181834.16,565563.485406,0
1609718400000,3.0597,3.4338,3.0575,3.3395,577711.28,1609804799999,1872176.3836130002,13021,331099.17,1074551.3550139999,0
1609804800000,3.3388,3.4223,3.1789,3.3004,393143.89,1609891199999,1296175.152854,10469,205329.0,676636.168801,0
1609891200000,3.3034,3.6,3.2893,3.4719,426940.68,1609977599999,1465272.6939110002,11898,236188.9,811672.193942,0
1609977600000,3.4719,3.8377,3.3,3.4707,741165.13,1610063999999,2658152.472197,18094,384003.6,1375158.460837,0
1610064000000,3.4711,3.5967,3.0991,3.2971,412260.32,1610150399999,1384775.452844,11844,222472.85,747099.46328,0
1610150400000,3.2971,3.6824,3.1999,3.4863,770208.35,1610236799999,2622395.15497,16888,401361.26,1368109.01052,0
1610236800000,3.4863,3.9434,3.3801,3.8196,540460.15,1610323199999,1983422.335461,15259,300795.19,1103733.507266,0
1610323200000,3.826,3.8461,3.0259,3.342,516260.24,1610409599999,1714072.302255,12741,236057.3,787839.183166,0
1610409600000,3.342,3.3642,3.0251,3.1671,438162.58,1610495999999,1412697.302415,10456,240062.79,774397.982422,0
1610496000000,3.1556,3.35,3.0437,3.2875,309284.33,1610582399999,981598.729726,8685,179952.18,571903.182521,0
1610582400000,3.2907,3.5,3.1747,3.2799,378650.66,1610668799999,1261963.709286,10605,213034.77,710104.609375,0
1610668800000,3.2799,3.5761,3.1,3.3493,822544.44,1610755199999,2735915.604108,18282,419643.07,1397283.077829,0
1610755200000,3.3458,3.65,3.3431,3.4984,609461.76,1610841599999,2141517.136355,13362,306097.73,1075219.201237,0
1610841600000,3.5027,5.2894,3.4241,4.8616,3878328.75,1610927999999,17929618.415765,71505,2004006.34,9295055.495533999,0
1610928000000,4.8569,5.0309,4.1515,4.2703,1463948.48,1611014399999,6618155.232818,35259,669918.02,3033508.172974,0
1611014400000,4.2703,4.4145,4.0,4.0005,725876.13,1611100799999,3076204.37058,18386,324279.66,1378427.913741,0
1611100800000,4.0005,4.1753,3.6884,4.0116,622489.52,1611187199999,2441030.1813,14240,306880.77,1202980.2972940002,0
1611187200000,4.0231,4.0977,3.41,3.4333,739649.19,1611273599999,2701239.125047,15599,338583.06,1235024.9270549999,0
1611273600000,3.4206,3.4864,3.0205,3.3556,688217.84,1611359999999,2280744.866021,14050,345315.9,1146337.819402,0
1611360000000,3.3655,3.8891,3.2651,3.7132,905639.91,1611446399999,3275768.9267680002,19153,492781.27,1785814.9325889999,0
1611446400000,3.7046,4.4147,3.679,4.2194,1490122.99,1611532799999,6174770.544927,33123,799247.51,3310234.012658,0
1611532800000,4.2272,4.3933,3.86,3.8703,553943.62,1611619199999,2267928.6007580003,15371,255372.8,1047688.7275469999,0
1611619200000,3.8848,4.207,3.576,3.9919,433267.42,1611705599999,1659993.6302190002,11525,216323.49,832037.568771,0
1611705600000,4.0149,4.0149,3.4245,3.484,519028.66,1611791999999,1905363.119068,13326,239156.03,880714.7193299999,0
1611792000000,3.4975,4.2,3.4577,3.8389,632706.22,1611878399999,2407620.318541,15854,330363.2,1254972.690497,0
1611878400000,3.8389,3.9905,3.5594,3.7612,486516.82,1611964799999,1819167.5923209998,12324,228123.33,852784.479744,0
1611964800000,3.7546,4.1249,3.7208,3.9521,559365.75,1612051199999,2190131.702765,16315,272797.77,1068964.9556,0
1612051200000,3.9522,4.39,3.8568,4.166,765942.09,1612137599999,3153495.1500979997,22564,379237.42,1566660.391698,0
1612137600000,4.1789,4.5177,4.0532,4.2641,628250.21,1612223999999,2699914.2361669997,19647,286396.96,1233979.418206,0
1612224000000,4.2655,4.3009,4.0863,4.1578,360470.01,1612310399999,1499886.9309790002,12138,170488.38,709779.910175,0
1612310400000,4.1578,4.3151,4.0202,4.2461,959892.04,1612396799999,4014194.225371,22944,452957.65,1897671.039216,0
1612396800000,4.2425,4.8115,4.1625,4.5,1105745.06,1612483199999,4924889.601758,27249,542491.85,2418464.803627,0
1612483200000,4.5089999999999995,6.6998,4.5,5.9454,3471930.9,1612569599999,19863679.199282,87640,1805699.0,10321723.462964,0
1612569600000,5.9262,6.0841,5.102,5.4781,1576173.79,1612655999999,8702516.188621001,40498,806649.41,4460376.190808,0
1612656000000,5.4667,5.6035,4.6413,5.1912,1084859.11,1612742399999,5494800.650254,28907,530031.69,2689125.499759,0
1612742400000,5.1915,5.7839,5.0516,5.5688,1008822.27,1612828799999,5486233.489956,33724,496994.43,2705431.202057,0
1612828800000,5.5687,5.855,5.3366,5.8009,1049805.95,1612915199999,5805323.11038,30466,496775.36,2752589.9194259997,0
1612915200000,5.7852,5.9777,5.0098,5.4846,1057189.52,1613001599999,5889971.701172,36564,492946.15,2745053.989565,0
1613001600000,5.4956,6.5838,5.4465,6.2329,1374643.94,1613087999999,8368704.634798,44346,701485.07,4270016.887016,0
1613088000000,6.2369,7.0495,6.2039,6.9043,1504106.36,1613174399999,10110158.764843,47950,717265.24,4822716.540906,0
1613174400000,6.9153,7.3496,6.1883,7.1,1726067.66,1613260799999,11883529.26445,57757,867150.33,5977062.0124699995,0
1613260800000,7.1133,7.49,6.0478,6.5360000000000005,1386465.37,1613347199999,9447230.180057,45724,659935.03,4511322.653134,0
1613347200000,6.542999999999999,6.5521,5.0969,5.9378,1602611.47,1613433599999,9519918.084681,45988,730588.0,4341666.818205,0
1613433600000,5.9279,6.2146,5.4164,5.7428,1052736.0,1613519999999,6179462.561241,32938,508888.74,2992327.401026,0
1613520000000,5.7472,6.1494,5.3302,6.1354,770453.92,1613606399999,4449882.900576,29425,388552.35,2247078.158037,0
1613606400000,6.1407,6.4878,5.942,6.3696,737703.42,1613692799999,4562955.914744,31487,368175.63,2281236.525494,0
1613692800000,6.3429,6.4271,5.9263,5.9447,762400.92,1613779199999,4636823.097812001,27604,339417.1,2066269.9790090001,0
1613779200000,5.9617,6.1599,5.51,5.635,825912.8,1613865599999,4894467.075881,29067,352515.81,2092613.4893689998,0
1613865600000,5.6464,5.9187,5.513999999999999,5.8346,659868.91,1613951999999,3784635.645007,23434,294921.09,1694032.364634,0
1613952000000,5.8493,6.6,4.7535,5.3179,2015290.59,1614038399999,11696050.190608,49272,985923.4,5718262.765445,0
1614038400000,5.3064,5.3238,3.8242,4.4474,1421254.47,1614124799999,6485670.532241001,31954,695165.69,3176577.489591,0
1614124800000,4.4554,5.0585,4.23,4.7272,1012626.59,1614211199999,4655258.662556,23043,514699.01,2372406.896225,0
1614211200000,4.7274,4.942,4.3,4.3329,891345.28,1614297599999,4081863.9650709997,21361,411935.31,1891281.3790119998,0
1614297600000,4.3322,4.4048,3.8632,4.1171,820193.36,1614383999999,3433008.890238,17844,399935.03,1676165.755819,0
1614384000000,4.1317,4.4228,4.05,4.2334,695403.66,1614470399999,2920715.91323,15768,360962.27,1517261.940924,0
1614470400000,4.2184,4.2275,3.5295,3.8042,736646.43,1614556799999,2830264.2090419997,16932,342569.3,1316171.329618,0
1614556800000,3.8,4.3678,3.7983,4.3501,520798.27,1614643199999,2104081.62818,13418,309237.82,1251640.111107,0
1614643200000,4.3501,6.167999999999999,4.12,5.3267,4546732.11,1614729599999,24462272.08349,72672,2337473.71,12565095.740377,0
1614729600000,5.3413,6.0373,4.9619,5.1434,4076509.59,1614815999999,22565113.587818,99825,1975318.04,10962692.859603,0
1614816000000,5.1434,5.48,4.8134,5.3438,1392003.81,1614902399999,7167770.26627,39065,706288.26,3639341.305916,0
1614902400000,5.3438,5.3738,4.8109,5.0526,777064.89,1614988799999,3900860.980267,23690,367419.47,1843174.79105,0
1614988800000,5.0629,5.1,4.8301,5.0208,389563.86,1615075199999,1945250.4038689998,14033,181916.89,909137.4213209999,0
1615075200000,5.0294,5.2363,4.952,5.0563,510596.82,1615161599999,2596249.1183040002,19351,242749.38,1234862.067235,0
1615161600000,5.0562,5.4,4.9458,5.3332,571442.8,1615247999999,2922307.484578,18260,284059.99,1455422.534517,0
1615248000000,5.3431,5.4670000000000005,5.1645,5.4001,653402.59,1615334399999,3488702.9587370004,21194,317739.24,1698504.834343,0
1615334400000,5.4111,5.4875,5.0569,5.1465,514835.15,1615420799999,2717738.188536,17897,240949.66,1273508.300329,0
1615420800000,5.1531,5.2426,4.5751,5.0859,745093.69,1615507199999,3759539.0085620005,19373,327941.18,1657166.229596,0
1615507200000,5.1051,6.0855,5.0032,5.9939,1418257.4,1615593599999,7776793.6943580005,38573,696954.21,3822294.4847790003,0
1615593600000,5.9879,6.0056,5.4948,5.6107,971784.86,1615679999999,5544999.634072,30257,458020.3,2613249.930051,0
1615680000000,5.6216,6.1024,5.471,5.86,918707.96,1615766399999,5318211.525544,28801,451805.69,2618531.399321,0
1615766400000,5.8659,7.5,5.2995,6.7757,1886770.92,1615852799999,12129550.183415,50702,939600.27,6070972.057341,0
1615852800000,6.792999999999999,7.8531,6.403,6.8656,3103711.87,1615939199999,22230145.677954998,82986,1521602.42,10919520.331244001,0
1615939200000,6.8654,7.0075,6.3142,6.8542,1332567.15,1616025599999,8783669.193266,39796,644628.71,4256986.313348,0
1616025600000,6.8542,6.9355,6.4512,6.7428,986467.24,1616111999999,6539404.320192,33855,448033.64,2973832.104961,0
1616112000000,6.7302,7.4159,6.5323,7.061,1114010.29,1616198399999,7904625.165113,45217,556791.83,3957671.732394,0
1616198400000,7.0625,7.85,7.0067,7.0622,924091.61,1616284799999,6869672.018944,38141,431395.53,3212753.865538,0
1616284800000,7.0622,7.6,6.638999999999999,7.2187,1272171.73,1616371199999,9094315.156013,36938,574169.01,4116305.148761,0
1616371200000,7.2321,7.74,6.6833,6.7620000000000005,1186021.41,1616457599999,8656338.392905999,41961,539271.43,3942022.7314199996,0
1616457600000,6.7620000000000005,6.9333,6.1914,6.4561,1128448.34,1616543999999,7350058.746122999,32603,534419.56,3480207.078843,0
1616544000000,6.4563,10.4028,6.2108,8.1629,7315109.05,1616630399999,63803336.858277,155179,3816005.38,33315110.280981,0
1616630400000,8.1629,13.8639,8.052999999999999,10.1217,21463489.21,1616716799999,229116102.314262,477939,10894362.93,116503019.430817,0
1616716800000,10.0794,11.6999,9.597000000000001,9.89,8540821.17,1616803199999,90640247.303673,235264,4310817.26,45840511.422324,0
1616803200000,9.9,10.66,9.286,10.014,3638558.59,1616889599999,36358720.34551,110022,1762382.41,17625844.814336,0
1616889600000,10.014,10.189,9.092,9.2612,2075692.06,1616975999999,20072380.663941,65668,938505.3,9088993.579712,0
1616976000000,9.2448,9.9,9.0474,9.31,1532913.48,1617062399999,14495967.466469001,51462,718201.1,6792206.898775,0
1617062400000,9.31,13.3863,9.3001,11.7934,5651626.64,1617148799999,64812471.334178,182866,2885976.33,33068344.976440996,0
1617148800000,11.7635,11.8737,10.31,10.7906,1796965.39,1617235199999,20168969.11206,72229,822454.16,9247981.861951,0
1617235200000,10.7916,12.6477,10.502,11.7703,2514361.74,1617321599999,29044635.141044002,90719,1230789.98,14267534.526719,0
1617321600000,11.7703,13.65,11.4171,11.674000000000001,3459946.13,1617407999999,42812451.078871995,126786,1712676.85,21250158.22131,0
1617408000000,11.6671,12.4178,10.5723,10.6946,1296151.84,1617494399999,14916514.629963001,60731,598804.05,6905302.401055001,0
1617494400000,10.6957,11.9744,10.5193,11.3304,3303963.83,1617580799999,37127117.582887,93257,1779350.69,20016795.778486,0
1617580800000,11.3304,13.2664,11.2865,13.0751,1894347.07,1617667199999,23275035.925254002,84390,933086.41,11481070.293383,0
1617667200000,13.0798,14.98,12.2828,12.5339,2882224.24,1617753599999,38966415.056584,112872,1436271.53,19498828.91048,0
1617753600000,12.5253,12.8758,10.4191,11.0909,1822794.5,1617839999999,21257485.256807,62719,854910.02,9962833.840569,0
1617840000000,11.095,12.4,10.967,12.1086,1100755.86,1617926399999,12902075.994332,48597,541879.25,6364535.344723,0
1617926400000,12.1174,12.98,11.6126,12.2307,1312367.58,1618012799999,16178202.312822,57045,626132.63,7727974.600888001,0
1618012800000,12.2301,12.3644,11.25,11.6297,855618.62,1618099199999,10063030.473944,32188,394939.44,4642631.133141001,0
1618099200000,11.6351,11.674000000000001,10.7089,11.2145,864073.15,1618185599999,9611201.804786999,33082,363334.12,4046740.7942660004,0
1618185600000,11.2189,11.6247,10.2311,10.5372,1096373.18,1618271999999,11879623.887162,43143,519597.28,5634550.01726,0
1618272000000,10.5474,11.3,10.2,11.0,856248.73,1618358399999,9200490.273697,31001,424383.94,4569420.426103,0
