open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609459200000,8.299,12.18,6.678,10.009,268541.974,1609545599999,2373270.691007,14138,111287.4,1001358.6501399999,0
1609545600000,10.009,12.177,9.499,9.746,255374.069,1609631999999,2746181.8547,15574,104889.663,1147566.0434370001,0
1609632000000,9.822000000000001,9.887,7.928999999999999,7.982,62394.82,1609718399999,553948.914857,4892,18866.526,165827.85424400002,0
1609718400000,7.974,8.269,6.813,7.28,62404.640999999996,1609804799999,468888.04536800005,4337,25274.048,190993.435991,0
1609804800000,7.271,7.814,6.966,7.313,67060.102,1609891199999,489435.009774,4291,31055.57,227165.42208000002,0
1609891200000,7.296,7.3,6.773,6.78,52471.11,1609977599999,369732.504095,2786,14983.997,105276.18691799999,0
1609977600000,6.78,6.931,6.127000000000001,6.228,92405.38,1610063999999,594086.263207,4897,30406.225,195937.656781,0
1610064000000,6.269,9.013,5.99,6.2010000000000005,149588.506,1610150399999,1018108.3376030001,7919,66889.011,460577.265569,0
1610150400000,6.2010000000000005,6.5,5.9110000000000005,6.09,53146.947,1610236799999,323577.106652,2697,21775.737,133155.729851,0
1610236800000,6.09,6.218999999999999,5.0,5.4239999999999995,50178.55,1610323199999,288310.252194,2637,17657.365,101551.543685,0
1610323200000,5.4239999999999995,5.425,4.2410000000000005,4.92,40830.701,1610409599999,197548.953004,2816,16159.67,78757.721593,0
1610409600000,4.862,5.499,4.2410000000000005,4.57,43022.695,1610495999999,203510.70376,3033,17539.21,83465.753997,0
1610496000000,4.613,7.26,4.375,6.099,343633.77,1610582399999,2088558.982873,12701,186698.092,1150694.331549,0
1610582400000,6.053,6.9,5.555,5.7139999999999995,329461.99,1610668799999,2064337.443578,14288,149486.43,936188.0717969999,0
1610668800000,5.779,5.914,4.85,5.403,273076.36100000003,1610755199999,1505274.72872,19292,138599.6,763417.969449,0
