open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609459200000,0.8611,0.9348,0.8518,0.8996,1585157.28,1609545599999,1426506.292613,14582,785634.92,706748.958422,0
1609545600000,0.8993,0.9007,0.8152,0.8373,1340825.94,1609631999999,1161944.114422,13975,610671.24,529610.756439,0
1609632000000,0.8389,0.9001,0.8051,0.8947,1874754.64,1609718399999,1591519.077382,15189,945013.29,803262.107212,0
1609718400000,0.8947,0.9785,0.8052,0.871,2442882.44,1609804799999,2172917.710806,24139,1158542.81,1032508.0353299999,0
1609804800000,0.871,0.99,0.83,0.9325,3163723.87,1609891199999,2906278.12768,23847,1659583.52,1527059.977384,0
1609891200000,0.9331,1.0342,0.9101,0.9756,2915283.38,1609977599999,2840557.3617669996,24680,1443176.64,1406798.682337,0
1609977600000,0.9782,1.09,0.9383,0.9512,3633882.89,1610063999999,3669705.75267,27564,1817605.32,1838890.8096009998,0
1610064000000,0.9516,1.0929,0.85,1.0169,4127133.81,1610150399999,4038477.3822669997,25767,2035152.33,1996353.777398,0
1610150400000,1.0184,1.1340000000000001,1.0036,1.0967,2950436.29,1610236799999,3155041.270498,20942,1530916.99,1640024.463578,0
1610236800000,1.0981,1.1734,0.9514,1.0328,3727711.26,1610323199999,3933234.4180870005,24667,1873379.8,1980481.110029,0
1610323200000,1.0321,1.07,0.8048,0.9036,3188887.25,1610409599999,2841169.655986,20936,1592724.52,1422435.432867,0
1610409600000,0.9036,0.9369,0.8365,0.8652,2636820.68,1610495999999,2347066.62933,13591,1342198.04,1195750.308258,0
1610496000000,0.8652,0.965,0.8353,0.9583,2055079.12,1610582399999,1885995.318897,12126,1047153.09,961624.1837170001,0
1610582400000,0.9589,1.0070000000000001,0.9359,0.9864,2335812.68,1610668799999,2258640.393942,13041,1165941.67,1128437.5123100001,0
1610668800000,0.9864,1.067,0.9284,1.0021,2985651.37,1610755199999,2968442.314756,17379,1460700.94,1455657.1523139998,0
1610755200000,1.0015,1.15,0.95,1.1193,3691373.85,1610841599999,4039107.828001,26615,1834750.49,2013040.525595,0
1610841600000,1.1194,1.354,1.0709,1.3192,6203049.58,1610927999999,7649518.080325,36045,3248443.46,4001955.7561620004,0
1610928000000,1.3192,1.6,1.2979,1.4138,7872405.11,1611014399999,11296277.706409,49582,3979648.0,5722647.170303,0
1611014400000,1.4115,1.42,1.2446,1.2454,2857973.71,1611100799999,3875117.456713,25499,1344498.96,1825574.193927,0
1611100800000,1.2454,1.3577,1.194,1.3521,4149174.75,1611187199999,5195985.834980001,28125,1995755.2,2503101.230428,0
1611187200000,1.3519999999999999,1.6542,1.2644,1.4425,15105561.03,1611273599999,22360026.540471,75800,7713892.46,11428178.710507,0
1611273600000,1.4449,1.7676,1.286,1.6992,8382597.75,1611359999999,13034171.191936,57435,4199989.1,6546781.807697,0
1611360000000,1.7001,1.8419999999999999,1.6258,1.6851,5349568.58,1611446399999,9311675.571466,43163,2734718.53,4768813.122146,0
1611446400000,1.6851,1.75,1.5654,1.6514,2513827.93,1611532799999,4204147.882509,25566,1243991.88,2081827.274464,0
1611532800000,1.6516,1.8,1.5116,1.5308,2500190.97,1611619199999,4056511.035421,23970,1239480.37,2014917.4620720001,0
1611619200000,1.5271,1.5978,1.3719999999999999,1.5497,2835805.52,1611705599999,4228965.479376,22889,1520525.24,2268151.0546770003,0
1611705600000,1.5469,1.5495,1.307,1.3301,2115784.02,1611791999999,2957171.559458,19922,1007295.96,1403997.850532,0
1611792000000,1.3301,1.85,1.3078,1.5441,10216471.35,1611878399999,17045889.631389003,71679,5183596.12,8664857.438655,0
1611878400000,1.5445,1.5846,1.4232,1.4749,3303633.93,1611964799999,4945738.090941001,31196,1569279.38,2349870.720209,0
1611964800000,1.4769,1.6815,1.401,1.5556,3980623.33,1612051199999,6181181.155486,38445,2080208.58,3243247.323315,0
1612051200000,1.5556,1.83,1.5184,1.6194,3760700.99,1612137599999,6177522.287502,42690,1852586.63,3053019.311909,0
1612137600000,1.6195,2.22,1.5506,2.1303,6959369.06,1612223999999,13444545.074629,67120,3538948.6,6855098.570901999,0
1612224000000,2.1303,2.4486,1.973,2.252,8237264.11,1612310399999,18401373.122948002,80740,4502789.37,10066456.380112,0
1612310400000,2.252,2.3133,2.12,2.15,2524356.99,1612396799999,5544464.235692,32478,1128555.19,2486056.158706,0
1612396800000,2.1529,2.2569,2.0001,2.177,2650003.93,1612483199999,5630623.604134,34417,1319950.93,2807422.890293,0
1612483200000,2.181,2.4105,2.1074,2.2949,4210513.04,1612569599999,9505103.538197,45768,2196920.76,4965541.7833940005,0
1612569600000,2.2943,2.5,2.0328,2.1057,4029104.4,1612655999999,8878936.187437,43189,1997675.1,4415873.244204,0
1612656000000,2.1098,2.3499,1.9267,2.2808,5038043.04,1612742399999,10972193.525293,54390,2417178.18,5271282.24636,0
1612742400000,2.2882,2.701,2.2603,2.4606,6859390.58,1612828799999,17263473.626418,70133,3667227.18,9251730.984927,0
1612828800000,2.4587,2.98,2.3791,2.9659,6496384.3,1612915199999,17673061.141406,70062,3290016.83,8971286.96768,0
