open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609459200000,1.2648,1.3230000000000002,1.251,1.2907,966466.26,1609545599999,1250003.1448040002,8723,495596.11,642364.9569430001,0
1609545600000,1.2881,1.3199,1.25,1.2783,850649.56,1609631999999,1098629.299292,8212,383828.89,496196.14523599995,0
1609632000000,1.2783,1.4369,1.2757,1.3987,1589411.53,1609718399999,2152372.323655,14059,811231.01,1098924.73636,0
1609718400000,1.4046,1.59,1.2433,1.4033,1817961.72,1609804799999,2553269.7342990004,17500,963295.6,1357594.000166,0
1609804800000,1.4055,1.5959999999999999,1.3359999999999999,1.5792,1653675.42,1609891199999,2398246.87593,16430,897205.59,1301158.546478,0
1609891200000,1.5791,1.6258,1.4879,1.5778,1959320.74,1609977599999,3020499.744,18731,894594.56,1379409.843967,0
1609977600000,1.5842,1.6968,1.4658,1.5986,1521530.52,1610063999999,2444178.6003380003,14695,721132.72,1159697.978778,0
1610064000000,1.5993,1.6288,1.4240000000000002,1.5617,1176241.04,1610150399999,1803696.8873939998,12095,612207.12,939070.1453430001,0
1610150400000,1.5617,1.6501,1.506,1.6236,841256.45,1610236799999,1333886.013585,9921,437897.49,694041.479771,0
1610236800000,1.6246,1.7238,1.4488,1.5711,1634658.69,1610323199999,2655535.07326,14835,817142.82,1331426.2076110002,0
1610323200000,1.5696,1.5758,1.2222,1.391,1730977.09,1610409599999,2365079.117123,14741,870644.36,1186520.965174,0
1610409600000,1.3922,1.473,1.3208,1.3782,830370.02,1610495999999,1163264.325586,7715,357710.92,501675.563771,0
1610496000000,1.3742,1.5185,1.3227,1.51,806183.33,1610582399999,1159433.965147,7858,456761.61,657960.589253,0
1610582400000,1.5129,1.75,1.4763,1.6811,1884068.58,1610668799999,3047701.6812279997,14137,930226.09,1503030.209752,0
1610668800000,1.6809,1.7797,1.4996,1.6954,1931847.18,1610755199999,3242873.627294,17518,1012980.8,1699868.234523,0
1610755200000,1.6981,1.8568,1.69,1.7342,1110204.61,1610841599999,1975652.44377,13700,537133.23,956517.8834930001,0
1610841600000,1.7335,1.8377,1.6729,1.8058,871999.13,1610927999999,1529375.996655,10148,393030.41,693202.6603100001,0
1610928000000,1.808,1.8419,1.734,1.785,680890.88,1611014399999,1206789.9226610002,8588,313046.61,555001.446939,0
1611014400000,1.7863,1.9,1.7397,1.7574,1493491.25,1611100799999,2730224.2694159998,14349,651918.45,1192156.1041700002,0
1611100800000,1.7563,1.8093,1.6148,1.7675,740154.48,1611187199999,1277113.868678,8485,354486.03,612931.8285739999,0
1611187200000,1.7676,1.7759,1.4633,1.4997,645721.94,1611273599999,1031045.00086,8347,282872.87,452856.85059399996,0
1611273600000,1.4994,1.736,1.44,1.6880000000000002,1119587.64,1611359999999,1774640.158184,11561,644602.01,1018564.753167,0
