open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609459200000,0.515,0.525,0.483,0.499,16686885.33,1609545599999,8366659.268239999,10739,8186311.04,4109522.0689,0
1609545600000,0.499,0.515,0.371,0.39899999999999997,72581504.72,1609631999999,30819980.05327,32918,35229098.62,14941937.914120002,0
1609632000000,0.4,0.40399999999999997,0.335,0.38,61113023.67,1609718399999,22342632.05068,27793,28833005.58,10547908.18885,0
1609718400000,0.379,0.515,0.361,0.365,61837152.42,1609804799999,25229752.82011,30717,31483491.7,12935199.22863,0
1609804800000,0.365,0.425,0.3,0.312,57026933.43,1609891199999,20296927.92917,25940,27986006.01,9964025.48215,0
1609891200000,0.312,0.327,0.247,0.249,69118939.21,1609977599999,19899057.0139,26983,32971593.43,9483075.69757,0
1609977600000,0.249,0.259,0.19399999999999998,0.207,93097526.13,1610063999999,20841010.323510002,32516,46979849.02,10532239.8493,0
1610064000000,0.207,0.245,0.175,0.192,127870911.26,1610150399999,25620355.285720002,35273,64980524.63,13087752.63598,0
1610150400000,0.192,0.215,0.182,0.2,59495025.79,1610236799999,11684045.77533,20342,31377392.3,6181605.20909,0
1610236800000,0.2,0.265,0.185,0.217,119860994.5,1610323199999,25936793.62694,33511,60684769.73,13186187.84273,0
1610323200000,0.217,0.36200000000000004,0.21600000000000003,0.255,273470877.51,1610409599999,78782546.38515,95482,142181306.98,41141893.0984,0
1610409600000,0.255,0.31,0.23,0.27899999999999997,171518611.02,1610495999999,45859554.11751,57972,86432241.86,23202061.9629,0
1610496000000,0.27899999999999997,0.31,0.212,0.22,126002095.86,1610582399999,33155119.733390003,47115,59046671.92,15681588.17892,0
1610582400000,0.221,0.231,0.177,0.192,124829879.14,1610668799999,25101615.64372,39747,62966873.74,12685883.39579,0
1610668800000,0.192,0.257,0.184,0.2238,174967434.96,1610755199999,39087233.050815,49921,90411065.47,20198651.380979,0
1610755200000,0.2238,0.2468,0.203,0.23600000000000002,131532769.74,1610841599999,29248762.863959003,40099,66243326.93,14745984.964665,0
1610841600000,0.23600000000000002,0.2742,0.2228,0.239,111122431.86,1610927999999,27390166.50069,41832,56231084.7,13884794.096926002,0
1610928000000,0.2389,0.258,0.2128,0.22699999999999998,85594978.8,1611014399999,20096852.450417,30843,44326616.17,10430348.064508,0
1611014400000,0.2265,0.243,0.20600000000000002,0.2428,78326264.44,1611100799999,17559624.422279,31375,40421258.94,9080548.857882,0
1611100800000,0.2417,0.2889,0.233,0.2506,133624565.41,1611187199999,34767277.534875,42943,67982579.47,17733120.259820998,0
1611187200000,0.2517,0.3649,0.2469,0.3437,175130799.33,1611273599999,54112219.554615006,70611,92774356.59,28739642.713448998,0
1611273600000,0.3433,0.4,0.2655,0.2829,149391325.76,1611359999999,48962921.710194,67050,74663350.19,24500825.412329,0
1611360000000,0.2829,0.3146,0.2735,0.2995,101771226.43,1611446399999,30169383.466726,36365,50086056.85,14845647.619538,0
1611446400000,0.3,0.325,0.2813,0.2973,77838211.98,1611532799999,23236207.683808,28833,38836919.9,11591896.37689,0
1611532800000,0.2973,0.302,0.25,0.2956,94733948.28,1611619199999,26144847.998918,40275,47416129.96,13104567.050386999,0
1611619200000,0.2956,0.3228,0.26899999999999996,0.2799,102472250.12,1611705599999,30621505.275118,36882,51114666.06,15293112.292851001,0
1611705600000,0.2799,0.3647,0.2771,0.3345,152002229.94,1611791999999,49431393.381268,53714,79666880.11,25883304.842764,0
1611792000000,0.3334,0.349,0.2521,0.2601,111220950.12,1611878399999,32916645.110153005,44917,49679427.36,14727843.885751002,0
1611878400000,0.2601,0.2889,0.1757,0.2286,377125077.56,1611964799999,79512784.13528,86847,190728001.02,40334586.150425,0
