open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609459200000,9.262,9.427999999999999,8.0729,8.2776,40444969.81,1609545599999,353233275.04881203,520258,20013837.09,174704317.291058,0
1609545600000,8.2775,9.89,7.89,9.2037,41542040.61,1609631999999,367556137.1989871,479088,20783396.79,183959175.047634,0
1609632000000,9.2056,10.5,8.8448,10.1307,37224723.44,1609718399999,353161994.292166,472481,19169502.79,182132299.754226,0
1609718400000,10.1453,10.5169,8.7,9.5126,35233997.11,1609804799999,339398714.959462,420445,17809166.81,171831952.87633702,0
1609804800000,9.5147,10.0441,9.01,9.7084,20433614.97,1609891199999,196355600.37198,272399,10336769.9,99447528.643625,0
1609891200000,9.7126,10.4452,9.4611,10.0679,24556008.75,1609977599999,243617218.20784503,315659,13222637.15,131369438.196704,0
1609977600000,10.0679,10.68,9.38,9.6439,23807905.1,1610063999999,237616292.04502404,315431,12187901.88,121682160.99697,0
1610064000000,9.6432,9.814,8.7788,9.2998,18487740.39,1610150399999,171510907.095546,248030,9029166.49,83836706.280822,0
1610150400000,9.2959,9.815,9.0418,9.7354,11628693.46,1610236799999,109279014.391674,161829,5746049.44,53975402.520916,0
1610236800000,9.7354,9.9889,8.6054,9.2911,13493639.61,1610323199999,127226157.445098,198534,6563428.51,61960893.582068995,0
1610323200000,9.2962,9.32,7.1642,8.2691,39051182.14,1610409599999,309636031.092044,473544,18994178.61,150712336.36048898,0
1610409600000,8.2736,8.7243,7.9201,8.3078,17770135.49,1610495999999,147513162.63503602,227882,9192393.55,76356409.76302199,0
1610496000000,8.3072,11.4407,7.9833,10.9486,33973317.45,1610582399999,332456232.725623,551910,17738654.02,173740185.435313,0
1610582400000,10.9417,14.68,10.8801,14.4867,50546604.14,1610668799999,617529827.1569691,736622,25875901.94,316381726.570033,0
1610668800000,14.4862,14.9599,11.7619,13.1679,56797246.56,1610755199999,775169881.710353,1022818,28380242.3,387146999.41526496,0
1610755200000,13.1638,19.4,13.1567,17.9893,80460090.2,1610841599999,1338383395.493358,1337608,40578665.77,674801975.3995581,0
1610841600000,17.9849,18.2677,16.28,17.0832,50659218.35,1610927999999,875607510.055064,1018291,25221192.88,436144802.35054,0
1610928000000,17.0897,18.221,15.7,16.5898,26097571.18,1611014399999,447166378.086954,531721,12674076.55,217375116.824687,0
