open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609459200000,0.12994,0.13888,0.1286,0.13560999999999998,13878554.9,1609545599999,1867759.549702,17075,7062593.2,950189.302135,0
1609545600000,0.13567,0.13571,0.12700999999999998,0.13155999999999998,13171004.9,1609631999999,1735681.759615,16278,6292458.1,829547.976227,0
1609632000000,0.13172,0.13699,0.12805999999999998,0.135,20306643.3,1609718399999,2697702.146608,22618,10210014.4,1357604.409893,0
1609718400000,0.135,0.14732,0.128,0.14105,32351362.8,1609804799999,4480782.011441001,39270,16687279.1,2315549.325547,0
1609804800000,0.14101,0.1482,0.134,0.14654,24622543.0,1609891199999,3477109.742067,29507,13089652.8,1851580.648855,0
1609891200000,0.14654,0.16294,0.14255,0.16005,36828277.0,1609977599999,5641834.6723879995,45041,20162932.7,3089495.629116,0
1609977600000,0.16041,0.18879,0.1517,0.16388,44221166.3,1610063999999,7542613.5953,52247,22836611.1,3898224.1035680003,0
1610064000000,0.16391,0.272,0.16391,0.21488000000000002,330270304.0,1610150399999,75236942.604442,242799,179452247.4,40953654.62023,0
1610150400000,0.21485,0.21700999999999998,0.18899999999999997,0.20456,80561486.3,1610236799999,16186585.646778,81966,41345911.9,8316801.326011,0
1610236800000,0.20456,0.21375,0.168,0.18527000000000002,49654627.2,1610323199999,9573216.70272,52406,23322360.2,4484946.429614,0
1610323200000,0.18552000000000002,0.18586,0.14026,0.16323,51592468.7,1610409599999,8144049.502989999,46016,25806696.7,4078279.036754,0
1610409600000,0.16325,0.18073,0.15629,0.16712,41684601.6,1610495999999,7052618.548555001,38421,22214298.6,3760931.593801,0
1610496000000,0.16714,0.18097,0.15666,0.1798,20969515.5,1610582399999,3543274.177421,24750,10980778.0,1856616.5304830002,0
1610582400000,0.1798,0.18996,0.17232999999999998,0.18307,25464136.4,1610668799999,4648640.665882,28787,13433114.1,2455679.1133580003,0
