open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609459200000,4.0554,4.2,3.9028,4.0817,645572.41,1609545599999,2637782.891241,15218,311408.8,1274107.368335,0
1609545600000,4.0997,4.1019,3.5289,3.6083,1191655.36,1609631999999,4503000.105414,25547,544910.41,2058965.8296599998,0
1609632000000,3.6006,4.5206,3.5289,4.4294,1864950.01,1609718399999,7613785.491017999,37146,1013190.44,4142824.361333,0
1609718400000,4.4294,4.75,3.8552,4.35,1430997.32,1609804799999,6306626.667275,33421,719786.25,3183934.427984,0
1609804800000,4.35,4.868,4.2867,4.57,1251209.96,1609891199999,5794391.695221,31605,602066.11,2797892.799407,0
1609891200000,4.5776,4.9139,4.3846,4.5886,1224548.03,1609977599999,5625579.379074,31843,636403.59,2939034.022893,0
1609977600000,4.5911,4.8227,4.0481,4.6597,1383734.46,1610063999999,6281749.864493,37515,699049.31,3186250.734499,0
1610064000000,4.6621,4.97,4.4215,4.6571,976763.42,1610150399999,4611691.21555,24369,498361.86,2358927.66802,0
1610150400000,4.6571,4.86,4.47,4.742,478211.17,1610236799999,2242163.096268,14124,236283.53,1109876.719446,0
1610236800000,4.7459,4.88,4.3027,4.4075,718039.78,1610323199999,3277296.037521,14578,368188.74,1668853.120729,0
1610323200000,4.4107,4.4303,3.75,4.419,1024082.41,1610409599999,4190241.5063980003,19827,463083.64,1904707.273257,0
1610409600000,4.4303,5.034,4.271,4.8839,1096350.05,1610495999999,5116958.18377,22248,583873.93,2733228.4492849996,0
1610496000000,4.8839,5.853,4.8498,5.4922,3233387.56,1610582399999,17509734.898675,58480,1655065.74,8985239.16282,0
1610582400000,5.4922,6.95,5.4712,6.74,1923595.29,1610668799999,12151405.971775,46607,1102597.81,6959706.046103,0
1610668800000,6.749,6.7505,5.2074,6.4147,1357848.22,1610755199999,8218673.314974001,31593,628214.76,3815105.6193480003,0
1610755200000,6.4237,6.6267,6.0154,6.2097,825260.23,1610841599999,5235495.4841519995,21312,416415.03,2641366.867221,0
1610841600000,6.2015,6.4583,5.85,6.1786,604324.4,1610927999999,3709544.645071,16325,256422.31,1573404.516106,0
1610928000000,6.1789,7.52,6.1414,7.2256,1282159.79,1611014399999,8809580.615161,34184,697229.52,4795156.5061800005,0
1611014400000,7.2389,11.2,6.95,8.6483,5101759.41,1611100799999,46742634.481602006,135696,2709142.76,24808184.866785,0
1611100800000,8.65,9.3,7.7612,8.5127,1599171.6,1611187199999,13545907.72591,47824,779230.3,6615062.000723001,0
1611187200000,8.4972,8.5147,7.01,7.0437,1291033.06,1611273599999,9869833.141677,33931,602155.34,4619379.664880999,0
1611273600000,7.0112,9.45,6.63,8.8427,1788933.77,1611359999999,14842892.515306,49114,868116.51,7233462.519647,0
1611360000000,8.8419,9.3,8.3675,8.4209,833254.36,1611446399999,7302840.841975999,30055,410029.93,3604720.646307,0
1611446400000,8.4391,9.2,8.0963,8.792,712997.02,1611532799999,6202705.507784,26399,353413.18,3083505.0637419997,0
1611532800000,8.793,9.3,8.0219,8.4235,872246.43,1611619199999,7595844.529036,31343,405819.5,3537276.9436190003,0
1611619200000,8.4472,8.9541,7.5,8.3283,1113981.04,1611705599999,9182912.895068,34556,579798.52,4795149.009142,0
1611705600000,8.3197,8.4334,7.1802,7.4606,987591.53,1611791999999,7681750.040216001,30820,454700.84,3535530.706132,0
1611792000000,7.4606,8.759,7.2221,8.2984,1001033.17,1611878399999,8142313.362267,33958,508913.91,4142679.831339,0
1611878400000,8.3331,8.4125,7.5163,8.045,1064908.66,1611964799999,8328271.793496001,30723,491255.75,3850499.385141,0
1611964800000,8.045,9.99,7.8307,9.4878,2337189.75,1612051199999,21498602.073579002,72783,1210604.11,11162296.147765,0
1612051200000,9.4632,9.73,8.0573,9.5066,1074816.2,1612137599999,9462383.891872,36586,525788.94,4644744.609698,0
1612137600000,9.5001,10.79,8.8,10.4067,1612127.37,1612223999999,15516395.524736999,57892,889040.2,8571496.275485002,0
1612224000000,10.4082,11.9988,9.8516,11.5025,1190497.81,1612310399999,12806132.298691,49386,593422.97,6400088.3353120005,0
1612310400000,11.5198,11.9499,10.9238,11.3393,876076.48,1612396799999,9968363.27732,37429,439288.13,5006688.105805,0
1612396800000,11.3363,13.5,11.1215,12.7387,1257427.53,1612483199999,15731682.160035998,57150,666326.23,8340999.320277001,0
1612483200000,12.7517,13.95,11.79,12.3725,1020153.59,1612569599999,13221844.825335,46763,506562.02,6587069.99971,0
1612569600000,12.38,12.4996,10.8763,11.2499,1267050.66,1612655999999,14774051.525565,54288,624575.42,7287591.3279,0
1612656000000,11.2498,11.92,9.96,11.4951,793723.45,1612742399999,8745107.483985001,35211,377893.6,4168838.153707,0
1612742400000,11.5186,13.855,11.0449,13.7551,1200952.18,1612828799999,14902635.450172,51346,643352.36,8025361.807039,0
1612828800000,13.7553,16.82,13.2128,15.6989,2517423.72,1612915199999,38280041.796077006,95863,1241741.96,18878636.946474,0
1612915200000,15.6943,16.0416,13.4,14.3754,1297120.73,1613001599999,18984293.828644,50075,649928.33,9531168.714335,0
1613001600000,14.3585,15.72,13.8396,15.1081,849881.68,1613087999999,12760096.864195,36728,437241.61,6574319.34434,0
1613088000000,15.0876,16.3,15.0,15.309000000000001,748503.36,1613174399999,11660824.775789998,35921,377392.86,5884677.591561,0
1613174400000,15.3457,17.35,14.72,15.6979,865744.67,1613260799999,13607266.167355001,36134,429816.96,6800958.451183001,0
1613260800000,15.6977,16.8105,14.8376,14.8971,788751.35,1613347199999,12496038.933975,35184,401471.0,6372660.820502,0
1613347200000,14.8971,15.0444,12.27,13.3467,1016480.44,1613433599999,13965235.332394,43944,513790.65,7043906.646564,0
1613433600000,13.3469,14.298,12.7501,13.4121,588893.23,1613519999999,7952174.012917999,27779,298589.77,4033745.0252480004,0
1613520000000,13.4295,15.1974,12.355,14.2332,856308.5,1613606399999,11833741.498212,37397,437959.23,6053828.620992,0
1613606400000,14.2177,15.948,14.0722,15.9052,881288.67,1613692799999,13268575.171736,44215,477280.47,7195550.780519,0
1613692800000,15.9275,18.15,15.27,16.9704,1154892.85,1613779199999,19356793.796007,54275,608011.51,10195945.178546,0
1613779200000,16.9764,16.9999,13.9511,14.7804,805852.54,1613865599999,12625394.74408,39773,385337.75,6050164.51497,0
1613865600000,14.8059,15.4999,13.8711,14.3568,666866.14,1613951999999,9806902.683462,29868,332539.06,4897247.844343,0
