open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609459200000,5.851,7.047000000000001,5.71,6.437,455341.93,1609545599999,2917921.77496,9188,244586.16,1566722.14501,0
1609545600000,6.437,6.997999999999999,6.013999999999999,6.77,324535.11,1609631999999,2103680.50996,9111,152834.53,993178.3861700001,0
1609632000000,6.769,8.547,6.42,8.2,544707.06,1609718399999,4079646.91861,19573,264894.13,1986856.5255099998,0
1609718400000,8.2,10.44,5.704,7.085,1409737.73,1609804799999,11047808.57082,41170,680322.27,5354139.37824,0
1609804800000,7.085,8.37,6.569,7.972,785482.02,1609891199999,5921717.39819,18905,416878.86,3150506.4429099998,0
1609891200000,7.972,10.75,7.58,10.657,1272665.85,1609977599999,11888136.5666,30831,620537.36,5848210.77108,0
1609977600000,10.713,10.972000000000001,8.18,9.183,619574.69,1610063999999,6068752.61393,21513,311471.26,3054267.0315,0
1610064000000,9.227,9.39,7.126,8.265,578803.11,1610150399999,4885144.60451,22884,295102.44,2486779.04684,0
1610150400000,8.265,11.207,8.031,10.828,499992.26,1610236799999,4899115.76023,20417,283422.45,2812069.41963,0
1610236800000,10.89,11.9,8.32,9.246,644304.28,1610323199999,6581563.40836,30366,312167.46,3197191.0668200003,0
1610323200000,9.246,9.246,5.037,7.16,1012976.69,1610409599999,6989685.5138,35781,489490.08,3381437.7121,0
1610409600000,7.151,8.019,6.107,6.432,668490.12,1610495999999,4738061.17461,22964,343259.26,2448369.34858,0
1610496000000,6.479,8.789,5.792000000000001,8.49,672068.87,1610582399999,4989082.119390001,18912,338660.02,2527088.25475,0
1610582400000,8.48,10.88,7.761,10.879000000000001,871754.8,1610668799999,8048334.99814,31635,451859.53,4145911.9747099997,0
1610668800000,10.88,15.759,9.299,14.210999999999999,2807471.77,1610755199999,34243794.09717,81603,1434923.41,17492196.83868,0
1610755200000,14.21,17.8,11.85,12.75,1948125.09,1610841599999,30378966.1,78108,998142.54,15545531.51231,0
1610841600000,12.75,19.340999999999998,11.28,18.31,1463359.27,1610927999999,22011108.41793,75905,755363.92,11384563.868110001,0
1610928000000,18.461,19.1,14.4,16.017,838623.37,1611014399999,13630232.819610002,46360,398510.22,6465094.16246,0
1611014400000,16.06,17.679000000000002,12.632,13.01,996873.79,1611100799999,15208730.357120002,46109,497841.2,7631798.96582,0
1611100800000,13.08,15.47,10.151,15.181,1322318.05,1611187199999,16785151.091670003,61861,647112.07,8230188.31348,0
1611187200000,15.248,15.51,8.58,9.094,1832476.02,1611273599999,21353998.25505,72872,873415.86,10192147.07875,0
1611273600000,9.118,15.5,7.112,13.825,1914470.43,1611359999999,23263035.4414,65846,1005418.84,12262764.26702,0
1611360000000,13.82,20.947,13.09,19.6,1577610.03,1611446399999,27631513.84901,58142,811109.22,14178842.51791,0
1611446400000,19.535999999999998,19.794,16.5,19.5,689582.26,1611532799999,12740495.88145,37974,342831.96,6347240.341680001,0
1611532800000,19.5,21.5,16.4,17.333,553745.87,1611619199999,10529232.345069999,35903,268687.72,5119575.2720800005,0
1611619200000,17.33,18.405,14.832,17.1,631056.57,1611705599999,10432062.497539999,42740,306690.57,5058646.54101,0
1611705600000,17.1,17.288,12.831,13.87,573362.13,1611791999999,8297962.46759,38493,272437.57,3954382.2003,0
1611792000000,13.865,18.703,13.2,16.679000000000002,663741.59,1611878399999,11346484.46046,35333,333368.67,5716465.52518,0
1611878400000,16.69,18.429000000000002,15.225999999999999,16.142,527763.95,1611964799999,8813223.5682,32481,250571.28,4177516.6478,0
1611964800000,16.185,17.919,15.33,17.4,450958.5,1612051199999,7441774.51975,22722,224245.5,3702962.8279,0
1612051200000,17.43,18.980999999999998,15.045,15.784,310941.96,1612137599999,5253911.46815,21705,141842.52,2398380.83109,0
1612137600000,15.784,16.68,14.39,16.155,317457.28,1612223999999,4893640.96769,27447,145583.18,2236141.42466,0
1612224000000,16.105999999999998,17.92,15.850999999999999,17.149,463880.6,1612310399999,7723940.2066,31341,214526.71,3581457.3752099997,0
1612310400000,17.175,19.69,16.916,18.948,659848.81,1612396799999,12252452.576,38080,314496.98,5825499.143069999,0
1612396800000,19.016,20.5,15.459000000000001,17.847,731419.46,1612483199999,13038561.400969999,46172,350913.57,6277870.94025,0
1612483200000,17.820999999999998,21.5,17.680999999999997,20.31,716362.54,1612569599999,14455650.86896,44954,351427.43,7109138.68705,0
1612569600000,20.3,21.01,17.174,18.214000000000002,428303.11,1612655999999,8071639.73871,30373,205504.66,3881401.0924400003,0
1612656000000,18.229,18.849,14.882,17.725,571265.96,1612742399999,9778779.726,58947,284134.16,4864068.647059999,0
1612742400000,17.660999999999998,19.403,16.444000000000003,18.529,435712.54,1612828799999,7942404.95385,56155,188874.2,3449389.28021,0
1612828800000,18.549,22.003,17.742,21.435,503582.93,1612915199999,9892470.4822,47278,259659.31,5107429.43944,0
1612915200000,21.441,23.0,17.186,19.99,742680.58,1613001599999,15328688.133829998,56990,380872.11,7877530.70823,0
1613001600000,19.99,22.506999999999998,19.102,21.37,358209.82,1613087999999,7599470.295580001,37643,182268.14,3869536.637,0
1613088000000,21.366999999999997,26.76,19.590999999999998,25.570999999999998,382623.24,1613174399999,8777299.12651,31176,191721.36,4419022.54958,0
1613174400000,25.46,32.48,22.7,30.863000000000003,413094.74,1613260799999,11012049.199660001,35131,212100.1,5708291.35202,0
1613260800000,30.878,33.398,26.504,28.033,369365.33,1613347199999,10960103.49877,39277,175272.59,5219895.665569999,0
1613347200000,28.156999999999996,30.691999999999997,16.511,26.18,547822.74,1613433599999,13920573.06039,40413,260801.58,6741001.05128,0
1613433600000,26.409000000000002,27.688000000000002,22.79,24.925,365588.97,1613519999999,9216996.52625,40871,159122.37,4026184.9718,0
