open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609459200000,0.6539,0.6737,0.6298,0.648,4478724.25,1609545599999,2902700.774334,14316,2224266.63,1440528.607283,0
1609545600000,0.6477,0.6478,0.615,0.6299,4138788.46,1609631999999,2613120.4588200003,15192,1986756.3,1254263.2261700002,0
1609632000000,0.6302,0.6784,0.6245,0.6583,10490641.11,1609718399999,6879124.727472,26223,5557335.19,3635927.477474,0
1609718400000,0.6586,0.7221,0.6294,0.6672,16107163.9,1609804799999,10879050.043097999,38322,6491497.72,4367956.357845,0
1609804800000,0.6682,0.7185,0.6454,0.7143,12962229.05,1609891199999,8912089.343472,28227,4745805.53,3264816.293732,0
1609891200000,0.7144,0.7216,0.6986,0.7135,5367868.4,1609977599999,3807661.886275,15484,2454316.66,1741851.9414549998,0
1609977600000,0.7135,0.9565,0.7075,0.8572,25856425.52,1610063999999,21747824.121953,53579,11012999.57,9277997.233996,0
1610064000000,0.8572,0.897,0.825,0.8479,11787310.07,1610150399999,10074491.400886,29190,5798152.21,4939841.477357,0
1610150400000,0.8484,0.85,0.7979999999999999,0.8137,5982533.56,1610236799999,4917896.879386,17005,2876759.5,2363707.039282,0
1610236800000,0.8136,0.8871,0.8108,0.8435,11112482.9,1610323199999,9484358.539242,31342,5569872.66,4752694.50725,0
1610323200000,0.8436,0.8446,0.6974,0.7371,16830825.06,1610409599999,12994347.02739,44094,7953774.09,6135008.249644,0
1610409600000,0.7374,0.8393,0.7123,0.7481,12796741.25,1610495999999,9961767.549115,25704,5768318.62,4479871.792102,0
1610496000000,0.7472,0.8483,0.7218,0.8213,10642760.25,1610582399999,8482358.70197,22645,5094801.96,4052922.824626,0
1610582400000,0.8213,0.9038,0.8042,0.8326,12660847.46,1610668799999,10946886.484514,24066,6375916.74,5518919.689983999,0
1610668800000,0.8332,0.8537,0.757,0.792,7596047.54,1610755199999,6076076.29053,20889,3715199.28,2973871.3504580003,0
1610755200000,0.7922,0.8142,0.7561,0.7605,5165627.88,1610841599999,4082474.98911,15574,2446090.24,1936200.041688,0
1610841600000,0.7594,0.8293,0.7476,0.8074,9156754.41,1610927999999,7216445.749015,22386,4054897.88,3191941.840889,0
1610928000000,0.8075,0.8205,0.7887,0.8009999999999999,4110835.89,1611014399999,3300204.369988,11545,2000123.19,1607232.773271,0
1611014400000,0.8009,1.0031,0.7925,0.9102,23354170.04,1611100799999,21476258.929616,48262,10007616.2,9145187.993839,0
1611100800000,0.9113,0.9401,0.8663,0.9033,8122580.75,1611187199999,7369980.001031,21336,3421892.83,3098785.483826,0
