open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609459200000,0.2092,0.222,0.2077,0.2125,899196.51,1609545599999,193063.952423,3214,455849.98,98137.74257,0
1609545600000,0.21100000000000002,0.2134,0.1989,0.2058,1007518.39,1609631999999,209531.14061,2674,512282.4,106721.622312,0
1609632000000,0.2054,0.226,0.2043,0.22,1435882.55,1609718399999,308745.848631,3759,723749.13,155577.145377,0
1609718400000,0.2192,0.2328,0.198,0.2163,1873550.5,1609804799999,407280.056367,5264,981306.99,214709.154776,0
1609804800000,0.2163,0.24,0.2076,0.2322,1948502.82,1609891199999,431619.233174,5081,944409.42,210054.149814,0
1609891200000,0.2322,0.265,0.22899999999999998,0.2551,3308612.46,1609977599999,805105.579383,8993,1749609.87,427207.10824699997,0
1609977600000,0.2568,0.289,0.242,0.2504,3512050.83,1610063999999,942699.223513,9027,1678513.23,451459.84078500007,0
1610064000000,0.2504,0.2641,0.23,0.2489,2221131.41,1610150399999,549108.9066989999,5878,1082832.8,268298.905801,0
1610150400000,0.2488,0.2867,0.2423,0.2753,2624487.95,1610236799999,698988.218704,6993,1300749.47,347264.84604000003,0
1610236800000,0.2754,0.2997,0.253,0.2716,3724197.65,1610323199999,1039953.113494,9205,1710724.71,479049.857945,0
1610323200000,0.2715,0.2728,0.2026,0.2397,3568189.44,1610409599999,829132.207219,10427,1590297.77,370553.124466,0
1610409600000,0.2397,0.2666,0.2289,0.2421,2031523.58,1610495999999,503182.085837,6230,972764.74,241510.070711,0
1610496000000,0.2422,0.2627,0.231,0.2597,1418772.74,1610582399999,353306.77994000004,4572,714091.43,178124.467323,0
1610582400000,0.2618,0.2718,0.2506,0.2536,1751185.7,1610668799999,455133.530909,5113,822530.3,214037.350936,0
1610668800000,0.2548,0.2718,0.23600000000000002,0.2596,2150408.14,1610755199999,555555.405103,6055,1032933.26,267697.382075,0
1610755200000,0.2596,0.2794,0.2555,0.2694,2152968.35,1610841599999,581950.225402,6509,1024028.64,277137.264126,0
