open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609459200000,6.276,6.97,5.1,6.27,434821.177,1609545599999,2558736.987026,15798,191894.889,1135527.079381,0
1609545600000,6.292999999999999,6.999,5.4,5.627999999999999,360938.905,1609631999999,2210294.4065880002,13752,174606.548,1077730.511523,0
1609632000000,5.619,5.91,4.683,4.7,147846.946,1609718399999,765644.178203,5225,45529.885,236378.789879,0
1609718400000,4.7,5.22,4.0,4.4510000000000005,175943.81,1609804799999,807801.257138,5688,64785.045,299072.73090100003,0
1609804800000,4.45,4.669,4.0,4.0,123029.92599999999,1609891199999,535040.978192,4847,55595.232,241822.407119,0
1609891200000,4.001,4.329,3.8560000000000003,3.9,160570.238,1609977599999,641018.4688970001,4784,66125.122,266155.290417,0
1609977600000,3.931,4.085,3.62,3.62,131899.64,1610063999999,498696.543663,4212,42782.926,162865.92666199998,0
1610064000000,3.62,4.312,3.445,3.5410000000000004,189515.078,1610150399999,707484.3636350001,5171,85058.25099999999,321171.217772,0
1610150400000,3.563,3.6,3.41,3.4539999999999997,69911.399,1610236799999,243553.322571,2239,26905.339,94048.62328300001,0
1610236800000,3.4539999999999997,3.6630000000000003,3.113,3.4160000000000004,80627.444,1610323199999,276659.904637,2078,28687.117000000002,98309.909013,0
1610323200000,3.4,3.4,2.3680000000000003,2.806,133360.843,1610409599999,373277.10209,3529,59629.204000000005,168579.53680499998,0
1610409600000,2.7910000000000004,2.9389999999999996,2.494,2.591,48094.795,1610495999999,129831.03180699999,2012,18198.353,49319.772638,0
1610496000000,2.591,7.14,2.5,5.34,1872290.186,1610582399999,10247583.566936,50048,1032283.11,5693929.727302,0
1610582400000,5.34,6.0,4.356,4.57,1535285.0780000002,1610668799999,8043043.95195,42319,740905.427,3909802.6605889997,0
1610668800000,4.555,5.101,4.001,4.33,777019.311,1610755199999,3535953.360784,37624,384074.232,1747636.654164,0
1610755200000,4.328,5.1,4.117,4.395,645494.682,1610841599999,2927426.776276,25846,330643.381,1503574.316297,0
1610841600000,4.401,4.412,3.9,4.209,267362.269,1610927999999,1121813.950221,12447,126932.685,532713.989345,0
1610928000000,4.211,4.4,4.06,4.104,212766.319,1611014399999,895229.3676540001,9708,101821.321,428325.798486,0
1611014400000,4.113,4.169,3.908,4.082,162518.684,1611100799999,658159.1527399999,7565,69830.49,283074.21188200003,0
