open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609459200000,0.013627,0.015797,0.011555,0.012223999999999999,1094437719.0,1609545599999,14926635.692510001,54501,518075904.0,7105049.444933999,0
1609545600000,0.012228,0.013736000000000002,0.0109,0.011317,858056705.0,1609631999999,10301220.306799,43086,408925078.0,4903655.804361,0
1609632000000,0.011325,0.0119,0.009028,0.009871,678332202.0,1609718399999,6937867.752787,30190,309668262.0,3160414.153782,0
1609718400000,0.009925,0.011065,0.009032,0.010121,567924408.0,1609804799999,5649068.733062999,25338,282190735.0,2813619.784912,0
1609804800000,0.010116,0.0117,0.00925,0.010981,548550420.0,1609891199999,5831908.026838,27926,271874352.0,2902177.664261,0
1609891200000,0.011062,0.011597,0.010046,0.010334000000000001,362429698.0,1609977599999,3860625.1888690004,22519,181342010.0,1938109.7682400001,0
1609977600000,0.01034,0.01075,0.00975,0.009998,392689474.0,1610063999999,3960104.8752800003,22021,173863244.0,1759454.350721,0
1610064000000,0.009998,0.01023,0.009198,0.009481,289334004.0,1610150399999,2772942.1767450003,13634,102462105.0,984399.5662629999,0
1610150400000,0.009493999999999999,0.0105,0.00935,0.009838,275820343.0,1610236799999,2724851.051526,16334,140862222.0,1396160.926802,0
1610236800000,0.009897,0.011009999999999999,0.0092,0.009856,314175762.0,1610323199999,3174477.033079,17838,149209871.0,1521947.101726,0
1610323200000,0.009854,0.009937999999999999,0.007502,0.008153,314241503.0,1610409599999,2657273.396528,17451,123915823.0,1049475.782632,0
1610409600000,0.008154999999999999,0.008333,0.006815000000000001,0.007055,539720388.0,1610495999999,4058136.258077,22088,246324881.0,1859000.8152580003,0
1610496000000,0.007055,0.0082,0.006516,0.007908,485703221.0,1610582399999,3622599.0901519996,18409,236489467.0,1772313.582026,0
1610582400000,0.007908,0.009982,0.007772,0.009415999999999999,631919316.0,1610668799999,5416669.483727,23963,319169626.0,2752742.915947,0
1610668800000,0.00945,0.013280000000000002,0.00886,0.012634999999999999,1721861860.0,1610755199999,19750398.055898,76647,826386207.0,9495795.633317,0
1610755200000,0.012669,0.01888,0.010621,0.016,1509072795.0,1610841599999,21941482.695254,85483,741194699.0,10873518.597506,0
1610841600000,0.016,0.020999,0.01465,0.017351,1972956337.0,1610927999999,34768454.546523996,124308,941534872.0,16654533.018826,0
1610928000000,0.017394,0.018899000000000003,0.015512999999999999,0.016686000000000003,616224675.0,1611014399999,10657175.517991,46005,284008813.0,4926492.201734,0
1611014400000,0.016648,0.017599,0.014913,0.0166,635256006.0,1611100799999,10408030.291733999,45470,290277601.0,4767607.701603,0
1611100800000,0.0166,0.021956,0.015655000000000002,0.021509999999999998,1411564252.0,1611187199999,26946781.016584,86856,686172801.0,13109681.540732,0
1611187200000,0.021511000000000002,0.023,0.019,0.021202000000000002,1177663688.0,1611273599999,24762654.181678,86802,546011285.0,11525821.368776,0
1611273600000,0.021202000000000002,0.026208999999999996,0.017401,0.021284,1947823969.0,1611359999999,43189643.345805,126189,943079981.0,21048790.895886,0
1611360000000,0.021284,0.0236,0.0195,0.021294999999999998,850806610.0,1611446399999,18333936.148473002,68692,420516273.0,9106457.301196001,0
1611446400000,0.021296000000000002,0.0234,0.021,0.021195,570248269.0,1611532799999,12703649.027317,52968,284554115.0,6358071.667607,0
1611532800000,0.021199000000000003,0.0238,0.019,0.020073,904706786.0,1611619199999,19628627.863834,69776,435753518.0,9504964.684062,0
1611619200000,0.020071000000000002,0.0215,0.01813,0.021100999999999998,722012516.0,1611705599999,14142730.855145002,56371,362503680.0,7140814.644289,0
1611705600000,0.021157,0.022501,0.017429,0.018255,811225785.0,1611791999999,15987810.645126998,63933,389421112.0,7707613.741647,0
1611792000000,0.018255,0.02075,0.01775,0.019601,951857341.0,1611878399999,18373099.424523,63956,453420784.0,8772879.109209,0
1611878400000,0.0196,0.019815,0.016858,0.018384,921225468.0,1611964799999,16617834.709517002,69755,419237806.0,7565180.810072,0
1611964800000,0.018361000000000002,0.021121,0.017894999999999998,0.020574000000000002,879493120.0,1612051199999,16948043.295272,68926,450608416.0,8706882.752718,0
1612051200000,0.020575,0.021988999999999998,0.019041,0.019853,763479197.0,1612137599999,15639090.672376001,68015,385871393.0,7925925.408672,0
1612137600000,0.019829,0.0225,0.018900999999999998,0.021781000000000002,764838565.0,1612223999999,15833602.86138,66327,417659910.0,8691388.307474,0
1612224000000,0.021781000000000002,0.02696,0.021661,0.025379,2325605845.0,1612310399999,56231070.208313,178195,1179936713.0,28600283.225953996,0
1612310400000,0.025379,0.031,0.024199000000000002,0.029892000000000002,1809703251.0,1612396799999,51390499.323616,153649,987080594.0,28062515.736920003,0
1612396800000,0.029876,0.03071,0.0254,0.027779,1635000904.0,1612483199999,45122872.786010996,128285,832691198.0,23027271.792359,0
1612483200000,0.027822000000000003,0.032,0.027000000000000003,0.030194,1660127241.0,1612569599999,48334382.018746994,133379,920724881.0,26900407.533234,0
1612569600000,0.030195,0.03025,0.026019999999999998,0.028129,1512285048.0,1612655999999,42144294.753627,132939,738523706.0,20646975.053491,0
1612656000000,0.028158999999999997,0.028502999999999997,0.022930000000000002,0.026175999999999998,1607191060.0,1612742399999,41388267.041561,135347,767977459.0,19756819.118458,0
1612742400000,0.026155,0.033257999999999996,0.025306,0.030402,2437815663.0,1612828799999,72333808.30709499,199583,1364487433.0,40601196.368659995,0
1612828800000,0.030433999999999996,0.035,0.0299,0.034371,2237799572.0,1612915199999,73146021.278041,190892,1247378573.0,40797346.295462,0
1612915200000,0.034381,0.04,0.03,0.037573,3147837156.0,1613001599999,111435373.317679,239057,1787016790.0,63646292.179809,0
1613001600000,0.037573,0.0565,0.035,0.043508,6241473802.0,1613087999999,283502927.049171,491378,3526180566.0,159664728.420351,0
1613088000000,0.043501,0.0489,0.038876,0.046186000000000005,4328566474.0,1613174399999,188180423.183242,362525,2469579332.0,107591091.98720999,0
1613174400000,0.0462,0.053551999999999995,0.0446,0.049601,4721948157.0,1613260799999,229489697.998921,422126,2689539330.0,131055620.72448601,0
1613260800000,0.049601,0.052940999999999995,0.041785,0.046398,3999848053.0,1613347199999,188317931.543707,387625,2136284423.0,100921683.99491501,0
1613347200000,0.046286,0.0478,0.035819,0.039441000000000004,4684206665.0,1613433599999,193398217.81056002,394045,2411967213.0,99680228.27613801,0
1613433600000,0.039439999999999996,0.046129,0.036802999999999995,0.037508,3961308744.0,1613519999999,163898665.23108998,373824,1956564129.0,81193973.689323,0
1613520000000,0.037481,0.0433,0.037201,0.040082,3064801906.0,1613606399999,124633206.892425,314663,1582723100.0,64444388.508327,0
1613606400000,0.039924,0.043875,0.03957,0.041726,2855212617.0,1613692799999,118065369.670181,269167,1473298399.0,61011944.121864,0
1613692800000,0.041716,0.0432,0.035302999999999994,0.037357,3293009094.0,1613779199999,128264975.570159,322687,1546360593.0,60323229.12861899,0
1613779200000,0.037374,0.0409,0.033402999999999995,0.035169,3275146690.0,1613865599999,124081004.925711,307852,1651997756.0,62805592.879709,0
1613865600000,0.035146,0.039875,0.034703,0.038499,2426555995.0,1613951999999,90570459.865024,232908,1279098150.0,47815534.232038,0
1613952000000,0.038454,0.04378,0.029464999999999998,0.038248000000000004,5426092518.0,1614038399999,206227580.60969698,502355,2746208490.0,104983976.544035,0
1614038400000,0.038243,0.038388,0.0245,0.030397000000000004,3725663576.0,1614124799999,113411799.32565601,288505,1836659824.0,56019628.95059499,0
1614124800000,0.030397000000000004,0.036627999999999994,0.027999999999999997,0.033516000000000004,2985468604.0,1614211199999,97936210.976704,254351,1514271252.0,49720699.561728,0
1614211200000,0.033533999999999994,0.0378,0.031301,0.03161,2679365982.0,1614297599999,92416510.871691,238768,1378768894.0,47634974.040392,0
1614297600000,0.03165,0.032942,0.028183999999999997,0.030572000000000002,1872108785.0,1614383999999,57820463.715609,162186,922481184.0,28530385.592141997,0
1614384000000,0.030543999999999998,0.03296,0.03005,0.031434,1375076369.0,1614470399999,43046035.807643,120524,693189569.0,21717345.883965,0
1614470400000,0.031485,0.031822,0.026000000000000002,0.028291000000000004,1446633505.0,1614556799999,40666171.094782,120845,694529348.0,19504442.059533,0
1614556800000,0.028252,0.0325,0.028161000000000002,0.032225,1390520761.0,1614643199999,42522093.033168,118269,718000040.0,21996579.061319,0
1614643200000,0.032284,0.034658999999999995,0.029758,0.032711000000000004,2370309089.0,1614729599999,76254000.38059899,211944,1233898416.0,39753245.758608,0
1614729600000,0.032682,0.039758999999999996,0.032070999999999995,0.03753,3227350751.0,1614815999999,118630539.02586001,277392,1725658168.0,63403458.906123996,0
1614816000000,0.03752,0.0434,0.036112,0.041173,3525491055.0,1614902399999,139935540.88437,314436,1774849116.0,70490445.649315,0
1614902400000,0.041188999999999996,0.0412,0.0372,0.039,2079408366.0,1614988799999,80893878.664047,189425,1050138721.0,40898744.500162,0
1614988800000,0.038999,0.04215,0.03645,0.038725,1770580267.0,1615075199999,70046895.531265,166974,869112730.0,34496491.255376,0
1615075200000,0.038766,0.040666,0.037000000000000005,0.038086,1208611077.0,1615161599999,47002535.850791,121809,580103111.0,22594939.830677,0
1615161600000,0.038178,0.039,0.03583,0.036654,1555423547.0,1615247999999,57615787.741671994,148271,751238890.0,27846992.166135,0
1615248000000,0.036655,0.0399,0.0361,0.0387,2173293583.0,1615334399999,82189456.00561999,205024,1117119542.0,42294200.929306,0
1615334400000,0.038696,0.039233,0.0339,0.035384,2108523804.0,1615420799999,76651088.407178,210276,1008353497.0,36689886.14869,0
1615420800000,0.035389,0.038995999999999996,0.034522000000000004,0.036786,2203958029.0,1615507199999,80881647.888645,209691,1141678266.0,41932679.513454996,0
1615507200000,0.036788999999999995,0.049460000000000004,0.036000000000000004,0.046297000000000005,8322991691.0,1615593599999,362799786.972192,756690,4303671981.0,187802035.454951,0
1615593600000,0.04629,0.054470000000000005,0.044006,0.048872000000000006,5728588704.0,1615679999999,287379879.597133,613827,2923785628.0,146761059.089212,0
1615680000000,0.048875999999999996,0.052240999999999996,0.045245,0.049533,2750701052.0,1615766399999,131666721.196234,332232,1372313064.0,65751418.528353006,0
1615766400000,0.049614,0.058700999999999996,0.038484,0.040116000000000006,10414027724.0,1615852799999,477151746.79244405,1012924,5174214427.0,237540451.15431002,0
1615852800000,0.040152,0.043692,0.0371,0.038997000000000004,3646410983.0,1615939199999,146146763.71852198,409120,1813406572.0,72810817.062617,0
1615939200000,0.03899,0.040786,0.037005,0.039518,2046620413.0,1616025599999,79137020.081679,232621,1058279768.0,40963327.243586,0
1616025600000,0.039518,0.040569,0.038043,0.039201,2079875699.0,1616111999999,81723916.000057,201486,981896793.0,38658280.516761996,0
1616112000000,0.039201,0.042582999999999996,0.0382,0.04034,1953139214.0,1616198399999,79762069.690632,220925,982996789.0,40165456.965877004,0
1616198400000,0.04034,0.043887999999999996,0.040010000000000004,0.040604,1524001957.0,1616284799999,64257406.8186,190467,754362099.0,31820619.5887,0
1616284800000,0.040647,0.04129,0.0385,0.039428,1061838032.0,1616371199999,42148555.493934005,141184,504522675.0,20034614.05884,0
1616371200000,0.039391,0.040086000000000004,0.034044,0.035943,1493380465.0,1616457599999,56563491.50744,184528,688654807.0,26132971.33802,0
1616457600000,0.035882,0.0395,0.033363,0.037509,1769047737.0,1616543999999,64646819.930729,200160,883082403.0,32344919.27492,0
1616544000000,0.037534,0.039243,0.032222,0.033907,1340829474.0,1616630399999,49414785.458523,174957,647160686.0,23928494.332624,0
1616630400000,0.033835000000000004,0.035,0.031356,0.033007999999999996,1083288112.0,1616716799999,36111623.242603004,117800,539122140.0,17977449.350961998,0
1616716800000,0.033042,0.037179000000000004,0.033007999999999996,0.03652,953168089.0,1616803199999,33806874.276608005,106488,489548063.0,17377771.19786,0
1616803200000,0.036518,0.038123000000000004,0.03519,0.036489,977757113.0,1616889599999,36019072.939904,113383,490915246.0,18098847.40341,0
1616889600000,0.036536,0.039695999999999995,0.0361,0.03926,1030092587.0,1616975999999,39210424.658897,119503,523710827.0,19945936.438731,0
1616976000000,0.039271,0.045687,0.038798,0.044288,2743373262.0,1617062399999,117034392.426007,309147,1439550882.0,61465977.517818995,0
1617062400000,0.044288,0.0455,0.042615,0.043052999999999994,1407403962.0,1617148799999,61523767.636054,172545,701067973.0,30665956.425259,0
1617148800000,0.043052999999999994,0.0439,0.0374,0.039694,2254579252.0,1617235199999,92023948.481077,263621,1088614344.0,44492242.291562,0
1617235200000,0.039746,0.040668,0.038306,0.038512,1381368408.0,1617321599999,54324449.582954,146643,674046515.0,26516070.44498,0
1617321600000,0.038508999999999995,0.039557,0.037482999999999995,0.037947,1177839355.0,1617407999999,45352443.533213,127713,573760208.0,22102999.388935,0
1617408000000,0.037933,0.0405,0.036000000000000004,0.036193,1717871890.0,1617494399999,66020696.79413299,190743,863647475.0,33235142.790702,0
1617494400000,0.03619,0.039,0.035505,0.038974,1120997775.0,1617580799999,42310604.529184006,133724,560857778.0,21179969.512773998,0
1617580800000,0.038958,0.04129,0.036900999999999996,0.039341,1880777839.0,1617667199999,73979557.166934,212621,946917239.0,37288929.434575,0
1617667200000,0.039342,0.0408,0.037186000000000004,0.038561,1422513350.0,1617753599999,55737223.178603,178781,714975357.0,28047871.922782,0
1617753600000,0.038558999999999996,0.0388,0.033,0.035575999999999997,1379651960.0,1617839999999,49852725.058489,174257,651811211.0,23576981.959771,0
1617840000000,0.03558,0.037854,0.035316,0.037423000000000005,857570670.0,1617926399999,31707169.111268,96697,435955697.0,16122346.568344,0
1617926400000,0.037423000000000005,0.0391,0.037036,0.038135,1155526558.0,1618012799999,43995994.276765995,127437,579995796.0,22097874.154567,0
1618012800000,0.038102,0.042,0.03759,0.039659,2327745906.0,1618099199999,92652735.759993,261260,1181793338.0,47061268.0199,0
1618099200000,0.03966,0.041567,0.039,0.039594,1752149878.0,1618185599999,70446035.70527901,196022,901152162.0,36240699.32768,0
1618185600000,0.039550999999999996,0.040599,0.0372,0.037942000000000004,1214392849.0,1618271999999,46975153.066054,150208,588084428.0,22768439.206025,0
