open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609459200000,1.0429,1.135,1.0239,1.1318,3788782.62,1609545599999,4075879.3941639997,29154,1908865.92,2055196.6289259999,0
1609545600000,1.1306,1.16,1.0357,1.0604,3817826.5,1609631999999,4175963.240232,34558,2004978.22,2195681.4899,0
1609632000000,1.0597,1.205,1.0353,1.1813,4312248.05,1609718399999,4792287.959039,35309,2089701.88,2329267.356238,0
1609718400000,1.1813,1.3389,1.0161,1.3149,13086069.28,1609804799999,15440756.727603,95086,6290229.43,7438637.806055,0
1609804800000,1.3172,1.6206,1.1569,1.4791,16881096.14,1609891199999,23641541.407766,119654,8508727.47,11930791.424454,0
1609891200000,1.4776,1.5847,1.359,1.4425,9972066.14,1609977599999,14735533.577913001,74998,4877439.42,7215940.847589,0
1609977600000,1.4439,1.57,1.311,1.3991,8773305.59,1610063999999,12887084.476953,64634,4384075.24,6449764.789129,0
1610064000000,1.3993,1.9,1.25,1.6339,20160049.13,1610150399999,32543551.720765002,125882,9813462.16,15859212.167422,0
1610150400000,1.6339,1.7999,1.5,1.7242,14523410.39,1610236799999,23620845.639228,112004,7071897.44,11535516.918127,0
1610236800000,1.7292,1.9280000000000002,1.4809999999999999,1.6185,13890046.19,1610323199999,23745033.483845003,108927,6821414.02,11698047.149988001,0
1610323200000,1.6175,1.6206,1.2053,1.41,12466793.46,1610409599999,17243620.729984,84347,6154909.34,8500302.964472,0
1610409600000,1.4128,1.5876,1.306,1.4436,9301988.41,1610495999999,13510006.138989,60108,4545231.18,6598156.101047,0
1610496000000,1.4447,1.69,1.375,1.6573,7531327.9,1610582399999,11670290.055477,53100,3816686.73,5914895.87939,0
1610582400000,1.6579,1.73,1.5659,1.6968,5656118.66,1610668799999,9262153.751205001,42671,2824646.69,4633124.023605,0
1610668800000,1.6992,1.7597,1.4925,1.71,9592721.39,1610755199999,15717384.709651,70093,4513495.98,7420813.699681,0
1610755200000,1.7086,1.9767,1.6963,1.7703,9077405.09,1610841599999,16372553.774756,69046,4605362.5,8311912.967913001,0
1610841600000,1.7727,1.8519,1.6,1.8192,7808740.61,1610927999999,13495928.576663,57951,3827835.87,6625270.48002,0
1610928000000,1.8174,2.0469999999999997,1.7761,1.9077,7993357.09,1611014399999,15284829.028145,63069,4046687.01,7749845.243486,0
1611014400000,1.9111,2.012,1.7645,1.7971,5183383.78,1611100799999,9942768.142750999,39763,2664513.57,5117629.888774,0
1611100800000,1.7971,1.889,1.65,1.8304,5979571.12,1611187199999,10531566.301758,51717,2891041.09,5100666.7427,0
1611187200000,1.8317,1.8421,1.505,1.5367,6478031.79,1611273599999,10558731.325065,50882,2915003.5,4778411.168979,0
1611273600000,1.5337,1.7007,1.42,1.6719,4742396.96,1611359999999,7505484.935708,38147,2319185.38,3679729.499214,0
1611360000000,1.6724,1.7958,1.63,1.7625,5207968.83,1611446399999,8946094.645256,41776,2559770.29,4398479.294756,0
1611446400000,1.7625,1.975,1.7237,1.9742,5262866.52,1611532799999,9654787.356094,42955,2517937.45,4627432.03202,0
1611532800000,1.9742,2.181,1.8641,1.8997,8810900.85,1611619199999,18152332.912189003,72688,4288883.84,8848162.389618,0
1611619200000,1.8981,2.23,1.8657,2.2269,9339221.22,1611705599999,18750977.029442,71955,4750277.03,9562007.086224,0
1611705600000,2.2288,2.23,1.7947,1.8835,7525283.4,1611791999999,14779299.352754999,63931,3588423.97,7049623.740408001,0
1611792000000,1.8827,2.066,1.8199,1.9174,6696760.88,1611878399999,13167747.581679,52592,3018070.01,5946530.1701879995,0
1611878400000,1.9168,1.9323,1.8026,1.8836,6253131.12,1611964799999,11673337.600821001,48723,3027530.93,5656647.003404,0
1611964800000,1.8835,2.1256,1.8038,2.0656,7838030.78,1612051199999,15418460.63972,60903,3914626.51,7706137.75027,0
1612051200000,2.066,2.4908,2.0317,2.484,13376065.49,1612137599999,29601012.134376,110637,6662169.38,14763308.752035998,0
1612137600000,2.4843,2.8988,2.2499,2.8484,13265133.19,1612223999999,33863554.388294004,117519,6647229.84,16987689.305836998,0
1612224000000,2.8484,3.0494,2.6533,2.9605,8230898.53,1612310399999,23246470.263031,84589,4102354.54,11600068.828346001,0
1612310400000,2.9609,2.9883,2.6952,2.8461,6891962.79,1612396799999,19465334.182437,70525,3185725.72,8999146.554018,0
1612396800000,2.847,3.0323,2.5943,2.8723,6837259.18,1612483199999,19039865.446847,74050,3298730.97,9186992.726271,0
1612483200000,2.8723,3.4797,2.8723,3.1328,7459521.82,1612569599999,23883178.085275,89106,3693101.19,11815054.725821001,0
1612569600000,3.1367,3.5449,2.819,2.903,8552491.76,1612655999999,25808983.954522,96557,4021011.16,12105337.100164,0
1612656000000,2.9013,2.9993,2.5893,2.8819,6275623.74,1612742399999,17509929.381756,69724,3034032.53,8473061.104642998,0
1612742400000,2.8768,3.3,2.7793,3.1291,8314866.1,1612828799999,25811231.917003,102416,4028373.15,12515376.340734,0
1612828800000,3.1291,3.5380000000000003,3.0622,3.3589,9993762.61,1612915199999,32578399.139330998,113172,4937403.43,16119069.662754001,0
1612915200000,3.3588,4.4592,3.0483,4.2259,15807991.76,1613001599999,58076095.386806004,172840,8030065.43,29583327.253599,0
1613001600000,4.2255,4.5354,3.9,4.1184,7314594.94,1613087999999,30873402.168513,97963,3592600.15,15171322.292485,0
1613088000000,4.1164,4.3794,3.9388,4.1657,5119401.28,1613174399999,21304278.004329998,61984,2470538.28,10285349.336112,0
1613174400000,4.1657,4.5,3.7704,4.1163,6866284.78,1613260799999,28273904.655029,82237,3369501.48,13911898.621189998,0
1613260800000,4.1184,4.16,3.65,3.8249,4923831.62,1613347199999,19065027.547298,58377,2397894.19,9290803.787028,0
1613347200000,3.8249,4.0394,3.25,3.6472,7739507.26,1613433599999,28102528.475518,89728,3954931.73,14330980.971135,0
1613433600000,3.65,3.9945,3.4044,3.6191,5494323.46,1613519999999,20230223.682333,61738,2762339.68,10182494.599478,0
1613520000000,3.6151,4.0241,3.2532,3.8337,7816471.41,1613606399999,28468974.389255,77199,4118532.25,15077305.093044,0
1613606400000,3.8321,4.0669,3.7287,3.9876,5075962.94,1613692799999,19763389.145472,59347,2440533.06,9511132.97068,0
1613692800000,3.9876,5.25,3.6978,5.1069,11374459.9,1613779199999,50648634.75912,122469,5793306.23,25847750.563707,0
1613779200000,5.1,5.3344,4.2,4.5724,10514444.3,1613865599999,51350924.801475,127194,5298560.47,25921963.569638,0
1613865600000,4.5649,5.1606,4.3268,4.8197,5683278.43,1613951999999,27064148.193570003,68034,2804239.7,13375891.267648,0
1613952000000,4.8213,6.15,3.95,5.7059,15715503.11,1614038399999,78930452.177239,164577,7945006.56,40020799.322723,0
1614038400000,5.7088,7.6,4.5709,6.96,43483108.87,1614124799999,269873670.738296,454421,21443314.09,133450588.310251,0
1614124800000,6.9602,7.35,6.2,6.997000000000001,15593481.34,1614211199999,104755711.33786601,194775,7732930.67,52000313.494833,0
1614211200000,6.985,8.1471,5.9068,5.9887,13426284.27,1614297599999,98400618.1906,179972,6469306.3,47599279.897628,0
1614297600000,5.9943,6.4099,5.2756,5.4811,14167162.05,1614383999999,83203880.825869,166388,6843059.93,40368526.17128,0
1614384000000,5.4805,5.7722,5.1406,5.2721,5962915.31,1614470399999,32886226.427729998,80064,2867292.13,15830734.743573,0
1614470400000,5.2733,5.3054,4.2327,4.9813,8902292.6,1614556799999,42211070.811759,104571,4203107.28,19950570.224799,0
1614556800000,4.9752,5.9799,4.8994,5.6691,8851354.16,1614643199999,48160554.490308,108016,4560981.67,24841307.284537,0
1614643200000,5.6695,5.85,4.8752,5.2864,8077843.59,1614729599999,43450972.124510996,110683,4108319.3,22165566.975998,0
1614729600000,5.284,5.7,5.1709,5.331,6263430.67,1614815999999,34063399.313549,83654,3069432.67,16697866.872588001,0
1614816000000,5.331,5.6034,4.7,4.9728,5948200.07,1614902399999,30342517.931084998,76150,2910650.43,14830252.48274,0
1614902400000,4.9735,5.0207,4.5269,4.8297,5168840.98,1614988799999,24556310.667558,67411,2636185.22,12521943.740292,0
1614988800000,4.8292,5.4657,4.7024,5.3173,5057014.0,1615075199999,25641495.760282997,60392,2624506.27,13299126.848578,0
1615075200000,5.3278,6.51,5.3221,6.0064,14671442.26,1615161599999,86509767.26562199,210143,7392977.1,43570458.963895,0
1615161600000,6.0064,6.1681,5.6565,6.0625,5968475.41,1615247999999,35161171.658617,97333,2940298.61,17329354.196686,0
1615248000000,6.0683,6.5615,5.9383,6.4191,5323535.21,1615334399999,33410702.231562,85531,2666761.99,16728571.438134,0
1615334400000,6.4242,6.4499,5.7406,5.8552,3656126.93,1615420799999,21920457.174479,65168,1680487.64,10073604.559462,0
1615420800000,5.8524,6.2028,5.5381,5.8291,3872148.99,1615507199999,22673798.583287,59601,1946136.61,11406562.542328,0
1615507200000,5.8342,5.9670000000000005,5.2945,5.4907,3672254.32,1615593599999,20614959.701226998,59441,1859767.23,10434804.876377,0
1615593600000,5.4875,6.2,5.22,6.0398,4856835.12,1615679999999,28042404.579366997,79042,2522398.07,14559875.561323998,0
1615680000000,6.0449,6.7455,5.7,6.1947,7063077.77,1615766399999,43976726.279971994,126368,3583630.48,22333662.201144,0
1615766400000,6.1896,6.4177,5.53,5.6362,5116398.79,1615852799999,30076014.726284,86491,2503449.95,14742049.454727,0
1615852800000,5.6354,5.6565,5.1424,5.3692,4174785.94,1615939199999,22396742.359331,77388,1982400.97,10637044.412123,0
1615939200000,5.3743,5.41,4.8962,5.29,3634765.3,1616025599999,18746570.472672,65009,1800680.83,9296508.411466,0
1616025600000,5.287000000000001,5.52,5.1074,5.1987,4343483.95,1616111999999,23023477.002012,80091,2227167.98,11805841.236519,0
1616112000000,5.2002,5.4738,5.0,5.2502,3805471.24,1616198399999,20248448.374342002,62263,1834123.69,9750894.873393,0
1616198400000,5.2493,5.528,5.0288,5.0512,4181614.4,1616284799999,22141199.673107002,65102,2187510.07,11570314.900315,0
1616284800000,5.0515,5.1029,4.8569,5.0283,2695758.02,1616371199999,13497468.065197999,52264,1348217.33,6753941.721791,0
1616371200000,5.0336,5.59,4.7732,4.8448,5721435.95,1616457599999,29946578.594113,96947,2886443.33,15111473.381147001,0
1616457600000,4.849,5.0099,4.5680000000000005,4.6864,4034798.58,1616543999999,19445322.501463,70970,2137444.35,10306283.097157001,0
1616544000000,4.6866,4.995,4.0747,4.2330000000000005,4390417.49,1616630399999,20556747.086829,72543,2123085.74,9949457.923431,0
1616630400000,4.2351,4.3056,3.8672,4.0455,4360673.56,1616716799999,17776032.752311,66720,2328324.9,9475957.810031,0
1616716800000,4.0455,4.6536,4.0455,4.5951,2933440.71,1616803199999,12759438.921089,46610,1594797.92,6931745.4017320005,0
1616803200000,4.5942,4.6989,4.3296,4.6349,2563867.99,1616889599999,11618763.378229,42962,1230236.77,5575125.617508,0
1616889600000,4.6377,5.2,4.571000000000001,4.9194,4253509.77,1616975999999,20900897.543168,65753,2131779.37,10479390.433642,0
1616976000000,4.9194,5.2472,4.803,5.2214,2816013.45,1617062399999,14250675.020156,45423,1421436.74,7199461.306825999,0
1617062400000,5.2164,5.7697,5.2051,5.3971,4251315.77,1617148799999,23235057.944753,71498,2137244.46,11683046.012407001,0
1617148800000,5.3992,5.5383,4.9571,5.505,3303680.67,1617235199999,17293923.267956,60127,1560501.59,8171113.712795,0
1617235200000,5.5066,5.6255,5.1177,5.2545,2574219.55,1617321599999,13743167.349307,48793,1224515.34,6542401.833780999,0
1617321600000,5.2588,5.9631,5.1813,5.9338,4258180.27,1617407999999,23944865.999674,77579,2186684.72,12311295.845738001,0
1617408000000,5.9262,6.42,5.5517,5.6918,9487319.52,1617494399999,56810598.339531995,140361,4932213.22,29600768.192049,0
1617494400000,5.6871,6.73,5.6016,6.5381,6424620.79,1617580799999,40676885.78841,112612,3302724.64,20923852.189179,0
1617580800000,6.5381,6.5999,6.0372,6.1065,4477616.78,1617667199999,28230656.558582,76438,2084990.89,13163521.890637,0
1617667200000,6.098,6.3683,5.6555,6.3592,6118613.77,1617753599999,37249185.400109,97063,3217783.46,19643398.340655,0
1617753600000,6.351,6.45,5.3674,5.6801,7244847.56,1617839999999,42674422.215495,115517,3642651.81,21524029.271378,0
1617840000000,5.6766,6.1078,5.6338,6.0748,3533707.73,1617926399999,20710927.698277,58612,1813727.35,10637742.469194,0
1617926400000,6.0748,7.3,5.8767,7.027,10077487.43,1618012799999,68173948.309717,162714,5211847.0,35252371.132651,0
1618012800000,7.027,7.4487,6.59,7.0544,6680340.79,1618099199999,47044435.685747996,124242,3368597.63,23763885.670632,0
1618099200000,7.0587,8.1,6.669,8.0748,9375196.84,1618185599999,70057980.5877,171299,5022443.84,37645125.603185,0
1618185600000,8.0943,8.2,7.1004,7.4556,5904098.02,1618271999999,44546355.290171005,110859,2883706.16,21787427.899489,0
1618272000000,7.4568,7.61,6.7574,7.2876,4158617.12,1618358399999,29709416.249681,77089,2037089.99,14556741.550867999,0
1618358400000,7.2876,7.3674,6.3724,7.3473,5802861.07,1618444799999,40054148.97708,118858,2924544.56,20203886.820286,0
1618444800000,7.3378,7.593999999999999,7.0,7.3657,3680005.21,1618531199999,26833286.814591,79378,1817309.7,13252386.812268,0
1618531200000,7.3646,7.4911,6.4287,6.6599,4106739.83,1618617599999,28237370.520140003,80750,2010714.07,13822304.399063,0
1618617600000,6.6581,7.2191,6.5004,6.5007,3975924.29,1618703999999,27349291.568823002,78302,1903869.31,13094042.143714,0
1618704000000,6.5045,6.5888,5.0,6.2410000000000005,9203752.93,1618790399999,53008697.63673,186830,4537718.71,26117432.244441,0
1618790400000,6.239,6.6868,5.6508,5.7603,9536094.19,1618876799999,58885098.792721994,152130,4788388.9,29609923.50857,0
1618876800000,5.7549,6.12,5.061,5.9222,8047297.51,1618963199999,45478318.290062,136742,3956708.39,22365109.106161,0
1618963200000,5.9285,6.53,5.7178,5.9292,6986461.2,1619049599999,42823355.540125,125590,3567256.66,21888439.338313002,0
1619049600000,5.9304,7.45,5.801,6.5081,14005520.92,1619135999999,94797874.51209201,242267,7002944.85,47441194.320332,0
1619136000000,6.5081,6.8,5.1132,5.7866,10793372.94,1619222399999,61615564.217198,168493,5219551.46,29791293.686398998,0
1619222400000,5.7822,6.175,5.0205,5.7801,8422396.9,1619308799999,46840641.917802,127315,4052361.73,22585683.777657997,0
1619308800000,5.7867,7.6,5.727,7.4671,17916452.73,1619395199999,121319357.20050801,303615,8991490.68,60938617.856339,0
1619395200000,7.473,11.4731,7.2092,9.5045,43703191.15,1619481599999,416428955.892546,743665,21967908.27,208881842.295594,0
1619481600000,9.5044,11.368,9.493,10.368,22574876.98,1619567999999,236802391.54057997,414089,11161194.55,117060783.22459699,0
1619568000000,10.3843,10.4421,8.946,9.6515,11817963.93,1619654399999,112856662.744291,217568,5982388.86,57080835.136893995,0
1619654400000,9.6446,9.7475,8.537,9.2354,8140659.25,1619740799999,74512291.373292,142587,3957572.54,36206279.12488,0
1619740800000,9.2361,9.9869,8.8603,9.5857,6511865.68,1619827199999,61679938.349674,126123,3276742.81,31030053.448746998,0
1619827200000,9.5824,10.5884,9.0925,10.5564,8091636.94,1619913599999,79665431.852579,163078,4094886.44,40396841.312332004,0
