open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609459200000,0.4754,0.4902,0.4625,0.4772,539100.23,1609545599999,256312.43189699997,1419,164759.59,78641.201294,0
1609545600000,0.4771,0.4774,0.4165,0.4469,895068.11,1609631999999,407427.744225,2495,427058.51,195806.435882,0
1609632000000,0.4465,0.4594,0.4122,0.4537,1210292.41,1609718399999,530279.850712,3878,534458.72,234716.073133,0
1609718400000,0.4524,0.4898,0.4063,0.4323,1013585.56,1609804799999,443301.284538,3959,363981.24,160910.035071,0
1609804800000,0.4314,0.4583,0.4081,0.4414,687951.52,1609891199999,299687.723551,2748,359010.38,157464.273296,0
1609891200000,0.441,0.4889,0.4237,0.4591,1809142.61,1609977599999,826144.891764,4640,834209.89,381993.632775,0
1609977600000,0.46399999999999997,0.5937,0.4574,0.4999,6690260.25,1610063999999,3554526.507332,15405,3490886.41,1874550.8576810001,0
1610064000000,0.4983,0.5149,0.452,0.485,1721867.53,1610150399999,828229.947648,4238,740111.46,357904.99953000003,0
1610150400000,0.4839,0.568,0.4651,0.5358,1719065.82,1610236799999,882663.762019,5096,849446.34,436774.14011499996,0
1610236800000,0.5367,0.5911,0.4697,0.5223,2413038.95,1610323199999,1321291.329575,6731,1168223.33,643546.2536180001,0
1610323200000,0.519,0.5218,0.4247,0.4593,1762999.08,1610409599999,828037.567306,5789,827363.16,390216.111943,0
1610409600000,0.4593,0.515,0.4421,0.449,1240696.83,1610495999999,580194.354113,4553,630183.25,296250.696605,0
1610496000000,0.4487,0.4779,0.4233,0.4695,1083100.85,1610582399999,490385.414967,3992,429218.04,195135.103195,0
1610582400000,0.4694,0.5047,0.4625,0.4786,936806.91,1610668799999,447697.370376,3417,479024.65,229679.408273,0
1610668800000,0.4797,0.53,0.4525,0.4864,1568073.54,1610755199999,772952.517275,4754,783401.64,387269.318929,0
1610755200000,0.4863,0.544,0.4839,0.5172,1009444.71,1610841599999,520372.725454,4348,524478.86,270109.733078,0
1610841600000,0.5174,0.5735,0.4921,0.5684,1446566.84,1610927999999,772783.5990729999,5301,643148.25,344995.165123,0
1610928000000,0.5721,0.575,0.501,0.5622,893878.36,1611014399999,491858.13842,3812,407486.68,225504.35463000002,0
1611014400000,0.5619,0.64,0.5588,0.5833,2757142.43,1611100799999,1649324.961027,8938,1523538.23,911800.793957,0
1611100800000,0.5833,0.5944,0.5017,0.5558,2137561.63,1611187199999,1158336.82524,6189,1095321.71,595543.6544069999,0
1611187200000,0.5558,0.5558,0.4869,0.5078,1713304.78,1611273599999,887252.831607,5519,654735.52,340509.008219,0
1611273600000,0.5104,0.5308,0.4724,0.5213,775911.71,1611359999999,394020.13459699997,3378,328774.67,167687.41991199998,0
1611360000000,0.5167,0.5619,0.5112,0.5472,891338.42,1611446399999,475986.94492299994,3540,436841.26,233445.998689,0
1611446400000,0.5481,0.5632,0.5251,0.5318,963176.41,1611532799999,523172.783829,3325,390819.73,213381.443837,0
1611532800000,0.5318,0.561,0.5267,0.5367,914469.21,1611619199999,500425.061512,3177,476529.8,261000.10838800002,0
1611619200000,0.5402,0.5439,0.5035,0.5406,476471.53,1611705599999,249378.421837,2022,182446.09,95749.17343200001,0
1611705600000,0.5372,0.66,0.5144,0.584,4991826.1,1611791999999,2871400.900434,13760,2949598.65,1706168.306326,0
1611792000000,0.584,0.6336,0.5617,0.5642,5050558.1,1611878399999,2998964.410384,10256,2998715.69,1792785.4899549999,0
1611878400000,0.5621,0.66,0.5512,0.6255,3898562.03,1611964799999,2356462.532096,12194,2518848.55,1525149.376521,0
1611964800000,0.6257,0.71,0.5986,0.7006,3019058.56,1612051199999,1966126.7273950002,10378,1521175.23,993879.311077,0
1612051200000,0.7027,0.8457,0.6645,0.7999,5275919.92,1612137599999,4027814.4548029997,19925,2513386.06,1920776.7583360001,0
1612137600000,0.8014,0.83,0.6734,0.6861,5274276.06,1612223999999,3832726.3410739996,17087,2430736.26,1779418.0998779999,0
1612224000000,0.6826,0.7999,0.674,0.7344,2711376.63,1612310399999,1919875.185239,9543,1438549.2,1030435.7048739999,0
1612310400000,0.7345,0.76,0.6577,0.7020000000000001,2789746.36,1612396799999,2009343.063823,9852,1315171.26,952171.625159,0
1612396800000,0.7057,0.7290000000000001,0.675,0.6811,2329978.25,1612483199999,1629261.875718,7883,1043141.87,731208.1035399999,0
1612483200000,0.685,0.8033,0.6705,0.7924,3161185.56,1612569599999,2371112.037614,12052,1606735.46,1207308.993798,0
1612569600000,0.7896,0.8288,0.7302,0.746,1830346.52,1612655999999,1420328.730641,6926,732853.35,572243.394348,0
1612656000000,0.7453,0.7578,0.7020000000000001,0.7295,1124348.9,1612742399999,822193.560919,4794,469956.9,345045.477358,0
1612742400000,0.7296,0.815,0.7279,0.7898,1499348.64,1612828799999,1167511.3794870002,7819,689544.22,537574.105765,0
1612828800000,0.7902,1.1,0.7764,1.0791,7751923.7,1612915199999,7234707.514213,36205,3895484.12,3646003.3102339995,0
1612915200000,1.079,1.18,0.885,1.0445,4121640.53,1613001599999,4289051.365135,26390,2008160.46,2093829.945091,0
1613001600000,1.0445,1.1179999999999999,0.99,1.0576,2852985.51,1613087999999,3012571.923024,14587,1221976.0,1290226.113326,0
1613088000000,1.0636,1.29,1.0496,1.2306,2811855.94,1613174399999,3239328.1224930002,18682,1510414.95,1748207.5695310002,0
1613174400000,1.2301,1.29,1.11,1.2356,1901928.13,1613260799999,2292140.7875200002,15467,912719.3,1101986.428545,0
1613260800000,1.2359,2.0694,1.2279,2.06,18772530.66,1613347199999,31811301.266096003,127213,10031280.62,17025701.161753,0
1613347200000,2.06,2.3738,1.656,1.6975,22421012.51,1613433599999,44276274.503055,137864,11124772.77,22079698.450384,0
1613433600000,1.6972,1.94,1.5587,1.6218,4741771.03,1613519999999,8228634.457908999,38409,2226787.45,3890181.1235410003,0
1613520000000,1.6246,1.7755,1.5194,1.6473,3015200.2,1613606399999,4957796.1566510005,24649,1368646.25,2258852.756684,0
1613606400000,1.6473,1.7382,1.6472,1.6803,1620373.12,1613692799999,2732729.627171,14966,785381.89,1327248.034056,0
1613692800000,1.6804,1.7065,1.55,1.5928,1855072.2,1613779199999,2997002.172934,16083,882662.38,1427757.302026,0
1613779200000,1.597,1.976,1.5603,1.6773,3457597.78,1613865599999,6120431.693995,30737,1747043.77,3097212.4921919997,0
1613865600000,1.6734,1.8231,1.63,1.6943,1898809.93,1613951999999,3277097.708165,16047,901836.0,1559126.667615,0
1613952000000,1.6947,1.7034,1.22,1.5164,2709031.62,1614038399999,3994811.316304,16699,1377146.64,2032194.568191,0
1614038400000,1.5178,1.5182,0.9817,1.1495,3816578.35,1614124799999,4441516.793345,17814,1892769.78,2203879.198752,0
1614124800000,1.1518,1.3576,1.1039,1.2437,1905142.44,1614211199999,2400275.530633,12266,919501.26,1156420.370816,0
1614211200000,1.2473,1.4296,1.15,1.1909,1653350.12,1614297599999,2170329.078393,11406,820554.69,1077920.734925,0
1614297600000,1.1907,1.2554,1.0485,1.1471,1454204.98,1614383999999,1676063.128422,8237,745681.43,859730.223123,0
