open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609459200000,2.501,2.676,2.408,2.51,189361.74,1609545599999,481555.42903,1304,96695.18,246395.08258000002,0
1609545600000,2.512,2.85,2.428,2.628,169707.71,1609631999999,438055.73409,1697,100995.76,261755.23233000003,0
1609632000000,2.67,3.488,2.448,3.312,475102.55,1609718399999,1417224.3963600001,3816,236624.35,706656.24038,0
1609718400000,3.33,4.1419999999999995,2.4619999999999997,3.594,1247139.32,1609804799999,4119628.9225800005,9448,635288.16,2090666.65998,0
1609804800000,3.591,3.67,2.5069999999999997,2.904,1106913.12,1609891199999,3161599.65442,6513,527402.33,1508643.66754,0
1609891200000,2.91,3.5469999999999997,2.75,3.367,714342.9,1609977599999,2287584.6098599997,5912,365065.99,1166046.71475,0
1609977600000,3.423,4.157,3.2880000000000003,3.594,1004148.85,1610063999999,3775860.67881,5709,524306.11,1985828.77019,0
1610064000000,3.595,3.66,3.068,3.4760000000000004,473166.48,1610150399999,1602789.38952,3839,248906.37,840731.39435,0
1610150400000,3.5039999999999996,4.698,3.279,4.273,639591.1,1610236799999,2608127.27054,6960,357048.1,1451474.0537,0
1610236800000,4.28,4.95,3.055,3.585,1111964.98,1610323199999,4375086.75744,10222,544293.17,2153895.38916,0
1610323200000,3.571,3.585,1.9880000000000002,2.459,1447712.64,1610409599999,3608032.13956,6797,618806.34,1537675.15859,0
1610409600000,2.449,2.792,2.22,2.38,420002.09,1610495999999,1037023.98692,3239,201541.14,498419.94658999995,0
1610496000000,2.378,2.88,2.176,2.861,249993.5,1610582399999,625955.50451,2157,127413.28,318535.26394000003,0
1610582400000,2.888,3.03,2.53,2.72,509794.87,1610668799999,1398738.33626,3803,286960.54,788892.65932,0
1610668800000,2.73,3.03,2.296,2.6310000000000002,801900.58,1610755199999,2188372.9547099997,5365,434142.74,1187946.86727,0
1610755200000,2.6310000000000002,2.971,2.557,2.702,635453.29,1610841599999,1759709.94007,4335,341462.72,947821.69505,0
1610841600000,2.7,2.85,2.49,2.705,380179.11,1610927999999,1027234.33345,3412,222197.94,601040.73833,0
1610928000000,2.7439999999999998,3.225,2.6,3.0610000000000004,573338.47,1611014399999,1676183.78966,4380,328091.23,962524.24344,0
1611014400000,3.051,3.235,2.785,2.8,513025.42,1611100799999,1556974.69545,4025,273634.69,835099.34256,0
1611100800000,2.7910000000000004,2.908,2.44,2.7539999999999996,521003.41,1611187199999,1386254.01771,3346,275842.53,728993.5854699999,0
1611187200000,2.77,2.775,2.06,2.065,384847.17,1611273599999,928257.5994200001,2845,192858.3,467590.42216,0
1611273600000,2.0709999999999997,2.34,1.8090000000000002,2.27,471640.59,1611359999999,978022.67724,2297,233268.22,488064.71821,0
1611360000000,2.272,2.45,2.167,2.41,298649.3,1611446399999,693208.38093,2190,162559.15,377411.26178,0
1611446400000,2.41,2.6839999999999997,2.3569999999999998,2.541,1442020.53,1611532799999,3640882.78862,4176,716424.03,1816753.1675,0
1611532800000,2.5380000000000003,3.123,2.405,2.421,713895.19,1611619199999,1981685.95848,4848,415582.95,1158166.2949299999,0
1611619200000,2.404,2.513,2.174,2.397,228403.56,1611705599999,537662.1564399999,1769,99505.19,233882.18425,0
1611705600000,2.396,2.396,1.984,2.129,309758.62,1611791999999,673538.3063899999,2444,162162.62,352627.72701,0
