open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1611705600000,0.1698,0.5,0.1698,0.431,307684578.14,1611791999999,102717884.338586,302378,161335785.7,53971836.105212,0
1611792000000,0.4312,0.4314,0.2919,0.3012,156658865.88,1611878399999,55520265.393809,159822,71935283.43,25598830.433895003,0
1611878400000,0.3009,0.321,0.252,0.28800000000000003,74611336.58,1611964799999,20807269.233149,84447,35284095.82,9893797.653482001,0
1611964800000,0.2878,0.348,0.28300000000000003,0.298,47977142.59,1612051199999,14856975.708226,62563,22292634.63,6946959.708178,0
1612051200000,0.298,0.3213,0.2833,0.2907,26593050.22,1612137599999,7922892.186395,34306,12144411.02,3634086.730436,0
1612137600000,0.2907,0.3197,0.2867,0.3018,21475119.72,1612223999999,6513269.166595,26739,9845770.79,2990908.4400009997,0
1612224000000,0.3018,0.3399,0.2963,0.3266,25317276.33,1612310399999,8000176.001697,31216,12237016.36,3874469.3840349996,0
1612310400000,0.3266,0.37799999999999995,0.3265,0.3696,30858737.15,1612396799999,10776655.308541,43653,15329815.6,5361984.409206,0
1612396800000,0.3696,0.4405,0.34,0.413,42808973.21,1612483199999,16408435.800893,55890,21778445.55,8389843.779961,0
1612483200000,0.4127,0.55,0.4127,0.4634,63899257.99,1612569599999,31181675.371678997,101067,31206935.74,15264240.552047,0
1612569600000,0.4661,0.5784,0.4202,0.5504,49875902.24,1612655999999,25110979.362055,92630,24569321.28,12464308.206481,0
1612656000000,0.5504,0.6659999999999999,0.5289,0.6096,70201994.7,1612742399999,42336061.743198,135875,34306621.72,20745155.743979,0
1612742400000,0.6096,0.7244,0.5965,0.7042,48960143.51,1612828799999,33040862.029932,96586,25231744.02,17059898.284097,0
1612828800000,0.7067,0.708,0.6152,0.6462,32626756.58,1612915199999,21410916.663162,78104,14608577.97,9587510.557507,0
1612915200000,0.6463,0.7583,0.6049,0.6384,40395717.23,1613001599999,27905048.685386,112385,20069132.24,13915650.118367001,0
1613001600000,0.6384,0.7487,0.6273,0.7212,22118423.42,1613087999999,15303764.473795999,63748,11039516.82,7659328.866671001,0
1613088000000,0.7237,0.7335,0.6711,0.695,17525783.62,1613174399999,12341568.696378,55010,7875670.77,5563535.075087001,0
1613174400000,0.6938,0.7071,0.64,0.6552,15910244.92,1613260799999,10750442.260603,48312,7024343.59,4750065.041805999,0
1613260800000,0.6551,0.6693,0.61,0.6397,15360675.07,1613347199999,9818939.090203999,42763,6390429.78,4092300.3728589998,0
1613347200000,0.6397,0.642,0.511,0.5693,26036556.1,1613433599999,14974893.569786,60435,12053115.9,6932354.675316,0
1613433600000,0.5692,0.6676,0.5428,0.6453,20652421.77,1613519999999,12735382.021409,55289,10595101.04,6545154.055626,0
1613520000000,0.6454,0.68,0.5783,0.6617,18253582.82,1613606399999,11564220.192378,49001,9562897.1,6089464.492784,0
1613606400000,0.6625,0.7988,0.6512,0.7793,29202050.39,1613692799999,20816188.897188,82416,17218991.88,12268638.579945,0
1613692800000,0.7793,0.8871,0.7,0.87,39260986.92,1613779199999,32124685.426774,122009,20599681.36,16933764.235291,0
1613779200000,0.8699,0.871,0.6709999999999999,0.7414,27299964.85,1613865599999,21239849.298309,87434,12248295.31,9548758.721886,0
1613865600000,0.7451,0.825,0.7162,0.7611,16687857.5,1613951999999,12834489.246406,54523,8215489.99,6330708.510439,0
1613952000000,0.7589,0.7614,0.5710000000000001,0.7048,25070707.68,1614038399999,17194732.821177,63090,10889993.06,7479873.319819001,0
1614038400000,0.7047,0.7079,0.531,0.6047,21725218.53,1614124799999,12924917.428922,47407,10091538.25,6015758.665555,0
1614124800000,0.605,0.6786,0.5691,0.6289,14850028.74,1614211199999,9360050.913484,38482,7563970.64,4777744.834822,0
1614211200000,0.6289,0.6395,0.5759,0.578,12072318.09,1614297599999,7364090.269956,28436,5275333.83,3229254.534243,0
1614297600000,0.5776,0.58,0.502,0.5413,13451638.38,1614383999999,7289161.925744,27651,6268677.27,3388820.544579,0
1614384000000,0.54,0.5679,0.5151,0.5362,8831063.06,1614470399999,4815181.31113,21807,4434858.24,2420874.071056,0
1614470400000,0.5362,0.5416,0.4167,0.4605,16074688.43,1614556799999,7458104.807108,30261,7923565.18,3670247.2596730003,0
1614556800000,0.462,0.55,0.4571,0.5334,13644332.49,1614643199999,6994398.383586,33418,7103893.48,3641851.218234,0
1614643200000,0.5334,0.57,0.49,0.5228,13236167.35,1614729599999,7014365.9533440005,30175,5834178.49,3099426.503654,0
1614729600000,0.5228,0.583,0.5134,0.5405,12742587.41,1614815999999,6998747.6092880005,29571,6209010.9,3414413.3997919997,0
1614816000000,0.54,0.56,0.49,0.5088,10142193.35,1614902399999,5309452.046811,25152,4112895.67,2161512.425233,0
1614902400000,0.5088,0.5181,0.48,0.5,7045578.28,1614988799999,3503862.0893300003,16475,3222357.47,1600728.883676,0
1614988800000,0.4986,0.5249,0.486,0.507,7931611.31,1615075199999,4005038.416308,19990,3879605.08,1962679.606509,0
