open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609459200000,5.347,5.91,5.2638,5.447,472612.96,1609545599999,2643108.967343,11076,204686.51,1145496.2976819999,0
1609545600000,5.4806,5.4886,4.7174,4.8496,597555.83,1609631999999,3045279.445073,13446,260695.18,1326748.713967,0
1609632000000,4.8474,7.4749,4.8177,6.1816,2880173.31,1609718399999,18530733.470377,52925,1557312.59,10081125.591814999,0
1609718400000,6.1942,6.7699,5.15,6.0645,1202044.05,1609804799999,7196734.772196,26942,581785.18,3507432.893376,0
1609804800000,6.0656,6.0923,5.3401,5.6901,428237.18,1609891199999,2447080.560302,10500,193881.3,1108876.0626649999,0
1609891200000,5.6903,6.827000000000001,5.502000000000001,6.1899,950355.05,1609977599999,5895735.276097001,21601,483290.92,3014356.549662,0
1609977600000,6.1725,7.77,5.88,6.8842,1251931.07,1610063999999,8419263.317894999,29363,668233.8,4523274.863966,0
1610064000000,6.8504,7.5,6.0201,6.7297,975677.4,1610150399999,6678234.383579,22153,430244.4,2950277.156779,0
1610150400000,6.6821,7.3072,6.3643,6.9801,407387.8,1610236799999,2821586.4825939997,11235,205408.11,1426310.3157209998,0
1610236800000,6.9801,7.4199,5.6426,6.22,835624.64,1610323199999,5510107.666755,18062,406332.03,2674300.006106,0
1610323200000,6.2015,6.3799,4.85,5.3134,527402.4,1610409599999,2867698.3445490003,12019,236076.03,1282459.4255290001,0
1610409600000,5.3134,6.2,4.9101,5.1525,746632.6,1610495999999,4171017.909593,12858,379220.97,2128261.237336,0
1610496000000,5.1525,5.6979999999999995,4.9439,5.62,306124.53,1610582399999,1643366.422741,7236,153234.33,826477.296348,0
1610582400000,5.5956,5.7765,5.425,5.5768,336063.57,1610668799999,1886554.930779,6747,152388.52,856418.8206869999,0
1610668800000,5.57,6.1735,5.23,5.6901,579187.55,1610755199999,3344104.660236,13265,273447.44,1584031.382712,0
1610755200000,5.7283,6.69,5.5924,6.23,825049.28,1610841599999,5123577.070798,18352,408804.63,2547127.096461,0
1610841600000,6.2175,7.25,5.7167,6.795,835481.72,1610927999999,5392982.909367,18153,433605.86,2809970.814297,0
1610928000000,6.7737,9.48,6.72,9.2672,1938387.35,1611014399999,16160250.526828,48884,1024981.0,8535671.252519,0
1611014400000,9.2917,9.3099,7.35,7.4308,1081801.49,1611100799999,8681220.964063,30159,471542.73,3781506.1639440004,0
1611100800000,7.4129,7.6966,6.513,7.3676,644908.19,1611187199999,4558108.517108,17490,297358.05,2103402.581391,0
1611187200000,7.3653,7.8478,6.66,6.9364,635591.47,1611273599999,4555696.097966,18943,304062.56,2181378.739929,0
1611273600000,6.9058,8.29,6.55,7.1801,804398.39,1611359999999,5939994.450544001,21168,405637.71,2997719.666442,0
1611360000000,7.1769,7.735,6.93,7.4456,444821.07,1611446399999,3263002.075412,12302,212908.88,1565409.753126,0
1611446400000,7.4456,7.9,7.15,7.6999,523994.6,1611532799999,3922771.7440620004,13984,257940.38,1933457.060518,0
1611532800000,7.6719,9.3,7.48,8.6302,1122457.01,1611619199999,9651974.539166,33610,612056.97,5276409.789226,0
1611619200000,8.6338,10.89,8.5,9.6001,1654189.26,1611705599999,16318380.994597001,55790,825270.18,8150351.87418,0
1611705600000,9.5897,11.2,8.2294,9.0153,1464719.11,1611791999999,14238792.961881,50188,713058.85,6957021.933121,0
