open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609459200000,0.3113,0.3398,0.307,0.3158,1947871.77,1609545599999,629590.620808,6781,762119.89,246883.509209,0
1609545600000,0.3153,0.3291,0.2975,0.3027,2668611.35,1609631999999,821796.792104,8901,1171912.71,361607.313629,0
1609632000000,0.3027,0.3144,0.295,0.308,2444561.36,1609718399999,744671.035852,8481,1127200.55,343637.664399,0
1609718400000,0.3083,0.3399,0.2908,0.3077,3369863.8,1609804799999,1043694.718074,10406,1733939.97,538243.666274,0
1609804800000,0.3086,0.33299999999999996,0.2947,0.3173,3467977.06,1609891199999,1096006.1613639998,10527,1768892.57,559141.0303720001,0
1609891200000,0.3171,0.3513,0.3067,0.3333,4532848.45,1609977599999,1490706.502173,13445,2229905.7,735544.746637,0
1609977600000,0.3338,0.39299999999999996,0.3268,0.3637,6250857.4,1610063999999,2250264.022066,17008,2988592.82,1081125.807047,0
1610064000000,0.3632,0.3735,0.3253,0.3436,3261418.73,1610150399999,1133375.225355,11011,1424390.4,496140.576843,0
1610150400000,0.3436,0.435,0.33399999999999996,0.3865,7583103.86,1610236799999,2985156.1465,22122,3973345.91,1569033.8804579999,0
1610236800000,0.3876,0.4273,0.3377,0.389,5779061.72,1610323199999,2233229.935794,16812,2487745.6,963946.220311,0
1610323200000,0.3909,0.391,0.3,0.3423,3448233.51,1610409599999,1173872.525008,12637,1597353.86,544522.572131,0
1610409600000,0.3412,0.354,0.312,0.32,3029004.86,1610495999999,1015455.7676299999,10044,1368628.38,461269.45646899997,0
1610496000000,0.3187,0.3483,0.31,0.33399999999999996,1857382.17,1610582399999,612716.9283319999,7514,963023.38,318039.455457,0
1610582400000,0.33399999999999996,0.3531,0.3278,0.3412,1707321.07,1610668799999,583187.8248810001,7258,829332.21,283846.241286,0
1610668800000,0.3411,0.3547,0.3254,0.3446,2778719.69,1610755199999,953172.048693,10300,1251519.71,429347.825599,0
1610755200000,0.3446,0.3847,0.3428,0.3521,3811042.64,1610841599999,1383815.611264,13080,1570488.42,572313.765382,0
1610841600000,0.3522,0.4065,0.335,0.3891,4443529.34,1610927999999,1671742.800206,14295,2324045.29,879864.096919,0
1610928000000,0.3893,0.405,0.3625,0.4006,3084376.61,1611014399999,1195322.125398,10973,1501838.16,583821.964407,0
