open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609459200000,6.1939,6.3617,5.8825,5.9795,2057953.8,1609545599999,12565817.481736,42068,1107879.9,6761792.214299,0
1609545600000,5.9795,5.9802,5.4436,5.5873,2805520.85,1609631999999,15876547.817267,53056,1494210.22,8451131.646849,0
1609632000000,5.5829,6.0739,5.0792,5.5581,4334320.66,1609718399999,23704618.84781,82970,2305767.53,12603142.711097,0
1609718400000,5.5581,6.15,4.86,5.3943,3110352.59,1609804799999,17205701.193923,69202,1597950.77,8845234.494833,0
1609804800000,5.3919,5.8416,5.1632,5.5768,2797294.25,1609891199999,15339069.595578,56762,1466049.19,8039585.935677,0
1609891200000,5.5726,6.135,5.3523,5.84,3182507.29,1609977599999,18423563.850021,64968,1641155.46,9502940.761061,0
1609977600000,5.8481,6.5778,5.5,5.9377,4017826.93,1610063999999,24613002.825833,83230,2026201.84,12426596.089479,0
1610064000000,5.9314,5.9859,5.1721,5.6108,2656961.92,1610150399999,14840263.592866,58758,1379992.71,7709227.953047,0
1610150400000,5.6149,6.27,5.4137,6.1818,2162083.17,1610236799999,12530595.822264,45625,1177637.18,6829290.2842769995,0
1610236800000,6.1816,6.98,5.8699,6.5273,5124687.83,1610323199999,32904166.470861,106356,2560776.79,16447782.029629998,0
1610323200000,6.528,6.5447,4.9667,5.6184,3973971.93,1610409599999,22375143.439046,90370,2044348.57,11501503.047627,0
1610409600000,5.6093,6.6016,5.4079,6.023,4415896.0,1610495999999,26861101.454742998,83930,2549096.93,15546246.397676999,0
1610496000000,6.0189,6.5217,5.7859,6.3812,2161759.52,1610582399999,13454654.555441,52617,1134754.71,7060381.168284,0
1610582400000,6.3828,6.898,5.8,6.4439,3233900.7,1610668799999,20589008.149419,74028,1612475.07,10269602.93629,0
1610668800000,6.4438,6.8977,5.85,6.3539,3876814.5,1610755199999,24902071.671811998,80973,2021896.12,12990985.020599,0
1610755200000,6.3704,6.9479,6.206,6.6316,3044807.26,1610841599999,20193108.549273998,66020,1517729.8,10071609.605329,0
1610841600000,6.6316,8.19,6.274,7.3768,6267179.05,1610927999999,45994112.370253004,126784,3185510.87,23439968.662568,0
1610928000000,7.377999999999999,8.3039,7.3002,7.8384,3972627.18,1611014399999,30840085.031008,93077,2010360.17,15612763.394117001,0
1611014400000,7.8377,7.9304,7.07,7.0773,2321561.63,1611100799999,17473638.74919,60390,1175629.81,8843443.500504,0
1611100800000,7.0748,7.3,6.4718,7.2094,2060258.55,1611187199999,14258028.191198,51676,992152.89,6877047.238286,0
1611187200000,7.2147,7.2428,5.9,5.9885,2031299.13,1611273599999,13351999.094937,49999,961473.62,6329167.673509,0
1611273600000,5.9761,6.64,5.4506,6.4028,1804100.88,1611359999999,11000675.614665,43814,890066.19,5426173.925485,0
1611360000000,6.392,6.888,6.3185,6.5923,1649390.61,1611446399999,10847564.061464,36021,845201.87,5562134.829072,0
1611446400000,6.5887,7.4489,6.5221,6.9833,3146784.18,1611532799999,22055344.898515,70482,1541125.95,10803815.201294,0
1611532800000,6.9928,7.3234,6.652,6.6723,1867470.35,1611619199999,13185791.312681,42084,920723.88,6502784.114294999,0
1611619200000,6.6722,6.9192,6.4110000000000005,6.8288,1181531.54,1611705599999,7907909.752314,27866,535397.58,3584686.7825760003,0
1611705600000,6.8288,6.8451,5.9501,6.0371,1129406.32,1611791999999,7082074.9079990005,29008,527673.94,3309731.157829,0
1611792000000,6.0269,6.54,5.9335,6.2836,1057445.51,1611878399999,6700951.826586,28340,519696.63,3292230.969418,0
1611878400000,6.2875,6.797999999999999,6.1565,6.5143,1619427.14,1611964799999,10480922.383286,45576,833430.67,5396178.527772,0
