open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609459200000,0.2748,0.2991,0.27399999999999997,0.2838,883870.82,1609545599999,251195.31859699998,5219,481613.23,136972.03456099998,0
1609545600000,0.2835,0.2915,0.2731,0.2803,828099.02,1609631999999,233041.47231999997,5051,394829.5,111388.537046,0
1609632000000,0.2803,0.29,0.2712,0.2874,1274989.91,1609718399999,358631.487719,6450,571957.89,161327.111828,0
1609718400000,0.2874,0.3086,0.27,0.2879,2018530.51,1609804799999,580516.717956,8742,996687.51,287866.18706100003,0
1609804800000,0.2879,0.2974,0.2688,0.2866,1181337.07,1609891199999,338169.2591,6174,536795.75,154476.373446,0
1609891200000,0.2876,0.3398,0.2824,0.3224,2869842.1,1609977599999,892659.7404659999,12274,1539474.31,479984.938437,0
1609977600000,0.3228,0.3999,0.3208,0.3563,5321887.54,1610063999999,1912141.7114549999,19746,2875358.79,1038810.4555479999,0
1610064000000,0.3568,0.366,0.314,0.3299,2593831.76,1610150399999,861442.67156,11624,1235083.16,411347.16269800003,0
1610150400000,0.3297,0.4,0.3277,0.3587,3272028.13,1610236799999,1179485.645704,14407,1658237.67,599810.052588,0
1610236800000,0.3591,0.3999,0.3577,0.3935,4584546.33,1610323199999,1726803.3307279998,15562,2090547.73,790572.78959,0
1610323200000,0.3928,0.3934,0.276,0.3194,2481021.16,1610409599999,800952.532544,11271,1161208.24,374512.28464800003,0
1610409600000,0.3192,0.3306,0.302,0.3123,1311059.92,1610495999999,416186.7436,6640,617713.98,196812.985521,0
1610496000000,0.3125,0.3389,0.3022,0.3255,1189763.37,1610582399999,377631.100936,5997,725978.01,230513.964468,0
1610582400000,0.3251,0.3332,0.315,0.3235,1478032.91,1610668799999,477742.726965,6581,667624.85,215763.599456,0
1610668800000,0.3235,0.3379,0.2919,0.3332,1736753.15,1610755199999,561534.411191,7782,773370.92,250990.63080900002,0
1610755200000,0.3341,0.3491,0.3215,0.3338,1722000.97,1610841599999,582182.591309,8737,816195.0,276566.780153,0
1610841600000,0.3338,0.3607,0.31,0.3485,2277623.74,1610927999999,774571.884776,9542,1105145.53,376128.258519,0
1610928000000,0.3496,0.3859,0.345,0.3671,2239420.87,1611014399999,819488.006629,9733,1230931.41,452827.973309,0
1611014400000,0.3677,0.3779,0.34299999999999997,0.3509,1642151.82,1611100799999,590606.2401149999,7199,807585.02,291588.42877399997,0
1611100800000,0.3504,0.3996,0.3328,0.3739,7238534.68,1611187199999,2711886.623379,17010,4858324.59,1836319.7808580003,0
1611187200000,0.3734,0.3839,0.3367,0.3453,2569107.85,1611273599999,919327.218616,9287,1069560.9,383918.91958000005,0
1611273600000,0.3438,0.3751,0.3171,0.3491,1475124.22,1611359999999,517277.519647,6563,736465.57,259034.853225,0
1611360000000,0.3504,0.37,0.34299999999999997,0.3492,1430398.77,1611446399999,507668.65398299997,5625,645014.23,229154.161576,0
1611446400000,0.3495,0.37799999999999995,0.3481,0.3757,2131274.88,1611532799999,782135.617826,8646,1199690.66,440538.43308900006,0
1611532800000,0.3757,0.3974,0.3507,0.3565,2347106.88,1611619199999,880835.750068,8887,1115915.34,420721.91997,0
1611619200000,0.3565,0.3617,0.3371,0.3516,1434264.02,1611705599999,502840.151084,5320,688806.69,241865.73194,0
1611705600000,0.3511,0.3517,0.3121,0.3255,1147625.44,1611791999999,375558.904264,6454,450340.0,147656.471393,0
1611792000000,0.3255,0.3469,0.319,0.3349,1854761.18,1611878399999,619791.670796,9359,995454.5,332844.851646,0
1611878400000,0.3349,0.3453,0.3201,0.3344,2663731.76,1611964799999,889620.5539030001,11856,1201319.7,402253.6763,0
1611964800000,0.33399999999999996,0.3776,0.3232,0.3598,3231304.49,1612051199999,1136946.302119,14281,1612482.64,568721.8746270001,0
1612051200000,0.3595,0.3719,0.3376,0.3569,2196470.94,1612137599999,784786.9405149999,10827,973557.13,348517.107622,0
1612137600000,0.3563,0.37200000000000005,0.3502,0.3663,1723403.4,1612223999999,620278.618851,9139,797439.97,287686.276177,0
1612224000000,0.3664,0.3785,0.3577,0.3693,1791489.51,1612310399999,656205.4634649999,9851,902189.57,331275.430952,0
1612310400000,0.3689,0.43200000000000005,0.3648,0.4305,5781069.06,1612396799999,2339115.250031,22338,3193489.93,1299143.4939950001,0
1612396800000,0.4305,0.5034,0.3925,0.4406,6280201.56,1612483199999,2733083.387859,27222,3093574.66,1354101.141415,0
1612483200000,0.4409,0.5227,0.4375,0.469,5472005.22,1612569599999,2588314.343837,25067,2817076.69,1335351.349868,0
