open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609459200000,1.841,2.47,1.774,2.224,14455356.65,1609545599999,31430115.86152,52786,7316746.81,15831184.708460001,0
1609545600000,2.22,2.231,1.662,1.8840000000000001,7192625.17,1609631999999,14453545.20564,32643,3230010.26,6487373.67459,0
1609632000000,1.885,2.219,1.76,1.955,7967863.08,1609718399999,15549928.72228,31406,4107259.37,8039223.748980001,0
1609718400000,1.9469999999999998,2.702,1.702,2.095,10500666.79,1609804799999,21924327.77662,40838,5162372.71,10777078.28177,0
1609804800000,2.097,2.2430000000000003,1.64,1.861,7357940.98,1609891199999,14158655.08656,32643,3416976.96,6593927.58313,0
1609891200000,1.868,2.97,1.776,2.379,12416842.29,1609977599999,28576034.4591,46708,6420483.35,14816603.54941,0
1609977600000,2.378,5.489,2.291,3.7439999999999998,21245383.48,1610063999999,81298952.55948001,95726,10314427.31,39640675.44838,0
1610064000000,3.759,4.499,2.471,3.445,13268877.55,1610150399999,45114808.467429996,67849,6312260.2,21656355.16161,0
1610150400000,3.445,4.007,3.022,3.5210000000000004,7340371.75,1610236799999,25223390.764629997,45433,3540916.88,12217191.48245,0
1610236800000,3.511,4.8,2.3080000000000003,3.1,12610229.36,1610323199999,43872508.13564,68723,6038741.15,21059660.85875,0
1610323200000,3.1069999999999998,3.1289999999999996,1.344,2.127,22122376.73,1610409599999,44671857.476440005,68267,10780822.15,21681093.74118,0
1610409600000,2.137,2.523,1.9680000000000002,2.2159999999999997,7501687.39,1610495999999,16825842.899860002,30444,3544632.63,7951928.571219999,0
1610496000000,2.214,2.489,2.082,2.42,4287692.44,1610582399999,9878749.422980001,19128,2271867.69,5244684.683619999,0
1610582400000,2.419,2.469,2.041,2.254,5441302.64,1610668799999,12209172.77236,22841,2820949.09,6354902.01064,0
1610668800000,2.258,2.3930000000000002,1.619,1.949,5383115.53,1610755199999,10637097.5516,25077,2651120.18,5258436.81812,0
1610755200000,1.9480000000000002,2.24,1.845,1.9240000000000002,3051393.94,1610841599999,6185964.04749,20082,1541586.69,3127194.25075,0
1610841600000,1.922,2.028,1.725,1.8659999999999999,2456959.3,1610927999999,4590851.49857,13652,1281572.42,2402941.63814,0
1610928000000,1.871,2.077,1.77,2.0,3376127.26,1611014399999,6599132.53533,16788,1831614.15,3590966.53225,0
1611014400000,1.994,2.6860000000000004,1.97,2.123,7504802.27,1611100799999,17359706.97187,34569,3816022.44,8822207.38763,0
1611100800000,2.125,2.417,1.8980000000000001,2.148,6340836.57,1611187199999,13115515.7433,30491,3245988.78,6730069.24773,0
1611187200000,2.14,2.34,1.6019999999999999,1.7109999999999999,8131766.84,1611273599999,15740888.79985,35132,4293233.75,8281509.15378,0
1611273600000,1.713,1.8519999999999999,1.315,1.771,5860997.32,1611359999999,9729155.24629,24095,3140868.79,5253356.3849,0
1611360000000,1.77,1.929,1.672,1.755,2810134.63,1611446399999,4993815.39416,12926,1578922.76,2804573.13323,0
1611446400000,1.755,1.8430000000000002,1.686,1.775,2513408.72,1611532799999,4444976.96583,11564,1467114.64,2594778.39599,0
1611532800000,1.775,1.9509999999999998,1.672,1.6869999999999998,3825247.06,1611619199999,6946761.594260001,14332,2004342.91,3644824.15578,0
1611619200000,1.6869999999999998,1.735,1.545,1.7,3476445.13,1611705599999,5768941.408890001,13543,2017082.42,3350248.22215,0
1611705600000,1.693,1.699,1.35,1.436,3780861.23,1611791999999,5623205.15157,13154,2175448.46,3233799.17087,0
1611792000000,1.436,1.7180000000000002,1.386,1.6130000000000002,3087907.23,1611878399999,4845749.25219,14329,1981325.13,3115678.45068,0
1611878400000,1.617,2.3,1.557,1.86,11894862.97,1611964799999,22408013.3833,39608,6382937.89,12047903.38038,0
1611964800000,1.857,5.976,1.7890000000000001,4.309,42496329.21,1612051199999,144663995.06324,127139,21548579.12,73500259.05329001,0
1612051200000,4.289,5.593999999999999,3.15,5.21,24458153.92,1612137599999,109418076.6708,137147,12624519.89,56932688.140140004,0
1612137600000,5.21,10.562999999999999,2.665,2.819,48603896.21,1612223999999,258210474.93007997,222406,23276561.66,125699734.85176001,0
1612224000000,2.802,3.4019999999999997,2.322,2.798,16506612.78,1612310399999,47197295.00862,72701,9385998.41,26775731.38896,0
1612310400000,2.798,3.387,2.792,3.117,10917902.13,1612396799999,32983177.04336,43891,5863370.13,17617841.85569,0
1612396800000,3.117,4.198,2.85,3.714,11015529.11,1612483199999,37612048.73909,52903,5547556.42,19036686.65028,0
1612483200000,3.714,4.084,3.417,3.79,7333804.27,1612569599999,27151935.729179997,40385,3799342.08,14080734.17575,0
1612569600000,3.8,3.8760000000000003,3.383,3.62,3494306.83,1612655999999,12595682.860580001,21246,1775486.7,6419747.5678199995,0
1612656000000,3.64,3.75,2.86,3.2489999999999997,6441153.86,1612742399999,21776050.55123,32680,3501020.68,11838456.78205,0
1612742400000,3.245,4.0489999999999995,3.157,3.72,5282755.13,1612828799999,18899028.0225,30230,2981042.54,10673150.6552,0
1612828800000,3.714,4.2780000000000005,3.668,4.025,5922683.56,1612915199999,23228619.43471,32959,3042532.61,11916270.53673,0
1612915200000,4.024,4.925,3.54,4.394,11689124.71,1613001599999,50329671.96773,64427,6125136.68,26390935.101979997,0
1613001600000,4.397,4.83,4.32,4.696000000000001,4353603.77,1613087999999,19934078.67012,38173,2460261.73,11263966.980519999,0
1613088000000,4.703,6.097,4.565,5.938,6830052.08,1613174399999,36686887.47408,50442,3730281.44,20087917.9004,0
1613174400000,5.938,6.46,4.8069999999999995,6.261,5753013.18,1613260799999,33593960.32571,51383,2899172.68,16963137.45328,0
1613260800000,6.2589999999999995,6.365,5.069,5.575,3423430.13,1613347199999,19675666.70487,33488,1671895.6,9629398.68111,0
1613347200000,5.586,5.76,4.127,4.855,3844845.17,1613433599999,19070089.2341,37638,1938443.18,9653556.2717,0
1613433600000,4.87,5.355,3.713,4.343999999999999,4922494.79,1613519999999,22722106.06091,40668,2572819.51,11948648.14837,0
1613520000000,4.352,4.945,3.935,4.588,3417766.54,1613606399999,15635433.149129998,30624,1784819.94,8189231.97624,0
1613606400000,4.571000000000001,4.968999999999999,4.288,4.455,2345336.04,1613692799999,10822735.66193,22176,1197155.12,5516217.12454,0
1613692800000,4.46,5.125,4.148,4.86,4107929.62,1613779199999,19260629.74514,29127,2211123.67,10387756.43768,0
1613779200000,4.852,5.093999999999999,3.424,4.033,4419212.08,1613865599999,19704525.96079,39570,2449065.99,10957183.67877,0
1613865600000,4.015,4.659,3.875,4.461,3214172.71,1613951999999,13899919.580120001,23626,1787056.17,7752904.94806,0
1613952000000,4.4639999999999995,5.803999999999999,4.055,4.73,12693517.97,1614038399999,62109879.1685,79384,6406597.04,31436345.17122,0
1614038400000,4.736000000000001,4.7860000000000005,2.0,3.5410000000000004,13521835.19,1614124799999,45250272.07022,84482,6758970.75,22691412.17602,0
1614124800000,3.532,3.852,3.2039999999999997,3.4419999999999997,4384171.6,1614211199999,15628082.944029998,28631,2310610.94,8253725.4117,0
1614211200000,3.438,3.615,2.7939999999999996,2.946,3755912.74,1614297599999,12448382.74013,26176,1900661.06,6352339.288509999,0
1614297600000,2.943,3.049,2.65,2.8310000000000004,3766643.04,1614383999999,10698247.436830001,25354,2006925.15,5692208.6804,0
1614384000000,2.826,3.135,2.821,2.909,2779671.68,1614470399999,8283246.04603,16137,1314492.52,3913154.42441,0
1614470400000,2.907,2.935,2.51,2.718,2208275.61,1614556799999,6009436.3562900005,14034,1138445.09,3094878.95642,0
1614556800000,2.72,3.1010000000000004,2.6860000000000004,3.013,2343319.82,1614643199999,6696338.4324900005,18444,1446835.87,4122556.09455,0
1614643200000,3.008,3.102,2.775,2.906,1508774.62,1614729599999,4430528.1794300005,9411,742082.47,2181330.7474599998,0
1614729600000,2.905,3.2319999999999998,2.855,3.037,3049668.05,1614815999999,9346308.96609,22335,1581315.31,4843934.04655,0
1614816000000,3.035,3.472,2.904,3.341,4651351.64,1614902399999,14819492.34407,31011,2423256.76,7711810.719939999,0
1614902400000,3.353,3.375,3.015,3.09,1624047.12,1614988799999,5086985.15605,13450,889002.18,2785166.96874,0
1614988800000,3.09,3.252,3.032,3.162,1015354.6,1615075199999,3181461.1362,9868,579924.62,1817303.2164200002,0
1615075200000,3.1639999999999997,3.219,3.103,3.188,619704.79,1615161599999,1962214.1644700002,5382,345179.7,1091841.4124,0
1615161600000,3.2,3.43,3.08,3.261,1579927.36,1615247999999,5148087.5328,11352,779480.58,2539686.3142,0
1615248000000,3.261,3.391,3.242,3.358,1024576.26,1615334399999,3393225.08566,6619,490787.42,1626895.70813,0
1615334400000,3.37,3.383,3.0469999999999997,3.12,801496.05,1615420799999,2550949.42265,7237,363822.3,1157544.5221,0
1615420800000,3.123,3.1430000000000002,2.89,3.016,877258.37,1615507199999,2652424.13745,9207,520098.96,1573736.49086,0
1615507200000,3.0189999999999997,3.158,2.7119999999999997,2.8939999999999997,850187.03,1615593599999,2511812.09297,7702,426346.55,1259691.81241,0
1615593600000,2.895,3.1689999999999996,2.819,3.07,1059673.62,1615679999999,3197809.16177,7119,467495.82,1406547.2645,0
1615680000000,3.07,3.109,2.853,2.861,696081.31,1615766399999,2080316.8493400002,5395,316252.93,945196.54288,0
1615766400000,2.859,2.948,2.696,2.8310000000000004,1022347.03,1615852799999,2902584.1055,14838,425836.31,1206485.14889,0
1615852800000,2.8289999999999997,3.63,2.738,3.055,4426964.7,1615939199999,14058651.231470002,30563,2511072.88,7955642.950010001,0
1615939200000,3.055,3.2739999999999996,2.9939999999999998,3.145,1132605.24,1616025599999,3543522.49859,8742,604857.04,1894287.4046,0
1616025600000,3.1519999999999997,3.35,3.1,3.122,1078500.93,1616111999999,3449610.11199,8075,567683.37,1817535.5643,0
1616112000000,3.1210000000000004,3.179,3.02,3.0989999999999998,549317.4,1616198399999,1712537.51274,4796,278912.95,869167.2209200001,0
1616198400000,3.0869999999999997,3.85,3.074,3.63,3517048.84,1616284799999,12273488.51022,28163,1895174.94,6608716.4683300005,0
1616284800000,3.635,3.826,3.344,3.5580000000000003,2864344.69,1616371199999,10112965.188,17642,1429352.44,5050379.34675,0
1616371200000,3.554,4.352,3.408,3.7880000000000003,4819844.64,1616457599999,19055533.26978,32715,2562043.89,10112602.30622,0
1616457600000,3.781,4.31,3.717,3.85,3378040.98,1616543999999,13550021.19447,28312,1709643.96,6867872.63136,0
1616544000000,3.842,3.972,2.824,3.13,2363036.89,1616630399999,8298809.2333,19055,1150948.45,4026291.47064,0
1616630400000,3.125,3.588,2.8760000000000003,3.445,2762178.61,1616716799999,8997503.185239999,23486,1507561.93,4912457.9907,0
1616716800000,3.4419999999999997,4.128,3.4419999999999997,3.984,1842584.09,1616803199999,7034769.63177,16309,928370.35,3551729.8371800003,0
1616803200000,3.99,4.104,3.677,3.807,971001.18,1616889599999,3768474.5979400002,9649,505471.88,1964994.25745,0
1616889600000,3.8169999999999997,3.95,3.73,3.8,688419.86,1616975999999,2643152.34602,6318,307094.08,1177500.4651,0
1616976000000,3.803,4.0680000000000005,3.7710000000000004,3.9960000000000004,912533.47,1617062399999,3601109.5292599997,8325,488265.45,1930045.3484599998,0
1617062400000,3.9960000000000004,4.23,3.923,3.95,1419806.97,1617148799999,5758966.50016,10538,771573.79,3126348.90213,0
1617148800000,3.947,4.087,3.57,4.027,2115257.43,1617235199999,8146896.56658,19567,1116410.4,4287380.07783,0
1617235200000,4.02,4.3,3.7539999999999996,4.003,2364952.41,1617321599999,9489530.64076,25774,1161311.89,4639514.19386,0
1617321600000,4.003,4.538,3.9360000000000004,4.474,2503801.43,1617407999999,10560233.35901,22368,1283391.11,5417719.3373300005,0
1617408000000,4.482,4.961,3.929,4.038,3857873.42,1617494399999,17638558.560310002,35993,1981705.25,9091247.019189999,0
1617494400000,4.025,4.83,3.835,4.82,1837617.86,1617580799999,7900278.55567,18250,930060.19,4015434.10995,0
1617580800000,4.813,9.99,4.59,9.49,13653681.15,1617667199999,95184718.13511999,134524,6946899.33,48826535.38701,0
1617667200000,9.533,13.689,7.2,13.2,14687816.14,1617753599999,154969574.74831,192496,7307354.7,77363882.27941,0
1617753600000,13.194,13.479000000000001,7.8,9.075,9506683.56,1617839999999,96644632.38587,148592,4712384.23,47993025.178059995,0
1617840000000,9.079,12.380999999999998,8.777999999999999,12.02,4823488.64,1617926399999,49632219.46182,70359,2422656.18,24972099.37956,0
1617926400000,12.027999999999999,12.578,10.35,11.113,3245114.31,1618012799999,36686789.31995,46982,1585267.19,17959423.83239,0
1618012800000,11.104000000000001,19.8,10.8,19.0,10427595.67,1618099199999,165765951.36353,167879,5525274.27,88282083.71637,0
1618099200000,19.168,22.0,17.422,18.453,6273416.61,1618185599999,122552149.20731,164574,3247397.04,63489573.434709996,0
1618185600000,18.453,20.97,17.5,20.811999999999998,3367830.87,1618271999999,63117434.1663,80950,1739557.83,32564401.66405,0
1618272000000,20.845,29.5,19.7,27.570999999999998,5797445.88,1618358399999,145832268.24411002,168412,2997014.17,75421765.10988,0
1618358400000,27.486,31.4,22.079,28.143,5149055.3,1618444799999,139496882.58683,165024,2539541.07,69078357.09089,0
1618444800000,28.109,29.266,23.904,25.986,2465899.64,1618531199999,64476445.63681,85936,1241155.08,32502486.25882,0
1618531200000,26.031,27.025,19.179000000000002,21.758000000000003,3902914.97,1618617599999,90689476.25058,109951,1954460.08,45481467.46912,0
1618617600000,21.756,25.499000000000002,21.076,21.342,2005092.9,1618703999999,46292382.82216,55412,980409.26,22653539.930970002,0
1618704000000,21.34,21.84,13.0,18.81,4600937.73,1618790399999,77643909.92225,108416,2444710.04,41141597.14737,0
1618790400000,18.836,21.2,15.422,16.762,3782118.69,1618876799999,68160045.01513,98448,1944674.41,34959811.92668,0
1618876800000,16.762999999999998,19.468,13.958,18.262,2492287.91,1618963199999,41394837.47519,68220,1199764.74,19961960.03718,0
1618963200000,18.304000000000002,19.882,15.879000000000001,16.265,2201513.99,1619049599999,39539859.5985,68528,1179953.51,21222344.206660002,0
1619049600000,16.322,19.0,12.12,13.503,3020067.95,1619135999999,48825768.53124,68013,1512834.03,24411483.00974,0
1619136000000,13.51,14.419,7.938,13.540999999999999,7728058.12,1619222399999,89650679.31134,127711,3810755.13,44602181.22432,0
1619222400000,13.573,13.59,10.616,11.218,2503208.39,1619308799999,29910061.85278,49857,1132163.32,13564203.76143,0
1619308800000,11.245999999999999,13.198,9.234,10.901,2519479.48,1619395199999,28557594.328859996,48226,1236834.23,14094162.67223,0
1619395200000,10.922,17.345,10.501,17.186,4760021.01,1619481599999,67314294.42904,98429,2379528.84,33722022.448070005,0
1619481600000,17.1,19.182000000000002,16.387,17.9,4362840.08,1619567999999,78122352.96122,124895,2232539.55,39938332.64675,0
1619568000000,17.899,18.819000000000003,15.415999999999999,16.988,3133010.03,1619654399999,53297681.895890005,78755,1573884.37,26751102.63434,0
1619654400000,16.993,18.5,16.348,17.73,2105796.78,1619740799999,36683897.696440004,56096,1051127.94,18306245.22973,0
1619740800000,17.75,22.410999999999998,17.285,21.57,3112003.07,1619827199999,64166440.9043,102593,1556249.55,32085687.7725,0
1619827200000,21.6,22.999000000000002,20.081,22.64,1671855.14,1619913599999,35726975.93221,62937,838056.26,17912654.41287,0
1619913600000,22.658,22.77,20.111,20.759,1642224.36,1619999999999,34772131.21085,57710,877416.36,18556820.46354,0
1620000000000,20.726999999999997,22.025,18.977,20.554000000000002,1482788.62,1620086399999,31082294.51803,47256,768733.87,16098681.908520002,0
1620086400000,20.56,20.599,15.652999999999999,17.043,3041502.37,1620172799999,54533144.650290005,77599,1510627.88,27046509.676179998,0
1620172800000,16.999000000000002,21.884,16.6,21.659000000000002,2349503.27,1620259199999,46508584.34979,61904,1148235.3,22780781.91642,0
1620259200000,21.561,24.673000000000002,19.317999999999998,21.13,3223230.13,1620345599999,71998158.32705,92706,1680043.79,37506151.24776,0
1620345600000,21.230999999999998,22.88,19.092,20.607,1803667.63,1620431999999,37747525.41506,52493,922126.38,19327566.26161,0
1620432000000,20.607,21.511,19.708,20.215999999999998,1060254.43,1620518399999,21787360.421329997,39047,591722.12,12162186.12931,0
1620518400000,20.136,20.869,17.1,19.462,1719012.3,1620604799999,32534829.876240004,49215,912954.3,17259986.4541,0
1620604800000,19.534000000000002,21.509,12.540999999999999,16.121,3058136.42,1620691199999,53631270.745459996,71155,1533167.57,26878853.80636,0
1620691200000,16.169,18.195,15.401,17.945999999999998,2289713.04,1620777599999,38631567.33312,58198,1184864.15,19952783.55,0
1620777600000,17.942,19.384,12.755,13.495999999999999,2746448.9,1620863999999,45621884.92775,64987,1365367.49,22907645.56665,0
1620864000000,13.485,15.956,11.9,15.401,3057150.44,1620950399999,43200828.15822,69280,1555831.18,22012145.486279998,0
1620950400000,15.407,17.0,14.544,16.074,1806605.78,1621036799999,28414056.13242,46259,833819.12,13166985.01897,0
1621036800000,16.035,19.768,14.514000000000001,17.916,3461875.58,1621123199999,59535807.64509,84486,1749113.19,30090525.079129998,0
1621123200000,17.835,20.116,14.99,17.084,3518162.42,1621209599999,63116861.48871,90329,1777951.61,31762100.551440004,0
1621209600000,17.065,19.54,14.735999999999999,17.840999999999998,3319991.29,1621295999999,57652191.34188001,81920,1621472.28,28217746.494190004,0
1621296000000,17.901,21.641,17.438,19.57,4416723.89,1621382399999,85603406.73341,115013,2254546.99,43621498.73577,0
1621382400000,19.54,20.691,4.5,8.4,43538382.44,1621468799999,420332809.58681,183207,20844530.2,199777012.62691998,0
1621468800000,8.365,9.689,6.05,8.843,20057477.25,1621555199999,146163455.91079,117722,10583724.39,76896213.70200999,0
1621555200000,8.863,9.267999999999999,4.765,6.499,7838990.94,1621641599999,57188487.52333,107103,4312086.12,32088934.368279997,0
1621641600000,6.4670000000000005,6.587000000000001,4.208,5.002,6930783.8,1621727999999,35351647.55371,69874,3540530.9,18055186.98426,0
1621728000000,5.0169999999999995,5.516,3.0,4.03,12074623.74,1621814399999,46499861.78919,92829,5964320.56,22888035.85861,0
1621814400000,4.039,5.5760000000000005,3.782,5.556,5004153.53,1621900799999,22202727.335529998,39188,2704006.96,11932210.44144,0
1621900800000,5.521,6.082999999999999,4.6,5.3839999999999995,4094143.63,1621987199999,21437447.4445,40852,1990298.52,10437681.609339999,0
