date,open,high,low,close,volume,name
2021-01-01,6.535,6.961,5.553,5.9060000000000015,321357.27,ADAUPUSDT
2021-01-02,5.9570000000000025,6.76,5.409,6.1739999999999995,297132.65,ADAUPUSDT
2021-01-03,6.175,8.762,5.7410000000000005,8.45,772475.35,ADAUPUSDT
2021-01-04,8.45,11.1,7.136,9.826,643771.55,ADAUPUSDT
2021-01-05,9.824,13.145,8.323,12.694,610950.04,ADAUPUSDT
2021-01-06,12.739,20.641,12.11,19.297,747056.8,ADAUPUSDT
2021-01-07,19.297,21.249000000000002,11.9,14.850999999999999,469219.8,ADAUPUSDT
2021-01-08,14.927,17.683,10.312000000000001,15.081,569858.84,ADAUPUSDT
2021-01-09,15.164000000000001,20.0,14.0,18.417,393288.53,ADAUPUSDT
2021-01-10,18.477999999999998,19.839000000000002,11.786,14.575999999999999,340560.36,ADAUPUSDT
2021-01-11,14.573,14.745,6.465,10.942,634496.17,ADAUPUSDT
2021-01-12,10.922,14.829,9.5,12.2,797612.43,ADAUPUSDT
2021-01-13,12.082,14.796,10.001,14.530999999999999,512235.89,ADAUPUSDT
2021-01-14,14.444,15.876,12.65,14.49,380791.04,ADAUPUSDT
2021-01-15,14.487,17.166,10.071,12.964,505512.7,ADAUPUSDT
2021-01-16,13.114,21.0,13.0,18.34,832317.75,ADAUPUSDT
2021-01-17,18.334,23.499000000000002,17.245,21.340999999999998,565866.76,ADAUPUSDT
2021-01-18,21.34,23.38,19.022000000000002,20.129,273073.59,ADAUPUSDT
2021-01-19,20.135,21.8,18.939,19.497,289758.82,ADAUPUSDT
2021-01-20,19.445999999999998,20.741999999999997,14.58,20.453,264675.51,ADAUPUSDT
2021-01-21,20.545,21.0,10.75,11.649000000000001,323349.05,ADAUPUSDT
2021-01-22,11.645,14.558,8.331,13.58,724778.6,ADAUPUSDT
2021-01-23,13.543,14.508,12.1,13.189,332144.26,ADAUPUSDT
2021-01-24,13.134,15.859000000000002,12.235,13.975999999999999,350287.29,ADAUPUSDT
2021-01-25,14.09,15.2,12.35,12.652999999999999,279123.67,ADAUPUSDT
2021-01-26,12.648,14.435,10.672,12.679,316555.03,ADAUPUSDT
2021-01-27,12.674000000000001,12.707,8.924,9.574,500098.04,ADAUPUSDT
2021-01-28,9.55,13.457,9.0,12.322000000000001,386752.33,ADAUPUSDT
2021-01-29,12.413,14.68,11.132,12.651,494039.82,ADAUPUSDT
2021-01-30,12.652000000000001,15.38,11.697000000000001,14.145,426127.84,ADAUPUSDT
2021-01-31,14.177,15.339,11.47,12.065999999999999,308509.16,ADAUPUSDT
2021-02-01,12.07,20.36,10.843,18.653,625661.38,ADAUPUSDT
2021-02-02,18.651,23.44400000000001,16.0,20.075,1315890.76,ADAUPUSDT
2021-02-03,20.139,23.0,18.941,22.12,677679.92,ADAUPUSDT
2021-02-04,22.112,22.967,17.708,21.655,424005.45,ADAUPUSDT
2021-02-05,21.566,36.499,21.096,33.766,999845.4,ADAUPUSDT
2021-02-06,33.766,51.751999999999995,31.158,46.483000000000004,563610.42,ADAUPUSDT
2021-02-07,46.478,56.25,39.387,49.44,667273.43,ADAUPUSDT
2021-02-08,49.321999999999996,57.7,45.8,50.747,411110.78,ADAUPUSDT
2021-02-09,50.87300000000001,55.56800000000001,49.278,54.7,221424.89,ADAUPUSDT
2021-02-10,54.716,102.637,54.553000000000004,84.539,613045.37,ADAUPUSDT
2021-02-11,84.539,92.0,73.501,81.7,245676.42,ADAUPUSDT
2021-02-12,82.095,83.932,72.99,80.21,198908.02,ADAUPUSDT
2021-02-13,80.126,83.62200000000001,65.182,78.509,126465.06,ADAUPUSDT
2021-02-14,78.509,79.304,64.075,68.643,119039.89,ADAUPUSDT
2021-02-15,68.40100000000001,77.8,46.778,70.367,224891.88,ADAUPUSDT
2021-02-16,70.499,76.681,66.888,71.658,107008.06,ADAUPUSDT
2021-02-17,71.819,78.98899999999998,65.495,74.23,105244.24,ADAUPUSDT
2021-02-18,74.258,82.95,74.137,75.632,147155.71,ADAUPUSDT
2021-02-19,75.844,79.97800000000002,70.389,76.071,134206.16,ADAUPUSDT
2021-02-20,76.33,111.0,74.376,98.37200000000001,415252.29,ADAUPUSDT
2021-02-21,98.36399999999999,104.49,91.61200000000001,95.477,123902.18,ADAUPUSDT
2021-02-22,95.57600000000001,104.0,56.0,94.645,253610.88,ADAUPUSDT
2021-02-23,94.75299999999999,101.025,56.0,76.164,318717.9,ADAUPUSDT
2021-02-24,76.064,92.0,67.594,87.596,209919.22,ADAUPUSDT
2021-02-25,87.594,105.675,82.186,90.97,202574.37,ADAUPUSDT
2021-02-26,91.056,124.0,78.788,115.486,307665.59,ADAUPUSDT
2021-02-27,115.48100000000001,149.738,113.094,124.5,358209.69,ADAUPUSDT
2021-02-28,124.5,132.664,100.0,124.512,303847.4,ADAUPUSDT
2021-03-01,124.236,130.22899999999998,110.584,121.63,216120.34,ADAUPUSDT
2021-03-02,121.795,122.35700000000001,104.75299999999999,110.91,142759.96,ADAUPUSDT
2021-03-03,111.383,118.723,108.99700000000001,109.84100000000001,84839.01,ADAUPUSDT
2021-03-04,109.6,113.454,87.35,94.235,130713.31,ADAUPUSDT
2021-03-05,93.632,105.598,82.0,99.412,193413.8,ADAUPUSDT
2021-03-06,99.935,103.024,89.734,95.488,99700.59,ADAUPUSDT
2021-03-07,96.196,98.0,92.35700000000001,96.427,86527.54,ADAUPUSDT
2021-03-08,96.363,103.148,92.426,94.5,101385.91,ADAUPUSDT
2021-03-09,94.6,109.0,93.26899999999999,104.8,205365.2,ADAUPUSDT
2021-03-10,104.99600000000001,106.383,92.501,95.35,94034.9,ADAUPUSDT
2021-03-11,95.88,96.54799999999999,91.0,93.944,58829.74,ADAUPUSDT
2021-03-12,93.939,94.28399999999999,78.001,79.35,109859.36,ADAUPUSDT
2021-03-13,79.753,102.906,72.539,89.51799999999999,159093.28,ADAUPUSDT
2021-03-14,89.51799999999999,89.789,82.1,82.1,77729.59,ADAUPUSDT
2021-03-15,82.074,84.891,73.197,78.347,60855.32,ADAUPUSDT
2021-03-16,78.717,122.0,74.054,116.869,327875.15,ADAUPUSDT
2021-03-17,116.865,151.999,108.251,138.606,330296.19,ADAUPUSDT
2021-03-18,138.607,164.5,97.132,100.74700000000001,527236.95,ADAUPUSDT
2021-03-19,100.74700000000001,126.242,88.4,114.848,362368.36,ADAUPUSDT
2021-03-20,115.45700000000001,118.0,92.2,92.306,192055.45,ADAUPUSDT
2021-03-21,92.306,101.21,83.348,88.764,157995.27,ADAUPUSDT
2021-03-22,88.764,92.74799999999999,62.5,70.709,265759.77,ADAUPUSDT
2021-03-23,70.709,83.904,67.051,72.76100000000002,235471.98,ADAUPUSDT
2021-03-24,72.539,81.63600000000002,58.0,64.0,241727.84,ADAUPUSDT
2021-03-25,64.0,79.11,60.452,69.001,282334.22,ADAUPUSDT
2021-03-26,69.001,103.08200000000001,68.76100000000001,89.693,445619.48,ADAUPUSDT
2021-03-27,89.501,93.98,78.74,82.125,157164.12,ADAUPUSDT
2021-03-28,82.376,90.99,80.003,84.01899999999998,155845.18,ADAUPUSDT
2021-03-29,84.309,91.37899999999999,81.842,85.829,176910.45,ADAUPUSDT
2021-03-30,85.829,92.71700000000001,83.291,87.58,221516.63,ADAUPUSDT
2021-03-31,87.184,87.241,75.783,82.311,161612.55,ADAUPUSDT
2021-04-01,82.24600000000002,84.90899999999998,77.83,79.984,94636.92,ADAUPUSDT
2021-04-02,79.987,90.897,78.999,79.66199999999998,199701.11,ADAUPUSDT
2021-04-03,79.64699999999998,88.935,73.123,73.408,238644.38,ADAUPUSDT
2021-04-04,73.41,78.294,71.5,76.483,147736.78,ADAUPUSDT
2021-04-05,76.232,85.2,72.956,80.286,265878.94,ADAUPUSDT
2021-04-06,79.926,98.838,75.50399999999998,85.09,558593.77,ADAUPUSDT
2021-04-07,85.089,90.242,70.0,71.803,324265.17,ADAUPUSDT
2021-04-08,72.233,79.758,71.34,78.08800000000002,130620.56,ADAUPUSDT
2021-04-09,78.142,79.8,73.03399999999998,75.168,132813.23,ADAUPUSDT
2021-04-10,75.107,82.868,73.596,77.003,251953.37,ADAUPUSDT
2021-04-11,77.00399999999998,88.58,74.098,83.001,410024.02,ADAUPUSDT
2021-04-12,83.001,95.541,81.396,89.565,417038.9,ADAUPUSDT
2021-04-13,89.565,108.238,84.2,104.022,423707.5,ADAUPUSDT
2021-04-14,103.714,128.0,92.47,107.995,574692.33,ADAUPUSDT
2021-04-15,108.037,115.0,101.1,110.20200000000001,252544.0,ADAUPUSDT
2021-04-16,110.20200000000001,116.281,89.25,99.223,267219.8,ADAUPUSDT
2021-04-17,99.352,105.863,91.165,92.37200000000001,131801.99,ADAUPUSDT
2021-04-18,92.368,94.473,51.5,78.122,271655.84,ADAUPUSDT
2021-04-19,78.157,84.595,64.156,67.328,233091.11,ADAUPUSDT
2021-04-20,67.329,78.916,57.953,76.157,242740.05,ADAUPUSDT
2021-04-21,76.158,79.98,67.517,68.22,154541.64,ADAUPUSDT
2021-04-22,68.54899999999999,77.92699999999998,57.3,61.099,182510.7,ADAUPUSDT
2021-04-23,60.941,64.956,32.242,61.631,348198.42,ADAUPUSDT
2021-04-24,61.757,66.477,53.91,54.562,163028.56,ADAUPUSDT
2021-04-25,54.742,60.3,45.0,53.343999999999994,96362.73,ADAUPUSDT
2021-04-26,53.441,75.0,52.01,71.109,246915.24,ADAUPUSDT
2021-04-27,71.109,82.956,69.569,79.5,171424.42,ADAUPUSDT
2021-04-28,79.227,86.0,70.1,83.414,195344.95,ADAUPUSDT
2021-04-29,83.5,93.0,75.0,79.477,322159.96,ADAUPUSDT
2021-04-30,79.477,87.26,77.096,85.139,124980.28,ADAUPUSDT
2021-05-01,85.006,87.0,80.2,84.425,77920.62,ADAUPUSDT
2021-05-02,84.4,84.821,77.52600000000002,80.96,143468.07,ADAUPUSDT
2021-05-03,80.785,87.694,80.241,84.90799999999999,177329.4,ADAUPUSDT
2021-05-04,84.90799999999999,85.603,71.333,73.462,195165.96,ADAUPUSDT
2021-05-05,73.138,100.462,71.862,98.361,335019.76,ADAUPUSDT
2021-05-06,98.50399999999999,132.89700000000002,91.694,120.46700000000001,708345.37,ADAUPUSDT
2021-05-07,120.391,133.58100000000002,103.671,119.758,335252.36,ADAUPUSDT
2021-05-08,119.40700000000001,119.756,106.264,114.20200000000001,157331.25,ADAUPUSDT
2021-05-09,114.075,145.885,107.354,135.238,379174.62,ADAUPUSDT
2021-05-10,135.111,143.9,97.425,115.881,236325.66,ADAUPUSDT
2021-05-11,115.62200000000001,135.482,109.585,132.172,279378.55,ADAUPUSDT
2021-05-12,132.088,139.52,104.088,106.301,261792.57,ADAUPUSDT
2021-05-13,106.956,158.736,97.361,152.291,520985.56,ADAUPUSDT
2021-05-14,152.293,168.0,135.592,164.30200000000005,219739.03,ADAUPUSDT
2021-05-15,163.205,218.238,157.208,185.65400000000002,381641.4,ADAUPUSDT
2021-05-16,186.998,227.99900000000002,163.001,203.30700000000002,301747.66,ADAUPUSDT
