date,open,high,low,close,volume,name
2021-01-01,3.0563,3.2503,3.0468,3.2205,343879.24,ANTUSDT
2021-01-02,3.2199,3.2253,3.0003,3.1085,194395.43,ANTUSDT
2021-01-03,3.1085,3.2103,2.96,3.0597,356059.18,ANTUSDT
2021-01-04,3.0597,3.4338,3.0575,3.3395,577711.28,ANTUSDT
2021-01-05,3.3388,3.4223,3.1789,3.3004,393143.89,ANTUSDT
2021-01-06,3.3034,3.6,3.2893,3.4719,426940.68,ANTUSDT
2021-01-07,3.4719,3.8377,3.3,3.4707,741165.13,ANTUSDT
2021-01-08,3.4711,3.5967,3.0991,3.2971,412260.32,ANTUSDT
2021-01-09,3.2971,3.6824,3.1999,3.4863,770208.35,ANTUSDT
2021-01-10,3.4863,3.9434,3.3801,3.8196,540460.15,ANTUSDT
2021-01-11,3.826,3.8461,3.0259,3.342,516260.24,ANTUSDT
2021-01-12,3.342,3.3642,3.0251,3.1671,438162.58,ANTUSDT
2021-01-13,3.1556,3.35,3.0437,3.2875,309284.33,ANTUSDT
2021-01-14,3.2907,3.5,3.1747,3.2799,378650.66,ANTUSDT
2021-01-15,3.2799,3.5761,3.1,3.3493,822544.44,ANTUSDT
2021-01-16,3.3458,3.65,3.3431,3.4984,609461.76,ANTUSDT
2021-01-17,3.5027,5.2894,3.4241,4.8616,3878328.75,ANTUSDT
2021-01-18,4.8569,5.0309,4.1515,4.2703,1463948.48,ANTUSDT
2021-01-19,4.2703,4.4145,4.0,4.0005,725876.13,ANTUSDT
2021-01-20,4.0005,4.1753,3.6884,4.0116,622489.52,ANTUSDT
2021-01-21,4.0231,4.0977,3.41,3.4333,739649.19,ANTUSDT
2021-01-22,3.4206,3.4864,3.0205,3.3556,688217.84,ANTUSDT
2021-01-23,3.3655,3.8891,3.2651,3.7132,905639.91,ANTUSDT
2021-01-24,3.7046,4.4147,3.679,4.2194,1490122.99,ANTUSDT
2021-01-25,4.2272,4.3933,3.86,3.8703,553943.62,ANTUSDT
2021-01-26,3.8848,4.207,3.576,3.9919,433267.42,ANTUSDT
2021-01-27,4.0149,4.0149,3.4245,3.484,519028.66,ANTUSDT
2021-01-28,3.4975,4.2,3.4577,3.8389,632706.22,ANTUSDT
2021-01-29,3.8389,3.9905,3.5594,3.7612,486516.82,ANTUSDT
2021-01-30,3.7546,4.1249,3.7208,3.9521,559365.75,ANTUSDT
2021-01-31,3.9522,4.39,3.8568,4.166,765942.09,ANTUSDT
2021-02-01,4.1789,4.5177,4.0532,4.2641,628250.21,ANTUSDT
2021-02-02,4.2655,4.3009,4.0863,4.1578,360470.01,ANTUSDT
2021-02-03,4.1578,4.3151,4.0202,4.2461,959892.04,ANTUSDT
2021-02-04,4.2425,4.8115,4.1625,4.5,1105745.06,ANTUSDT
2021-02-05,4.509,6.6998,4.5,5.9454,3471930.9,ANTUSDT
2021-02-06,5.9262,6.0841,5.102,5.4781,1576173.79,ANTUSDT
2021-02-07,5.4667,5.6035,4.6413,5.1912,1084859.11,ANTUSDT
2021-02-08,5.1915,5.7839,5.0516,5.5688,1008822.27,ANTUSDT
2021-02-09,5.5687,5.855,5.3366,5.8009,1049805.95,ANTUSDT
2021-02-10,5.7852,5.9777,5.0098,5.4846,1057189.52,ANTUSDT
2021-02-11,5.4956,6.5838,5.4465,6.2329,1374643.94,ANTUSDT
2021-02-12,6.2369,7.0495,6.2039,6.9043,1504106.36,ANTUSDT
2021-02-13,6.9153,7.3496,6.1883,7.1,1726067.66,ANTUSDT
2021-02-14,7.1133,7.49,6.0478,6.5360000000000005,1386465.37,ANTUSDT
2021-02-15,6.5429999999999975,6.5521,5.0969,5.9378,1602611.47,ANTUSDT
2021-02-16,5.9279,6.2146,5.4164,5.7428,1052736.0,ANTUSDT
2021-02-17,5.7472,6.1494,5.3302,6.1354,770453.92,ANTUSDT
2021-02-18,6.1407,6.4878,5.942,6.3696,737703.42,ANTUSDT
2021-02-19,6.3429,6.4271,5.9263,5.9447,762400.92,ANTUSDT
2021-02-20,5.9617,6.1599,5.51,5.635,825912.8,ANTUSDT
2021-02-21,5.6464,5.9187,5.5139999999999985,5.8346,659868.91,ANTUSDT
2021-02-22,5.8493,6.6,4.7535,5.3179,2015290.59,ANTUSDT
2021-02-23,5.3064,5.3238,3.8242,4.4474,1421254.47,ANTUSDT
2021-02-24,4.4554,5.0585,4.23,4.7272,1012626.59,ANTUSDT
2021-02-25,4.7274,4.942,4.3,4.3329,891345.28,ANTUSDT
2021-02-26,4.3322,4.4048,3.8632,4.1171,820193.36,ANTUSDT
2021-02-27,4.1317,4.4228,4.05,4.2334,695403.66,ANTUSDT
2021-02-28,4.2184,4.2275,3.5295,3.8042,736646.43,ANTUSDT
2021-03-01,3.8,4.3678,3.7983,4.3501,520798.27,ANTUSDT
2021-03-02,4.3501,6.1679999999999975,4.12,5.3267,4546732.11,ANTUSDT
2021-03-03,5.3413,6.0373,4.9619,5.1434,4076509.59,ANTUSDT
2021-03-04,5.1434,5.48,4.8134,5.3438,1392003.81,ANTUSDT
2021-03-05,5.3438,5.3738,4.8109,5.0526,777064.89,ANTUSDT
2021-03-06,5.0629,5.1,4.8301,5.0208,389563.86,ANTUSDT
2021-03-07,5.0294,5.2363,4.952,5.0563,510596.82,ANTUSDT
2021-03-08,5.0562,5.4,4.9458,5.3332,571442.8,ANTUSDT
2021-03-09,5.3431,5.4670000000000005,5.1645,5.4001,653402.59,ANTUSDT
2021-03-10,5.4111,5.4875,5.0569,5.1465,514835.15,ANTUSDT
2021-03-11,5.1531,5.2426,4.5751,5.0859,745093.69,ANTUSDT
2021-03-12,5.1051,6.0855,5.0032,5.9939,1418257.4,ANTUSDT
2021-03-13,5.9879,6.0056,5.4948,5.6107,971784.86,ANTUSDT
2021-03-14,5.6216,6.1024,5.471,5.86,918707.96,ANTUSDT
2021-03-15,5.8659,7.5,5.2995,6.7757,1886770.92,ANTUSDT
2021-03-16,6.7929999999999975,7.8531,6.403,6.8656,3103711.87,ANTUSDT
2021-03-17,6.8654,7.0075,6.3142,6.8542,1332567.15,ANTUSDT
2021-03-18,6.8542,6.9355,6.4512,6.7428,986467.24,ANTUSDT
2021-03-19,6.7302,7.4159,6.5323,7.061,1114010.29,ANTUSDT
2021-03-20,7.0625,7.85,7.0067,7.0622,924091.61,ANTUSDT
2021-03-21,7.0622,7.6,6.6389999999999985,7.2187,1272171.73,ANTUSDT
2021-03-22,7.2321,7.74,6.6833,6.7620000000000005,1186021.41,ANTUSDT
2021-03-23,6.7620000000000005,6.9333,6.1914,6.4561,1128448.34,ANTUSDT
2021-03-24,6.4563,10.4028,6.2108,8.1629,7315109.05,ANTUSDT
2021-03-25,8.1629,13.8639,8.052999999999999,10.1217,21463489.21,ANTUSDT
2021-03-26,10.0794,11.6999,9.597,9.89,8540821.17,ANTUSDT
2021-03-27,9.9,10.66,9.286,10.014,3638558.59,ANTUSDT
2021-03-28,10.014,10.189,9.092,9.2612,2075692.06,ANTUSDT
2021-03-29,9.2448,9.9,9.0474,9.31,1532913.48,ANTUSDT
2021-03-30,9.31,13.3863,9.3001,11.7934,5651626.64,ANTUSDT
2021-03-31,11.7635,11.8737,10.31,10.7906,1796965.39,ANTUSDT
2021-04-01,10.7916,12.6477,10.502,11.7703,2514361.74,ANTUSDT
2021-04-02,11.7703,13.65,11.4171,11.674,3459946.13,ANTUSDT
2021-04-03,11.6671,12.4178,10.5723,10.6946,1296151.84,ANTUSDT
2021-04-04,10.6957,11.9744,10.5193,11.3304,3303963.83,ANTUSDT
2021-04-05,11.3304,13.2664,11.2865,13.0751,1894347.07,ANTUSDT
2021-04-06,13.0798,14.98,12.2828,12.5339,2882224.24,ANTUSDT
2021-04-07,12.5253,12.8758,10.4191,11.0909,1822794.5,ANTUSDT
2021-04-08,11.095,12.4,10.967,12.1086,1100755.86,ANTUSDT
2021-04-09,12.1174,12.98,11.6126,12.2307,1312367.58,ANTUSDT
2021-04-10,12.2301,12.3644,11.25,11.6297,855618.62,ANTUSDT
2021-04-11,11.6351,11.674,10.7089,11.2145,864073.15,ANTUSDT
2021-04-12,11.2189,11.6247,10.2311,10.5372,1096373.18,ANTUSDT
2021-04-13,10.5474,11.3,10.2,11.0,856248.73,ANTUSDT
2021-04-14,10.9952,11.1114,9.9823,10.4633,921921.34,ANTUSDT
2021-04-15,10.4724,11.2,10.245,11.1945,1140403.56,ANTUSDT
2021-04-16,11.1801,11.2,9.9901,10.2712,1246345.43,ANTUSDT
2021-04-17,10.2802,10.9083,10.1438,10.3447,1034054.94,ANTUSDT
2021-04-18,10.3447,10.5556,7.3098,8.7943,1997363.3,ANTUSDT
2021-04-19,8.7748,9.2822,7.7273,8.0143,1340793.36,ANTUSDT
2021-04-20,8.0363,8.5533,7.3273,8.3807,1133790.5,ANTUSDT
2021-04-21,8.3866,9.617,8.1502,8.6483,1557395.77,ANTUSDT
2021-04-22,8.6364,10.0241,7.9425,8.2125,2191756.35,ANTUSDT
2021-04-23,8.2216,8.472000000000001,7.02,8.1508,1954906.87,ANTUSDT
2021-04-24,8.1508,8.1805,7.3795,7.5059,1238784.84,ANTUSDT
2021-04-25,7.4922,8.15,7.285,7.8515,806573.53,ANTUSDT
2021-04-26,7.8572,8.8081,7.7872,8.5936,1049757.25,ANTUSDT
2021-04-27,8.5914,9.222,8.5128,8.9317,1000297.84,ANTUSDT
2021-04-28,8.9317,9.4189,8.3888,9.2657,949288.57,ANTUSDT
2021-04-29,9.27,9.96,8.7391,9.9559,1185884.89,ANTUSDT
2021-04-30,9.9558,10.3999,9.5761,9.9309,1051213.97,ANTUSDT
2021-05-01,9.9459,10.216,9.6617,9.9023,669744.25,ANTUSDT
2021-05-02,9.9178,9.9248,9.1866,9.5128,603375.82,ANTUSDT
2021-05-03,9.5151,10.1606,9.5151,9.8507,719801.49,ANTUSDT
2021-05-04,9.8585,9.8632,8.4555,8.5711,1081941.7,ANTUSDT
2021-05-05,8.566,9.395,8.4781,9.3175,854018.61,ANTUSDT
2021-05-06,9.3377,9.9455,9.0015,9.8017,1090932.84,ANTUSDT
2021-05-07,9.793,12.0786,9.6627,10.6712,3510294.69,ANTUSDT
2021-05-08,10.6736,10.89,10.1793,10.297,1144651.91,ANTUSDT
2021-05-09,10.2855,10.5601,9.7196,10.1734,784682.25,ANTUSDT
2021-05-10,10.1932,10.4858,8.75,9.198,934893.8,ANTUSDT
2021-05-11,9.1937,10.2406,8.6983,9.7843,1130915.24,ANTUSDT
2021-05-12,9.7693,10.1117,8.2261,8.4259,905796.52,ANTUSDT
2021-05-13,8.4108,8.8615,7.7879999999999985,8.1679,1156886.09,ANTUSDT
2021-05-14,8.1573,8.805,8.0788,8.4681,812975.72,ANTUSDT
2021-05-15,8.453,8.8466,7.6578,7.6644,850450.08,ANTUSDT
2021-05-16,7.6643,8.73,7.12,7.741,1179138.8,ANTUSDT
2021-05-17,7.7421,7.7511,6.6686,6.9046,1162145.32,ANTUSDT
2021-05-18,6.9046,7.475,6.8046,7.0472,880345.46,ANTUSDT
2021-05-19,7.0514,7.1329,3.2602,4.5,2596503.29,ANTUSDT
2021-05-20,4.5,5.2895,3.8501,4.9954,2118436.27,ANTUSDT
2021-05-21,5.0249,5.4364,3.5398,4.1616,1739590.14,ANTUSDT
2021-05-22,4.1524,4.3477,3.6035,3.8939,1455696.97,ANTUSDT
2021-05-23,3.8827,4.0428,2.7783,3.3581,1650833.02,ANTUSDT
2021-05-24,3.3701,4.09,3.2,4.0739,1685973.24,ANTUSDT
2021-05-25,4.0764,4.595,3.6758,4.4209,1554804.22,ANTUSDT
2021-05-26,4.4118,5.7453,4.3013,5.3419,3823280.86,ANTUSDT
2021-05-27,5.3517,5.3787,4.7242,4.8889,2646529.1,ANTUSDT
2021-05-28,4.9017,4.9382,3.9213,4.1312,1784321.01,ANTUSDT
2021-05-29,4.1312,4.5677,3.7133,3.9911,2541151.86,ANTUSDT
2021-05-30,3.9862,4.43,3.7452,4.1261,2206715.97,ANTUSDT
2021-05-31,4.1206,5.63,3.9532,5.0068,3018513.49,ANTUSDT
2021-06-01,5.0045,5.1787,4.5643,4.784,1887566.0,ANTUSDT
2021-06-02,4.7773,5.01,4.5967,4.8349,1362196.17,ANTUSDT
2021-06-03,4.8432,5.1391,4.7106,5.0701,1297608.08,ANTUSDT
2021-06-04,5.0726,5.12,4.2634,4.4958,1277531.64,ANTUSDT
2021-06-05,4.4914,5.4198,4.4248,5.0061,3018805.67,ANTUSDT
2021-06-06,4.9983,6.1236,4.9695,5.551,4027562.37,ANTUSDT
2021-06-07,5.5283,5.5516,4.7286,4.7817,1275745.39,ANTUSDT
2021-06-08,4.7787,4.8736,4.1641,4.6243,1506344.74,ANTUSDT
2021-06-09,4.6114,4.8,4.3266,4.7102,1748093.39,ANTUSDT
2021-06-10,4.7172,4.7504,4.2442,4.3029,1998749.44,ANTUSDT
2021-06-11,4.3122,4.5483,4.1487,4.3963,1660285.99,ANTUSDT
2021-06-12,4.4053,4.55,3.8115,4.3210000000000015,1692330.93,ANTUSDT
2021-06-13,4.3196,4.5835,4.1297,4.4215,955459.52,ANTUSDT
