date,open,high,low,close,volume,name
2021-01-01,0.721,0.8096,0.721,0.8069,173653.28,AVAUSDT
2021-01-02,0.8069,0.8069,0.735,0.7671,263609.68,AVAUSDT
2021-01-03,0.7671,0.787,0.7404,0.754,231770.16,AVAUSDT
2021-01-04,0.7596,0.85,0.754,0.8222,526462.95,AVAUSDT
2021-01-05,0.8222,0.9023,0.7949,0.8899,804654.79,AVAUSDT
2021-01-06,0.8931,1.05,0.8690000000000001,1.0019,836274.01,AVAUSDT
2021-01-07,0.9964,1.03,0.9145,0.9768,595705.35,AVAUSDT
2021-01-08,0.9728,1.06,0.875,1.0025,868499.43,AVAUSDT
2021-01-09,0.9975,1.0582,0.9745,1.0329,499539.24,AVAUSDT
2021-01-10,1.0327,1.0735,0.8874,0.9636,377884.23,AVAUSDT
2021-01-11,0.9636,0.9636,0.7685,0.8931,526736.24,AVAUSDT
2021-01-12,0.8931,0.94,0.85,0.8845,266619.85,AVAUSDT
2021-01-13,0.8819,0.9344,0.85,0.9,394130.11,AVAUSDT
2021-01-14,0.9,0.9667,0.887,0.9262,404069.91,AVAUSDT
2021-01-15,0.9298,1.0045,0.8363,0.9597,600363.61,AVAUSDT
2021-01-16,0.9584,1.6,0.9584,1.4924,7559344.42,AVAUSDT
2021-01-17,1.4923,1.61,1.255,1.51,2587758.09,AVAUSDT
2021-01-18,1.51,1.5705,1.334,1.3901,858746.65,AVAUSDT
2021-01-19,1.3901,1.57,1.3809,1.445,958379.66,AVAUSDT
2021-01-20,1.445,1.5567,1.2612,1.3861,981467.95,AVAUSDT
2021-01-21,1.3874,1.4219,1.207,1.2699,552769.89,AVAUSDT
2021-01-22,1.2699,1.5,1.169,1.3807,636959.98,AVAUSDT
2021-01-23,1.3732,1.8556,1.3267,1.6789,3362905.99,AVAUSDT
2021-01-24,1.6769,1.9,1.6769,1.8834,2078381.36,AVAUSDT
2021-01-25,1.8937,1.935,1.67,1.7489,1292656.23,AVAUSDT
2021-01-26,1.7514,1.7849,1.6514,1.7646,575506.34,AVAUSDT
2021-01-27,1.7614,1.7614,1.521,1.6061,494716.76,AVAUSDT
2021-01-28,1.6002,1.8499,1.5589,1.6822,603626.57,AVAUSDT
2021-01-29,1.6822,1.72,1.52,1.6563,807669.73,AVAUSDT
2021-01-30,1.6522,1.8249,1.6008,1.707,589315.95,AVAUSDT
2021-01-31,1.7069,1.771,1.62,1.658,621379.7,AVAUSDT
2021-02-01,1.658,1.7294,1.6001,1.705,477137.7,AVAUSDT
2021-02-02,1.705,1.8895,1.67,1.8544,799977.46,AVAUSDT
2021-02-03,1.8513,2.0114,1.78,1.837,1491756.45,AVAUSDT
2021-02-04,1.837,1.8999,1.7158,1.8196,735591.71,AVAUSDT
2021-02-05,1.8239,1.91,1.7963,1.91,582673.11,AVAUSDT
2021-02-06,1.9099,1.93,1.7223,1.7808,725849.81,AVAUSDT
2021-02-07,1.7808,1.7866,1.63,1.7233,468481.23,AVAUSDT
2021-02-08,1.7233,1.889,1.6707,1.8291,932864.14,AVAUSDT
2021-02-09,1.8293,1.94,1.7656,1.9165,797535.78,AVAUSDT
2021-02-10,1.9165,1.975,1.8,1.915,1330555.44,AVAUSDT
2021-02-11,1.9177,2.234,1.8852,2.1106,1531470.24,AVAUSDT
2021-02-12,2.1105,2.34,2.02,2.1513,1255587.53,AVAUSDT
2021-02-13,2.1513,2.55,2.1458,2.4107,1497050.47,AVAUSDT
2021-02-14,2.41,2.62,2.1895,2.2434,1430635.44,AVAUSDT
