date,open,high,low,close,volume,name
2021-01-01,13.652,14.45,13.57,13.923,170848.61,BALUSDT
2021-01-02,13.95,14.989,13.533,14.701,168018.798,BALUSDT
2021-01-03,14.716,16.49,14.343,15.88,345906.434,BALUSDT
2021-01-04,15.888,17.65,13.851,15.781,397071.39700000006,BALUSDT
2021-01-05,15.797,17.249000000000002,15.009,16.855999999999998,359584.6729999999,BALUSDT
2021-01-06,16.863,18.557,16.252,18.453,284523.688,BALUSDT
2021-01-07,18.438,19.374,15.82,18.385,395585.684,BALUSDT
2021-01-08,18.446,19.174,15.763,17.953,356555.4960000001,BALUSDT
2021-01-09,17.979,19.938,17.375,19.579,342202.42600000004,BALUSDT
2021-01-10,19.585,21.559,17.783,19.199,305057.422,BALUSDT
2021-01-11,19.166,19.228,13.555,16.114,345857.902,BALUSDT
2021-01-12,16.115,17.249000000000002,14.734000000000002,15.32,247235.431,BALUSDT
2021-01-13,15.358,17.539,14.816,17.52,236926.672,BALUSDT
2021-01-14,17.516,18.762,16.534000000000002,17.769000000000005,164111.815,BALUSDT
2021-01-15,17.812,18.799,15.765,17.793,214613.252,BALUSDT
2021-01-16,17.826,21.0,17.734,19.346,322692.761,BALUSDT
2021-01-17,19.36,21.635,17.983,20.799,295474.69,BALUSDT
2021-01-18,20.824,23.0,20.205,23.0,293093.375,BALUSDT
2021-01-19,22.999,24.988000000000003,21.822,22.135,264096.248,BALUSDT
2021-01-20,22.077,22.75800000000001,19.858,22.257,205727.5,BALUSDT
2021-01-21,22.296,22.491,17.643,18.192,237318.26100000003,BALUSDT
2021-01-22,18.166,20.632,16.843,19.95,266889.112,BALUSDT
2021-01-23,19.933,21.403,19.626,20.623,161626.051,BALUSDT
2021-01-24,20.641,23.164,20.4,23.034,234549.739,BALUSDT
2021-01-25,23.018,24.1,20.817,20.977,206508.615,BALUSDT
2021-01-26,20.971,22.089,19.612,21.744,234423.998,BALUSDT
2021-01-27,21.783,21.858,18.675,19.369,270302.793,BALUSDT
2021-01-28,19.293,23.606,18.935,23.07800000000001,224868.996,BALUSDT
2021-01-29,23.086,27.0,22.374,26.016,322268.325,BALUSDT
2021-01-30,26.017,29.5,24.335,28.45,292784.067,BALUSDT
2021-01-31,28.405,28.797,25.609,26.482,237092.711,BALUSDT
2021-02-01,26.531,30.647,25.073,30.375,333404.688,BALUSDT
2021-02-02,30.378,35.016,29.47300000000001,32.423,546847.705,BALUSDT
2021-02-03,32.425,35.836,31.937,35.511,245589.787,BALUSDT
2021-02-04,35.525,36.822,32.065,33.759,393925.89700000006,BALUSDT
2021-02-05,33.765,41.8,33.5,39.353,385520.949,BALUSDT
2021-02-06,39.398,40.779,35.032,36.023,268471.747,BALUSDT
2021-02-07,36.023,38.0,33.1,36.202,716320.003,BALUSDT
2021-02-08,36.24,38.913,34.447,37.142,349693.516,BALUSDT
2021-02-09,37.217,39.5,34.66,39.5,445858.7020000001,BALUSDT
2021-02-10,39.421,43.066,32.52,42.645,681944.4770000001,BALUSDT
2021-02-11,42.644,53.0,40.681,47.323,720277.583,BALUSDT
2021-02-12,47.425,53.88800000000001,45.912,51.964,324453.72,BALUSDT
2021-02-13,52.043,52.846,46.4,48.487,270615.507,BALUSDT
2021-02-14,48.582,49.327,43.677,44.293,173898.201,BALUSDT
2021-02-15,44.332,47.022,37.666,43.606,318702.275,BALUSDT
2021-02-16,43.602,46.1,41.435,42.974,173213.674,BALUSDT
2021-02-17,42.938,46.6,40.139,44.69300000000001,592706.127,BALUSDT
2021-02-18,44.723,47.24,44.659,46.703,199108.237,BALUSDT
2021-02-19,46.682,47.574,43.005,44.19,185315.351,BALUSDT
2021-02-20,44.191,50.414,43.0,46.139,398786.943,BALUSDT
