date,open,high,low,close,volume,name
2021-01-01,37.3596,38.959,36.9555,37.7762,2435989.127,BNBUSDT
2021-01-02,37.7637,38.8798,36.8,38.2331,3018062.2060000002,BNBUSDT
2021-01-03,38.2331,41.7017,37.76300000000001,41.2575,4903626.697,BNBUSDT
2021-01-04,41.256,43.2039,38.02,41.1333,5306248.166,BNBUSDT
2021-01-05,41.13,41.8375,38.8014,41.8219,3513141.3460000013,BNBUSDT
2021-01-06,41.8271,42.266999999999996,40.4531,42.2417,3784444.687,BNBUSDT
2021-01-07,42.244,44.9,41.36600000000001,43.5728,5026746.669,BNBUSDT
2021-01-08,43.5728,43.722,40.2313,42.356,3548923.788,BNBUSDT
2021-01-09,42.345,44.0552,41.5,43.8479,2720363.6360000004,BNBUSDT
2021-01-10,43.8479,45.162,40.0,42.4031,4277406.29,BNBUSDT
2021-01-11,42.4033,42.5094,35.0374,38.1674,6332801.055,BNBUSDT
2021-01-12,38.1623,40.1989,37.0,38.2541,3261261.81,BNBUSDT
2021-01-13,38.2703,40.4499,37.02,40.1114,3512089.385,BNBUSDT
2021-01-14,40.1114,42.0,39.5739,41.8723,3306689.933,BNBUSDT
2021-01-15,41.8721,42.5622,38.6616,40.8668,3431358.936,BNBUSDT
2021-01-16,40.8951,44.12,40.625,43.141999999999996,3243054.414,BNBUSDT
2021-01-17,43.1413,46.7228,40.9192,45.8675,3878914.2989999996,BNBUSDT
2021-01-18,45.8645,46.8888,44.0278,45.3412,3069449.938,BNBUSDT
2021-01-19,45.3592,47.2187,41.7,42.5241,5151546.8719999995,BNBUSDT
2021-01-20,42.5241,43.0992,40.2,42.6069,3709936.492,BNBUSDT
2021-01-21,42.6056,42.7176,38.2,38.6343,3388587.6569999997,BNBUSDT
2021-01-22,38.6596,41.528,36.8518,40.8936,3088685.295,BNBUSDT
2021-01-23,40.8938,41.88,39.4555,40.9109,2531809.648,BNBUSDT
2021-01-24,40.9113,42.2,40.3144,41.8263,2340747.623,BNBUSDT
