date,open,high,low,close,volume,name
2021-01-01,0.0787,0.085,0.0779,0.0823,2214068.37,CTXCUSDT
2021-01-02,0.0829,0.0922,0.0796,0.0861,5234908.85,CTXCUSDT
2021-01-03,0.0863,0.0922,0.0784,0.0786,6351932.11,CTXCUSDT
2021-01-04,0.0784,0.085,0.0712,0.0757,3693747.2,CTXCUSDT
2021-01-05,0.0756,0.0785,0.0723,0.077,2313346.58,CTXCUSDT
2021-01-06,0.0767,0.0874,0.0753,0.0824,4232387.04,CTXCUSDT
2021-01-07,0.0826,0.17,0.0808,0.094,30767714.61,CTXCUSDT
2021-01-08,0.0936,0.188,0.0926,0.1689,112647127.74,CTXCUSDT
2021-01-09,0.1689,0.2386,0.14,0.1826,100880363.86,CTXCUSDT
2021-01-10,0.1837,0.3,0.1559,0.1665,84793850.9,CTXCUSDT
2021-01-11,0.1665,0.1673,0.0975,0.1154,58630115.65,CTXCUSDT
2021-01-12,0.1155,0.132,0.108,0.1135,34548629.76,CTXCUSDT
2021-01-13,0.1135,0.1229,0.1039,0.1201,14994186.71,CTXCUSDT
2021-01-14,0.1202,0.1387,0.1115,0.13,19749352.26,CTXCUSDT
2021-01-15,0.1304,0.133,0.1055,0.1137,14067450.11,CTXCUSDT
2021-01-16,0.1137,0.1231,0.1115,0.1146,11144165.68,CTXCUSDT
2021-01-17,0.1145,0.1221,0.1077,0.1163,6805089.44,CTXCUSDT
2021-01-18,0.1164,0.12,0.1125,0.1162,4103039.57,CTXCUSDT
2021-01-19,0.1166,0.118,0.1129,0.114,4359925.44,CTXCUSDT
2021-01-20,0.114,0.1155,0.1056,0.1118,3210033.08,CTXCUSDT
2021-01-21,0.1119,0.1125,0.0951,0.0981,2580734.78,CTXCUSDT
2021-01-22,0.0981,0.1111,0.08900000000000001,0.1064,5508188.47,CTXCUSDT
2021-01-23,0.1064,0.1128,0.1028,0.104,4614813.87,CTXCUSDT
2021-01-24,0.1037,0.1119,0.1031,0.106,3121404.35,CTXCUSDT
2021-01-25,0.1064,0.1079,0.101,0.101,5859163.61,CTXCUSDT
2021-01-26,0.101,0.1036,0.0973,0.1017,1991074.95,CTXCUSDT
2021-01-27,0.1015,0.1042,0.0947,0.1014,2712363.46,CTXCUSDT
2021-01-28,0.1014,0.1153,0.1014,0.107,7457357.9,CTXCUSDT
2021-01-29,0.107,0.1155,0.1048,0.113,9756157.0,CTXCUSDT
2021-01-30,0.113,0.1472,0.108,0.1233,16806761.04,CTXCUSDT
2021-01-31,0.1232,0.1643,0.1194,0.1284,42841889.33,CTXCUSDT
2021-02-01,0.129,0.1375,0.1184,0.1267,11462671.53,CTXCUSDT
2021-02-02,0.1262,0.1303,0.117,0.1236,7709703.3,CTXCUSDT
2021-02-03,0.1239,0.152,0.1229,0.1306,15252052.9,CTXCUSDT
2021-02-04,0.1312,0.1426,0.125,0.1336,11538283.05,CTXCUSDT
2021-02-05,0.1335,0.1425,0.1317,0.141,9687922.28,CTXCUSDT
2021-02-06,0.1416,0.1514,0.138,0.1419,10306826.56,CTXCUSDT
2021-02-07,0.1413,0.1432,0.1315,0.1346,7606406.75,CTXCUSDT
2021-02-08,0.1346,0.1444,0.132,0.1412,8198402.04,CTXCUSDT
2021-02-09,0.141,0.1621,0.14,0.1565,14142710.53,CTXCUSDT
2021-02-10,0.1568,0.1662,0.142,0.1585,11011959.15,CTXCUSDT
2021-02-11,0.1585,0.1904,0.1549,0.1845,15238380.57,CTXCUSDT
2021-02-12,0.1836,0.2088,0.17,0.2015,11172406.61,CTXCUSDT
2021-02-13,0.2015,0.3833,0.1864,0.2867,66137344.36,CTXCUSDT
2021-02-14,0.2865,0.3796,0.2461,0.2509,107837792.96,CTXCUSDT
2021-02-15,0.2509,0.2767,0.2009,0.2284,22572358.24,CTXCUSDT
2021-02-16,0.2288,0.2499,0.2164,0.2222,10308383.33,CTXCUSDT
2021-02-17,0.2222,0.2487,0.212,0.2272,9627020.14,CTXCUSDT
2021-02-18,0.2272,0.2444,0.2234,0.2351,6830554.25,CTXCUSDT
2021-02-19,0.2351,0.241,0.217,0.2205,7345331.96,CTXCUSDT
2021-02-20,0.2203,0.2299,0.2024,0.207,7743821.08,CTXCUSDT
2021-02-21,0.2082,0.2292,0.203,0.2182,4925886.52,CTXCUSDT
2021-02-22,0.2187,0.2199,0.1619,0.1913,7318888.56,CTXCUSDT
2021-02-23,0.1912,0.1924,0.1261,0.1483,12662379.51,CTXCUSDT
2021-02-24,0.1483,0.1674,0.14,0.1536,7481338.22,CTXCUSDT
