date,open,high,low,close,volume,name
2021-01-01,99.48,102.83,85.9,87.97,354824.35988,DASHUSDT
2021-01-02,87.97,94.0,84.63,87.02,334096.22397,DASHUSDT
2021-01-03,86.98,92.11,85.19,89.65,225874.8082,DASHUSDT
2021-01-04,89.68,96.89,85.11,89.01,259987.88897,DASHUSDT
2021-01-05,88.97,90.2,85.6,89.11,150375.66563,DASHUSDT
2021-01-06,89.18,94.95,87.93,94.22,254301.58553,DASHUSDT
2021-01-07,94.3,108.37,92.17,98.96,385590.06063,DASHUSDT
2021-01-08,98.88,100.88,92.0,96.2,235786.66695,DASHUSDT
2021-01-09,96.2,111.19,94.13,109.94,263992.12984,DASHUSDT
2021-01-10,110.0,158.5,109.9,146.54,1374934.1012,DASHUSDT
2021-01-11,146.5,148.52,106.02,125.01,1153291.93778,DASHUSDT
2021-01-12,125.19,135.81,116.22,128.53,513919.37335,DASHUSDT
2021-01-13,128.46,137.6,120.02,133.1,359632.76828,DASHUSDT
2021-01-14,133.13,138.0,129.1,132.99,259568.13891,DASHUSDT
2021-01-15,133.0,136.63,116.4,124.3,243942.43173,DASHUSDT
2021-01-16,124.38,132.34,121.35,124.85,197587.25613,DASHUSDT
2021-01-17,124.8,126.99,120.09,124.26,145919.12230999998,DASHUSDT
2021-01-18,124.33,132.5,121.0,129.3,184899.95993,DASHUSDT
2021-01-19,129.34,134.45,123.0,124.46,233952.73508,DASHUSDT
2021-01-20,124.51,127.1,111.55,121.13,435595.51247,DASHUSDT
2021-01-21,121.21,121.99,99.53,99.77,480967.49254,DASHUSDT
2021-01-22,99.7,108.29,93.85,104.72,495027.58963,DASHUSDT
2021-01-23,104.72,109.92,102.09,105.29,197211.64112,DASHUSDT
2021-01-24,105.27,110.9,103.56,106.16,174099.56670999998,DASHUSDT
2021-01-25,106.23,113.22,104.76,105.0,200978.175,DASHUSDT
2021-01-26,104.84,106.34,100.23,104.97,129344.10154,DASHUSDT
2021-01-27,104.88,104.96,94.3,96.45,146328.49438,DASHUSDT
2021-01-28,96.49,105.53,94.81,102.68,169884.10592,DASHUSDT
2021-01-29,102.71,110.22,101.06,104.56,272655.5701,DASHUSDT
2021-01-30,104.6,106.22,100.51,105.17,126741.5977,DASHUSDT
2021-01-31,105.19,106.25,100.05,102.42,131926.49052,DASHUSDT
2021-02-01,102.39,105.74,100.2,103.54,167191.02543,DASHUSDT
2021-02-02,103.52,110.95,103.1,109.85,206063.14571,DASHUSDT
2021-02-03,109.86,118.66,109.86,116.84,285854.36656,DASHUSDT
2021-02-04,116.86,118.52,110.0,111.0,204054.47463,DASHUSDT
2021-02-05,110.98,122.5,110.38,120.42,272673.13955,DASHUSDT
2021-02-06,120.4,123.0,115.01,118.94,243141.74448,DASHUSDT
2021-02-07,118.97,122.0,112.29,118.31,213673.40005,DASHUSDT
2021-02-08,118.32,126.54,114.78,126.16,226166.19795,DASHUSDT
2021-02-09,126.25,138.1,124.11,137.36,303721.31475,DASHUSDT
2021-02-10,137.4,149.0,125.0,139.75,431306.34975,DASHUSDT
2021-02-11,139.7,167.5,138.19,164.6,529001.0998600001,DASHUSDT
2021-02-12,164.91,173.42,155.24,169.76,317122.93801,DASHUSDT
2021-02-13,169.82,298.0,169.74,267.61,1528535.92984,DASHUSDT
2021-02-14,267.74,278.95,222.25,230.69,549673.22547,DASHUSDT
2021-02-15,230.4,290.0,195.0,259.69,1021117.66384,DASHUSDT
2021-02-16,259.8,272.78,242.78,249.46,439133.16626,DASHUSDT
2021-02-17,249.41,270.95,234.26,265.96,371685.81453,DASHUSDT
2021-02-18,265.99,306.12,257.05,281.15,589697.91273,DASHUSDT
2021-02-19,281.16,336.65,269.61,323.84,719761.4102,DASHUSDT
2021-02-20,323.79,332.71,280.0,297.28,421948.27107,DASHUSDT
2021-02-21,297.55,317.54,289.55,301.52,268039.66845,DASHUSDT
2021-02-22,301.57,303.2,226.2,271.7,492173.82981,DASHUSDT
2021-02-23,271.74,273.11,200.0,230.91,572502.34696,DASHUSDT
2021-02-24,231.19,263.0,218.0,237.4,393461.5782,DASHUSDT
2021-02-25,237.03,248.79,216.0,218.5,252003.58046,DASHUSDT
2021-02-26,218.11,223.92,201.15,206.7,231381.98349,DASHUSDT
2021-02-27,206.57,224.27,205.21,210.69,195763.12727,DASHUSDT
2021-02-28,210.44,211.94,181.28,196.77,207923.0121,DASHUSDT
2021-03-01,196.82,224.94,195.85,224.94,218515.06239,DASHUSDT
2021-03-02,224.77,230.3,209.31,216.04,201183.40119,DASHUSDT
2021-03-03,215.87,235.8,213.82,222.59,178477.30036,DASHUSDT
2021-03-04,222.74,230.0,206.1,211.18,169287.2887,DASHUSDT
2021-03-05,211.18,211.75,196.1,205.7,145137.69887999998,DASHUSDT
2021-03-06,205.8,210.74,200.41,208.61,75771.37399,DASHUSDT
2021-03-07,208.79,215.04,206.33,214.79,92915.69908,DASHUSDT
2021-03-08,214.8,219.11,206.49,218.23,109229.35324,DASHUSDT
2021-03-09,218.26,245.81,214.71,244.2,235143.63519,DASHUSDT
2021-03-10,244.09,250.0,225.69,234.41,221375.31372,DASHUSDT
2021-03-11,234.56,244.17,225.26,235.39,170559.21969,DASHUSDT
2021-03-12,235.4,239.56,214.97,224.69,163689.52612,DASHUSDT
2021-03-13,224.64,245.17,217.07,243.04,165964.52106,DASHUSDT
2021-03-14,243.16,250.2,230.92,231.17,168708.90050999998,DASHUSDT
