date,open,high,low,close,volume,name
2021-01-01,40.727,43.793,39.275,41.12600000000001,18166.834,DCRUSDT
2021-01-02,41.16,49.0,40.47,45.727,42146.883,DCRUSDT
2021-01-03,45.727,51.269,44.6,48.215,41752.201,DCRUSDT
2021-01-04,48.289,48.883,41.5,48.512,33109.396,DCRUSDT
2021-01-05,48.327,49.98,44.0,47.303,27795.158,DCRUSDT
2021-01-06,47.098,56.0,45.36600000000001,54.728,36286.616,DCRUSDT
2021-01-07,54.871,59.98,51.18600000000001,58.1,28560.387,DCRUSDT
2021-01-08,58.306,71.06,54.0,64.215,65850.652,DCRUSDT
2021-01-09,64.007,67.015,58.284,60.278,39762.851,DCRUSDT
2021-01-10,60.21100000000001,62.988,49.578,55.488,32712.28,DCRUSDT
2021-01-11,55.668,56.515,44.0,53.405,57769.56200000001,DCRUSDT
2021-01-12,53.158,53.92100000000001,47.01,48.755,17817.113,DCRUSDT
2021-01-13,48.755,56.283,45.0,55.69600000000001,21320.316000000006,DCRUSDT
2021-01-14,55.889,58.861,53.504,58.756,25270.257,DCRUSDT
2021-01-15,58.845,61.563,52.11600000000001,57.804,37511.755,DCRUSDT
2021-01-16,57.57,61.0,56.274,57.025,17911.925,DCRUSDT
2021-01-17,57.002,58.243,52.385,56.635,12745.663,DCRUSDT
2021-01-18,56.714,57.332,54.0,55.06399999999999,8657.404,DCRUSDT
2021-01-19,55.205,58.0,53.683,56.81800000000001,15628.875,DCRUSDT
2021-01-20,56.815,60.0,53.736,57.819,28838.22,DCRUSDT
2021-01-21,57.81800000000001,57.819,46.442,48.701,19773.437,DCRUSDT
2021-01-22,48.662,54.075,45.377,52.051,21532.08,DCRUSDT
2021-01-23,52.103,53.043,49.99,50.50100000000001,6364.698,DCRUSDT
2021-01-24,50.463,51.864,48.732,49.782,9384.76,DCRUSDT
2021-01-25,50.056,59.663,50.01,58.227,35816.786,DCRUSDT
2021-01-26,58.217,62.0,53.895,57.48,31900.965,DCRUSDT
2021-01-27,57.48,61.4,50.0,60.733,25150.911,DCRUSDT
2021-01-28,60.71,62.5,56.6,58.486,22490.39,DCRUSDT
2021-01-29,58.393,69.738,56.218,66.72399999999999,33706.715,DCRUSDT
2021-01-30,66.809,69.8,61.0,62.444,17460.234,DCRUSDT
2021-01-31,62.444,68.88,61.2,65.758,15479.003,DCRUSDT
2021-02-01,66.021,67.454,63.832,66.923,9557.419,DCRUSDT
2021-02-02,66.937,69.995,65.845,67.361,11951.372,DCRUSDT
2021-02-03,67.658,81.3,67.01,80.279,23352.006,DCRUSDT
2021-02-04,80.574,88.619,73.358,76.706,44118.20400000001,DCRUSDT
2021-02-05,76.705,79.67,75.067,77.585,15920.607,DCRUSDT
