date,open,high,low,close,volume,name
2021-01-01,1.163,1.29,1.148,1.215,1288405.539,DIAUSDT
2021-01-02,1.216,1.221,1.15,1.169,1161229.077,DIAUSDT
2021-01-03,1.17,1.3769999999999998,1.152,1.311,2537078.98,DIAUSDT
2021-01-04,1.308,1.483,1.202,1.4409999999999998,3212461.118,DIAUSDT
2021-01-05,1.445,1.474,1.3,1.411,2073254.152,DIAUSDT
2021-01-06,1.41,1.696,1.36,1.55,2985552.253,DIAUSDT
2021-01-07,1.55,1.635,1.378,1.46,2358020.418,DIAUSDT
2021-01-08,1.464,1.469,1.3130000000000002,1.4240000000000002,1782260.397,DIAUSDT
2021-01-09,1.4240000000000002,1.745,1.4240000000000002,1.571,3700586.54,DIAUSDT
2021-01-10,1.5719999999999998,1.7,1.35,1.465,2429009.307,DIAUSDT
2021-01-11,1.469,1.47,1.151,1.297,2323577.413,DIAUSDT
2021-01-12,1.297,1.38,1.211,1.231,1487633.079,DIAUSDT
2021-01-13,1.236,1.39,1.19,1.3090000000000002,1455556.3080000004,DIAUSDT
2021-01-14,1.31,1.389,1.2819999999999998,1.341,1522383.8269999996,DIAUSDT
2021-01-15,1.3430000000000002,1.57,1.273,1.5319999999999998,5135910.766,DIAUSDT
2021-01-16,1.526,1.6,1.423,1.509,3866464.954,DIAUSDT
2021-01-17,1.509,1.95,1.432,1.785,6318071.785,DIAUSDT
2021-01-18,1.7819999999999998,1.864,1.638,1.755,3797901.167,DIAUSDT
2021-01-19,1.756,1.9,1.646,1.699,3081064.957,DIAUSDT
2021-01-20,1.694,2.1,1.672,1.944,6234335.03,DIAUSDT
2021-01-21,1.944,1.944,1.533,1.574,3495010.786000001,DIAUSDT
2021-01-22,1.575,1.82,1.45,1.69,2747271.282,DIAUSDT
2021-01-23,1.692,2.17,1.645,2.1,6287163.989,DIAUSDT
2021-01-24,2.1,2.3480000000000003,1.95,2.099,5592615.995,DIAUSDT
2021-01-25,2.0980000000000003,2.176,1.85,1.917,3515481.0930000013,DIAUSDT
2021-01-26,1.914,2.249,1.747,2.052,5268101.152,DIAUSDT
2021-01-27,2.052,2.092,1.68,1.785,3909472.519,DIAUSDT
2021-01-28,1.785,1.99,1.73,1.805,3315557.5310000004,DIAUSDT
2021-01-29,1.808,1.869,1.694,1.758,3557290.475,DIAUSDT
2021-01-30,1.757,1.89,1.6869999999999998,1.874,4110685.811,DIAUSDT
2021-01-31,1.881,1.934,1.717,1.843,3814862.512,DIAUSDT
2021-02-01,1.843,2.0,1.722,1.942,3588938.077,DIAUSDT
2021-02-02,1.942,2.145,1.877,1.924,4139945.151,DIAUSDT
2021-02-03,1.917,2.175,1.881,2.108,4137514.614,DIAUSDT
2021-02-04,2.099,2.33,1.915,2.21,4694028.638,DIAUSDT
