date,open,high,low,close,volume,name
2021-01-01,0.19,0.207,0.18,0.197,9735686.87,ETHDOWNUSDT
2021-01-02,0.198,0.207,0.157,0.165,25067659.12,ETHDOWNUSDT
2021-01-03,0.165,0.168,0.064,0.073,240911957.69,ETHDOWNUSDT
2021-01-04,0.073,0.081,0.043,0.0584,614345827.86,ETHDOWNUSDT
2021-01-05,0.058,0.0666,0.0448,0.0491,351400620.76,ETHDOWNUSDT
2021-01-06,0.049,0.0546,0.0349,0.0354,485679056.74,ETHDOWNUSDT
2021-01-07,0.0354,0.042,0.0285,0.0332,379553330.55,ETHDOWNUSDT
2021-01-08,0.033,0.0444,0.0295,0.0334,299138041.53,ETHDOWNUSDT
2021-01-09,0.0332,0.0362,0.0277,0.0296,199275244.52,ETHDOWNUSDT
2021-01-10,0.0296,0.035,0.0259,0.0305,434063127.1,ETHDOWNUSDT
2021-01-11,0.0305,0.06,0.0302,0.0366,1201449273.98,ETHDOWNUSDT
2021-01-12,0.0367,0.044,0.0292,0.0393,749096226.02,ETHDOWNUSDT
2021-01-13,0.0396,0.0461,0.0303,0.0314,426016511.05,ETHDOWNUSDT
2021-01-14,0.0313,0.0353,0.0212,0.0225,602227446.01,ETHDOWNUSDT
2021-01-15,0.0223,0.033960000000000004,0.0206,0.02629,847891081.99,ETHDOWNUSDT
2021-01-16,0.02621,0.0277,0.0187,0.02162,457360634.94,ETHDOWNUSDT
2021-01-17,0.02162,0.0245,0.02009,0.02152,369728757.81,ETHDOWNUSDT
2021-01-18,0.02149,0.02339,0.02017,0.02039,317565857.32,ETHDOWNUSDT
2021-01-19,0.0203,0.020630000000000003,0.014819999999999996,0.01662,1070736514.82,ETHDOWNUSDT
2021-01-20,0.016630000000000002,0.02022,0.01551,0.01583,872329744.22,ETHDOWNUSDT
2021-01-21,0.015819999999999997,0.0265,0.0155,0.02526,726670163.28,ETHDOWNUSDT
2021-01-22,0.02539,0.02818,0.01903,0.02056,640810273.79,ETHDOWNUSDT
2021-01-23,0.02059,0.02195,0.0191,0.02055,356433332.44,ETHDOWNUSDT
2021-01-24,0.02055,0.0211,0.0156,0.01574,611934724.03,ETHDOWNUSDT
2021-01-25,0.01574,0.01805,0.0138,0.01725,1107249372.07,ETHDOWNUSDT
2021-01-26,0.0173,0.02053,0.01522,0.01553,1565308099.31,ETHDOWNUSDT
