date,open,high,low,close,volume,name
2021-01-01,24.3356,25.0,21.8948,22.2169,1975066.69,FILUSDT
2021-01-02,22.2144,23.2285,21.3368,21.7766,1085360.74,FILUSDT
2021-01-03,21.7669,21.9999,20.9397,21.4253,1149838.47,FILUSDT
2021-01-04,21.4398,22.98,20.9816,21.4059,1303846.94,FILUSDT
2021-01-05,21.4015,22.4576,21.0014,21.6019,1083908.33,FILUSDT
2021-01-06,21.6039,22.5778,21.5218,21.9407,953691.78,FILUSDT
2021-01-07,21.9407,22.967,21.7943,22.0598,1291722.6,FILUSDT
2021-01-08,22.0566,22.2902,20.8888,21.5989,737513.43,FILUSDT
2021-01-09,21.6045,22.6,21.34,22.0071,611335.11,FILUSDT
2021-01-10,22.005,24.3442,22.005,23.4251,2178920.9,FILUSDT
2021-01-11,23.4136,23.5433,20.9158,21.6398,1484914.44,FILUSDT
2021-01-12,21.6451,21.929,20.941,21.0413,813438.12,FILUSDT
2021-01-13,21.0435,21.9099,20.9602,21.7131,563074.33,FILUSDT
2021-01-14,21.7131,22.3102,21.3824,21.5738,773935.26,FILUSDT
2021-01-15,21.5778,22.2463,21.3222,21.5435,821873.19,FILUSDT
2021-01-16,21.5391,25.0384,21.5163,22.8433,2154282.19,FILUSDT
2021-01-17,22.8426,26.1297,22.4001,24.3442,3324552.24,FILUSDT
2021-01-18,24.3355,24.9271,23.51,23.7605,1575697.57,FILUSDT
2021-01-19,23.7654,24.2885,22.6451,22.6578,1392163.3,FILUSDT
2021-01-20,22.6481,23.1255,21.7,22.339,1313276.86,FILUSDT
2021-01-21,22.3399,22.7194,20.9083,21.3251,1090302.7,FILUSDT
2021-01-22,21.3251,23.3054,20.7176,22.2845,2190609.41,FILUSDT
2021-01-23,22.2926,23.5735,22.13,22.6979,1758652.81,FILUSDT
2021-01-24,22.7051,23.1669,22.4088,22.7027,996202.15,FILUSDT
2021-01-25,22.7029,23.0362,22.359,22.4279,929176.03,FILUSDT
2021-01-26,22.4278,22.75,21.8,22.1876,856507.16,FILUSDT
2021-01-27,22.2,22.2239,21.193,21.42,1006804.38,FILUSDT
2021-01-28,21.4197,22.0869,21.3011,21.8988,663617.54,FILUSDT
2021-01-29,21.8921,22.8761,21.8526,22.3086,1136239.9,FILUSDT
2021-01-30,22.308000000000003,22.5888,21.9787,22.0354,668206.1,FILUSDT
2021-01-31,22.0393,22.6,22.0214,22.2488,703793.37,FILUSDT
2021-02-01,22.249,24.0393,22.01,22.621,2060433.07,FILUSDT
2021-02-02,22.6209,22.9237,22.3019,22.4829,656229.33,FILUSDT
2021-02-03,22.482,23.45,22.401,23.0537,790555.1,FILUSDT
2021-02-04,23.0507,23.2674,22.62,22.8902,899891.48,FILUSDT
2021-02-05,22.886,25.6116,22.7803,24.4825,2207299.27,FILUSDT
2021-02-06,24.4825,25.2454,23.7565,24.2434,1646885.21,FILUSDT
2021-02-07,24.2509,24.6031,23.6797,24.0475,1160116.26,FILUSDT
2021-02-08,24.0399,28.8749,23.81900000000001,27.6608,3399727.31,FILUSDT
2021-02-09,27.6793,51.9635,27.088,44.1298,10360782.65,FILUSDT
2021-02-10,44.1,45.7821,35.0,39.761,7444640.48,FILUSDT
2021-02-11,39.7404,42.9083,36.8,40.3198,3092652.68,FILUSDT
2021-02-12,40.3378,44.8,39.1735,42.65,3632985.0,FILUSDT
2021-02-13,42.65,44.6632,39.6,41.534,3009342.87,FILUSDT
2021-02-14,41.551,53.0,41.1328,47.125,5457198.51,FILUSDT
2021-02-15,47.1332,50.6677,36.05,42.9236,6177838.0,FILUSDT
2021-02-16,42.956,45.89,40.011,41.874,2575753.51,FILUSDT
2021-02-17,41.859,44.7751,40.2717,43.205,2163900.06,FILUSDT
2021-02-18,43.1919,44.4121,42.3631,43.4281,1635575.95,FILUSDT
2021-02-19,43.428,43.723,40.9946,43.1378,1994041.8,FILUSDT
2021-02-20,43.1405,49.5,42.0547,43.0007,4204436.62,FILUSDT
2021-02-21,43.0517,45.9733,42.4908,44.6468,2063847.42,FILUSDT
2021-02-22,44.6216,44.835,32.3214,39.3921,4028531.96,FILUSDT
2021-02-23,39.4234,39.5259,31.4204,35.4658,3639030.24,FILUSDT
2021-02-24,35.466,38.3994,34.3003,36.5817,2054149.6,FILUSDT
2021-02-25,36.5618,37.5469,34.7508,34.9813,1422586.08,FILUSDT
2021-02-26,34.9813,36.5498,33.2406,35.1275,1470450.57,FILUSDT
2021-02-27,35.1368,38.811,35.0688,37.8763,1529635.51,FILUSDT
2021-02-28,37.8771,38.398,34.7763,35.9652,1299134.45,FILUSDT
2021-03-01,35.9677,39.41,35.5,38.5649,1418850.74,FILUSDT
2021-03-02,38.5649,39.0269,37.206,38.2082,1157265.03,FILUSDT
2021-03-03,38.2125,45.0,38.0001,42.0681,2567011.86,FILUSDT
2021-03-04,42.0808,43.2558,39.8097,40.7542,2018704.78,FILUSDT
2021-03-05,40.7615,40.7844,38.3305,40.4667,1254014.04,FILUSDT
2021-03-06,40.4684,40.8489,38.9619,40.3937,806648.02,FILUSDT
2021-03-07,40.4043,41.7749,40.274,41.3943,715697.16,FILUSDT
2021-03-08,41.4099,42.0,40.4285,41.535,829887.71,FILUSDT
2021-03-09,41.5263,42.5869,41.1699,41.9292,1065530.76,FILUSDT
2021-03-10,41.9293,44.2103,41.0,42.4547,1255246.33,FILUSDT
2021-03-11,42.4832,43.13,41.6674,42.2225,1146593.02,FILUSDT
2021-03-12,42.2339,45.1,41.8999,44.0483,1694265.18,FILUSDT
2021-03-13,44.059,52.0804,43.5,49.4071,2875290.29,FILUSDT
2021-03-14,49.3945,57.3707,49.3536,53.8001,3414066.85,FILUSDT
2021-03-15,53.7835,56.3809,52.0101,53.3584,2461948.21,FILUSDT
2021-03-16,53.3074,63.9898,50.7144,63.6062,2708655.02,FILUSDT
2021-03-17,63.5232,96.6659,62.53,88.4498,8732867.61,FILUSDT
2021-03-18,88.4544,89.7334,73.7931,79.4902,6988950.66,FILUSDT
2021-03-19,79.4902,86.0,75.554,82.9575,3162744.3,FILUSDT
2021-03-20,83.04299999999998,86.0168,81.38,82.0287,1629861.53,FILUSDT
2021-03-21,82.0892,83.3661,80.1841,80.65100000000002,1264062.63,FILUSDT
2021-03-22,80.652,81.5,75.25,76.3281,1782548.13,FILUSDT
2021-03-23,76.3281,85.5,73.3627,82.512,2542396.23,FILUSDT
2021-03-24,82.5589,94.9069,79.7003,85.8829,3332468.5,FILUSDT
2021-03-25,85.9117,96.1913,84.9065,91.0363,3555241.5,FILUSDT
2021-03-26,91.0313,128.7747,90.8959,124.514,5241509.24,FILUSDT
2021-03-27,124.7046,139.6672,119.7344,132.4472,5788393.98,FILUSDT
2021-03-28,132.3979,133.77200000000002,120.7961,125.2637,3153158.08,FILUSDT
2021-03-29,125.2633,130.459,123.7402,127.3,2056652.63,FILUSDT
2021-03-30,127.3391,153.4,124.16,149.6027,3694414.48,FILUSDT
2021-03-31,149.5697,197.5495,145.5068,190.8556,6898124.16,FILUSDT
2021-04-01,190.7998,238.2033,180.0,185.6217,9489084.8,FILUSDT
2021-04-02,185.5682,205.535,160.637,171.9372,5871429.95,FILUSDT
2021-04-03,171.9372,181.3,162.4098,178.1755,3233013.68,FILUSDT
2021-04-04,178.1755,193.8753,175.2589,182.7438,2827398.95,FILUSDT
2021-04-05,182.8548,187.0685,171.0001,176.4686,1733545.24,FILUSDT
2021-04-06,176.4975,178.9999,164.808,165.5486,1403949.62,FILUSDT
2021-04-07,165.59,166.4399,135.5526,156.2777,4009234.83,FILUSDT
2021-04-08,156.2742,158.84,146.352,154.0,1572359.8,FILUSDT
2021-04-09,154.1304,175.95,152.873,172.1311,2372313.81,FILUSDT
2021-04-10,172.1311,189.0,170.6444,174.56099999999995,2378730.3,FILUSDT
2021-04-11,174.5585,184.4,172.8903,179.0979,1047898.06,FILUSDT
2021-04-12,179.0789,181.5511,159.5075,167.8606,2102821.73,FILUSDT
2021-04-13,167.8446,169.4261,157.7447,164.15599999999995,1309867.31,FILUSDT
2021-04-14,164.1606,179.3,161.0,168.3169,2093355.51,FILUSDT
2021-04-15,168.3156,175.4428,168.0,170.8753,1352342.93,FILUSDT
2021-04-16,170.8753,195.6962,170.8,182.6147,4348644.93,FILUSDT
2021-04-17,182.664,193.0,175.4762,180.9288,1850728.18,FILUSDT
2021-04-18,180.9288,183.1181,130.0,156.3278,3139396.3,FILUSDT
2021-04-19,156.2945,164.8186,149.6366,154.8014,1426196.0,FILUSDT
2021-04-20,154.798,157.7945,145.5077,153.9017,1170217.1,FILUSDT
2021-04-21,153.9301,159.0211,147.1111,147.7287,1129839.25,FILUSDT
2021-04-22,147.7212,157.8923,144.4737,145.914,1524418.19,FILUSDT
2021-04-23,145.9334,147.963,130.0,138.5799,2026141.93,FILUSDT
2021-04-24,138.5559,139.38,131.1256,133.5535,1095487.16,FILUSDT
2021-04-25,133.5811,136.88,131.66,134.04,551274.8269,FILUSDT
2021-04-26,134.04,154.8,133.47,154.2,1313641.2279,FILUSDT
2021-04-27,154.24,155.24,148.01,152.46,967946.1082,FILUSDT
2021-04-28,152.46,156.0,146.37,150.93,892345.9807,FILUSDT
2021-04-29,150.94,152.17,147.5,149.76,783542.3576,FILUSDT
2021-04-30,149.75,165.0,149.67,163.92,1546255.823,FILUSDT
2021-05-01,163.82,168.0,161.06,164.24,809703.2588,FILUSDT
2021-05-02,164.21,166.75,156.29,162.46,757213.3806,FILUSDT
2021-05-03,162.46,163.96,158.5,160.24,790718.2354,FILUSDT
2021-05-04,160.24,160.49,135.1,140.8,1503435.5463,FILUSDT
2021-05-05,140.82,154.86,139.56,152.53,1091315.1271,FILUSDT
2021-05-06,152.46,165.63,149.69,153.59,1873546.7512,FILUSDT
2021-05-07,153.63,155.23,146.82,150.33,933789.1635,FILUSDT
2021-05-08,150.39,154.25,143.49,148.1,767341.4548,FILUSDT
2021-05-09,148.1,149.55,140.73,146.5,880624.6058,FILUSDT
2021-05-10,146.51,149.33,129.14,135.71,1155938.1738,FILUSDT
2021-05-11,135.71,143.44,133.79,142.95,1014580.4486,FILUSDT
2021-05-12,142.9,145.59,123.77,127.04,1373711.7437,FILUSDT
2021-05-13,127.09,127.79,87.26,117.82,4298932.3103,FILUSDT
2021-05-14,117.82,124.84,113.82,120.65,1843265.5462,FILUSDT
2021-05-15,120.64,122.85,109.96,110.48,1520986.5139,FILUSDT
2021-05-16,110.46,116.19,100.15,107.81,1753425.6965,FILUSDT
2021-05-17,107.79,107.88,93.35,99.46,2141124.6066,FILUSDT
2021-05-18,99.43,106.02,96.82,100.11,1877765.0226,FILUSDT
2021-05-19,100.13,101.73,55.0,65.28,5711508.3532,FILUSDT
2021-05-20,65.29,95.26,61.13,88.66,5722650.4379,FILUSDT
2021-05-21,88.62,94.99,67.76,76.84,4394753.383,FILUSDT
2021-05-22,76.9,77.43,66.48,72.21,3395285.8229,FILUSDT
2021-05-23,72.23,74.73,55.2,64.88,4404400.1297,FILUSDT
2021-05-24,64.87,78.0,62.24,74.75,4372237.2018,FILUSDT
2021-05-25,74.74,79.76,65.73,72.24,3399202.8305,FILUSDT
2021-05-26,72.28,74.99,70.03,74.5,2469525.8135,FILUSDT
2021-05-27,74.51,74.56,68.86,71.43,1919835.4393,FILUSDT
2021-05-28,71.44,71.8,64.98,66.75,2444585.5519,FILUSDT
2021-05-29,66.74,69.87,64.5,68.24,1921950.2407,FILUSDT
2021-05-30,68.25,69.44,65.25,68.34,1796269.4258,FILUSDT
2021-05-31,68.34,72.92,66.28,72.52,2040700.7409,FILUSDT
2021-06-01,72.52,73.17,68.02,69.18,1611400.0277,FILUSDT
