date,open,high,low,close,volume,name
2021-01-01,0.0609,0.0648,0.0605,0.0619,3768475.84,FIOUSDT
2021-01-02,0.0619,0.0646,0.0605,0.0621,2684562.64,FIOUSDT
2021-01-03,0.062,0.0639,0.0601,0.0626,2993030.75,FIOUSDT
2021-01-04,0.0626,0.0953,0.0578,0.06,49212289.79,FIOUSDT
2021-01-05,0.0603,0.0701,0.057999999999999996,0.0633,15760065.55,FIOUSDT
2021-01-06,0.0634,0.07,0.0624,0.0662,8532935.81,FIOUSDT
2021-01-07,0.0664,0.0695,0.063,0.0663,10487456.71,FIOUSDT
2021-01-08,0.0662,0.0666,0.062,0.0659,5960605.83,FIOUSDT
2021-01-09,0.0659,0.077,0.0655,0.0727,12927825.58,FIOUSDT
2021-01-10,0.0725,0.0769,0.0673,0.0704,12335678.62,FIOUSDT
2021-01-11,0.0704,0.0704,0.0606,0.0649,7925100.26,FIOUSDT
2021-01-12,0.0649,0.0667,0.0626,0.0645,3183220.0,FIOUSDT
2021-01-13,0.0644,0.0671,0.0629,0.0669,4983559.8,FIOUSDT
2021-01-14,0.0668,0.0706,0.0661,0.0679,4588623.21,FIOUSDT
2021-01-15,0.068,0.0698,0.063,0.0663,4791240.3,FIOUSDT
2021-01-16,0.0664,0.0752,0.0663,0.0722,10133701.85,FIOUSDT
2021-01-17,0.0722,0.0794,0.0691,0.0765,9268831.97,FIOUSDT
2021-01-18,0.0761,0.0789,0.0744,0.0781,7276412.04,FIOUSDT
2021-01-19,0.0781,0.0833,0.0771,0.0776,7835226.49,FIOUSDT
2021-01-20,0.0772,0.078,0.0687,0.0745,8126750.06,FIOUSDT
2021-01-21,0.0745,0.0781,0.071,0.0714,8704959.22,FIOUSDT
2021-01-22,0.0714,0.0778,0.068,0.0735,6932903.53,FIOUSDT
2021-01-23,0.0734,0.0761,0.0721,0.0738,5529009.24,FIOUSDT
2021-01-24,0.0738,0.0813,0.0737,0.0771,7713720.74,FIOUSDT
2021-01-25,0.077,0.079,0.0732,0.0737,4709366.87,FIOUSDT
2021-01-26,0.0734,0.0748,0.07,0.0735,4365602.2,FIOUSDT
2021-01-27,0.0735,0.0735,0.0662,0.0681,4753407.72,FIOUSDT
2021-01-28,0.0681,0.07200000000000001,0.0671,0.071,5545150.1,FIOUSDT
2021-01-29,0.0714,0.105,0.0709,0.1045,27319544.29,FIOUSDT
2021-01-30,0.1047,0.14,0.0728,0.0755,67584267.81,FIOUSDT
2021-01-31,0.0758,0.0765,0.0715,0.0744,9251025.4,FIOUSDT
2021-02-01,0.0745,0.0779,0.07200000000000001,0.075,7945766.61,FIOUSDT
2021-02-02,0.0746,0.0931,0.0741,0.08199999999999999,20243115.94,FIOUSDT
2021-02-03,0.0821,0.094,0.0792,0.0841,20445809.88,FIOUSDT
2021-02-04,0.0841,0.13,0.0823,0.091,41931123.22,FIOUSDT
2021-02-05,0.091,0.1013,0.0879,0.0986,14631250.63,FIOUSDT
2021-02-06,0.0986,0.099,0.091,0.0947,9579398.98,FIOUSDT
2021-02-07,0.0944,0.0974,0.087,0.0919,9327691.95,FIOUSDT
2021-02-08,0.0919,0.1726,0.0896,0.1443,116915045.94,FIOUSDT
2021-02-09,0.1443,0.155,0.127,0.1395,30597565.4,FIOUSDT
2021-02-10,0.1399,0.1431,0.1176,0.1296,18676641.52,FIOUSDT
2021-02-11,0.1295,0.15,0.126,0.1431,17605213.06,FIOUSDT
2021-02-12,0.1434,0.155,0.1345,0.1489,17185843.55,FIOUSDT
2021-02-13,0.1491,0.1639,0.1412,0.1563,16797514.81,FIOUSDT
2021-02-14,0.1563,0.16399999999999998,0.138,0.1445,14140306.01,FIOUSDT
2021-02-15,0.1445,0.1464,0.1247,0.1353,12795304.81,FIOUSDT
2021-02-16,0.135,0.1499,0.1328,0.1379,14503340.43,FIOUSDT
2021-02-17,0.138,0.155,0.135,0.1517,8843624.87,FIOUSDT
2021-02-18,0.1515,0.1648,0.1478,0.1555,14115983.91,FIOUSDT
2021-02-19,0.156,0.1803,0.152,0.1751,18780008.79,FIOUSDT
2021-02-20,0.175,0.1763,0.15,0.1535,11215551.69,FIOUSDT
2021-02-21,0.1537,0.165,0.151,0.1553,7291732.03,FIOUSDT
2021-02-22,0.1551,0.1554,0.125,0.1396,12596848.69,FIOUSDT
2021-02-23,0.1396,0.1406,0.1012,0.1181,12984325.63,FIOUSDT
2021-02-24,0.11800000000000001,0.1454,0.1142,0.1326,10412680.35,FIOUSDT
2021-02-25,0.1321,0.1468,0.122,0.1225,6396099.81,FIOUSDT
2021-02-26,0.1225,0.2458,0.11199999999999999,0.1928,194875874.01,FIOUSDT
2021-02-27,0.1938,0.3642,0.162,0.2459,524006509.73,FIOUSDT
2021-02-28,0.2459,0.33,0.2109,0.2331,264779369.76,FIOUSDT
2021-03-01,0.2331,0.2546,0.209,0.228,72494360.84,FIOUSDT
2021-03-02,0.228,0.23,0.1996,0.2075,23070907.91,FIOUSDT
2021-03-03,0.2076,0.2173,0.2,0.2012,24223373.53,FIOUSDT
2021-03-04,0.2014,0.242,0.19,0.2086,44412251.25,FIOUSDT
2021-03-05,0.2082,0.2087,0.1848,0.1948,19746321.14,FIOUSDT
2021-03-06,0.1948,0.1988,0.18100000000000002,0.1887,11908324.27,FIOUSDT
2021-03-07,0.1885,0.195,0.1853,0.1919,9400898.06,FIOUSDT
2021-03-08,0.1919,0.2051,0.1895,0.2022,21238633.21,FIOUSDT
2021-03-09,0.2022,0.2379,0.1991,0.2258,34521412.96,FIOUSDT
2021-03-10,0.2258,0.2374,0.2055,0.2107,22733006.9,FIOUSDT
2021-03-11,0.2101,0.221,0.2,0.2117,16629640.66,FIOUSDT
2021-03-12,0.2117,0.22699999999999998,0.1966,0.2077,18669038.34,FIOUSDT
2021-03-13,0.2084,0.44299999999999995,0.1949,0.3408,204793781.77,FIOUSDT
2021-03-14,0.3406,0.382,0.2947,0.3017,131084222.61,FIOUSDT
2021-03-15,0.3018,0.3054,0.2548,0.2811,43431252.73,FIOUSDT
2021-03-16,0.2812,0.2832,0.2554,0.2821,19045835.84,FIOUSDT
2021-03-17,0.282,0.3383,0.2616,0.3126,63156956.14,FIOUSDT
2021-03-18,0.3128,0.3859,0.2992,0.3041,79730334.98,FIOUSDT
2021-03-19,0.3041,0.332,0.2944,0.2979,23318272.35,FIOUSDT
2021-03-20,0.2979,0.3194,0.297,0.3163,14520826.38,FIOUSDT
2021-03-21,0.3165,0.3172,0.2749,0.2965,14451093.2,FIOUSDT
2021-03-22,0.2965,0.3177,0.2752,0.2827,18043062.84,FIOUSDT
2021-03-23,0.2822,0.2946,0.2626,0.2769,10870863.97,FIOUSDT
2021-03-24,0.2761,0.3325,0.2706,0.2867,27395943.55,FIOUSDT
2021-03-25,0.2868,0.2976,0.2631,0.2725,12934737.28,FIOUSDT
2021-03-26,0.2722,0.3137,0.2721,0.3041,13565636.49,FIOUSDT
2021-03-27,0.3041,0.35,0.2896,0.3369,23090324.45,FIOUSDT
2021-03-28,0.3369,0.3798,0.315,0.3401,31413934.2,FIOUSDT
2021-03-29,0.3408,0.3497,0.3172,0.3315,16652079.33,FIOUSDT
2021-03-30,0.3325,0.375,0.3291,0.3432,20348267.21,FIOUSDT
2021-03-31,0.3435,0.3474,0.3,0.3218,15356343.3,FIOUSDT
2021-04-01,0.3219,0.3354,0.3088,0.3101,11534453.86,FIOUSDT
2021-04-02,0.3101,0.32799999999999996,0.305,0.3167,11924265.07,FIOUSDT
2021-04-03,0.3163,0.3769,0.3083,0.3513,40570140.22,FIOUSDT
2021-04-04,0.3515,0.49,0.3394,0.4008,160352510.12,FIOUSDT
2021-04-05,0.4011,0.54,0.3774,0.4503,83498749.38,FIOUSDT
2021-04-06,0.4503,0.57,0.44299999999999995,0.4697,64823690.08,FIOUSDT
2021-04-07,0.4697,0.4788,0.3574,0.3963,40449878.18,FIOUSDT
2021-04-08,0.395,0.44,0.3837,0.4001,22011710.54,FIOUSDT
2021-04-09,0.4005,0.4401,0.3909,0.4028,22593997.68,FIOUSDT
2021-04-10,0.40299999999999997,0.4839,0.4025,0.4344,38003845.53,FIOUSDT
2021-04-11,0.4354,0.4388,0.3926,0.4116,22448223.84,FIOUSDT
2021-04-12,0.4116,0.4299,0.386,0.3911,16101062.67,FIOUSDT
2021-04-13,0.3917,0.4061,0.3742,0.38299999999999995,14787147.6,FIOUSDT
2021-04-14,0.38299999999999995,0.4354,0.3645,0.4158,35019568.93,FIOUSDT
2021-04-15,0.4158,0.4342,0.3951,0.3961,21390263.75,FIOUSDT
2021-04-16,0.3961,0.4273,0.3721,0.4074,23567453.41,FIOUSDT
2021-04-17,0.4071,0.43,0.3886,0.3964,22138775.04,FIOUSDT
2021-04-18,0.3959,0.3982,0.2988,0.3464,22857834.84,FIOUSDT
2021-04-19,0.3461,0.3682,0.2895,0.3004,20455525.43,FIOUSDT
2021-04-20,0.3001,0.3164,0.2656,0.3026,17594858.19,FIOUSDT
2021-04-21,0.3031,0.3159,0.2761,0.2784,13176408.46,FIOUSDT
2021-04-22,0.2782,0.3048,0.25,0.2596,20066892.61,FIOUSDT
2021-04-23,0.2597,0.2626,0.1982,0.2367,18318920.61,FIOUSDT
2021-04-24,0.2367,0.2788,0.2087,0.2551,27767204.5,FIOUSDT
2021-04-25,0.2549,0.3978,0.2406,0.3076,210645462.44,FIOUSDT
2021-04-26,0.3067,0.348,0.3036,0.3231,66757116.7,FIOUSDT
2021-04-27,0.3231,0.354,0.3075,0.3287,37322807.59,FIOUSDT
2021-04-28,0.3288,0.3359,0.2943,0.3221,25259024.42,FIOUSDT
2021-04-29,0.3221,0.377,0.2955,0.3309,42393800.37,FIOUSDT
2021-04-30,0.3309,0.41,0.3207,0.3616,59822520.57,FIOUSDT
2021-05-01,0.3617,0.37,0.3414,0.3522,18976413.2,FIOUSDT
2021-05-02,0.3518,0.3719,0.3269,0.3555,25098288.79,FIOUSDT
2021-05-03,0.3555,0.4099,0.3551,0.3597,22262790.35,FIOUSDT
2021-05-04,0.3597,0.363,0.3183,0.3204,16143374.57,FIOUSDT
2021-05-05,0.32,0.364,0.3143,0.35600000000000004,18268300.11,FIOUSDT
