date,open,high,low,close,volume,name
2021-01-29,4.4460000000000015,6.38,4.052,4.317,948647.076,FIROUSDT
2021-01-30,4.317,4.54,4.1,4.126,278483.836,FIROUSDT
2021-01-31,4.126,4.199,3.86,3.957,185776.03,FIROUSDT
2021-02-01,3.957,4.074,3.645,3.726,233017.402,FIROUSDT
2021-02-02,3.726,4.2,3.688,4.15,205086.308,FIROUSDT
2021-02-03,4.143,4.23,3.981,4.1610000000000005,177168.174,FIROUSDT
2021-02-04,4.15,4.47,3.864,3.962,270367.405,FIROUSDT
2021-02-05,3.962,4.9,3.902,4.702,594421.1529999999,FIROUSDT
2021-02-06,4.702,5.4,4.343,4.85,578932.753,FIROUSDT
2021-02-07,4.85,5.207999999999998,4.4,4.572,351719.304,FIROUSDT
2021-02-08,4.588,5.011,4.5539999999999985,4.995,273579.99600000004,FIROUSDT
2021-02-09,4.97,5.6560000000000015,4.601,5.2,542602.191,FIROUSDT
2021-02-10,5.209,5.399,4.8,5.057,433339.322,FIROUSDT
2021-02-11,5.057,6.25,5.007,5.9620000000000015,625502.659,FIROUSDT
2021-02-12,5.962999999999999,6.2860000000000005,5.626,6.055,269175.98600000003,FIROUSDT
2021-02-13,6.017,8.3,5.938,7.451,959388.523,FIROUSDT
2021-02-14,7.497000000000001,7.582999999999997,6.164,6.421,451260.292,FIROUSDT
2021-02-15,6.421,6.7360000000000015,5.381,6.1,347736.17,FIROUSDT
2021-02-16,6.142,6.34,5.7189999999999985,5.9529999999999985,379782.52,FIROUSDT
2021-02-17,5.95,7.006,5.59,6.734,366257.073,FIROUSDT
2021-02-18,6.706,7.274,6.4670000000000005,6.711,286985.727,FIROUSDT
2021-02-19,6.687,7.35,6.2929999999999975,6.8020000000000005,301679.485,FIROUSDT
2021-02-20,6.8020000000000005,7.069,6.027,6.181,355911.86,FIROUSDT
2021-02-21,6.18,7.1,6.1,6.89,337034.12100000004,FIROUSDT
2021-02-22,6.9129999999999985,6.9129999999999985,5.66,6.152,385466.038,FIROUSDT
2021-02-23,6.169,6.17,4.6,5.001,346669.1,FIROUSDT
2021-02-24,5.005,5.65,4.833,5.384,255714.878,FIROUSDT
2021-02-25,5.384,5.94,4.922,4.968,276842.472,FIROUSDT
2021-02-26,4.968,5.1160000000000005,4.633,4.87,159091.687,FIROUSDT
2021-02-27,4.87,6.0,4.843,5.6110000000000015,297289.257,FIROUSDT
2021-02-28,5.579,5.7,4.893,5.187,225842.135,FIROUSDT
2021-03-01,5.19,5.551,5.136,5.4979999999999976,126272.061,FIROUSDT
2021-03-02,5.477,5.697,5.2,5.356,274966.124,FIROUSDT
2021-03-03,5.356,7.49,5.299,6.193,1838629.233,FIROUSDT
2021-03-04,6.191,6.377999999999999,5.65,6.049,543377.163,FIROUSDT
2021-03-05,6.04,6.808,5.75,6.622000000000001,502292.568,FIROUSDT
2021-03-06,6.648,6.782,6.1670000000000025,6.223,258556.342,FIROUSDT
2021-03-07,6.249,6.487,6.152,6.402,249918.978,FIROUSDT
2021-03-08,6.4170000000000025,7.0,6.29,6.6960000000000015,408061.375,FIROUSDT
2021-03-09,6.6960000000000015,6.843,6.545,6.697,350456.667,FIROUSDT
2021-03-10,6.699,8.74,6.25,7.755,1907812.319,FIROUSDT
2021-03-11,7.755,9.0,7.608,7.707000000000002,1316033.826,FIROUSDT
2021-03-12,7.737999999999999,8.6,7.165,7.435,672107.632,FIROUSDT
