date,open,high,low,close,volume,Name
2018-06-13,1.9525,2.07,1.8497,1.89,1714457.0,ICX-USDT
2018-06-14,1.8987,2.2269,1.75,2.0372,6662514.86,ICX-USDT
2018-06-15,2.043,2.3986,2.0381,2.1934,5668233.58,ICX-USDT
2018-06-16,2.1933,2.235,1.8555,1.954,5693231.54,ICX-USDT
2018-06-17,1.9511,2.1021,1.925,2.0411,4048532.61,ICX-USDT
2018-06-18,2.0401,2.09,1.9324,1.9838,4327018.11,ICX-USDT
2018-06-19,1.9838,2.2091,1.9717,2.1125,5160469.12,ICX-USDT
2018-06-20,2.1125,2.1241,2.0087,2.0951,3778942.82,ICX-USDT
2018-06-21,2.0936,2.1399,1.98,2.0013,3452648.45,ICX-USDT
2018-06-22,2.0016,2.0349,1.75,1.8215,4897857.25,ICX-USDT
2018-06-23,1.8112,1.858,1.66,1.7096,3873442.81,ICX-USDT
2018-06-24,1.71,1.7839,1.44,1.4526,4576519.59,ICX-USDT
2018-06-25,1.4484,1.7,1.4426,1.6485,6359392.61,ICX-USDT
2018-06-26,1.651,1.6926,1.5126,1.5589,2702421.84,ICX-USDT
2018-06-27,1.5589,1.601,1.4256,1.4884,3843684.78,ICX-USDT
2018-06-28,1.4804,1.61,1.4681,1.5096,3975580.19,ICX-USDT
2018-06-29,1.5096,1.534,1.36,1.4174,4287830.38,ICX-USDT
2018-06-30,1.4151,1.6601,1.371,1.553,5286229.28,ICX-USDT
2018-07-01,1.5517,1.72,1.5123,1.5947,4070923.77,ICX-USDT
2018-07-02,1.5947,1.82,1.5701,1.774,5323594.66,ICX-USDT
2018-07-03,1.7731,1.82,1.6755,1.7096,5696999.96,ICX-USDT
2018-07-04,1.71,1.8324,1.6189,1.7903,3791231.06,ICX-USDT
2018-07-05,1.7903,1.8105,1.67,1.7021,4469736.89,ICX-USDT
2018-07-06,1.7021,1.7195,1.5501,1.6801,4171992.14,ICX-USDT
2018-07-07,1.6801,1.714,1.6102,1.6151,3112253.0,ICX-USDT
2018-07-08,1.6151,1.7524,1.6,1.7509,3876105.89,ICX-USDT
2018-07-09,1.7522,1.8,1.6527,1.6833,4155781.19,ICX-USDT
2018-07-10,1.6833,1.6989,1.4252,1.4801,5403373.92,ICX-USDT
2018-07-11,1.4828,1.5202,1.3747,1.4462,4563470.37,ICX-USDT
2018-07-12,1.4462,1.468,1.3177,1.3385,4261319.56,ICX-USDT
2018-07-13,1.3387,1.3749,1.2524,1.3728,5715892.99,ICX-USDT
2018-07-14,1.3728,1.3893,1.2706,1.2951,5142675.79,ICX-USDT
2018-07-15,1.2973,1.389,1.2955,1.3799,4843576.88,ICX-USDT
2018-07-16,1.3803,1.4904,1.357,1.4806,5407230.32,ICX-USDT
2018-07-17,1.4785,1.5089,1.4335,1.4799,5979302.97,ICX-USDT
2018-07-18,1.4799,1.7699,1.464,1.6468,7726928.01,ICX-USDT
2018-07-19,1.6469,1.693,1.5,1.5261,6933337.0,ICX-USDT
2018-07-20,1.5259,1.55,1.328,1.3729,6459807.87,ICX-USDT
2018-07-21,1.3747,1.4498,1.275,1.4088,6227506.06,ICX-USDT
2018-07-22,1.4089,1.43,1.36,1.408,5928624.13,ICX-USDT
2018-07-23,1.4058,1.446,1.3225,1.328,5092057.43,ICX-USDT
2018-07-24,1.328,1.361,1.233,1.3177,6976665.68,ICX-USDT
2018-07-25,1.3224,1.382,1.2802,1.2935,6959312.75,ICX-USDT
2018-07-26,1.3,1.4172,1.2901,1.3399,6806923.21,ICX-USDT
2018-07-27,1.3399,1.3567,1.25,1.2877,7611565.05,ICX-USDT
2018-07-28,1.29,1.32,1.28,1.2862,5477913.65,ICX-USDT
2018-07-29,1.2888,1.33,1.2605,1.2936,6080621.32,ICX-USDT
2018-07-30,1.2968,1.2985,1.2249,1.2293,5619489.53,ICX-USDT
2018-07-31,1.2277,1.2311,1.0718,1.0919,7680487.39,ICX-USDT
2018-08-01,1.0919,1.1112,1.0001,1.0671,7306236.92,ICX-USDT
2018-08-02,1.0671,1.07,0.9339,0.9499,6853358.2,ICX-USDT
2018-08-03,0.9499,0.9716,0.8453,0.9299,8538330.25,ICX-USDT
2018-08-04,0.93,0.9603,0.8314,0.839,7075172.53,ICX-USDT
2018-08-05,0.8393,0.8916,0.825,0.88,6721824.04,ICX-USDT
2018-08-06,0.8801,0.9315,0.8512,0.873,6708804.19,ICX-USDT
2018-08-07,0.872,0.9999,0.81,0.9166,10758925.89,ICX-USDT
2018-08-08,0.9169,0.9568,0.748,0.7585,11408743.56,ICX-USDT
2018-08-09,0.7585,0.7901,0.701,0.7725,9489332.23,ICX-USDT
2018-08-10,0.773,0.82,0.74,0.7692,7345355.68,ICX-USDT
2018-08-11,0.7709,0.772,0.623,0.6331,8866705.14,ICX-USDT
2018-08-12,0.6328,0.7001,0.6227,0.6745,7247061.23,ICX-USDT
2018-08-13,0.6747,0.698,0.5993,0.608,7979442.99,ICX-USDT
2018-08-14,0.608,0.616,0.4543,0.4836,15306132.47,ICX-USDT
2018-08-15,0.4797,0.5841,0.4655,0.547,13145655.86,ICX-USDT
2018-08-16,0.5467,0.578,0.4934,0.5449,12430540.77,ICX-USDT
2018-08-17,0.5469,0.6856,0.5249,0.6648,16295933.05,ICX-USDT
2018-08-18,0.6662,0.7678,0.5864,0.606,18570325.4,ICX-USDT
2018-08-19,0.606,0.6926,0.582,0.6642,10071728.14,ICX-USDT
2018-08-20,0.6646,0.7009,0.6301,0.6491,10877398.62,ICX-USDT
2018-08-21,0.6484,0.6724,0.5931,0.6277,9769104.17,ICX-USDT
2018-08-22,0.6276,0.7053,0.5987,0.5995,12340947.65,ICX-USDT
2018-08-23,0.5992,0.6171,0.5511,0.6086,10723632.63,ICX-USDT
2018-08-24,0.6086,0.685,0.6052,0.6385,9524586.56,ICX-USDT
2018-08-25,0.6385,0.7598,0.6349,0.74,13148615.14,ICX-USDT
2018-08-26,0.7405,0.8831,0.6827,0.8189,15563113.58,ICX-USDT
2018-08-27,0.8171,0.9762,0.8138,0.8721,21928761.18,ICX-USDT
2018-08-28,0.8719,0.9743,0.864,0.92,12281368.77,ICX-USDT
2018-08-29,0.921,0.969,0.8183,0.8466,14587070.99,ICX-USDT
2018-08-30,0.8466,0.9068,0.797,0.8316,13974978.63,ICX-USDT
2018-08-31,0.8311,0.9244,0.7853,0.88,14489305.71,ICX-USDT
2018-09-01,0.8826,0.9904,0.8796,0.9717,13141455.52,ICX-USDT
