date,open,high,low,close,volume,name
2021-01-01,4.0554,4.2,3.9028,4.0817,645572.41,INJUSDT
2021-01-02,4.0997,4.1019,3.5289,3.6083,1191655.36,INJUSDT
2021-01-03,3.6006,4.5206,3.5289,4.4294,1864950.01,INJUSDT
2021-01-04,4.4294,4.75,3.8552,4.35,1430997.32,INJUSDT
2021-01-05,4.35,4.868,4.2867,4.57,1251209.96,INJUSDT
2021-01-06,4.5776,4.9139,4.3846,4.5886,1224548.03,INJUSDT
2021-01-07,4.5911,4.8227,4.0481,4.6597,1383734.46,INJUSDT
2021-01-08,4.6621,4.97,4.4215,4.6571,976763.42,INJUSDT
2021-01-09,4.6571,4.86,4.47,4.742,478211.17,INJUSDT
2021-01-10,4.7459,4.88,4.3027,4.4075,718039.78,INJUSDT
2021-01-11,4.4107,4.4303,3.75,4.419,1024082.41,INJUSDT
2021-01-12,4.4303,5.034,4.271,4.8839,1096350.05,INJUSDT
2021-01-13,4.8839,5.853,4.8498,5.4922,3233387.56,INJUSDT
2021-01-14,5.4922,6.95,5.4712,6.74,1923595.29,INJUSDT
2021-01-15,6.749,6.7505,5.2074,6.4147,1357848.22,INJUSDT
2021-01-16,6.4237,6.6267,6.0154,6.2097,825260.23,INJUSDT
2021-01-17,6.2015,6.4583,5.85,6.1786,604324.4,INJUSDT
2021-01-18,6.1789,7.52,6.1414,7.2256,1282159.79,INJUSDT
2021-01-19,7.2389,11.2,6.95,8.6483,5101759.41,INJUSDT
2021-01-20,8.65,9.3,7.7612,8.5127,1599171.6,INJUSDT
2021-01-21,8.4972,8.5147,7.01,7.0437,1291033.06,INJUSDT
2021-01-22,7.0112,9.45,6.63,8.8427,1788933.77,INJUSDT
2021-01-23,8.8419,9.3,8.3675,8.4209,833254.36,INJUSDT
2021-01-24,8.4391,9.2,8.0963,8.792,712997.02,INJUSDT
2021-01-25,8.793,9.3,8.0219,8.4235,872246.43,INJUSDT
2021-01-26,8.4472,8.9541,7.5,8.3283,1113981.04,INJUSDT
2021-01-27,8.3197,8.4334,7.1802,7.4606,987591.53,INJUSDT
2021-01-28,7.4606,8.759,7.2221,8.2984,1001033.17,INJUSDT
2021-01-29,8.3331,8.4125,7.5163,8.045,1064908.66,INJUSDT
2021-01-30,8.045,9.99,7.8307,9.4878,2337189.75,INJUSDT
2021-01-31,9.4632,9.73,8.0573,9.5066,1074816.2,INJUSDT
2021-02-01,9.5001,10.79,8.8,10.4067,1612127.37,INJUSDT
2021-02-02,10.4082,11.9988,9.8516,11.5025,1190497.81,INJUSDT
2021-02-03,11.5198,11.9499,10.9238,11.3393,876076.48,INJUSDT
2021-02-04,11.3363,13.5,11.1215,12.7387,1257427.53,INJUSDT
2021-02-05,12.7517,13.95,11.79,12.3725,1020153.59,INJUSDT
2021-02-06,12.38,12.4996,10.8763,11.2499,1267050.66,INJUSDT
2021-02-07,11.2498,11.92,9.96,11.4951,793723.45,INJUSDT
2021-02-08,11.5186,13.855,11.0449,13.7551,1200952.18,INJUSDT
2021-02-09,13.7553,16.82,13.2128,15.6989,2517423.72,INJUSDT
2021-02-10,15.6943,16.0416,13.4,14.3754,1297120.73,INJUSDT
2021-02-11,14.3585,15.72,13.8396,15.1081,849881.68,INJUSDT
2021-02-12,15.0876,16.3,15.0,15.309,748503.36,INJUSDT
2021-02-13,15.3457,17.35,14.72,15.6979,865744.67,INJUSDT
2021-02-14,15.6977,16.8105,14.8376,14.8971,788751.35,INJUSDT
