date,open,high,low,close,volume,name
2021-01-01,1.2922,1.355,1.2627,1.3034,1963135.05,KAVAUSDT
2021-01-02,1.3021,1.3369,1.2555,1.2917,2263672.64,KAVAUSDT
2021-01-03,1.2933,1.4139,1.239,1.3835,3929620.09,KAVAUSDT
2021-01-04,1.3835,1.597,1.255,1.516,6662465.88,KAVAUSDT
2021-01-05,1.5164,1.6561,1.3813,1.5684,7959172.75,KAVAUSDT
2021-01-06,1.5688,1.8896,1.52,1.8106,7888915.06,KAVAUSDT
2021-01-07,1.8118,1.9339,1.5564,1.6864,7077210.55,KAVAUSDT
2021-01-08,1.6881,1.7739,1.3335,1.6162,6634229.12,KAVAUSDT
2021-01-09,1.616,2.0,1.56,1.8591,7728105.43,KAVAUSDT
2021-01-10,1.8591,2.0442,1.6165,1.8239,6769908.85,KAVAUSDT
2021-01-11,1.8212,1.8517,1.3787,1.5328,7553614.4,KAVAUSDT
2021-01-12,1.5336,1.63,1.4325,1.4789,4283122.51,KAVAUSDT
2021-01-13,1.4786,1.6969999999999998,1.4224,1.6486,3845848.86,KAVAUSDT
2021-01-14,1.6506,1.7818,1.6017,1.7092,4200370.12,KAVAUSDT
2021-01-15,1.709,2.08,1.6792,2.0052,12056780.1,KAVAUSDT
2021-01-16,2.0047,2.4446,1.9937,2.1295,13518742.87,KAVAUSDT
2021-01-17,2.1263,2.2554,1.9149,2.188,7163596.72,KAVAUSDT
2021-01-18,2.1909,2.2918,2.0258,2.2148,5306809.89,KAVAUSDT
2021-01-19,2.2199,2.3884,2.0704,2.226,7426520.53,KAVAUSDT
2021-01-20,2.2294,2.519,2.116,2.2594,10236786.55,KAVAUSDT
2021-01-21,2.2551,2.2844,1.84,1.8766,5278118.92,KAVAUSDT
2021-01-22,1.8774,2.26,1.7114,2.1385,6474454.94,KAVAUSDT
2021-01-23,2.139,2.3401,2.0875,2.2405,6273737.85,KAVAUSDT
2021-01-24,2.2442,2.6389,2.214,2.5854,9043963.97,KAVAUSDT
2021-01-25,2.585,2.5937,2.3014,2.3729,5804182.61,KAVAUSDT
2021-01-26,2.3691,2.4530000000000003,2.1134,2.3285,5034242.68,KAVAUSDT
2021-01-27,2.3253,2.3342,2.001,2.1226,5575624.47,KAVAUSDT
2021-01-28,2.1256,2.3997,2.0565,2.2898,5866716.01,KAVAUSDT
2021-01-29,2.2902,2.376,2.1623,2.2487,5839186.12,KAVAUSDT
2021-01-30,2.2451,2.4383,2.2,2.3668,4573846.36,KAVAUSDT
2021-01-31,2.3668,2.407,2.06,2.2199,4191587.88,KAVAUSDT
2021-02-01,2.2184,2.4662,2.135,2.425,5684646.11,KAVAUSDT
2021-02-02,2.4243,2.5259,2.3137,2.3972,4474564.16,KAVAUSDT
2021-02-03,2.3999,2.657,2.3871,2.6509,5402428.8,KAVAUSDT
2021-02-04,2.6542,2.9445,2.3,2.9,9873103.21,KAVAUSDT
2021-02-05,2.9022,3.5,2.8997,3.321,13276995.75,KAVAUSDT
2021-02-06,3.3334,3.4506,2.9248,3.0524,7057784.7,KAVAUSDT
2021-02-07,3.0524,3.5061,2.9868,3.2915,11636296.14,KAVAUSDT
2021-02-08,3.2916,3.73,3.26,3.4571,6977729.08,KAVAUSDT
2021-02-09,3.4560000000000004,4.1549,3.324,4.0979,8196696.04,KAVAUSDT
2021-02-10,4.0974,4.2878,3.5973,4.0086,7621169.61,KAVAUSDT
2021-02-11,4.0039,4.923,3.9952,4.8013,9033263.51,KAVAUSDT
2021-02-12,4.8013,5.52,4.6418,5.2,8996955.59,KAVAUSDT
2021-02-13,5.2024,5.5862,4.9358,5.2729,7812889.74,KAVAUSDT
2021-02-14,5.2673,5.4485,4.6,4.6658,7489589.33,KAVAUSDT
2021-02-15,4.6641,5.2081,3.62,4.5561,11529933.42,KAVAUSDT
2021-02-16,4.5536,5.1794,4.2886,4.5981,8710334.75,KAVAUSDT
2021-02-17,4.5903,4.83,4.1939,4.6959,6212945.26,KAVAUSDT
2021-02-18,4.6966,5.15,4.58,5.0291,5462499.01,KAVAUSDT
2021-02-19,5.032,5.3698,4.7512,4.96,6463680.57,KAVAUSDT
2021-02-20,4.965,5.2768,4.2883,4.613,7734925.36,KAVAUSDT
2021-02-21,4.613,4.8729,4.4937,4.7537,4268960.26,KAVAUSDT
2021-02-22,4.7585,4.785,3.4002,4.273,8331776.61,KAVAUSDT
2021-02-23,4.2712,4.3276,2.6635,3.244,9664236.36,KAVAUSDT
2021-02-24,3.2439,3.8873,3.05,3.4081,8001067.76,KAVAUSDT
2021-02-25,3.395,3.9708,3.3746,3.5133,6550475.1,KAVAUSDT
2021-02-26,3.5137,4.2913,3.1728,3.569,8986505.48,KAVAUSDT
2021-02-27,3.5627,3.7988,3.5048,3.666,4134285.27,KAVAUSDT
2021-02-28,3.6705,3.672,3.005,3.3486,3790215.56,KAVAUSDT
2021-03-01,3.3497,3.726,3.3014,3.7188,2832220.71,KAVAUSDT
2021-03-02,3.717,4.308,3.5935,4.0304,7918271.25,KAVAUSDT
2021-03-03,4.0307,4.9117,3.9668,4.6358,8661265.18,KAVAUSDT
2021-03-04,4.6299,4.8072,3.8535,4.0061,5797867.05,KAVAUSDT
2021-03-05,4.0085,4.0726,3.7333,3.8544,3114980.62,KAVAUSDT
2021-03-06,3.8549,3.9235,3.6252,3.8447,1849934.19,KAVAUSDT
2021-03-07,3.845,4.2499,3.794,4.2177,3586608.66,KAVAUSDT
2021-03-08,4.2245,4.5,3.9332,4.3106,3863546.61,KAVAUSDT
2021-03-09,4.3113,4.4737,4.1607,4.3484,3572994.97,KAVAUSDT
2021-03-10,4.3484,4.383,3.9064,4.0408,3966722.65,KAVAUSDT
2021-03-11,4.0357,5.4167,3.7545,5.375,15999840.45,KAVAUSDT
2021-03-12,5.375,7.4,5.0251,5.8198,29022624.49,KAVAUSDT
2021-03-13,5.82,6.63,5.5273,6.2789,12942294.83,KAVAUSDT
2021-03-14,6.296,6.3299,5.4431,5.4681,7057306.62,KAVAUSDT
2021-03-15,5.4822,6.1731,5.025,5.4314,8343506.11,KAVAUSDT
2021-03-16,5.4325,6.564,5.2518,6.2479999999999976,12024023.16,KAVAUSDT
2021-03-17,6.2384,7.0318,6.0,6.2262,10941714.3,KAVAUSDT
2021-03-18,6.2201,6.4845,5.8144,5.8501,6339638.4,KAVAUSDT
2021-03-19,5.8508,6.3586,5.6826,6.1713,5745599.79,KAVAUSDT
2021-03-20,6.1635,6.3033,5.6555,5.6884,4325679.01,KAVAUSDT
2021-03-21,5.6885,5.9884,5.404,5.9384,4184716.7,KAVAUSDT
2021-03-22,5.9347,6.05,5.2552,5.2629,4726370.38,KAVAUSDT
2021-03-23,5.2607,5.5639,4.5851,5.15,6270016.37,KAVAUSDT
2021-03-24,5.1437,5.53,4.3005,4.6138,5109494.92,KAVAUSDT
2021-03-25,4.6104,4.7959,4.3019,4.6099,4153321.7,KAVAUSDT
2021-03-26,4.6132,5.2383,4.6028,5.1397,3014912.56,KAVAUSDT
2021-03-27,5.1398,6.32,4.9897,5.877999999999999,7602051.9,KAVAUSDT
2021-03-28,5.8695,5.9979999999999976,5.2931,5.5714,4289018.81,KAVAUSDT
2021-03-29,5.5792,6.25,5.4652,5.922999999999999,4640246.33,KAVAUSDT
2021-03-30,5.9198,6.6,5.8814,6.5164,5526074.05,KAVAUSDT
2021-03-31,6.5165,6.5722,5.69,5.926,5218261.32,KAVAUSDT
2021-04-01,5.9264,7.376,5.7289,7.0848,9852101.63,KAVAUSDT
2021-04-02,7.0848,7.25,6.62,6.9262,4491614.29,KAVAUSDT
2021-04-03,6.9233,7.188,6.0944,6.1604,4313315.84,KAVAUSDT
2021-04-04,6.1608,6.92,6.0667,6.7742,3228720.8,KAVAUSDT
2021-04-05,6.7639,7.6582,6.4179999999999975,6.9095,5760511.65,KAVAUSDT
2021-04-06,6.9099,8.1573,6.8117,7.3617,6501980.25,KAVAUSDT
2021-04-07,7.3806,7.4232,6.1697,6.5126,5518670.45,KAVAUSDT
2021-04-08,6.5297,7.85,6.4619,7.2763,6034262.23,KAVAUSDT
2021-04-09,7.2685,7.3535,6.8679999999999986,7.0037,2885427.5,KAVAUSDT
2021-04-10,7.0078,7.37,6.7331,7.0171,3120028.87,KAVAUSDT
2021-04-11,7.0148,7.2849,6.6305,6.9819,2638493.3,KAVAUSDT
2021-04-12,6.9823,7.0138,6.45,6.5876,2601160.05,KAVAUSDT
2021-04-13,6.5844,6.8284,6.25,6.4828,2711996.26,KAVAUSDT
2021-04-14,6.4764,6.7395,6.0704,6.5203,3377626.79,KAVAUSDT
2021-04-15,6.52,7.2336,6.3361,6.8766,4838979.74,KAVAUSDT
2021-04-16,6.8711,6.9406,6.2155,6.5613,3714590.19,KAVAUSDT
2021-04-17,6.557,7.125,6.4004,6.4515,4310155.97,KAVAUSDT
2021-04-18,6.4529,6.5409,4.0428,5.4648,8002001.5,KAVAUSDT
2021-04-19,5.476,5.645,4.7743,4.94,4472135.76,KAVAUSDT
2021-04-20,4.9374,5.8666,4.3138,5.2044,8777061.44,KAVAUSDT
2021-04-21,5.2044,5.6,4.8817,4.953,5082782.21,KAVAUSDT
2021-04-22,4.9491,5.2297,4.35,4.4438,5216126.63,KAVAUSDT
2021-04-23,4.4405,5.0,3.46,4.5365,9699922.78,KAVAUSDT
2021-04-24,4.5341,4.5451,4.0065,4.1228,4602296.18,KAVAUSDT
2021-04-25,4.1157,4.5876,3.8729,4.1707,4232564.52,KAVAUSDT
2021-04-26,4.1673,5.0443,4.1227,4.8858,5962783.95,KAVAUSDT
2021-04-27,4.8868,5.4,4.8658,5.3292,3878260.02,KAVAUSDT
2021-04-28,5.3232,5.4432,4.78,5.0721,3628643.99,KAVAUSDT
2021-04-29,5.0794,5.5184,4.8601,5.1243,4335704.37,KAVAUSDT
2021-04-30,5.1258,5.75,4.9959,5.6015,5208150.12,KAVAUSDT
2021-05-01,5.6013,6.0888,5.5315,5.7857,3921316.89,KAVAUSDT
2021-05-02,5.7823,5.7864,5.4134,5.6827,2238126.69,KAVAUSDT
2021-05-03,5.6824,7.06,5.6252,6.3404,10280959.57,KAVAUSDT
2021-05-04,6.3405,6.3932,5.5647,5.6411,6187265.9,KAVAUSDT
2021-05-05,5.6411,6.3399,5.5901,6.1955,4039489.62,KAVAUSDT
2021-05-06,6.2038,6.8378,5.9698,6.2579,6316796.12,KAVAUSDT
2021-05-07,6.2509,7.0027,5.9697,6.5065,8617184.27,KAVAUSDT
2021-05-08,6.5005,6.6833,6.2015,6.2877,4325884.03,KAVAUSDT
2021-05-09,6.2877,6.3256,5.9367,6.1353,3284382.44,KAVAUSDT
2021-05-10,6.1429,6.9393,5.2267,5.6789,9545239.73,KAVAUSDT
2021-05-11,5.6851,6.3,5.4682,6.0798,4329758.3,KAVAUSDT
2021-05-12,6.068,6.5,4.9617,5.1076,4929009.17,KAVAUSDT
2021-05-13,5.1056,5.8214,4.78,5.3491,4933630.61,KAVAUSDT
2021-05-14,5.3379,5.7879999999999985,5.2682,5.6194,2323964.26,KAVAUSDT
2021-05-15,5.6125,5.9,5.0629,5.1238,3419980.5,KAVAUSDT
2021-05-16,5.1278,5.5854,4.7024,5.0711,3851613.9,KAVAUSDT
2021-05-17,5.0641,5.0902,4.46,4.6213,4091291.07,KAVAUSDT
2021-05-18,4.62,5.0534,4.566,5.0392,3026331.55,KAVAUSDT
2021-05-19,5.0411,5.0798,2.109,3.1498,18774351.24,KAVAUSDT
2021-05-20,3.1438,4.1554,2.8691,3.9719,19561710.64,KAVAUSDT
2021-05-21,3.9789,4.1562,3.0580000000000003,3.4736,15309955.0,KAVAUSDT
2021-05-22,3.4738,3.6766,3.0848,3.1674,19658668.07,KAVAUSDT
2021-05-23,3.1681,3.5,2.3022,2.7394,17151392.39,KAVAUSDT
2021-05-24,2.7436,3.2669,2.6298,3.2086,21202777.06,KAVAUSDT
2021-05-25,3.2060000000000004,3.5172,2.875,3.4376,19752337.78,KAVAUSDT
2021-05-26,3.4347,3.7949,3.3172,3.7949,15306125.02,KAVAUSDT
2021-05-27,3.7926,4.1147,3.3527,4.0275,16898211.05,KAVAUSDT
2021-05-28,4.029,4.1749,3.2265,3.3012,17812634.46,KAVAUSDT
2021-05-29,3.3064,3.487,3.0121,3.143,17198065.04,KAVAUSDT
2021-05-30,3.1417,3.4815,2.9511,3.2714,10424225.45,KAVAUSDT
2021-05-31,3.2668,3.6039,3.0775,3.6010000000000004,3411539.5,KAVAUSDT
2021-06-01,3.5959,3.6869,3.4222,3.5434,11058886.52,KAVAUSDT
2021-06-02,3.5461,5.1599,3.51,4.7701,37303609.24,KAVAUSDT
2021-06-03,4.7701,5.7,4.4841,5.0568,28527937.11,KAVAUSDT
2021-06-04,5.0572,5.0628,4.3422,4.6465,8103376.73,KAVAUSDT
2021-06-05,4.6431,5.3274,4.5251,4.7557,9106581.48,KAVAUSDT
2021-06-06,4.7557,4.9916,4.5267,4.6914,3712056.68,KAVAUSDT
