date,open,high,low,close,volume,name
2021-01-01,5.851,7.0470000000000015,5.71,6.437,455341.93,LINKUPUSDT
2021-01-02,6.437,6.9979999999999976,6.0139999999999985,6.77,324535.11,LINKUPUSDT
2021-01-03,6.769,8.547,6.42,8.2,544707.06,LINKUPUSDT
2021-01-04,8.2,10.44,5.704,7.085,1409737.73,LINKUPUSDT
2021-01-05,7.085,8.37,6.569,7.972,785482.02,LINKUPUSDT
2021-01-06,7.972,10.75,7.58,10.657,1272665.85,LINKUPUSDT
2021-01-07,10.713,10.972,8.18,9.183,619574.69,LINKUPUSDT
2021-01-08,9.227,9.39,7.126,8.265,578803.11,LINKUPUSDT
2021-01-09,8.265,11.207,8.031,10.828,499992.26,LINKUPUSDT
2021-01-10,10.89,11.9,8.32,9.246,644304.28,LINKUPUSDT
2021-01-11,9.246,9.246,5.037,7.16,1012976.69,LINKUPUSDT
2021-01-12,7.151,8.019,6.107,6.432,668490.12,LINKUPUSDT
2021-01-13,6.479,8.789,5.7920000000000025,8.49,672068.87,LINKUPUSDT
2021-01-14,8.48,10.88,7.761,10.879,871754.8,LINKUPUSDT
2021-01-15,10.88,15.759,9.299,14.211,2807471.77,LINKUPUSDT
2021-01-16,14.21,17.8,11.85,12.75,1948125.09,LINKUPUSDT
2021-01-17,12.75,19.341,11.28,18.31,1463359.27,LINKUPUSDT
2021-01-18,18.461,19.1,14.4,16.017,838623.37,LINKUPUSDT
2021-01-19,16.06,17.679000000000006,12.632,13.01,996873.79,LINKUPUSDT
2021-01-20,13.08,15.47,10.151,15.181,1322318.05,LINKUPUSDT
2021-01-21,15.248,15.51,8.58,9.094,1832476.02,LINKUPUSDT
2021-01-22,9.118,15.5,7.112,13.825,1914470.43,LINKUPUSDT
2021-01-23,13.82,20.947,13.09,19.6,1577610.03,LINKUPUSDT
2021-01-24,19.536,19.794,16.5,19.5,689582.26,LINKUPUSDT
2021-01-25,19.5,21.5,16.4,17.333,553745.87,LINKUPUSDT
2021-01-26,17.33,18.405,14.832,17.1,631056.57,LINKUPUSDT
