date,open,high,low,close,volume,Name
2021-07-05,0.2697,0.9999,0.2697,0.387,27783.31,MLN-BNB
2021-07-06,0.3876,0.3876,0.326,0.3277,15171.53,MLN-BNB
2021-07-07,0.3287,0.3434,0.2923,0.2955,3525.03,MLN-BNB
2021-07-08,0.2955,0.2984,0.2713,0.2732,3578.18,MLN-BNB
2021-07-09,0.2734,0.2923,0.2582,0.2669,1952.33,MLN-BNB
2021-07-10,0.2669,0.3283,0.261,0.2883,5533.8,MLN-BNB
2021-07-11,0.2883,0.3136,0.2796,0.2844,2565.0,MLN-BNB
2021-07-12,0.2846,0.2846,0.2696,0.273,734.77,MLN-BNB
2021-07-13,0.273,0.2895,0.266,0.2688,1474.13,MLN-BNB
2021-07-14,0.2688,0.2771,0.2592,0.2638,1190.41,MLN-BNB
2021-07-15,0.2638,0.274,0.2444,0.2452,1001.15,MLN-BNB
2021-07-16,0.2452,0.2506,0.2374,0.2485,774.18,MLN-BNB
2021-07-17,0.25,0.3,0.2494,0.2563,4075.31,MLN-BNB
2021-07-18,0.2563,0.2644,0.2493,0.2493,611.3,MLN-BNB
2021-07-19,0.2493,0.2671,0.2462,0.2507,1137.64,MLN-BNB
2021-07-20,0.2507,0.2513,0.2363,0.2381,1070.94,MLN-BNB
2021-07-21,0.2381,0.2503,0.2301,0.2314,1089.89,MLN-BNB
2021-07-22,0.2314,0.271,0.2305,0.2413,1287.86,MLN-BNB
2021-07-23,0.2413,0.246,0.2377,0.2413,810.85,MLN-BNB
2021-07-24,0.2413,0.25,0.2362,0.2396,697.03,MLN-BNB
2021-07-25,0.2396,0.264,0.2315,0.2409,770.46,MLN-BNB
2021-07-26,0.2409,0.2517,0.2266,0.2506,414.15,MLN-BNB
2021-07-27,0.2506,0.2506,0.2261,0.2275,436.74,MLN-BNB
2021-07-28,0.2275,0.2415,0.2275,0.2304,449.36,MLN-BNB
2021-07-29,0.2325,0.2347,0.2279,0.2323,202.56,MLN-BNB
2021-07-30,0.2323,0.259,0.2284,0.2406,769.26,MLN-BNB
2021-07-31,0.2406,0.2468,0.2307,0.2346,233.93,MLN-BNB
2021-08-01,0.2346,0.2412,0.2292,0.234,151.19,MLN-BNB
2021-08-02,0.234,0.3711,0.234,0.3083,11365.14,MLN-BNB
2021-08-03,0.3075,0.4087,0.2928,0.3682,18725.9,MLN-BNB
2021-08-04,0.3692,0.3692,0.3066,0.3081,4857.53,MLN-BNB
2021-08-05,0.3081,0.3175,0.2857,0.288,2223.77,MLN-BNB
2021-08-06,0.288,0.2938,0.2749,0.2822,1214.93,MLN-BNB
2021-08-07,0.2822,0.2824,0.2681,0.2762,1039.75,MLN-BNB
2021-08-08,0.2762,0.2771,0.2615,0.2661,694.06,MLN-BNB
2021-08-09,0.2661,0.267,0.2585,0.266,779.96,MLN-BNB
2021-08-10,0.266,0.2703,0.2467,0.2472,784.54,MLN-BNB
2021-08-11,0.2472,0.2692,0.2393,0.2411,853.27,MLN-BNB
2021-08-12,0.2411,0.2545,0.2376,0.2455,1272.79,MLN-BNB
2021-08-13,0.2455,0.2478,0.2359,0.2402,544.54,MLN-BNB
2021-08-14,0.2402,0.2425,0.2306,0.2357,452.04,MLN-BNB
2021-08-15,0.2357,0.2399,0.2315,0.2315,379.9,MLN-BNB
2021-08-16,0.2315,0.2355,0.221,0.2236,335.85,MLN-BNB
2021-08-17,0.2236,0.2274,0.2197,0.2264,218.93,MLN-BNB
2021-08-18,0.2264,0.2309,0.2206,0.2209,574.69,MLN-BNB
2021-08-19,0.2209,0.225,0.2081,0.2081,262.04,MLN-BNB
2021-08-20,0.2081,0.2177,0.2055,0.2061,497.44,MLN-BNB
2021-08-21,0.2061,0.2143,0.2005,0.2102,413.44,MLN-BNB
2021-08-22,0.2102,0.213,0.2025,0.2082,295.08,MLN-BNB
2021-08-23,0.2082,0.2153,0.186,0.1915,678.13,MLN-BNB
2021-08-24,0.1915,0.1993,0.1873,0.198,832.06,MLN-BNB
2021-08-25,0.198,0.2012,0.1866,0.1891,340.97,MLN-BNB
2021-08-26,0.1891,0.37,0.1856,0.2798,25470.638,MLN-BNB
2021-08-27,0.2824,0.3351,0.25,0.2713,23994.964,MLN-BNB
2021-08-28,0.2705,0.2757,0.2543,0.2612,2713.694,MLN-BNB
2021-08-29,0.2612,0.2647,0.2406,0.2441,1243.166,MLN-BNB
2021-08-30,0.2441,0.2615,0.2337,0.234,1016.826,MLN-BNB
2021-08-31,0.234,0.2499,0.2333,0.2412,1043.187,MLN-BNB
2021-09-01,0.2412,0.254,0.2337,0.2356,1112.828,MLN-BNB
2021-09-02,0.2356,0.24,0.2266,0.2337,389.793,MLN-BNB
2021-09-03,0.2337,0.2422,0.2308,0.2333,576.41,MLN-BNB
2021-09-04,0.2333,0.2333,0.2202,0.2242,745.695,MLN-BNB
2021-09-05,0.2242,0.2341,0.2226,0.225,487.595,MLN-BNB
2021-09-06,0.225,0.2303,0.2228,0.2254,265.975,MLN-BNB
2021-09-07,0.2254,0.2587,0.225,0.236,1512.001,MLN-BNB
2021-09-08,0.236,0.2455,0.2278,0.2412,829.784,MLN-BNB
2021-09-09,0.2412,0.2882,0.2394,0.2662,2016.467,MLN-BNB
2021-09-10,0.2662,0.269,0.2509,0.2544,534.211,MLN-BNB
2021-09-11,0.2544,0.2755,0.2527,0.2584,3221.722,MLN-BNB
2021-09-12,0.2584,0.2864,0.2584,0.2625,662.798,MLN-BNB
2021-09-13,0.2625,0.279,0.256,0.2586,1468.159,MLN-BNB
2021-09-14,0.2586,0.2799,0.2546,0.2694,1732.719,MLN-BNB
2021-09-15,0.2694,0.3814,0.2648,0.312,8646.9,MLN-BNB
2021-09-16,0.3126,0.3126,0.2883,0.2921,1042.994,MLN-BNB
2021-09-17,0.293,0.294,0.2687,0.281,952.32,MLN-BNB
2021-09-18,0.281,0.349,0.2733,0.3001,2935.233,MLN-BNB
2021-09-19,0.3001,0.3159,0.2841,0.2841,1726.747,MLN-BNB
2021-09-20,0.2841,0.313,0.279,0.2906,2530.395,MLN-BNB
2021-09-21,0.2906,0.2972,0.28,0.2925,1531.5,MLN-BNB
2021-09-22,0.2925,0.6816,0.2921,0.445,33745.382,MLN-BNB
2021-09-23,0.4441,0.4574,0.3863,0.3972,7397.523,MLN-BNB
2021-09-24,0.3961,0.3968,0.3655,0.3807,2163.483,MLN-BNB
2021-09-25,0.3807,0.396,0.3621,0.3789,1480.361,MLN-BNB
2021-09-26,0.3789,0.5446,0.377,0.4224,11652.596,MLN-BNB
2021-09-27,0.4209,0.4948,0.4064,0.4256,3551.599,MLN-BNB
2021-09-28,0.4256,0.445,0.3992,0.3992,2297.899,MLN-BNB
2021-09-29,0.3992,0.4406,0.3686,0.3743,1466.674,MLN-BNB
2021-09-30,0.3743,0.4131,0.362,0.3795,1987.979,MLN-BNB
2021-10-01,0.3795,0.3795,0.339,0.3472,1359.504,MLN-BNB
2021-10-02,0.3488,0.3554,0.3324,0.3326,1212.649,MLN-BNB
2021-10-03,0.3334,0.3377,0.3264,0.3287,442.94,MLN-BNB
2021-10-04,0.3287,0.3359,0.3233,0.3317,427.737,MLN-BNB
2021-10-05,0.3317,0.3404,0.3088,0.3094,1355.194,MLN-BNB
2021-10-06,0.3094,0.3352,0.301,0.3065,1075.102,MLN-BNB
2021-10-07,0.3065,0.317,0.2973,0.3024,992.827,MLN-BNB
2021-10-08,0.3024,0.3111,0.2958,0.3087,266.894,MLN-BNB
2021-10-09,0.3087,0.3371,0.3083,0.3226,787.024,MLN-BNB
2021-10-10,0.3226,0.3291,0.3187,0.3198,301.583,MLN-BNB
2021-10-11,0.3198,0.3283,0.3105,0.313,419.778,MLN-BNB
2021-10-12,0.313,0.3245,0.2946,0.2959,542.638,MLN-BNB
2021-10-13,0.2948,0.2993,0.2767,0.2903,546.528,MLN-BNB
2021-10-14,0.2907,0.3058,0.2731,0.2994,790.974,MLN-BNB
2021-10-15,0.2983,0.3807,0.2847,0.2849,6186.99,MLN-BNB
2021-10-16,0.2849,0.2951,0.2785,0.2841,668.506,MLN-BNB
2021-10-17,0.2841,0.2891,0.2815,0.2836,181.653,MLN-BNB
2021-10-18,0.2836,0.38,0.276,0.2879,3178.659,MLN-BNB
2021-10-19,0.286,0.3172,0.2712,0.287,2429.371,MLN-BNB
2021-10-20,0.287,0.2989,0.2817,0.2844,684.217,MLN-BNB
2021-10-21,0.2844,0.3124,0.2803,0.3037,1998.488,MLN-BNB
2021-10-22,0.3037,0.3072,0.2879,0.2903,258.827,MLN-BNB
2021-10-23,0.2903,0.2962,0.2855,0.2856,234.014,MLN-BNB
2021-10-24,0.2856,0.2918,0.2831,0.2869,141.035,MLN-BNB
2021-10-25,0.2869,0.2946,0.2826,0.2863,172.84,MLN-BNB
2021-10-26,0.2863,0.2952,0.286,0.2903,155.562,MLN-BNB
2021-10-27,0.2903,0.3077,0.2863,0.2886,751.322,MLN-BNB
2021-10-28,0.2886,0.2924,0.2703,0.2724,453.355,MLN-BNB
2021-10-29,0.2722,0.276,0.2642,0.2642,364.79,MLN-BNB
2021-10-30,0.2642,0.2642,0.2469,0.2487,323.036,MLN-BNB
2021-10-31,0.2487,0.2545,0.2421,0.253,428.47,MLN-BNB
2021-11-01,0.253,0.2568,0.2458,0.247,231.063,MLN-BNB
2021-11-02,0.247,0.2474,0.2378,0.2394,247.119,MLN-BNB
2021-11-03,0.2394,0.25,0.237,0.2408,842.883,MLN-BNB
2021-11-04,0.2408,0.2574,0.2326,0.2453,1387.473,MLN-BNB
2021-11-05,0.2453,0.2538,0.2235,0.2259,591.724,MLN-BNB
2021-11-06,0.2259,0.2289,0.2146,0.2158,630.195,MLN-BNB
2021-11-07,0.2158,0.2172,0.1992,0.2029,283.927,MLN-BNB
