date,open,high,low,close,volume,name
2021-01-01,0.407,0.4085,0.3795,0.4004,716969.96,MTLUSDT
2021-01-02,0.3998,0.4023,0.3738,0.3898,484764.91,MTLUSDT
2021-01-03,0.3889,0.4048,0.3649,0.3907,984388.79,MTLUSDT
2021-01-04,0.3907,0.416,0.3426,0.3667,2308857.87,MTLUSDT
2021-01-05,0.3667,0.3793,0.349,0.3784,1733226.11,MTLUSDT
2021-01-06,0.3784,0.4027,0.3693,0.3989,1551018.23,MTLUSDT
2021-01-07,0.3995,0.44,0.3911,0.4156,2699005.82,MTLUSDT
2021-01-08,0.417,0.48,0.384,0.4323,3351133.59,MTLUSDT
2021-01-09,0.4327,0.4665,0.4103,0.4446,2250451.4,MTLUSDT
2021-01-10,0.4446,0.4768,0.3802,0.4167,3122389.01,MTLUSDT
2021-01-11,0.4164,0.4167,0.3313,0.3708,2890186.86,MTLUSDT
2021-01-12,0.3709,0.3817,0.3524,0.3716,1056722.48,MTLUSDT
2021-01-13,0.3715,0.3982,0.35600000000000004,0.3918,1358417.5,MTLUSDT
2021-01-14,0.3928,0.4401,0.3857,0.4201,2872636.46,MTLUSDT
2021-01-15,0.4204,0.4322,0.374,0.4187,3107346.54,MTLUSDT
2021-01-16,0.4194,0.474,0.418,0.456,5445174.29,MTLUSDT
2021-01-17,0.4551,0.474,0.4035,0.4469,5957315.19,MTLUSDT
2021-01-18,0.4481,0.466,0.419,0.4475,2955766.41,MTLUSDT
2021-01-19,0.4462,0.4873,0.4254,0.4375,3965807.93,MTLUSDT
2021-01-20,0.4351,0.4462,0.4061,0.4374,1550636.34,MTLUSDT
2021-01-21,0.4370000000000001,0.4386,0.3738,0.3796,1147657.56,MTLUSDT
2021-01-22,0.3796,0.4052,0.3581,0.3989,915516.72,MTLUSDT
2021-01-23,0.3962,0.4096,0.3801,0.3953,898720.04,MTLUSDT
2021-01-24,0.394,0.4118,0.393,0.4105,1077449.55,MTLUSDT
2021-01-25,0.4105,0.4159,0.3922,0.3949,707542.0,MTLUSDT
2021-01-26,0.3933,0.4496,0.391,0.4298,16869105.82,MTLUSDT
2021-01-27,0.4303,0.4599,0.3756,0.3867,2417200.55,MTLUSDT
2021-01-28,0.3877,0.4528,0.3784,0.4148,4703795.76,MTLUSDT
2021-01-29,0.4146,0.4274,0.3951,0.4164,1657443.7,MTLUSDT
2021-01-30,0.4165,0.4297,0.4,0.424,1012955.64,MTLUSDT
2021-01-31,0.424,0.4245,0.4019,0.4189,721645.51,MTLUSDT
2021-02-01,0.4199,0.4205,0.4059,0.4177,819150.52,MTLUSDT
2021-02-02,0.4194,0.4458,0.4164,0.4451,1438396.4,MTLUSDT
2021-02-03,0.4458,0.4979,0.4374,0.4721,3006619.02,MTLUSDT
2021-02-04,0.472,0.59,0.4696,0.5291,14728835.08,MTLUSDT
2021-02-05,0.5311,1.0219,0.5299,0.8011,41688283.74,MTLUSDT
2021-02-06,0.8009,0.8009,0.6651,0.6959,5617298.13,MTLUSDT
2021-02-07,0.6959,0.7399,0.6119,0.6547,3226006.64,MTLUSDT
2021-02-08,0.6545,0.6727,0.625,0.6659999999999999,2387791.14,MTLUSDT
2021-02-09,0.6659999999999999,0.75,0.6437,0.7114,11303179.82,MTLUSDT
2021-02-10,0.7091,0.733,0.6388,0.6969,3016285.76,MTLUSDT
2021-02-11,0.6972,0.88,0.6682,0.7732,6209904.78,MTLUSDT
2021-02-12,0.7734,0.95,0.7694,0.8888,8407379.82,MTLUSDT
2021-02-13,0.8917,0.9199,0.7919,0.8740000000000001,2282454.19,MTLUSDT
2021-02-14,0.8737,0.91,0.7829999999999999,0.826,2720919.14,MTLUSDT
2021-02-15,0.8218,0.8369,0.68,0.7874,1839685.98,MTLUSDT
2021-02-16,0.7887,0.8895,0.7842,0.8087,3805154.26,MTLUSDT
2021-02-17,0.8121,0.887,0.7525,0.8473,3640583.8,MTLUSDT
2021-02-18,0.851,1.2319,0.8501,1.012,21802060.06,MTLUSDT
2021-02-19,1.012,1.0444,0.9158,1.0303,3734428.7,MTLUSDT
2021-02-20,1.035,1.0627,0.9334,0.9703,1745854.31,MTLUSDT
2021-02-21,0.9697,1.28,0.9561,1.1005,5979545.58,MTLUSDT
2021-02-22,1.1041,1.1296,0.8286,0.9911,2939385.37,MTLUSDT
2021-02-23,0.992,1.0394,0.6361,0.7601,2378234.9,MTLUSDT
2021-02-24,0.7601,0.8534,0.7095,0.8193,2594445.86,MTLUSDT
2021-02-25,0.8169,0.9165,0.7901,0.7968,2342176.95,MTLUSDT
2021-02-26,0.7968,0.8834,0.728,0.8833,1161413.96,MTLUSDT
2021-02-27,0.879,1.76,0.8428,1.1394,60501712.38,MTLUSDT
2021-02-28,1.1353,1.6237,0.9834,1.2929,61051360.55,MTLUSDT
2021-03-01,1.2929,1.5358,1.1745,1.383,17781755.72,MTLUSDT
2021-03-02,1.385,1.385,1.2299,1.3089,5025093.14,MTLUSDT
2021-03-03,1.3089,1.3711,1.2622,1.3288,3124466.88,MTLUSDT
2021-03-04,1.3292,1.3319,1.2025,1.256,1663986.77,MTLUSDT
2021-03-05,1.252,1.2565,1.1517,1.2349,1220196.03,MTLUSDT
2021-03-06,1.2335,1.385,1.2068,1.2846,3617687.29,MTLUSDT
2021-03-07,1.2895,1.3683,1.259,1.3325,1236487.64,MTLUSDT
2021-03-08,1.3347,1.34,1.2331,1.3079,1206018.98,MTLUSDT
2021-03-09,1.3090000000000002,1.34,1.2607,1.34,1293540.91,MTLUSDT
2021-03-10,1.3399,1.34,1.2454,1.2812,1181100.75,MTLUSDT
2021-03-11,1.2819,1.3090000000000002,1.2153,1.2977,1074100.3,MTLUSDT
2021-03-12,1.3016,1.9025,1.2612,1.5624,16741976.39,MTLUSDT
2021-03-13,1.5619,1.8,1.4587,1.5054,8025334.06,MTLUSDT
2021-03-14,1.5053,1.511,1.3816,1.4362,2653230.29,MTLUSDT
2021-03-15,1.4367,1.4959,1.2846,1.3694,2241698.4,MTLUSDT
2021-03-16,1.3694,1.5475,1.2727,1.5325,4961740.53,MTLUSDT
2021-03-17,1.5375,1.545,1.3065,1.425,3125083.17,MTLUSDT
2021-03-18,1.425,1.4865,1.3823,1.4149,1903463.15,MTLUSDT
2021-03-19,1.4082,1.5887,1.3807,1.5351,3444412.98,MTLUSDT
2021-03-20,1.5411,1.7053,1.452,1.4592,6173537.66,MTLUSDT
2021-03-21,1.4537,1.5645,1.426,1.5519,2828518.26,MTLUSDT
2021-03-22,1.5519,1.9662,1.5095,1.7376,9609679.99,MTLUSDT
2021-03-23,1.7278,2.1646,1.7014,1.9566,11774951.46,MTLUSDT
2021-03-24,1.956,2.0999,1.5931,1.6315,4005616.4,MTLUSDT
2021-03-25,1.6384,1.676,1.4666,1.5423,2588187.84,MTLUSDT
2021-03-26,1.5424,1.79,1.5335,1.7188,2252945.12,MTLUSDT
2021-03-27,1.7188,1.7935,1.6328,1.7758,1617863.84,MTLUSDT
2021-03-28,1.7758,2.2127,1.7197,1.889,6802840.19,MTLUSDT
2021-03-29,1.8826,10.3637,1.8821,6.0244,154912896.51,MTLUSDT
2021-03-30,6.0243,8.7599,5.2166,6.6911,95222026.27,MTLUSDT
2021-03-31,6.6988,7.0,5.7734,5.9514,17327279.81,MTLUSDT
2021-04-01,5.9492,6.3793,5.5285,5.544,11356434.24,MTLUSDT
2021-04-02,5.5467,5.55,5.0366,5.1195,9317696.47,MTLUSDT
2021-04-03,5.1189,6.88,5.0419,6.7766,16008482.85,MTLUSDT
2021-04-04,6.7469,6.955,5.2,6.8789,17909495.65,MTLUSDT
2021-04-05,6.8789,6.8883,5.5596,5.61,7041592.01,MTLUSDT
2021-04-06,5.6113,5.7523,4.9193,5.1991,6024896.43,MTLUSDT
