date,open,high,low,close,volume,name
2021-01-01,2.4742,2.7682,2.4397,2.5432,4559805.74,OMGUSDT
2021-01-02,2.5432,2.7297,2.4583,2.5422,4624705.76,OMGUSDT
2021-01-03,2.5408,3.0714,2.4853,3.0498,8579911.11,OMGUSDT
2021-01-04,3.0529,3.4777,2.6842,3.2938,16490998.82,OMGUSDT
2021-01-05,3.2927,3.76,3.1423,3.5141,17127483.26,OMGUSDT
2021-01-06,3.513,3.944,3.347,3.7082,9949278.94,OMGUSDT
2021-01-07,3.71,3.94,3.3087,3.508,8847354.9,OMGUSDT
2021-01-08,3.5085,3.5792,3.0864,3.4039,7029121.78,OMGUSDT
2021-01-09,3.4043,3.8367,3.301,3.7078,6939860.91,OMGUSDT
2021-01-10,3.7089,4.1415,3.2302,3.6526,12845737.28,OMGUSDT
2021-01-11,3.6526,3.6708,2.6,3.0974,11620934.95,OMGUSDT
2021-01-12,3.0935,3.278,2.8792,2.9982,5247194.26,OMGUSDT
2021-01-13,2.9960000000000004,3.284,2.8903,3.2459,3857505.81,OMGUSDT
2021-01-14,3.2474,3.3827,3.0798,3.2451,5259943.72,OMGUSDT
2021-01-15,3.2452,3.8952,3.2143,3.604,13712341.54,OMGUSDT
2021-01-16,3.6033,3.8753,3.4537,3.5499,10441595.99,OMGUSDT
2021-01-17,3.5492,3.8,3.3351,3.7236,7773244.36,OMGUSDT
2021-01-18,3.722,4.4444,3.6435,4.21,17251007.11,OMGUSDT
2021-01-19,4.2189,4.3425,3.8123,3.8539,7993911.82,OMGUSDT
2021-01-20,3.8538,4.0298,3.4810000000000003,3.8353,6646941.69,OMGUSDT
2021-01-21,3.8338,3.852,3.1898,3.2004,8181252.01,OMGUSDT
2021-01-22,3.2,3.5107,2.954,3.3566,5908988.59,OMGUSDT
2021-01-23,3.3538,3.769,3.3,3.629,8841047.97,OMGUSDT
2021-01-24,3.6275,3.8756,3.4465,3.5888,7734020.63,OMGUSDT
2021-01-25,3.5888,3.8371,3.4986,3.5439,8901574.48,OMGUSDT
2021-01-26,3.5433,3.673,3.2548,3.4403,5771644.47,OMGUSDT
2021-01-27,3.4402,3.4491,3.0656,3.1175,4334402.3,OMGUSDT
2021-01-28,3.1206,3.4035,3.0536,3.3054,4316158.76,OMGUSDT
2021-01-29,3.304,3.8369,3.2969,3.5045,14441881.71,OMGUSDT
2021-01-30,3.5038,3.608,3.339,3.4828,5120834.68,OMGUSDT
2021-01-31,3.4825,3.788,3.417,3.5237,8249273.78,OMGUSDT
2021-02-01,3.5237,4.4167,3.383,4.168,22659678.2,OMGUSDT
2021-02-02,4.168,4.1704,3.8,3.9526,10902304.43,OMGUSDT
2021-02-03,3.9528,4.8281,3.876,4.6318,19175789.37,OMGUSDT
2021-02-04,4.629,4.6775,4.0957,4.4415,12324362.77,OMGUSDT
2021-02-05,4.4439,5.4974,4.4037,5.1567,18966076.37,OMGUSDT
2021-02-06,5.1579,5.3984,4.65,4.902,11803805.67,OMGUSDT
2021-02-07,4.9049,5.0249,4.269,4.6205,10521193.76,OMGUSDT
2021-02-08,4.6235,4.95,4.4885,4.8692,9498886.29,OMGUSDT
2021-02-09,4.8661,5.2528,4.65,5.1196,11454974.73,OMGUSDT
2021-02-10,5.1197,5.9494,4.8955,5.5820000000000025,16967246.81,OMGUSDT
2021-02-11,5.5818,6.21,5.3449,5.9635,14583828.22,OMGUSDT
2021-02-12,5.9502,6.32,5.6477,6.1436,10863552.25,OMGUSDT
2021-02-13,6.1454,7.9741,6.1393,7.6958,24639752.09,OMGUSDT
2021-02-14,7.7082,7.8210000000000015,6.3385,6.6903,12872938.7,OMGUSDT
2021-02-15,6.69,6.939,5.506,6.1937,12175679.44,OMGUSDT
2021-02-16,6.1922,6.5595,5.9001,6.1716,7259423.97,OMGUSDT
2021-02-17,6.1756,6.4199,5.7054,6.3886,6265907.92,OMGUSDT
2021-02-18,6.3906,6.69,6.276,6.5367,6891472.87,OMGUSDT
2021-02-19,6.5384,6.75,6.21,6.5368,6079194.45,OMGUSDT
2021-02-20,6.5383,6.94,5.9414,6.2251,10333027.97,OMGUSDT
2021-02-21,6.2167,6.5285,6.0831,6.3325,5100408.51,OMGUSDT
2021-02-22,6.3372,6.35,4.58,5.5483,10738191.6,OMGUSDT
2021-02-23,5.5516,5.593,3.775,4.6802,14589335.27,OMGUSDT
2021-02-24,4.68,5.1491,4.4030000000000005,4.7282,7138143.91,OMGUSDT
2021-02-25,4.7268,5.0973,4.4906,4.5371,4415425.16,OMGUSDT
2021-02-26,4.537,4.6846,4.1122,4.4415,4525289.15,OMGUSDT
2021-02-27,4.4415,4.7251,4.3897,4.4837,3219505.76,OMGUSDT
2021-02-28,4.4792,4.553,3.9394,4.2648,3740358.32,OMGUSDT
2021-03-01,4.2684,4.6768,4.2061,4.6103,4214519.83,OMGUSDT
2021-03-02,4.6154,4.9315,4.4391,4.6637,5972970.07,OMGUSDT
2021-03-03,4.6619,4.9998,4.6073,4.8374,4781709.35,OMGUSDT
2021-03-04,4.8367,4.9763,4.5182,4.6627,4427677.02,OMGUSDT
2021-03-05,4.6592,4.68,4.3134,4.6145,3692619.69,OMGUSDT
2021-03-06,4.6176,5.2608,4.5121,5.0591,7443425.97,OMGUSDT
2021-03-07,5.0607,5.2431,4.8907,5.127999999999999,4814660.8,OMGUSDT
2021-03-08,5.1286,5.2411,4.9079,5.1776,4055180.31,OMGUSDT
2021-03-09,5.1775,5.5284,5.0878,5.4214,6263409.8,OMGUSDT
2021-03-10,5.4168,5.4496,4.932,5.053,5016795.86,OMGUSDT
2021-03-11,5.0586,5.2258,4.7814,5.22,5253806.54,OMGUSDT
2021-03-12,5.2217,5.482,4.9289,5.122999999999998,6668539.1,OMGUSDT
2021-03-13,5.1158,5.39,4.8407,5.3225,5343920.91,OMGUSDT
2021-03-14,5.3244,5.4305,5.0657,5.0665,3650958.54,OMGUSDT
2021-03-15,5.0672,5.3304,4.8106,5.023,6076376.61,OMGUSDT
2021-03-16,5.0193,5.1998,4.7789,5.1865,4081419.34,OMGUSDT
2021-03-17,5.187,5.6874,5.0477,5.5978,6145764.51,OMGUSDT
2021-03-18,5.5972,6.2001,5.5191,6.0847,8879720.37,OMGUSDT
2021-03-19,6.0829999999999975,6.3585,5.8375,5.9129,6788714.05,OMGUSDT
2021-03-20,5.9129,6.0549,5.6405,5.6783,3893547.42,OMGUSDT
2021-03-21,5.6787,5.7363,5.377999999999999,5.5771,3774242.77,OMGUSDT
2021-03-22,5.5741,5.8643,5.2,5.2687,5144951.78,OMGUSDT
2021-03-23,5.2691,5.7995,5.1508,5.7515,5751196.02,OMGUSDT
2021-03-24,5.7468,5.9203,4.9,5.093,5965400.65,OMGUSDT
2021-03-25,5.0917,5.1379,4.6927,4.9502,5644115.51,OMGUSDT
2021-03-26,4.9478,5.3224,4.9434,5.3089,3748100.11,OMGUSDT
2021-03-27,5.3072,5.4677,5.1782,5.324,3394348.57,OMGUSDT
2021-03-28,5.3242,6.2129,5.2593,5.8820000000000014,8651655.48,OMGUSDT
2021-03-29,5.8778,7.1707,5.8413,6.779,12070513.11,OMGUSDT
2021-03-30,6.7826,7.34,6.5753,6.6116,7977367.06,OMGUSDT
2021-03-31,6.6105,8.4,6.4806,7.9015,15934072.29,OMGUSDT
2021-04-01,7.8942,8.086,7.3206,7.385,7792998.5,OMGUSDT
2021-04-02,7.3878,7.6983,7.0856,7.5354,6668716.03,OMGUSDT
2021-04-03,7.53,7.5438,6.7131,6.7512,5440801.48,OMGUSDT
2021-04-04,6.7509,8.027000000000001,6.62,7.8451,7968634.6,OMGUSDT
2021-04-05,7.8494,8.78,7.8449,8.7112,12158496.66,OMGUSDT
2021-04-06,8.7063,9.6239,8.2057,9.3097,12595457.2,OMGUSDT
2021-04-07,9.305,11.28,8.6523,9.9502,36683774.04,OMGUSDT
2021-04-08,9.9526,10.2787,9.0,10.2091,12271569.56,OMGUSDT
2021-04-09,10.2089,11.14,9.5154,10.4425,10451256.0,OMGUSDT
2021-04-10,10.4509,11.337,9.6377,10.0534,9172052.71,OMGUSDT
2021-04-11,10.0543,10.1526,9.4292,9.6193,5199158.99,OMGUSDT
2021-04-12,9.6161,9.7424,9.0908,9.3644,4948492.83,OMGUSDT
2021-04-13,9.363,9.7291,9.0078,9.5545,5023482.65,OMGUSDT
2021-04-14,9.5515,9.9989,8.8043,9.276,6902783.8,OMGUSDT
2021-04-15,9.271,9.8456,9.0924,9.6985,5418854.24,OMGUSDT
2021-04-16,9.7034,10.6579,8.9238,10.15,10401004.87,OMGUSDT
2021-04-17,10.149,10.4,9.2886,9.4085,6031049.09,OMGUSDT
2021-04-18,9.4019,9.5044,6.75,8.421,9980017.47,OMGUSDT
2021-04-19,8.4268,9.1871,7.7555,7.8238,11630163.31,OMGUSDT
2021-04-20,7.8255,8.0519,6.9,7.9171,7127012.28,OMGUSDT
2021-04-21,7.9195,8.4544,7.3857,7.6356,6447963.08,OMGUSDT
2021-04-22,7.6395,8.1942,6.92,6.9702,8467762.09,OMGUSDT
2021-04-23,6.9707,7.1586,5.5742,6.5686,12878922.33,OMGUSDT
2021-04-24,6.5636,6.6222,5.9306,6.0045,5189384.32,OMGUSDT
2021-04-25,6.0049,6.6918,5.8001,6.1973,4678272.93,OMGUSDT
2021-04-26,6.1958,7.1025,6.1001,7.1012,5513422.66,OMGUSDT
2021-04-27,7.0952,7.5783,6.983,7.5515,4014856.54,OMGUSDT
2021-04-28,7.5599,7.8852,6.9152,7.4001,4218331.29,OMGUSDT
2021-04-29,7.4045,7.465,6.9494,7.2617,3372648.33,OMGUSDT
2021-04-30,7.2592,7.8387,7.1138,7.7497,3647122.76,OMGUSDT
2021-05-01,7.7464,8.216000000000001,7.5805,8.1419,4420122.5,OMGUSDT
2021-05-02,8.142000000000001,8.1825,7.5974,7.8379,3636478.96,OMGUSDT
2021-05-03,7.8373,9.5316,7.8167,9.3458,11438642.58,OMGUSDT
2021-05-04,9.3457,10.2296,8.3775,8.693999999999999,19437117.61,OMGUSDT
2021-05-05,8.6885,10.2875,8.5892,9.9096,12770679.91,OMGUSDT
2021-05-06,9.9059,13.2,9.5532,13.1372,19625308.23,OMGUSDT
2021-05-07,13.1257,15.35,11.15,11.8693,42519386.68,OMGUSDT
2021-05-08,11.8785,12.4975,11.2179,11.8305,11844601.62,OMGUSDT
2021-05-09,11.8282,12.4917,10.86,11.6274,7927031.61,OMGUSDT
2021-05-10,11.6224,12.1941,9.4,10.0599,9978148.59,OMGUSDT
2021-05-11,10.0464,12.5658,9.563,12.3302,19169630.75,OMGUSDT
2021-05-12,12.3238,12.3605,9.456,9.687,13026824.76,OMGUSDT
2021-05-13,9.6534,10.4839,9.0,9.6622,11702264.27,OMGUSDT
2021-05-14,9.6599,10.8999,9.601,10.2417,8985758.87,OMGUSDT
2021-05-15,10.2404,10.5299,9.2839,9.3371,6853578.83,OMGUSDT
2021-05-16,9.3357,10.5719,8.7153,9.3233,9763708.16,OMGUSDT
2021-05-17,9.3147,9.3162,7.9593,8.4798,10353245.93,OMGUSDT
2021-05-18,8.4825,9.2582,8.385,8.6829,8393577.94,OMGUSDT
2021-05-19,8.6827,8.8567,4.1706,5.4215,20033595.14,OMGUSDT
2021-05-20,5.4394,6.9771,4.8594,6.6563,14042874.03,OMGUSDT
2021-05-21,6.6522,7.2756,4.8071,5.6492,14348281.54,OMGUSDT
2021-05-22,5.6496,5.7115,4.7933,5.1675,9555506.34,OMGUSDT
2021-05-23,5.1694,5.4846,3.3763,4.2821,16346142.23,OMGUSDT
2021-05-24,4.2856,6.9775,4.2403,6.2693,31948823.21,OMGUSDT
2021-05-25,6.2692,6.5409,5.4891,6.1447,12971737.79,OMGUSDT
2021-05-26,6.1454,7.7,6.1422,7.2416,15539453.84,OMGUSDT
2021-05-27,7.2424,7.9943,7.0744,7.2504,12412434.34,OMGUSDT
2021-05-28,7.2587,7.3186,5.9319,6.2628,14293039.94,OMGUSDT
2021-05-29,6.2646,6.7158,5.4609,5.8594,9670632.23,OMGUSDT
2021-05-30,5.8612,6.5254,5.4299,6.066,7492657.72,OMGUSDT
2021-05-31,6.0648,6.6302,5.8558,6.5988,7114244.04,OMGUSDT
2021-06-01,6.5989,6.71,6.1507,6.3233,6831858.1,OMGUSDT
2021-06-02,6.3249,6.7970000000000015,6.1278,6.4511,6946317.69,OMGUSDT
2021-06-03,6.4516,7.0915,6.3564,6.6996,6814210.37,OMGUSDT
2021-06-04,6.7009,6.8811,5.7727,6.192,8845729.03,OMGUSDT
2021-06-05,6.1925,6.461,5.6528,5.8729999999999976,6422847.28,OMGUSDT
2021-06-06,5.8708,6.1189,5.7973,6.0297,3947087.32,OMGUSDT
2021-06-07,6.0324,6.1971,5.3023,5.364,4144100.35,OMGUSDT
2021-06-08,5.3663,5.4999,4.7361,5.3592,7573468.64,OMGUSDT
2021-06-09,5.3566,5.5365,5.0675,5.5175,6556982.99,OMGUSDT
2021-06-10,5.5188,5.5816,4.9555,5.0767,5347415.33,OMGUSDT
2021-06-11,5.0766,5.2803,4.6611,4.7734,4614846.99,OMGUSDT
2021-06-12,4.7731,4.8596,4.35,4.6416,5445006.92,OMGUSDT
2021-06-13,4.6416,5.1586,4.4536,5.05,5537640.99,OMGUSDT
2021-06-14,5.0483,5.23,4.91,5.2056,5557486.16,OMGUSDT
2021-06-15,5.2056,5.5803,5.0806,5.1827,5743485.84,OMGUSDT
2021-06-16,5.1824,5.3688,4.9944,5.056,4841077.93,OMGUSDT
2021-06-17,5.0555,5.4047,4.9315,5.0373,3782475.39,OMGUSDT
2021-06-18,5.0369,5.119,4.5152,4.6319,4753499.45,OMGUSDT
2021-06-19,4.632,4.7536,4.4578,4.4689,3056512.99,OMGUSDT
2021-06-20,4.4697,4.6551,4.1493,4.5779,3510500.98,OMGUSDT
2021-06-21,4.5793,4.6146,3.4427,3.4552,7989959.52,OMGUSDT
2021-06-22,3.4566,3.7159,2.892,3.3235,12444272.75,OMGUSDT
2021-06-23,3.3256,3.8616,3.1656,3.7162,6866315.0,OMGUSDT
2021-06-24,3.7158,4.0544,3.5133,3.9014,4940062.56,OMGUSDT
2021-06-25,3.9014,3.99,3.4852,3.5158,6741817.28,OMGUSDT
2021-06-26,3.5146,3.6664,3.3192,3.5499,5789452.23,OMGUSDT
2021-06-27,3.5509,3.7224,3.4265,3.7151,4296595.54,OMGUSDT
2021-06-28,3.7156,3.8838,3.6153,3.8691,4145657.0,OMGUSDT
2021-06-29,3.8691,4.3751,3.8472,4.2251,5300265.75,OMGUSDT
2021-06-30,4.2254,4.5169,4.007,4.3747,7993195.12,OMGUSDT
2021-07-01,4.3746,4.4513,4.0436,4.1368,5291191.28,OMGUSDT
2021-07-02,4.1368,4.2216,3.87,4.1447,3101022.47,OMGUSDT
2021-07-03,4.1455,4.6504,4.0336,4.5947,4318624.71,OMGUSDT
2021-07-04,4.5953,4.6355,4.3439999999999985,4.5299,4188158.53,OMGUSDT
2021-07-05,4.5305,4.875,4.2637,4.4189,8656094.4,OMGUSDT
2021-07-06,4.4192,4.7696,4.3747,4.5508,6664643.95,OMGUSDT
2021-07-07,4.5493,4.7099,4.4616,4.5056,3771487.11,OMGUSDT
2021-07-08,4.5057,4.5126,3.993,4.0768,5129233.93,OMGUSDT
2021-07-09,4.0789,4.2407,3.8286,4.1638,4149970.86,OMGUSDT
2021-07-10,4.1637,4.2857,3.9171,4.0625,3501630.74,OMGUSDT
2021-07-11,4.0632,4.2716,4.0125,4.1632,3082719.52,OMGUSDT
2021-07-12,4.164,4.2815,3.9766,4.0631,3574725.29,OMGUSDT
2021-07-13,4.0632,4.0995,3.8272,3.8956,3393265.83,OMGUSDT
2021-07-14,3.8956,3.9508,3.6242,3.8973,4974701.44,OMGUSDT
2021-07-15,3.897,3.9639,3.6667,3.7647,5406637.88,OMGUSDT
2021-07-16,3.7642,3.8925,3.5545,3.597,5153796.09,OMGUSDT
2021-07-17,3.5976,3.7691,3.5744,3.6709,4963821.93,OMGUSDT
2021-07-18,3.6712,3.899,3.6051,3.6544,5592166.41,OMGUSDT
2021-07-19,3.6557,3.6732,3.3244,3.3424,5083975.9,OMGUSDT
2021-07-20,3.343,3.4448,3.0413,3.1716,6372494.79,OMGUSDT
2021-07-21,3.1723,3.5152,3.0848,3.464,5000649.77,OMGUSDT
2021-07-22,3.4642,3.6158,3.3821,3.587,4982537.89,OMGUSDT
2021-07-23,3.5863,3.7216,3.4568,3.7027,3819612.92,OMGUSDT
2021-07-24,3.7041,3.8096,3.6442,3.7241,3874730.72,OMGUSDT
2021-07-25,3.725,3.7871,3.5953,3.7793,3037165.63,OMGUSDT
2021-07-26,3.7793,4.1605,3.7786,3.7911,7543064.65,OMGUSDT
2021-07-27,3.7908,3.9331,3.6801,3.9307,4175696.01,OMGUSDT
2021-07-28,3.9267,4.0084,3.8001,3.9391,4154957.59,OMGUSDT
2021-07-29,3.9399,4.1287,3.824,4.1039,4208810.16,OMGUSDT
2021-07-30,4.1042,4.263,3.92,4.2468,5359463.86,OMGUSDT
2021-07-31,4.2475,4.5128,4.1743,4.4565,5258020.62,OMGUSDT
2021-08-01,4.4574,4.7784,4.2571,4.2991,6620797.8,OMGUSDT
2021-08-02,4.2999,4.45,4.1797,4.3664,4292576.01,OMGUSDT
2021-08-03,4.3666,4.4432,4.0665,4.2018,3881006.3,OMGUSDT
2021-08-04,4.2024,4.3735,4.06,4.3333,3535406.0,OMGUSDT
2021-08-05,4.3328,4.4979,4.15,4.4661,4426837.23,OMGUSDT
2021-08-06,4.4667,4.7721,4.3379,4.728,4748635.1,OMGUSDT
2021-08-07,4.731,5.3631,4.6575,5.0656,11250412.0,OMGUSDT
2021-08-08,5.0661,5.1501,4.7023,4.7677,6225426.38,OMGUSDT
2021-08-09,4.768,5.215,4.6008,4.9782,5576772.82,OMGUSDT
2021-08-10,4.9785,5.2081,4.8989,5.1233,4613897.85,OMGUSDT
2021-08-11,5.1248,5.4731,5.0925,5.2565,4594255.07,OMGUSDT
2021-08-12,5.2564,5.4981,4.8254,5.0408,6038689.52,OMGUSDT
2021-08-13,5.0408,5.6589,4.9588,5.6182,6558279.59,OMGUSDT
2021-08-14,5.6188,5.78,5.3594,5.6398,5919648.88,OMGUSDT
2021-08-15,5.6406,5.7316,5.3317,5.6868,4204677.42,OMGUSDT
2021-08-16,5.6867,5.9838,5.4521,5.6406,6657190.18,OMGUSDT
2021-08-17,5.6418,5.9021,5.1922,5.2353,7271798.63,OMGUSDT
2021-08-18,5.2352,5.3716,4.9201,5.1566,6325763.37,OMGUSDT
2021-08-19,5.1582,6.2628,4.9881,6.1676,14192554.64,OMGUSDT
